Date,BDX
2015-01-02,90.15048217773438
2015-01-05,90.70482635498047
2015-01-06,90.53076171875
2015-01-07,92.65140533447266
2015-01-08,94.34021759033203
2015-01-09,93.22508239746094
2015-01-12,92.53538513183594
2015-01-13,91.34939575195312
2015-01-14,90.76280212402344
2015-01-15,90.6725845336914
2015-01-16,90.48565673828125
2015-01-20,90.4211654663086
2015-01-21,92.07774353027344
2015-01-22,93.57315826416016
2015-01-23,92.43223571777344
2015-01-26,92.49027252197266
2015-01-27,91.67166900634766
2015-01-28,90.76925659179688
2015-01-29,90.44052124023438
2015-01-30,89.00314331054688
2015-02-02,89.93130493164062
2015-02-03,91.0335464477539
2015-02-04,90.18913269042969
2015-02-05,93.65049743652344
2015-02-06,92.38068389892578
2015-02-09,90.85305786132812
2015-02-10,91.40740203857422
2015-02-11,91.42028045654297
2015-02-12,92.1679916381836
2015-02-13,92.6321029663086
2015-02-17,92.7029800415039
2015-02-18,92.74809265136719
2015-02-19,92.42578887939453
2015-02-20,93.79232788085938
2015-02-23,94.6753921508789
2015-02-24,95.84852600097656
2015-02-25,95.46821594238281
2015-02-26,95.74539184570312
2015-02-27,94.57223510742188
2015-03-02,95.42311096191406
2015-03-03,94.27572631835938
2015-03-04,95.6293716430664
2015-03-05,96.3641586303711
2015-03-06,93.76254272460938
2015-03-09,93.97610473632812
2015-03-10,92.15109252929688
2015-03-11,91.24506378173828
2015-03-12,92.57173919677734
2015-03-13,91.80162811279297
2015-03-16,92.08636474609375
2015-03-17,91.60742950439453
2015-03-18,93.52308654785156
2015-03-19,93.79488372802734
2015-03-20,93.65900421142578
2015-03-23,94.1637954711914
2015-03-24,93.32244873046875
2015-03-25,92.29344940185547
2015-03-26,92.68174743652344
2015-03-27,93.57486724853516
2015-03-30,94.25437927246094
2015-03-31,92.92767333984375
2015-04-01,91.8663330078125
2015-04-02,91.40034484863281
2015-04-06,91.54920959472656
2015-04-07,91.06383514404297
2015-04-08,91.48445892333984
2015-04-09,92.22870635986328
