date,AME
2015-07-29,49.6039572352
2015-07-30,49.6225563943
2015-07-31,49.3342694288
2015-08-03,49.5574593376
2015-08-04,49.948041678
2015-08-05,50.4316198138
2015-08-06,51.1848857561
2015-08-07,51.0918899607
2015-08-10,52.1520420276
2015-08-11,51.7335609486
2015-08-12,51.6033668351
2015-08-13,52.124143289
2015-08-14,52.6914176406
2015-08-17,53.4725823215
2015-08-18,53.4725823215
2015-08-19,52.5798226862
2015-08-20,51.2034849151
2015-08-21,50.068936212
2015-08-24,48.8971891906
2015-08-25,47.8835350214
2015-08-26,49.4830627013
2015-08-27,50.90589837
2015-08-28,50.9337971086
2015-08-31,50.0503370529
2015-09-01,48.2090203051
2015-09-02,49.0366828837
2015-09-03,49.0831807813
2015-09-04,48.2927165209
2015-09-08,49.8643454622
2015-09-09,49.2784719515
2015-09-10,49.2226744743
2015-09-11,49.4923622808
2015-09-14,49.0738812018
2015-09-15,49.7352793729
2015-09-16,50.0892671264
2015-09-17,49.8377495121
2015-09-18,48.5894769075
2015-09-21,48.5987923747
2015-09-22,48.002602474
2015-09-23,48.0305488756
2015-09-24,47.9932870068
2015-09-25,48.4590603667
2015-09-28,47.3505197701
2015-09-29,47.629983786
2015-09-30,48.7385243826
2015-10-01,48.3100128915
2015-10-02,49.6328092337
2015-10-05,50.9835519775
2015-10-06,50.7320343631
2015-10-07,51.3748015998
2015-10-08,52.0827771069
2015-10-09,52.1852472461
2015-10-12,51.9616760333
2015-10-13,51.1698613215
2015-10-14,50.4059930112
2015-10-15,50.7972426335
2015-10-16,50.396677544
2015-10-19,50.5643559536
2015-10-20,50.8624509039
2015-10-21,50.8810818383
2015-10-22,51.8219440254
2015-10-23,52.0361997709
2015-10-26,52.4460803277
2015-10-27,50.0799516592
2015-10-28,50.5084631504
2015-10-29,50.9369746415
2015-10-30,51.0673911823
2015-11-02,51.6449501486
2015-11-03,51.9057832301
2015-11-04,52.3342947213
2015-11-05,52.6137587372
2015-11-06,52.3622411229
2015-11-09,52.1852472461
2015-11-10,52.1386699101
2015-11-11,51.9523605661
2015-11-12,50.3873620768
2015-11-13,50.0799516592
2015-11-16,51.1419149199
2015-11-17,50.5270940848
2015-11-18,52.1014080413
2015-11-19,51.9709915005
2015-11-20,52.3715565901
2015-11-23,52.4553957949
2015-11-24,52.5951278028
2015-11-25,52.5951278028
2015-11-27,52.9677464908
2015-11-30,52.5951278028
2015-12-01,52.790752614
2015-12-02,52.0641461725
2015-12-03,51.0471225286
2015-12-04,51.6069520574
2015-12-07,51.4203422145
2015-12-08,50.2260392198
2015-12-09,50.3846575863
2015-12-10,50.4593015235
2015-12-11,49.3676339424
2015-12-14,49.8434890419
2015-12-15,49.7595146126
2015-12-16,50.7112248114
2015-12-17,49.9647854398
2015-12-18,49.404955911
2015-12-21,49.5262523089
2015-12-22,49.8434890419
2015-12-23,50.5432759528
2015-12-24,50.6552418585
2015-12-28,50.3286746334
2015-12-29,50.8978346543
2015-12-30,50.5526064449
2015-12-31,50.0021074083
