date,AME
2015-01-02,48.7695389116
2015-01-05,47.305155189
2015-01-06,46.396866551
2015-01-07,46.5358903221
2015-01-08,47.6851534968
2015-01-09,47.258813932
2015-01-12,46.0817460031
2015-01-13,46.0817460031
2015-01-14,45.5071144158
2015-01-15,44.7934590573
2015-01-16,45.0066288397
2015-01-20,44.9139463256
2015-01-21,45.5534556728
2015-01-22,45.6832111925
2015-01-23,45.2568716278
2015-01-26,45.9519904834
2015-01-27,45.4144319017
2015-01-28,45.1827256165
2015-01-29,45.5441874214
2015-01-30,44.3949242468
2015-02-02,45.8963809749
2015-02-03,46.7583283559
2015-02-04,45.8871127235
2015-02-05,46.0539412489
2015-02-06,45.9797952376
2015-02-09,46.2022332714
2015-02-10,46.3690617968
2015-02-11,46.2485745285
2015-02-12,46.9066203785
2015-02-13,47.6480804912
2015-02-17,47.7314947538
2015-02-18,47.6202757369
2015-02-19,47.50905672
2015-02-20,47.8427137707
2015-02-23,48.574905632
2015-02-24,48.7510024088
2015-02-25,49.0753912081
2015-02-26,49.3719752531
2015-02-27,49.2514879848
2015-03-02,49.8168513207
2015-03-03,49.6222180412
2015-03-04,48.9919769454
2015-03-05,49.0475864538
2015-03-06,48.2134438271
2015-03-09,48.3895406038
2015-03-10,47.6758852454
2015-03-11,47.6944217482
2015-03-12,48.3431993468
2015-03-13,48.1949073243
2015-03-16,49.1604766484
2015-03-17,49.021211842
2015-03-18,49.8753693211
2015-03-19,49.2997414548
2015-03-20,49.9496438845
2015-03-23,49.8196633986
2015-03-24,49.4018689795
2015-03-25,48.2784662081
2015-03-26,48.1392014017
2015-03-27,48.10206412
2015-03-30,49.1790452893
2015-03-31,48.779819511
2015-04-01,48.53842718
2015-04-02,48.6498390251
2015-04-06,49.1326236871
2015-04-07,49.2440355322
2015-04-08,49.392584659
2015-04-09,49.5782710675
2015-04-10,49.6896829126
2015-04-13,49.1047707259
2015-04-14,49.1976139301
2015-04-15,49.4947121837
2015-04-16,49.0304961625
2015-04-17,48.0092209158
2015-04-20,48.3341721306
2015-04-21,48.343456451
2015-04-22,48.6034174229
2015-04-23,48.9190843174
2015-04-24,48.5848487821
2015-04-27,48.5105742187
2015-04-28,48.5662801412
2015-04-29,48.6498390251
2015-04-30,48.6684076659
2015-05-01,48.9562215991
2015-05-04,49.4668592224
2015-05-05,49.0954864054
2015-05-06,48.5291428595
2015-05-07,48.5477115004
2015-05-08,49.1233393667
2015-05-11,49.086202085
2015-05-12,49.4761435429
2015-05-13,50.4509971874
2015-05-14,51.2680173848
2015-05-15,51.4165665116
2015-05-18,51.4165665116
2015-05-19,51.0266250538
2015-05-20,51.0080564129
2015-05-21,51.0173407333
2015-05-22,50.8316543248
2015-05-26,50.0424870888
2015-05-27,50.4788501487
2015-05-28,50.2931637402
2015-05-29,49.9125066028
2015-06-01,49.8568006803
2015-06-02,50.1724675747
2015-06-03,50.2467421381
2015-06-04,49.4854278633
2015-06-05,50.0239184479
2015-06-08,50.1260459726
2015-06-09,49.893937962
2015-06-10,50.6181149551
2015-06-11,50.8966445678
2015-06-12,50.9244975291
2015-06-15,50.2921261208
2015-06-16,50.4967168705
2015-06-17,50.5990122454
2015-06-18,51.2406832333
2015-06-19,50.7478055179
2015-06-22,50.9151979496
2015-06-23,50.8594004724
2015-06-24,50.2828265412
2015-06-25,50.0317378938
2015-06-26,51.2499828128
2015-06-29,50.2549278026
2015-06-30,50.9430966882
2015-07-01,51.6126664146
2015-07-02,51.6591643123
2015-07-06,50.6548097226
2015-07-07,50.9895945858
2015-07-08,50.0131387347
2015-07-09,50.5060164501
2015-07-10,51.2406832333
2015-07-13,52.0125483346
2015-07-14,51.8730546416
2015-07-15,51.1848857561
2015-07-16,51.4173752444
2015-07-17,51.0174933244
2015-07-20,51.2406832333
2015-07-21,50.8594004724
2015-07-22,51.1569870174
2015-07-23,51.2871811309
2015-07-24,50.1712315868
2015-07-27,48.3671131572
2015-07-28,48.7762946567
