date,AEP
2015-01-02,40.7539432611
2015-01-05,40.154130523
2015-01-06,40.3740618603
2015-01-07,40.9472162545
2015-01-08,41.3004393113
2015-01-09,41.080507974
2015-01-12,41.0271912862
2015-01-13,41.2337934515
2015-01-14,41.8269416037
2015-01-15,42.0935250428
2015-01-16,42.366773068
2015-01-20,42.340114724
2015-01-21,42.7466544688
2015-01-22,42.7066669529
2015-01-23,42.999908736
2015-01-26,43.0332316659
2015-01-27,42.8199649145
2015-01-28,42.2401459344
2015-01-29,42.4667418576
2015-01-30,41.8602645336
2015-02-02,42.026879183
2015-02-03,41.8269416037
2015-02-04,41.4670539608
2015-02-05,41.6203394383
2015-02-06,39.7742491222
2015-02-09,39.1623375972
2015-02-10,39.8818379617
2015-02-11,39.1892348071
2015-02-12,38.9875057329
2015-02-13,38.8866411959
2015-02-17,38.9135384057
2015-02-18,39.7540762147
2015-02-19,39.2766507392
2015-02-20,39.4851041159
2015-02-23,39.7339033073
2015-02-24,39.8616650543
2015-02-25,39.0547487577
2015-02-26,38.604220492
2015-02-27,38.7185336341
2015-03-02,37.7569583805
2015-03-03,38.1469679239
2015-03-04,38.0461033868
2015-03-05,38.3823185104
2015-03-06,36.9903878987
2015-03-09,37.1047010408
2015-03-10,37.1584954605
2015-03-11,36.8290046394
2015-03-12,37.6359209361
2015-03-13,37.1921169729
2015-03-16,37.763682683
2015-03-17,37.5888508187
2015-03-18,38.6983607266
2015-03-19,38.362145603
2015-03-20,38.7992252637
2015-03-23,38.9673328255
2015-03-24,38.4966316525
2015-03-25,37.5955751212
2015-03-26,37.2055655778
2015-03-27,37.5888508187
2015-03-30,38.0461033868
2015-03-31,37.8242014053
2015-04-01,37.9048930349
2015-04-02,37.9654117572
2015-04-06,38.3957671154
2015-04-07,37.9048930349
2015-04-08,37.6426452385
2015-04-09,37.5148834916
2015-04-10,37.9183416399
2015-04-13,37.4341918619
2015-04-14,37.7233368682
2015-04-15,37.8981687325
2015-04-16,37.5552293064
2015-04-17,37.4745376767
2015-04-20,38.0797248992
2015-04-21,37.6359209361
2015-04-22,37.7502340781
2015-04-23,38.261281066
2015-04-24,38.9202627082
2015-04-27,38.8059495662
2015-04-28,39.0547487577
2015-04-29,38.859743986
2015-04-30,38.2411081585
2015-05-01,38.3486969981
2015-05-04,38.5705989797
2015-05-05,37.5888508187
2015-05-06,37.3131544174
2015-05-07,37.5168288411
2015-05-08,37.8834428037
2015-05-11,37.6322443478
2015-05-12,37.3063652699
2015-05-13,36.8514923904
2015-05-14,37.4082024818
2015-05-15,37.7476598546
2015-05-18,37.9377559833
2015-05-19,37.8834428037
2015-05-20,37.9649125732
2015-05-21,37.8902319511
2015-05-22,37.7816055918
2015-05-26,37.5643528733
2015-05-27,38.0599606375
2015-05-28,38.0871172274
2015-05-29,38.216111029
2015-06-01,38.0260149003
2015-06-02,37.455726514
2015-06-03,36.919383865
2015-06-04,36.8582815379
2015-06-05,36.2812040041
2015-06-08,36.294782299
