Date,CI
2015-01-02,93.4126205444336
2015-01-05,91.8047103881836
2015-01-06,92.1680679321289
2015-01-07,94.33010864257812
2015-01-08,99.13565826416016
2015-01-09,98.10914611816406
2015-01-12,96.45581817626953
2015-01-13,97.04629516601562
2015-01-14,97.6004409790039
2015-01-15,97.07355499267578
2015-01-16,98.00920104980469
2015-01-20,98.52701568603516
2015-01-21,100.04407501220703
2015-01-22,101.90632629394531
2015-01-23,99.89871215820312
2015-01-26,99.39002990722656
2015-01-27,98.86312103271484
2015-01-28,98.74503326416016
2015-01-29,99.58078002929688
2015-01-30,97.04629516601562
2015-02-02,98.00013732910156
2015-02-03,98.74503326416016
2015-02-04,100.01679992675781
2015-02-05,101.94267272949219
2015-02-06,101.47029876708984
2015-02-09,100.8525619506836
2015-02-10,103.28712463378906
2015-02-11,104.53166198730469
2015-02-12,104.44989013671875
2015-02-13,103.9865951538086
2015-02-17,104.90411376953125
2015-02-18,105.38556671142578
2015-02-19,105.54908752441406
2015-02-20,107.68387603759766
2015-02-23,110.2728500366211
2015-02-24,109.70054626464844
2015-02-25,110.08208465576172
2015-02-26,110.45453643798828
2015-02-27,110.4908676147461
2015-03-02,111.26303100585938
2015-03-03,110.01850128173828
2015-03-04,110.69981384277344
2015-03-05,111.290283203125
2015-03-06,109.5279541015625
2015-03-09,110.83606719970703
2015-03-10,108.87325286865234
2015-03-11,109.45481872558594
2015-03-12,111.54486846923828
2015-03-13,111.67208862304688
2015-03-16,113.59860229492188
2015-03-17,113.45317840576172
2015-03-18,115.85218048095703
2015-03-19,116.40650939941406
2015-03-20,116.66093444824219
2015-03-23,116.6972885131836
2015-03-24,117.74232482910156
2015-03-25,115.32512664794922
2015-03-26,114.68902587890625
2015-03-27,117.2061767578125
2015-03-30,118.09673309326172
2015-03-31,117.62417602539062
2015-04-01,118.46927642822266
2015-04-02,118.56016540527344
2015-04-06,119.77783203125
2015-04-07,118.02400970458984
2015-04-08,119.487060546875
2015-04-09,120.11405944824219
2015-04-10,121.14093780517578
2015-04-13,120.67748260498047
2015-04-14,120.76834869384766
2015-04-15,118.33297729492188
2015-04-16,120.67748260498047
2015-04-17,119.1599349975586
2015-04-20,118.37841033935547
2015-04-21,118.7691879272461
2015-04-22,118.36024475097656
2015-04-23,118.65105438232422
2015-04-24,118.73282623291016
2015-04-27,118.36024475097656
2015-04-28,119.68697357177734
2015-04-29,115.11613464355469
2015-04-30,113.26234436035156
2015-05-01,114.03473663330078
2015-05-04,115.16156005859375
2015-05-05,113.81665802001953
2015-05-06,113.85301208496094
2015-05-07,114.94347381591797
2015-05-08,116.76091003417969
2015-05-11,116.58824920654297
2015-05-12,119.82328796386719
2015-05-13,119.66879272460938
2015-05-14,119.81417083740234
2015-05-15,120.00501251220703
2015-05-18,121.10457611083984
2015-05-19,121.56800079345703
2015-05-20,121.45892333984375
2015-05-21,120.81378936767578
2015-05-22,123.45814514160156
2015-05-26,121.6861572265625
2015-05-27,122.62212371826172
2015-05-28,123.46721649169922
2015-05-29,127.97447967529297
2015-06-01,130.72789001464844
2015-06-02,128.59237670898438
2015-06-03,127.35652923583984
2015-06-04,125.12109375
2015-06-05,126.76588439941406
2015-06-08,126.1025390625
2015-06-09,125.85714721679688
2015-06-10,127.0748291015625
2015-06-11,126.49324035644531
2015-06-12,124.77584075927734
