Date,PLD
2015-01-02,31.13705825805664
2015-01-05,31.11554718017578
2015-01-06,31.22308349609375
2015-01-07,31.69627571105957
2015-01-08,31.70344352722168
2015-01-09,31.653261184692383
2015-01-12,31.97588539123535
2015-01-13,31.337797164916992
2015-01-14,31.344972610473633
2015-01-15,31.380826950073242
2015-01-16,31.653261184692383
2015-01-20,31.430999755859375
2015-01-21,31.567209243774414
2015-01-22,32.34869384765625
2015-01-23,32.484920501708984
2015-01-26,32.87206268310547
2015-01-27,33.789764404296875
2015-01-28,33.28072738647461
2015-01-29,33.15168380737305
2015-01-30,32.363037109375
2015-02-02,32.37019729614258
2015-02-03,32.420387268066406
2015-02-04,32.38453674316406
2015-02-05,32.82905960083008
2015-02-06,32.00455856323242
2015-02-09,32.03322982788086
2015-02-10,32.17661666870117
2015-02-11,31.83966827392578
2015-02-12,32.0977668762207
2015-02-13,31.409496307373047
2015-02-17,31.337797164916992
2015-02-18,31.51704216003418
2015-02-19,30.721221923828125
2015-02-20,30.843114852905273
2015-02-23,31.1585750579834
2015-02-24,30.60651969909668
2015-02-25,30.757064819335938
2015-02-26,30.420114517211914
2015-02-27,30.620849609375
2015-03-02,30.613677978515625
2015-03-03,30.57782554626465
2015-03-04,30.384262084960938
2015-03-05,30.585006713867188
2015-03-06,29.681652069091797
2015-03-09,29.72467041015625
2015-03-10,29.50240707397461
2015-03-11,29.911081314086914
2015-03-12,30.513307571411133
2015-03-13,30.434446334838867
2015-03-16,30.94782257080078
2015-03-17,30.93336296081543
2015-03-18,31.4539852142334
2015-03-19,31.584135055541992
2015-03-20,32.097530364990234
2015-03-23,32.3433837890625
2015-03-24,32.09029769897461
2015-03-25,31.540760040283203
2015-03-26,31.143062591552734
2015-03-27,31.121376037597656
2015-03-30,31.7866153717041
2015-03-31,31.497379302978516
2015-04-01,31.37445068359375
2015-04-02,31.519052505493164
2015-04-06,32.083065032958984
2015-04-07,31.345518112182617
2015-04-08,31.4539852142334
2015-04-09,30.636911392211914
2015-04-10,30.723674774169922
2015-04-13,30.6803035736084
2015-04-14,30.976747512817383
2015-04-15,30.911672592163086
2015-04-16,31.070751190185547
2015-04-17,31.005678176879883
2015-04-20,31.128597259521484
2015-04-21,30.91891098022461
2015-04-22,30.62967872619629
2015-04-23,30.774293899536133
2015-04-24,30.774293899536133
2015-04-27,30.69475555419922
2015-04-28,30.535673141479492
2015-04-29,29.704130172729492
