date,AAL
2015-01-02,51.0723264208
2015-01-05,51.0391687241
2015-01-06,50.2481208191
2015-01-07,50.2196999363
2015-01-08,50.8354857306
2015-01-09,49.2818108033
2015-01-12,46.9702456676
2015-01-13,47.7470831313
2015-01-14,46.8091939983
2015-01-15,46.8091939983
2015-01-16,47.1881391025
2015-01-20,49.9733856185
2015-01-21,50.8449593582
2015-01-22,52.6638958585
2015-01-23,52.7586321345
2015-01-26,52.531265072
2015-01-27,49.9212806667
2015-01-28,47.9555029386
2015-01-29,49.4902306107
2015-01-30,46.4965642874
2015-02-02,46.1555136936
2015-02-03,44.9997311257
2015-02-04,46.8565621364
2015-02-05,46.3355126181
2015-02-06,45.7042256709
2015-02-09,44.1711002278
2015-02-10,45.6140418213
2015-02-11,45.1773621285
2015-02-12,45.4526601957
2015-02-13,45.9368050725
2015-02-17,45.5760696741
2015-02-18,46.810164458
2015-02-19,47.2563371876
2015-02-20,48.4334737507
2015-02-23,48.7087718179
2015-02-24,48.9081255907
2015-02-25,47.2088720036
2015-02-26,46.8481366052
2015-02-27,45.4716462693
2015-03-02,45.8608607781
2015-03-03,46.2975404709
2015-03-04,46.4684151333
2015-03-05,45.9415515909
2015-03-06,45.5618301189
2015-03-09,45.4906323429
2015-03-10,44.3657074822
2015-03-11,44.9875013925
2015-03-12,46.2121031397
2015-03-13,46.7247271268
2015-03-16,47.6740308068
2015-03-17,50.9681145762
2015-03-18,51.3858081954
2015-03-19,52.3920700961
2015-03-20,52.9331731937
2015-03-23,51.6373736705
2015-03-24,51.1959474594
2015-03-25,49.3732843939
2015-03-26,48.6660531523
2015-03-27,49.9903317858
2015-03-30,50.9206493922
2015-03-31,50.1042482274
2015-04-01,47.8828776164
2015-04-02,46.6820084612
2015-04-06,45.6425209317
2015-04-07,45.0871782789
2015-04-08,46.2690613605
2015-04-09,45.4146880485
2015-04-10,45.3102646437
2015-04-13,45.3672228645
2015-04-14,45.0159805029
2015-04-15,45.3292507173
2015-04-16,45.7944095205
2015-04-17,45.7469443365
2015-04-20,47.237351114
2015-04-21,48.7562370019
2015-04-22,48.7942091491
2015-04-23,48.8416743331
2015-04-24,50.0330504514
2015-04-27,49.2403818787
2015-04-28,48.5948553763
2015-04-29,46.4019638757
2015-04-30,45.9320585541
2015-05-01,46.9832115975
2015-05-04,46.5646529196
2015-05-05,44.7144333092
2015-05-06,44.7524840981
2015-05-07,46.6692925891
2015-05-08,46.6502671946
2015-05-11,47.2257853768
2015-05-12,46.4695259473
2015-05-13,46.1270688472
2015-05-14,46.436231507
2015-05-15,46.2935410487
2015-05-18,46.6122164057
2015-05-19,45.5182562248
2015-05-20,40.9616742537
2015-05-21,40.4004251174
2015-05-22,40.5336028785
2015-05-26,39.5300133212
2015-05-27,40.1816330812
2015-05-28,39.9247902561
2015-05-29,40.3052981451
2015-06-01,42.027096343
2015-06-02,41.6418321053
2015-06-03,41.0282631343
