date,VIAB
2015-01-02,69.748197789757
2015-01-05,67.805608726648
2015-01-06,66.464297230691
2015-01-07,65.955523904638
2015-01-08,66.871315891533
2015-01-09,66.29778959671
2015-01-12,66.973070556743
2015-01-13,67.185830311274
2015-01-14,62.717875466121
2015-01-15,61.496819483595
2015-01-16,62.967636917093
2015-01-20,61.385814394275
2015-01-21,62.4218618946
2015-01-22,63.467159819035
2015-01-23,62.717875466121
2015-01-26,62.4218618946
2015-01-27,62.107347474858
2015-01-28,61.515320331815
2015-01-29,62.43111231871
2015-01-30,59.591232116925
2015-02-02,60.248012228739
2015-02-03,61.765081782787
2015-02-04,61.126802519193
2015-02-05,61.284059729064
2015-02-06,62.042594506088
2015-02-09,63.124894126964
2015-02-10,63.032389885863
2015-02-11,62.121223111023
2015-02-12,62.634621649131
2015-02-13,63.809425511107
2015-02-17,64.142440779069
2015-02-18,62.986137765313
2015-02-19,64.110064294684
2015-02-20,64.48470647114
2015-02-23,65.048982341853
2015-02-24,65.613258212566
2015-02-25,65.076733614184
2015-02-26,64.39220223004
2015-02-27,64.697466225672
2015-03-02,65.446750578585
2015-03-03,66.122031538619
2015-03-04,65.548505243796
2015-03-05,65.067483190073
2015-03-06,65.048982341853
2015-03-09,65.937023056418
2015-03-10,64.614212408681
2015-03-11,64.244195444279
2015-03-12,64.792576163494
2015-03-13,63.324031186614
2015-03-16,64.430087213505
2015-03-17,63.946768613519
2015-03-18,64.011830732748
2015-03-19,63.95606320198
2015-03-20,64.8390491058
2015-03-23,65.433902767321
2015-03-24,64.197722501973
2015-03-25,62.952247648163
2015-03-26,62.506107402022
2015-03-27,63.063782709698
2015-03-30,63.333325775075
2015-03-31,63.482039190455
2015-04-01,62.56187493279
2015-04-02,62.822123409705
2015-04-06,63.760876844293
2015-04-07,62.533991167406
2015-04-08,63.416977071226
2015-04-09,64.430087213505
2015-04-10,64.378966976968
2015-04-13,64.634568159652
2015-04-14,64.699630278881
2015-04-15,65.480375709628
2015-04-16,65.907926778846
2015-04-17,64.262784621202
2015-04-20,65.387429825015
2015-04-21,65.41996088463
2015-04-22,65.452491944244
2015-04-23,65.712740421159
2015-04-24,65.749918775005
2015-04-27,65.015646286564
2015-04-28,66.279710317297
2015-04-29,67.144107044195
2015-04-30,64.550916863501
2015-05-01,64.290668386586
2015-05-04,64.904111225029
2015-05-05,64.021125321209
2015-05-06,62.980131413547
2015-05-07,61.97631585973
2015-05-08,61.75324573666
2015-05-11,60.814492302072
2015-05-12,59.931506398251
2015-05-13,59.8478551021
2015-05-14,60.50777088285
2015-05-15,60.944616540529
2015-05-18,61.121213721293
2015-05-19,60.953911128991
2015-05-20,61.269927136674
2015-05-21,62.190091394339
2015-05-22,62.087850921265
2015-05-26,61.288516313596
2015-05-27,63.528512132762
2015-05-28,62.589758698174
2015-05-29,62.162207628955
2015-06-01,62.004199625114
2015-06-02,61.427935140515
2015-06-03,63.403035188535
2015-06-04,63.258969067385
2015-06-05,63.254321773154
2015-06-08,62.385277752026
2015-06-09,62.032083390498
2015-06-10,62.41316151741
2015-06-11,63.045193532776
