date,STI
2015-01-02,39.226215585148
2015-01-05,37.825615028669
2015-01-06,36.735214595437
2015-01-07,37.120614748562
2015-01-08,37.759815002525
2015-01-09,36.490814498333
2015-01-12,36.105414345208
2015-01-13,35.795214221961
2015-01-14,35.127813956793
2015-01-15,34.507413710299
2015-01-16,35.898614263043
2015-01-20,35.63541415847
2015-01-21,36.152414363882
2015-01-22,37.468414886748
2015-01-23,37.083014733623
2015-01-26,37.430814871809
2015-01-27,36.838614636519
2015-01-28,35.870414251839
2015-01-29,36.566014528211
2015-01-30,36.114814348943
2015-02-02,36.885614655193
2015-02-03,37.346214838196
2015-02-04,37.214614785909
2015-02-05,37.891415054812
2015-02-06,38.690415372267
2015-02-09,38.258015200468
2015-02-10,38.502415297571
2015-02-11,38.333215230346
2015-02-12,39.066415521657
2015-02-13,39.075815525392
2015-02-17,39.169815562739
2015-02-18,38.511815301306
2015-02-19,38.229815189263
2015-02-20,38.615215342388
2015-02-23,38.530615308776
2015-02-24,38.963015480575
2015-02-25,39.019415502983
2015-02-26,38.896623829892
2015-02-27,38.726604590228
2015-03-02,38.981633449724
2015-03-03,39.123316149445
2015-03-04,38.688822536969
2015-03-05,38.934405883151
2015-03-06,39.595591815179
2015-03-09,39.756165541529
2015-03-10,38.858841776633
2015-03-11,39.11387063613
2015-03-12,40.351232880354
2015-03-13,40.077312994228
2015-03-16,40.407905960242
2015-03-17,40.530697633333
2015-03-18,40.190659154005
2015-03-19,39.793947594788
2015-03-20,40.294559800466
2015-03-23,39.605037328494
2015-03-24,39.246107822536
2015-03-25,38.292110977752
2015-03-26,38.443239190787
2015-03-27,38.301556491067
2015-03-30,38.849396263319
2015-03-31,38.81161421006
2015-04-01,38.575476377193
2015-04-02,39.076088582871
2015-04-06,38.802168696745
2015-04-07,38.906069343207
2015-04-08,39.076088582871
2015-04-09,39.208325769277
2015-04-10,39.198880255962
2015-04-13,39.586146301864
2015-04-14,39.340562955683
2015-04-15,39.916739267879
2015-04-16,39.793947594788
2015-04-17,39.11387063613
2015-04-20,39.453909115459
2015-04-21,39.170543716018
2015-04-22,39.123316149445
2015-04-23,38.641594970396
2015-04-24,38.225992384549
2015-04-27,38.377120597584
2015-04-28,38.868287289948
2015-04-29,39.387790522256
2015-04-30,39.198880255962
2015-05-01,39.368899495627
2015-05-04,40.096204020858
2015-05-05,39.831729648046
2015-05-06,39.548364248606
2015-05-07,39.425572575515
2015-05-08,40.011194401026
2015-05-11,40.285114287152
2015-05-12,40.294559800466
