Date,HOT
2015-01-02,78.33353424072266
2015-01-05,74.37220001220703
2015-01-06,73.81876373291016
2015-01-07,74.56637573242188
2015-01-08,75.55670928955078
2015-01-09,72.57599639892578
2015-01-12,72.0225830078125
2015-01-13,71.87694549560547
2015-01-14,71.7313003540039
2015-01-15,71.0128173828125
2015-01-16,70.37201690673828
2015-01-20,70.66328430175781
2015-01-21,71.38176727294922
2015-01-22,73.16825866699219
2015-01-23,72.45948791503906
2015-01-26,73.11970520019531
2015-01-27,71.88665008544922
2015-01-28,70.5079574584961
2015-01-29,71.44002532958984
2015-01-30,69.8768539428711
2015-02-02,69.88655853271484
2015-02-03,72.10995483398438
2015-02-04,71.54682922363281
2015-02-05,72.43035888671875
2015-02-06,69.57587432861328
2015-02-09,69.15837860107422
2015-02-10,73.72168731689453
2015-02-11,74.04208374023438
2015-02-12,75.6149673461914
2015-02-13,76.26548767089844
2015-02-17,78.2947006225586
2015-02-18,77.24610137939453
2015-02-19,77.14900970458984
2015-02-20,77.92575073242188
2015-02-23,77.1393051147461
2015-02-24,77.48883056640625
2015-02-25,77.88690948486328
2015-02-26,77.6733169555664
2015-02-27,77.99372100830078
2015-03-02,80.45011901855469
2015-03-03,80.29895782470703
2015-03-04,78.94324493408203
2015-03-05,78.7579345703125
2015-03-06,78.69941711425781
2015-03-09,78.6408920288086
2015-03-10,77.35344696044922
2015-03-11,78.30928039550781
2015-03-12,79.19682312011719
2015-03-13,78.77743530273438
2015-03-16,79.49919128417969
2015-03-17,79.97709655761719
2015-03-18,81.0987319946289
2015-03-19,81.4400863647461
2015-03-20,82.30813598632812
2015-03-23,82.8153076171875
2015-03-24,80.92317199707031
2015-03-25,79.62598419189453
2015-03-26,82.68850708007812
2015-03-27,83.12742614746094
2015-03-30,82.24961853027344
2015-03-31,81.4400863647461
2015-04-01,81.88874053955078
2015-04-02,82.01553344726562
2015-04-06,82.79580688476562
2015-04-07,82.30813598632812
2015-04-08,82.60073852539062
2015-04-09,82.16183471679688
2015-04-10,82.26911926269531
2015-04-13,81.55712890625
2015-04-14,81.1474838256836
2015-04-15,81.06947326660156
2015-04-16,80.43550872802734
2015-04-17,79.86981201171875
2015-04-20,80.43550872802734
2015-04-21,81.66441345214844
2015-04-22,81.4498519897461
2015-04-23,81.28404235839844
2015-04-24,81.0792236328125
2015-04-27,79.23583984375
2015-04-28,78.80670166015625
2015-04-29,85.37068176269531
2015-04-30,83.82965850830078
