Date,CHRW
2015-01-02,56.74403762817383
2015-01-05,54.254207611083984
2015-01-06,53.54719924926758
2015-01-07,53.57026290893555
2015-01-08,55.9755859375
2015-01-09,55.37617492675781
2015-01-12,56.021705627441406
2015-01-13,56.56730651855469
2015-01-14,56.07548904418945
2015-01-15,55.721988677978516
2015-01-16,56.4443359375
2015-01-20,55.99863815307617
2015-01-21,55.960205078125
2015-01-22,57.42799377441406
2015-01-23,56.959224700927734
2015-01-26,57.358821868896484
2015-01-27,56.667213439941406
2015-01-28,56.05242919921875
2015-01-29,56.33677673339844
2015-01-30,54.73066329956055
2015-02-02,56.43667221069336
2015-02-03,57.81224822998047
2015-02-04,54.17735290527344
2015-02-05,54.53853988647461
2015-02-06,54.18504333496094
2015-02-09,54.17735290527344
2015-02-10,54.67685317993164
2015-02-11,54.753700256347656
2015-02-12,55.19944381713867
2015-02-13,55.775779724121094
2015-02-17,55.18406295776367
2015-02-18,54.853614807128906
2015-02-19,55.20711135864258
2015-02-20,55.71428680419922
2015-02-23,56.206138610839844
2015-02-24,56.851646423339844
2015-02-25,56.52119827270508
2015-02-26,57.02840042114258
2015-02-27,57.097572326660156
2015-03-02,56.559627532958984
2015-03-03,57.38189697265625
2015-03-04,57.126991271972656
2015-03-05,57.250579833984375
2015-03-06,56.833465576171875
2015-03-09,57.088401794433594
2015-03-10,55.991546630859375
2015-03-11,55.98383712768555
2015-03-12,57.134727478027344
2015-03-13,56.733062744140625
2015-03-16,58.20063018798828
2015-03-17,57.66768264770508
2015-03-18,58.07704162597656
2015-03-19,58.05388259887695
2015-03-20,58.2392463684082
2015-03-23,58.50187301635742
2015-03-24,57.97663497924805
2015-03-25,56.62495040893555
2015-03-26,56.49362564086914
2015-03-27,56.408668518066406
2015-03-30,56.53996276855469
2015-03-31,56.55542755126953
2015-04-01,55.60536575317383
2015-04-02,55.09556579589844
2015-04-06,55.05694580078125
2015-04-07,55.157352447509766
2015-04-08,55.0106201171875
2015-04-09,55.33503723144531
2015-04-10,55.659427642822266
2015-04-13,54.35405731201172
2015-04-14,54.67076873779297
2015-04-15,54.24592971801758
2015-04-16,53.68979263305664
2015-04-17,52.96372985839844
2015-04-20,54.13779067993164
2015-04-21,54.48539352416992
2015-04-22,54.400421142578125
2015-04-23,54.54715347290039
2015-04-24,54.57033157348633
2015-04-27,53.24954605102539
2015-04-28,50.77011489868164
2015-04-29,49.989994049072266
2015-04-30,49.7350959777832
2015-05-01,50.00542449951172
2015-05-04,51.04045867919922
2015-05-05,49.426124572753906
2015-05-06,49.85867691040039
2015-05-07,50.38393020629883
2015-05-08,50.74693298339844
2015-05-11,50.414798736572266
2015-05-12,50.19853591918945
2015-05-13,49.85095977783203
2015-05-14,49.72736358642578
2015-05-15,49.835506439208984
2015-05-18,50.522945404052734
2015-05-19,50.098121643066406
2015-05-20,49.36433029174805
2015-05-21,49.63467788696289
2015-05-22,49.45702362060547
2015-05-26,48.60737609863281
2015-05-27,48.939510345458984
2015-05-28,48.27524185180664
2015-05-29,47.68049240112305
2015-06-01,47.97400665283203
2015-06-02,47.610992431640625
2015-06-03,50.22235870361328
2015-06-04,49.23531723022461
2015-06-05,49.880393981933594
2015-06-08,49.23531723022461
2015-06-09,49.56175231933594
2015-06-10,49.60060119628906
2015-06-11,49.98919677734375
2015-06-12,49.50735092163086
2015-06-15,49.546199798583984
2015-06-16,49.686100006103516
2015-06-17,49.7637939453125
2015-06-18,50.36225509643555
2015-06-19,49.90370559692383
2015-06-22,49.86485290527344
2015-06-23,49.56175231933594
2015-06-24,48.65242004394531
2015-06-25,48.551395416259766
2015-06-26,48.9943962097168
2015-06-29,47.9451904296875
2015-06-30,48.489219665527344
2015-07-01,48.395938873291016
2015-07-02,49.00993728637695
2015-07-06,48.310462951660156
2015-07-07,49.118743896484375
2015-07-08,48.100624084472656
2015-07-09,48.310462951660156
2015-07-10,49.39076614379883
2015-07-13,50.38555908203125
2015-07-14,49.98919677734375
2015-07-15,48.9943962097168
2015-07-16,49.21200180053711
2015-07-17,48.963294982910156
2015-07-20,49.48402404785156
2015-07-21,50.82079315185547
2015-07-22,50.711997985839844
2015-07-23,50.066917419433594
2015-07-24,49.981422424316406
2015-07-27,50.33116149902344
2015-07-28,51.86225128173828
2015-07-29,54.28706359863281
2015-07-30,54.3026237487793
2015-07-31,54.52024459838867
2015-08-03,54.96326446533203
2015-08-04,54.7301025390625
2015-08-05,54.64461898803711
2015-08-06,54.14719772338867
2015-08-07,53.50989532470703
2015-08-10,54.077247619628906
2015-08-11,54.27933120727539
2015-08-12,53.70417404174805
2015-08-13,53.40108871459961
2015-08-14,53.93735885620117
2015-08-17,54.16273498535156
2015-08-18,54.209373474121094
2015-08-19,55.048744201660156
2015-08-20,53.797454833984375
2015-08-21,52.258602142333984
2015-08-24,50.64203643798828
2015-08-25,49.84931182861328
2015-08-26,52.27415466308594
2015-08-27,52.70939254760742
