Date,ED
2015-01-02,44.08153533935547
2015-01-05,43.66291046142578
2015-01-06,43.90876388549805
2015-01-07,44.55995178222656
2015-01-08,44.83905029296875
2015-01-09,44.60648727416992
2015-01-12,44.453651428222656
2015-01-13,44.36725616455078
2015-01-14,44.84568786621094
2015-01-15,45.430419921875
2015-01-16,45.915504455566406
2015-01-20,46.50689697265625
2015-01-21,46.81253433227539
2015-01-22,46.5467643737793
2015-01-23,46.759403228759766
2015-01-26,46.78598403930664
2015-01-27,47.09827423095703
2015-01-28,47.07834243774414
2015-01-29,47.443809509277344
2015-01-30,46.03508758544922
2015-02-02,46.15470886230469
2015-02-03,45.842403411865234
2015-02-04,45.337398529052734
2015-02-05,45.722801208496094
2015-02-06,44.36725616455078
2015-02-09,43.88218688964844
2015-02-10,44.52009963989258
2015-02-11,43.81575393676758
2015-02-12,43.59647750854492
2015-02-13,42.89849090576172
2015-02-17,42.83137893676758
2015-02-18,43.898468017578125
2015-02-19,43.48908996582031
2015-02-20,42.78439712524414
2015-02-23,43.133392333984375
2015-02-24,43.79780197143555
2015-02-25,42.81125259399414
2015-02-26,42.32133102416992
2015-02-27,42.375022888183594
2015-03-02,41.4891242980957
2015-03-03,41.724029541015625
2015-03-04,41.52267837524414
2015-03-05,41.8246955871582
2015-03-06,40.254241943359375
2015-03-09,40.549530029296875
2015-03-10,40.32136154174805
2015-03-11,40.07975387573242
2015-03-12,41.207244873046875
2015-03-13,40.831417083740234
2015-03-16,41.42201614379883
2015-03-17,41.052894592285156
2015-03-18,41.67033004760742
2015-03-19,40.831417083740234
2015-03-20,41.25422668457031
2015-03-23,41.294498443603516
2015-03-24,40.85826110839844
2015-03-25,40.65693283081055
2015-03-26,39.46232223510742
2015-03-27,40.13344192504883
2015-03-30,40.79787063598633
2015-03-31,40.938804626464844
2015-04-01,41.03947448730469
2015-04-02,40.90523910522461
2015-04-06,41.30792236328125
2015-04-07,40.66364288330078
2015-04-08,40.67035675048828
2015-04-09,40.44216537475586
2015-04-10,40.84484100341797
2015-04-13,40.57638931274414
2015-04-14,40.8180046081543
2015-04-15,40.77771759033203
2015-04-16,40.878387451171875
2015-04-17,40.89854049682617
2015-04-20,41.47570037841797
2015-04-21,41.25422668457031
2015-04-22,41.36832046508789
2015-04-23,41.677032470703125
2015-04-24,41.94548797607422
2015-04-27,41.40187072753906
2015-04-28,41.7911376953125
2015-04-29,41.66361999511719
2015-04-30,41.30792236328125
2015-05-01,41.38174057006836
2015-05-04,41.677032470703125
2015-05-05,40.8180046081543
2015-05-06,41.005916595458984
2015-05-07,41.09987258911133
2015-05-08,40.99249267578125
2015-05-11,41.281070709228516
2015-05-12,41.02605056762695
2015-05-13,40.428741455078125
2015-05-14,41.005916595458984
2015-05-15,41.25422668457031
2015-05-18,41.41023254394531
2015-05-19,41.471290588378906
2015-05-20,41.63408279418945
2015-05-21,41.627296447753906
2015-05-22,41.471290588378906
2015-05-26,41.42380142211914
2015-05-27,41.60694885253906
2015-05-28,41.92573165893555
2015-05-29,41.946102142333984
2015-06-01,41.85791015625
2015-06-02,41.437374114990234
2015-06-03,40.54201126098633
2015-06-04,40.48775863647461
2015-06-05,39.75518798828125
2015-06-08,39.7009162902832
2015-06-09,39.639862060546875
2015-06-10,39.17184066772461
2015-06-11,39.36855697631836
2015-06-12,39.0294189453125
2015-06-15,38.80556869506836
2015-06-16,39.0294189453125
2015-06-17,39.504215240478516
2015-06-18,40.1553840637207
2015-06-19,40.01294708251953
2015-06-22,39.829795837402344
2015-06-23,39.38890838623047
2015-06-24,39.2328987121582
2015-06-25,39.00227355957031
2015-06-26,39.40925216674805
2015-06-29,39.42960739135742
2015-06-30,39.26002502441406
2015-07-01,39.531349182128906
2015-07-02,40.114688873291016
2015-07-06,40.42671203613281
2015-07-07,41.430580139160156
2015-07-08,41.5323371887207
2015-07-09,41.0303955078125
2015-07-10,41.247459411621094
2015-07-13,41.166046142578125
2015-07-14,40.982906341552734
2015-07-15,41.23387908935547
2015-07-16,41.86469650268555
2015-07-17,41.57981491088867
2015-07-20,41.647647857666016
2015-07-21,41.70191192626953
2015-07-22,42.19028091430664
2015-07-23,41.478065490722656
2015-07-24,41.30849838256836
2015-07-27,41.7968635559082
2015-07-28,41.98678970336914
2015-07-29,42.285247802734375
2015-07-30,42.83467483520508
2015-07-31,43.13311767578125
2015-08-03,43.26879119873047
2015-08-04,42.89570999145508
2015-08-05,43.01102828979492
2015-08-06,43.2213020324707
2015-08-07,44.19126510620117
2015-08-10,44.19126510620117
2015-08-11,44.66606903076172
2015-08-12,45.1748046875
2015-08-13,45.39186477661133
2015-08-14,45.66320037841797
2015-08-17,45.69057083129883
2015-08-18,45.5536003112793
2015-08-19,45.8001708984375
2015-08-20,45.76591491699219
2015-08-21,45.24538040161133
2015-08-24,43.40296936035156
2015-08-25,42.60161590576172
2015-08-26,43.47832107543945
2015-08-27,43.765968322753906
2015-08-28,43.560489654541016
2015-08-31,43.08791732788086
2015-09-01,42.176971435546875
2015-09-02,42.224918365478516
2015-09-03,42.38243865966797
2015-09-04,41.683834075927734
2015-09-08,42.697509765625
2015-09-09,41.98519515991211
2015-09-10,42.17011642456055
2015-09-11,42.73175048828125
2015-09-14,42.902976989746094
2015-09-15,42.916683197021484
2015-09-16,43.5262451171875
2015-09-17,44.18376159667969
2015-09-18,44.55363082885742
2015-09-21,44.53992462158203
2015-09-22,44.51252746582031
2015-09-23,44.88237380981445
2015-09-24,45.1700439453125
2015-09-25,45.38238525390625
2015-09-28,45.080997467041016
2015-09-29,45.135799407958984
2015-09-30,45.78644943237305
2015-10-01,44.950870513916016
2015-10-02,45.64263153076172
2015-10-05,45.94399642944336
2015-10-06,44.96457290649414
2015-10-07,44.80018615722656
2015-10-08,45.38920211791992
2015-10-09,44.813899993896484
2015-10-12,45.0467643737793
2015-10-13,44.88924026489258
2015-10-14,44.848148345947266
2015-10-15,45.52620315551758
2015-10-16,45.90291213989258
2015-10-19,45.841251373291016
2015-10-20,45.9987907409668
2015-10-21,45.868656158447266
2015-10-22,46.42343521118164
2015-10-23,45.9166145324707
2015-10-26,45.9166145324707
2015-10-27,46.0604362487793
2015-10-28,45.48511505126953
2015-10-29,44.75225067138672
2015-10-30,45.0330696105957
2015-11-02,44.92346954345703
2015-11-03,44.957725524902344
2015-11-04,45.14949035644531
2015-11-05,44.75908660888672
2015-11-06,42.43038558959961
2015-11-09,42.41669464111328
2015-11-10,42.92352294921875
2015-11-11,43.094764709472656
2015-11-12,42.834495544433594
2015-11-13,42.40298080444336
2015-11-16,43.41357421875
2015-11-17,43.233612060546875
2015-11-18,43.468955993652344
2015-11-19,43.73889923095703
2015-11-20,43.82197570800781
2015-11-23,43.4827880859375
2015-11-24,43.157474517822266
2015-11-25,42.935977935791016
2015-11-27,43.0605583190918
2015-11-30,43.01903533935547
2015-12-01,43.32359313964844
2015-12-02,42.54835510253906
2015-12-03,41.87693405151367
2015-12-04,43.01903533935547
2015-12-07,43.455101013183594
2015-12-08,43.932708740234375
2015-12-09,43.62123489379883
2015-12-10,42.32685089111328
2015-12-11,42.09152603149414
2015-12-14,42.94289779663086
2015-12-15,43.37896728515625
2015-12-16,44.45184326171875
