Date,JCI
2015-01-02,31.562580108642578
2015-01-05,31.084911346435547
2015-01-06,30.7447509765625
2015-01-07,31.23688316345215
2015-01-08,31.837615966796875
2015-01-09,31.642200469970703
2015-01-12,31.31651496887207
2015-01-13,31.38165855407715
2015-01-14,31.01978302001953
2015-01-15,30.86778450012207
2015-01-16,30.75922393798828
2015-01-20,30.491437911987305
2015-01-21,30.622282028198242
2015-01-22,30.949357986450195
2015-01-23,30.811254501342773
2015-01-26,30.673160552978516
2015-01-27,30.237043380737305
2015-01-28,29.968114852905273
2015-01-29,30.31700325012207
2015-01-30,29.662830352783203
2015-02-02,30.120746612548828
2015-02-03,30.418750762939453
2015-02-04,30.098939895629883
2015-02-05,30.556861877441406
2015-02-06,30.215232849121094
2015-02-09,30.353347778320312
2015-02-10,30.498708724975586
2015-02-11,30.48417854309082
2015-02-12,31.19649314880371
2015-02-13,31.392744064331055
2015-02-17,31.341861724853516
2015-02-18,31.087453842163086
2015-02-19,31.065656661987305
2015-02-20,31.036584854125977
2015-02-23,30.88393211364746
2015-02-24,30.97116470336914
2015-02-25,31.18195915222168
2015-02-26,31.02932357788086
2015-02-27,30.687692642211914
2015-03-02,31.44362449645996
2015-03-03,31.341861724853516
2015-03-04,31.109268188476562
2015-03-05,31.01477813720703
2015-03-06,30.6004695892334
2015-03-09,30.905752182006836
2015-03-10,30.2661190032959
2015-03-11,30.207971572875977
2015-03-12,30.803983688354492
2015-03-13,30.585933685302734
2015-03-16,30.760377883911133
2015-03-17,30.73130226135254
2015-03-18,31.19649314880371
2015-03-19,31.007524490356445
2015-03-20,31.35639190673828
2015-03-23,31.588993072509766
2015-03-24,31.487220764160156
2015-03-25,31.34912872314453
2015-03-26,31.02932357788086
2015-03-27,31.10200309753418
2015-03-30,31.588993072509766
2015-03-31,31.29825210571289
2015-04-01,31.31278419494629
2015-04-02,31.494497299194336
2015-04-06,31.392744064331055
2015-04-07,31.109268188476562
2015-04-08,31.26190757751465
2015-04-09,31.588993072509766
2015-04-10,31.58172035217285
2015-04-13,31.36366081237793
2015-04-14,31.41454315185547
2015-04-15,31.52358055114746
2015-04-16,31.479969024658203
2015-04-17,30.84033966064453
2015-04-20,31.065656661987305
2015-04-21,30.942087173461914
2015-04-22,31.113731384277344
2015-04-23,31.10641860961914
2015-04-24,29.243976593017578
2015-04-27,29.22206687927246
2015-04-28,29.192848205566406
2015-04-29,29.22206687927246
2015-04-30,28.761932373046875
2015-05-01,28.944520950317383
2015-05-04,29.119821548461914
2015-05-05,28.849586486816406
2015-05-06,28.915313720703125
2015-05-07,28.908016204833984
2015-05-08,29.04677391052246
2015-05-11,28.85688018798828
2015-05-12,28.52091407775879
2015-05-13,28.688901901245117
2015-05-14,28.92992401123047
2015-05-15,28.827667236328125
2015-05-18,29.032163619995117
2015-05-19,29.353544235229492
2015-05-20,29.82097625732422
2015-05-21,29.86479377746582
2015-05-22,29.89400863647461
2015-05-26,29.521516799926758
2015-05-27,29.777145385742188
2015-05-28,29.76255226135254
2015-05-29,29.477703094482422
2015-06-01,29.411970138549805
2015-06-02,29.477703094482422
2015-06-03,29.61646270751953
2015-06-04,29.302410125732422
2015-06-05,29.37545394897461
2015-06-08,29.273202896118164
2015-06-09,29.382747650146484
2015-06-10,29.558040618896484
2015-06-11,29.65298843383789
2015-06-12,29.419267654418945
2015-06-15,28.951839447021484
2015-06-16,29.156341552734375
2015-06-17,29.411970138549805
2015-06-18,29.543432235717773
2015-06-19,29.3170166015625
2015-06-22,29.214763641357422
2015-06-23,29.09060287475586
2015-06-24,28.995655059814453
2015-06-25,28.637771606445312
2015-06-26,28.769241333007812
2015-06-29,27.99506378173828
2015-06-30,28.1046199798584
2015-07-01,28.367534637451172
2015-07-02,28.05348014831543
2015-07-06,27.907411575317383
2015-07-07,28.257984161376953
2015-07-08,27.586048126220703
2015-07-09,27.73212242126465
2015-07-10,27.54952621459961
2015-07-13,27.848976135253906
2015-07-14,27.83437156677246
2015-07-15,27.878198623657227
2015-07-16,28.155736923217773
2015-07-17,28.046171188354492
2015-07-20,27.98044204711914
2015-07-21,27.81246566772461
2015-07-22,27.30945587158203
2015-07-23,27.221332550048828
2015-07-24,26.75870132446289
2015-07-27,26.6485595703125
2015-07-28,26.75870132446289
2015-07-29,27.01572036743164
2015-07-30,27.118528366088867
2015-07-31,27.89690399169922
2015-08-03,28.036428451538086
2015-08-04,28.102519989013672
2015-08-05,28.109853744506836
2015-08-06,28.146583557128906
2015-08-07,27.88956642150879
2015-08-10,28.293445587158203
2015-08-11,27.78675079345703
2015-08-12,27.830820083618164
2015-08-13,27.515060424804688
2015-08-14,27.61787223815918
2015-08-17,27.882221221923828
2015-08-18,27.955650329589844
2015-08-19,27.470996856689453
2015-08-20,26.986351013183594
2015-08-21,26.38420867919922
2015-08-24,25.414899826049805
2015-08-25,25.5177059173584
2015-08-26,26.083133697509766
2015-08-27,26.74402618408203
2015-08-28,26.71464729309082
2015-08-31,26.6485595703125
2015-09-01,26.017040252685547
2015-09-02,26.43560791015625
2015-09-03,26.56044578552246
2015-09-04,26.002347946166992
2015-09-08,26.71464729309082
2015-09-09,26.332794189453125
2015-09-10,26.237340927124023
2015-09-11,26.40622901916504
2015-09-14,26.464982986450195
2015-09-15,26.890893936157227
2015-09-16,27.089153289794922
2015-09-17,26.751358032226562
2015-09-18,26.083133697509766
2015-09-21,26.075794219970703
2015-09-22,25.63519859313965
2015-09-23,25.4222469329834
2015-09-24,25.128530502319336
2015-09-25,25.312101364135742
2015-09-28,24.63651466369629
2015-09-29,24.519018173217773
2015-09-30,24.5704288482666
2015-10-01,24.871498107910156
2015-10-02,25.253345489501953
2015-10-05,25.605819702148438
2015-10-06,25.82612419128418
2015-10-07,26.127193450927734
2015-10-08,26.604503631591797
2015-10-09,26.69996452331543
2015-10-12,26.494348526000977
2015-10-13,26.244686126708984
2015-10-14,26.47966957092285
2015-10-15,26.773393630981445
2015-10-16,26.780744552612305
2015-10-19,26.545751571655273
2015-10-20,26.89822769165039
2015-10-21,26.628694534301758
2015-10-22,27.433609008789062
2015-10-23,27.285913467407227
2015-10-26,27.02007293701172
2015-10-27,26.57699966430664
2015-10-28,26.74684715270996
2015-10-29,26.938846588134766
2015-10-30,26.909303665161133
2015-11-02,27.367145538330078
2015-11-03,27.38930892944336
2015-11-04,27.322843551635742
2015-11-05,27.263765335083008
2015-11-06,27.337617874145508
