date,AVGO
2015-01-02,7.6500555365
2015-01-05,7.5277647097
2015-01-06,7.3565575521
2015-01-07,7.5552801457
2015-01-08,7.9328530736
2015-01-09,8.0173101759
2015-01-12,7.8847010605
2015-01-13,7.8403706358
2015-01-14,7.9022803669
2015-01-15,7.7440666097
2015-01-16,7.9351460266
2015-01-20,8.0153993817
2015-01-21,8.0543795828
2015-01-22,8.0406218647
2015-01-23,8.1766704096
2015-01-26,8.1575624679
2015-01-27,8.0092848404
2015-01-28,8.0253355114
2015-01-29,8.1422761146
2015-01-30,7.8633001658
2015-02-02,7.8281415531
2015-02-03,7.8877583312
2015-02-04,8.010049158
2015-02-05,8.1170536315
2015-02-06,8.005463252
2015-02-09,7.8143838351
2015-02-10,8.1812563156
2015-02-11,8.2500449057
2015-02-12,8.3845648152
2015-02-13,8.4189591103
2015-02-17,8.4739899824
2015-02-18,8.4074943453
2015-02-19,8.4762829354
2015-02-20,8.5649437848
2015-02-23,8.6253248806
2015-02-24,8.6505473636
2015-02-25,8.6123314802
2015-02-26,9.8788058557
2015-02-27,9.7542220758
2015-03-02,9.8612265493
2015-03-03,9.8000811359
2015-03-04,9.8902706207
2015-03-05,9.9796957878
2015-03-06,9.7748586529
2015-03-09,9.7160061925
2015-03-10,9.5631426589
2015-03-11,9.5279840462
2015-03-12,9.6395744257
2015-03-13,9.5539708469
2015-03-16,9.9258113923
2015-03-17,9.8673410907
2015-03-18,9.9988037295
2015-03-19,10.1214508161
2015-03-20,10.2172688524
2015-03-23,10.3054214459
2015-03-24,10.2042375995
2015-03-25,9.5381106107
2015-03-26,9.5595738509
2015-03-27,9.8278643527
2015-03-30,10.0072357167
2015-03-31,9.7335794049
2015-04-01,9.6300959256
2015-04-02,9.5833367239
2015-04-06,9.6450435393
2015-04-07,9.6316290142
2015-04-08,9.7190150634
2015-04-09,9.7519764679
2015-04-10,9.7213146962
2015-04-13,9.6082494133
2015-04-14,9.5036161176
2015-04-15,9.6507926215
2015-04-16,9.6070995969
2015-04-17,9.3403421837
2015-04-20,9.4304111379
2015-04-21,9.4361602201
2015-04-22,9.8037182075
2015-04-23,9.5105150163
2015-04-24,9.1602042754
2015-04-27,9.2100296543
2015-04-28,9.0030626957
2015-04-29,8.9708678355
2015-04-30,8.9593696712
2015-05-01,9.4131638913
2015-05-04,9.2874506276
2015-05-05,8.9520875004
2015-05-06,8.9513209561
2015-05-07,9.388634474
2015-05-08,9.4537907387
2015-05-11,9.4139304356
2015-05-12,9.4246620557
2015-05-13,9.4384598529
2015-05-14,9.7305132277
2015-05-15,9.8018018468
2015-05-18,9.978873578
2015-05-19,9.9244489333
2015-05-20,9.8968533388
2015-05-21,9.9336474648
2015-05-22,10.1674434735
2015-05-26,10.0647265385
2015-05-27,10.8458351709
2015-05-28,10.9140576128
2015-05-29,11.3502213142
2015-06-01,11.2390723921
2015-06-02,11.0505024965
2015-06-03,10.9661826245
2015-06-04,10.8236053864
2015-06-05,11.0236734464
2015-06-08,10.6266035037
2015-06-09,10.7477175017
2015-06-10,10.9508517387
2015-06-11,10.8841623854
2015-06-12,10.7676476532
2015-06-15,10.9707818903
2015-06-16,10.8841623854
2015-06-17,10.8147901271
2015-06-18,10.9927496761
2015-06-19,10.9842937148
2015-06-22,11.0138895793
2015-06-23,10.8882032456
2015-06-24,10.7598263787
2015-06-25,10.702940821
2015-06-26,10.3893015295
2015-06-29,10.1479222709
2015-06-30,10.2186448562
2015-07-01,10.4162068609
2015-07-02,10.5807137441
2015-07-06,10.3162727729
2015-07-07,10.2117263424
2015-07-08,9.8435076645
2015-07-09,9.5844477595
2015-07-10,9.9811092164
2015-07-13,9.9303734486
2015-07-14,10.1702152597
2015-07-15,10.125629282
2015-07-16,10.3547089606
2015-07-17,10.2747616902
2015-07-20,10.3500966181
2015-07-21,10.3401032093
2015-07-22,9.9618911225
2015-07-23,10.1448473759
2015-07-24,9.8765627859
2015-07-27,9.5821415883
2015-07-28,9.8719504433
2015-07-29,9.8842500234
2015-07-30,9.8127587143
2015-07-31,9.6198090522
2015-08-03,9.6705448199
2015-08-04,9.4914321853
2015-08-05,9.5898288258
2015-08-06,9.4760577103
2015-08-07,9.4207096
2015-08-10,9.7843159354
2015-08-11,9.5483177431
2015-08-12,9.6651637536
2015-08-13,9.5467802956
2015-08-14,9.3753548985
2015-08-17,9.6490205548
2015-08-18,9.3968791636
2015-08-19,9.3361499871
2015-08-20,8.8426293373
2015-08-21,8.5674262335
2015-08-24,8.4513489468
2015-08-25,8.34142145
2015-08-26,8.9325700165
2015-08-27,9.7059061126
2015-08-28,9.8104525431
2015-08-31,9.6836131237
2015-09-01,9.1762554464
2015-09-02,9.5352494393
2015-09-03,9.5144938979
2015-09-04,9.3130882745
2015-09-08,9.9288360011
2015-09-09,9.7758599742
2015-09-10,9.895012156
2015-09-11,10.0764309618
2015-09-14,10.0848869231
2015-09-15,10.3301098005
2015-09-16,10.1402350333
2015-09-17,10.0723712655
2015-09-18,9.8394751533
2015-09-21,9.8140262403
2015-09-22,9.6166043704
2015-09-23,9.6813834214
2015-09-24,9.5703336196
2015-09-25,9.773924923
2015-09-28,9.3197003862
2015-09-29,9.228701243
2015-09-30,9.6327991331
2015-10-01,9.4191825004
2015-10-02,9.5109528227
2015-10-05,9.3482340158
2015-10-06,9.031279373
2015-10-07,9.1492697875
2015-10-08,8.9988898474
2015-10-09,9.0158557894
2015-10-12,9.0752365862
2015-10-13,8.7467142557
2015-10-14,9.0582706443
2015-10-15,9.3983606625
2015-10-16,9.3366663281
2015-10-19,9.1739475212
2015-10-20,9.2456671849
2015-10-21,9.2927091149
2015-10-22,9.6659598379
2015-10-23,9.99293981
2015-10-26,9.5325458398
2015-10-27,9.3690558537
2015-10-28,9.8009161943
2015-10-29,9.2610907685
2015-10-30,9.4955292392
2015-11-02,9.5471982442
2015-11-03,9.4191825004
2015-11-04,9.5711047988
2015-11-05,9.335895149
2015-11-06,9.9998804226
2015-11-09,9.7554166227
2015-11-10,9.2433536474
2015-11-11,9.25029426
2015-11-12,9.2425824682
2015-11-13,9.0644400777
2015-11-16,9.3675134953
2015-11-17,9.4130130669
2015-11-18,9.7106882303
2015-11-19,9.6559345085
2015-11-20,9.7477048309
2015-11-23,9.5942401741
