Date,SNA
2015-01-02,105.23931884765625
2015-01-05,103.3475341796875
2015-01-06,103.03089141845703
2015-01-07,103.67955017089844
2015-01-08,106.04239654541016
2015-01-09,104.8069076538086
2015-01-12,103.47103881835938
2015-01-13,103.37068939208984
2015-01-14,104.08106994628906
2015-01-15,102.86875915527344
2015-01-16,102.35910034179688
2015-01-20,102.50584411621094
2015-01-21,103.31661987304688
2015-01-22,104.15060424804688
2015-01-23,103.73358154296875
2015-01-26,104.16597747802734
2015-01-27,102.81470489501953
2015-01-28,101.94213104248047
2015-01-29,104.42855834960938
2015-01-30,102.4749526977539
2015-02-02,101.54059600830078
2015-02-03,102.84558868408203
2015-02-04,101.50200653076172
2015-02-05,107.8492660522461
2015-02-06,108.86853790283203
2015-02-09,108.79903411865234
2015-02-10,109.80284881591797
2015-02-11,110.24300384521484
2015-02-12,111.7255630493164
2015-02-13,112.2737808227539
2015-02-17,112.29696655273438
2015-02-18,112.26608276367188
2015-02-19,112.38191223144531
2015-02-20,113.1956787109375
2015-02-23,113.00192260742188
2015-02-24,113.76142883300781
2015-02-25,114.76114654541016
2015-02-26,114.08692169189453
2015-02-27,114.1023941040039
2015-03-02,114.92388153076172
2015-03-03,114.63713836669922
2015-03-04,114.27293395996094
2015-03-05,114.18765258789062
2015-03-06,112.6376724243164
2015-03-09,113.40494537353516
2015-03-10,111.17290496826172
2015-03-11,110.20417785644531
2015-03-12,111.87043762207031
2015-03-13,110.4366683959961
2015-03-16,111.77738952636719
2015-03-17,111.61467742919922
2015-03-18,113.12593841552734
2015-03-19,111.89366912841797
2015-03-20,111.35893249511719
2015-03-23,110.98690795898438
2015-03-24,110.64594268798828
2015-03-25,109.71593475341797
2015-03-26,110.20417785644531
2015-03-27,111.64567565917969
2015-03-30,113.43588256835938
2015-03-31,113.97066497802734
2015-04-01,114.1023941040039
2015-04-02,114.54415893554688
2015-04-06,116.14838409423828
2015-04-07,114.97039031982422
2015-04-08,115.06340026855469
2015-04-09,114.41239166259766
2015-04-10,114.9781723022461
2015-04-13,114.1256103515625
2015-04-14,113.91641235351562
2015-04-15,114.7688980102539
2015-04-16,114.79988098144531
2015-04-17,113.27317810058594
2015-04-20,115.17186737060547
2015-04-21,115.04785919189453
2015-04-22,115.63693237304688
2015-04-23,118.35710906982422
2015-04-24,119.2948226928711
2015-04-27,118.62062072753906
2015-04-28,117.47358703613281
2015-04-29,116.58238220214844
2015-04-30,115.90037536621094
2015-05-01,117.59762573242188
2015-05-04,118.34933471679688
2015-05-05,117.3109130859375
2015-05-06,118.5353775024414
2015-05-07,119.23289489746094
2015-05-08,120.49610137939453
2015-05-11,120.43412780761719
2015-05-12,120.51156616210938
2015-05-13,121.2090835571289
2015-05-14,122.13133239746094
2015-05-15,121.82910919189453
2015-05-18,121.48693084716797
2015-05-19,122.17124938964844
2015-05-20,121.75914001464844
2015-05-21,122.66111755371094
2015-05-22,122.38897705078125
2015-05-26,121.16809844970703
2015-05-27,122.48229217529297
2015-05-28,121.93797302246094
2015-05-29,120.8415298461914
2015-06-01,120.59269714355469
