Date,WAT
2015-01-02,113.87999725341797
2015-01-05,113.0199966430664
2015-01-06,112.52999877929688
2015-01-07,115.93000030517578
2015-01-08,118.08999633789062
2015-01-09,116.5199966430664
2015-01-12,116.45999908447266
2015-01-13,116.0199966430664
2015-01-14,114.4000015258789
2015-01-15,112.79000091552734
2015-01-16,113.45999908447266
2015-01-20,113.95999908447266
2015-01-21,114.2699966430664
2015-01-22,115.91000366210938
2015-01-23,114.44999694824219
2015-01-26,116.11000061035156
2015-01-27,119.3499984741211
2015-01-28,118.94999694824219
2015-01-29,120.62000274658203
2015-01-30,119.05000305175781
2015-02-02,119.05999755859375
2015-02-03,119.4800033569336
2015-02-04,119.12999725341797
2015-02-05,120.0999984741211
2015-02-06,119.05999755859375
2015-02-09,117.73999786376953
2015-02-10,118.68000030517578
2015-02-11,118.75
2015-02-12,119.1500015258789
2015-02-13,119.86000061035156
2015-02-17,119.98999786376953
2015-02-18,120.01000213623047
2015-02-19,119.48999786376953
2015-02-20,121.04000091552734
2015-02-23,121.62000274658203
2015-02-24,120.55999755859375
2015-02-25,120.7300033569336
2015-02-26,120.93000030517578
2015-02-27,120.37999725341797
2015-03-02,121.36000061035156
2015-03-03,119.52999877929688
2015-03-04,120.23999786376953
2015-03-05,121.88999938964844
2015-03-06,118.94000244140625
2015-03-09,119.16999816894531
2015-03-10,116.87000274658203
2015-03-11,119.76000213623047
2015-03-12,121.9800033569336
2015-03-13,120.94999694824219
2015-03-16,124.5999984741211
2015-03-17,123.45999908447266
2015-03-18,124.06999969482422
2015-03-19,123.61000061035156
2015-03-20,124.81999969482422
2015-03-23,123.83999633789062
2015-03-24,123.13999938964844
2015-03-25,121.54000091552734
2015-03-26,121.8499984741211
2015-03-27,124.11000061035156
2015-03-30,124.94000244140625
2015-03-31,124.31999969482422
2015-04-01,123.47000122070312
2015-04-02,124.19999694824219
2015-04-06,125.62999725341797
2015-04-07,124.94000244140625
2015-04-08,124.91999816894531
2015-04-09,125.43000030517578
2015-04-10,125.7699966430664
2015-04-13,124.75
2015-04-14,124.55999755859375
2015-04-15,124.58000183105469
2015-04-16,124.94000244140625
2015-04-17,124.41000366210938
2015-04-20,124.0199966430664
2015-04-21,124.16000366210938
2015-04-22,124.08000183105469
2015-04-23,124.3499984741211
2015-04-24,123.54000091552734
2015-04-27,122.0
2015-04-28,125.58999633789062
2015-04-29,125.44999694824219
2015-04-30,125.19000244140625
2015-05-01,126.58999633789062
2015-05-04,127.0199966430664
2015-05-05,127.69000244140625
2015-05-06,127.38999938964844
2015-05-07,128.05999755859375
2015-05-08,130.39999389648438
2015-05-11,131.1999969482422
2015-05-12,130.82000732421875
2015-05-13,129.7899932861328
2015-05-14,130.00999450683594
2015-05-15,130.57000732421875
2015-05-18,131.49000549316406
2015-05-19,133.19000244140625
2015-05-20,134.75999450683594
2015-05-21,133.83999633789062
2015-05-22,133.2899932861328
2015-05-26,132.69000244140625
2015-05-27,134.72000122070312
2015-05-28,134.57000732421875
2015-05-29,133.6199951171875
2015-06-01,133.82000732421875
2015-06-02,134.08999633789062
2015-06-03,134.6699981689453
2015-06-04,133.86000061035156
2015-06-05,133.39999389648438
2015-06-08,133.22000122070312
2015-06-09,133.42999267578125
2015-06-10,134.82000732421875
2015-06-11,134.63999938964844
2015-06-12,133.94000244140625
2015-06-15,132.99000549316406
2015-06-16,134.22999572753906
2015-06-17,134.3699951171875
2015-06-18,136.5
2015-06-19,136.39999389648438
2015-06-22,136.36000061035156
2015-06-23,135.22999572753906
2015-06-24,134.22000122070312
2015-06-25,130.22000122070312
2015-06-26,130.77999877929688
2015-06-29,127.83000183105469
2015-06-30,128.3800048828125
2015-07-01,129.02999877929688
2015-07-02,129.3699951171875
2015-07-06,129.61000061035156
2015-07-07,129.8000030517578
2015-07-08,125.45999908447266
2015-07-09,125.41000366210938
2015-07-10,128.52999877929688
2015-07-13,129.7100067138672
2015-07-14,131.6999969482422
2015-07-15,130.41000366210938
2015-07-16,130.7899932861328
2015-07-17,130.8800048828125
2015-07-20,131.1199951171875
2015-07-21,130.6300048828125
2015-07-22,132.41000366210938
2015-07-23,131.57000732421875
2015-07-24,130.72999572753906
2015-07-27,129.8699951171875
2015-07-28,130.5800018310547
2015-07-29,133.3800048828125
2015-07-30,132.58999633789062
2015-07-31,133.49000549316406
2015-08-03,133.58999633789062
2015-08-04,134.5500030517578
2015-08-05,135.13999938964844
2015-08-06,131.5399932861328
2015-08-07,131.94000244140625
2015-08-10,133.89999389648438
2015-08-11,132.60000610351562
2015-08-12,129.6199951171875
2015-08-13,128.6199951171875
2015-08-14,128.82000732421875
2015-08-17,129.24000549316406
2015-08-18,128.9199981689453
2015-08-19,128.75999450683594
2015-08-20,125.81999969482422
2015-08-21,122.76000213623047
2015-08-24,117.7699966430664
2015-08-25,116.83000183105469
2015-08-26,122.66999816894531
2015-08-27,125.70999908447266
2015-08-28,124.80999755859375
2015-08-31,121.37999725341797
2015-09-01,118.36000061035156
2015-09-02,122.22000122070312
2015-09-03,122.66999816894531
2015-09-04,120.01000213623047
2015-09-08,123.55000305175781
2015-09-09,121.68000030517578
2015-09-10,122.9000015258789
2015-09-11,124.58999633789062
2015-09-14,124.16000366210938
2015-09-15,124.68000030517578
2015-09-16,124.5
2015-09-17,124.06999969482422
2015-09-18,122.16000366210938
2015-09-21,121.19000244140625
2015-09-22,119.81999969482422
2015-09-23,119.93000030517578
2015-09-24,118.72000122070312
2015-09-25,117.16000366210938
2015-09-28,115.2300033569336
2015-09-29,117.19999694824219
2015-09-30,118.20999908447266
2015-10-01,117.36000061035156
2015-10-02,119.30999755859375
2015-10-05,119.73999786376953
2015-10-06,117.37999725341797
2015-10-07,119.55999755859375
2015-10-08,119.76000213623047
2015-10-09,120.91999816894531
2015-10-12,120.58999633789062
2015-10-13,119.05999755859375
2015-10-14,118.01000213623047
2015-10-15,120.5999984741211
2015-10-16,120.98999786376953
2015-10-19,121.58999633789062
2015-10-20,122.01000213623047
2015-10-21,121.33999633789062
