date,AMGN
2015-01-02,115.6861141368
2015-01-05,114.3113964129
2015-01-06,110.6285999844
2015-01-07,114.492280324
2015-01-08,114.0798650068
2015-01-09,112.6762058573
2015-01-12,113.0307383229
2015-01-13,112.2493198272
2015-01-14,112.2637905401
2015-01-15,109.9195350532
2015-01-16,114.6297520964
2015-01-20,114.0292175117
2015-01-21,113.87003967
2015-01-22,115.4545827306
2015-01-23,115.6282312852
2015-01-26,115.5703484337
2015-01-27,114.9625784926
2015-01-28,111.8875520052
2015-01-29,113.1392686695
2015-01-30,110.1655371722
2015-02-02,110.3391857268
2015-02-03,110.1438311029
2015-02-04,109.5794733005
2015-02-05,110.9614263807
2015-02-06,109.5432965183
2015-02-09,108.5375819729
2015-02-10,110.9614263807
2015-02-11,111.3541587019
2015-02-12,111.4050684473
2015-02-13,111.6232530701
2015-02-17,112.1759874481
2015-02-18,113.2960018456
2015-02-19,113.4923680062
2015-02-20,114.6632921491
2015-02-23,115.2160265271
2015-02-24,114.4523803469
2015-02-25,114.9687506211
2015-02-26,115.616031669
2015-02-27,114.7069290736
2015-03-02,116.0960378394
2015-03-03,115.3178460177
2015-03-04,115.7760337258
2015-03-05,116.0742193771
2015-03-06,112.641447977
2015-03-09,112.7359946469
2015-03-10,111.6959812778
2015-03-11,111.0559730506
2015-03-12,112.1832602689
2015-03-13,112.1905330897
2015-03-16,118.5687968988
2015-03-17,118.5978881818
2015-03-18,121.1215569866
2015-03-19,122.9906719227
2015-03-20,123.7106811782
2015-03-23,121.1215569866
2015-03-24,120.7360974862
2015-03-25,116.8160470949
2015-03-26,116.7651373496
2015-03-27,118.2487927852
2015-03-30,119.4960815461
2015-03-31,116.2560398962
2015-04-01,114.2560141863
2015-04-02,113.3687300533
2015-04-06,112.9323608075
2015-04-07,114.3869249601
2015-04-08,116.6051352928
2015-04-09,117.4487825013
2015-04-10,118.8233456255
2015-04-13,118.1760645776
2015-04-14,118.2342471437
2015-04-15,120.343365165
2015-04-16,121.3615600718
2015-04-17,118.9688020408
2015-04-20,120.7070062031
2015-04-21,122.5179385731
2015-04-22,122.9833991019
2015-04-23,123.0343088473
2015-04-24,122.1179334311
2015-04-27,118.0960635492
2015-04-28,118.1760645776
2015-04-29,117.0778686424
2015-04-30,114.8451126681
2015-05-01,116.6269537551
2015-05-04,117.8996973886
2015-05-05,115.9578542449
2015-05-06,115.6014860275
2015-05-07,114.8378398474
2015-05-08,118.0669722661
2015-05-11,117.1287783877
2015-05-12,115.6596685936
2015-05-13,115.7693055393
2015-05-14,118.3932831066
2015-05-15,118.6710300357
2015-05-18,119.4604160449
2015-05-19,119.5481256014
2015-05-20,119.8551090494
2015-05-21,119.7527812334
2015-05-22,119.5627438608
2015-05-26,116.2224715816
2015-05-27,117.2676771307
2015-05-28,115.0091560491
2015-05-29,114.2124609102
2015-06-01,114.7752638982
2015-06-02,114.3440252451
2015-06-03,114.8483551953
2015-06-04,115.5500316479
2015-06-05,114.9360647519
2015-06-08,114.3659526342
2015-06-09,113.145327972
2015-06-10,113.6935127005
2015-06-11,115.4550129616
2015-06-12,114.1101330942
2015-06-15,114.0955148348
2015-06-16,114.1905335211
2015-06-17,113.7666039977
2015-06-18,117.0337849798
2015-06-19,117.4723327627
2015-06-22,118.5687022198
2015-06-23,118.1813183449
2015-06-24,116.8656749964
2015-06-25,116.0397433387
2015-06-26,115.4988677399
2015-06-29,110.8064064635
2015-06-30,112.2097593686
2015-07-01,113.2842014366
2015-07-02,112.019721996
2015-07-06,112.9260540806
2015-07-07,113.5765666251
2015-07-08,111.3253546732
2015-07-09,110.5944417018
2015-07-10,112.633688892
2015-07-13,113.8470044245
2015-07-14,116.4490546027
2015-07-15,117.2749862604
2015-07-16,119.1680508563
2015-07-17,119.3361608397
2015-07-20,120.1182377191
2015-07-21,119.6504534174
2015-07-22,120.0524555517
2015-07-23,119.942818606
2015-07-24,115.9154881336
2015-07-27,120.9953332848
2015-07-28,126.2579066788
2015-07-29,125.3296472052
2015-07-30,125.4904480589
2015-07-31,129.0719216187
2015-08-03,128.3410086473
2015-08-04,127.7635873999
2015-08-05,128.962284673
2015-08-06,124.0066947269
2015-08-07,125.9436141011
2015-08-10,124.69375292
2015-08-11,123.2026904584
2015-08-12,124.7083711795
2015-08-13,123.7947299652
2015-08-14,123.1631991326
2015-08-17,124.68327916
2015-08-18,123.1631991326
2015-08-19,122.3187102284
2015-08-20,118.3385973063
2015-08-21,113.9619417683
2015-08-24,108.4176885281
2015-08-25,106.6185599932
2015-08-26,113.0733925735
2015-08-27,114.3511410024
2015-08-28,114.4759784926
2015-08-31,111.457848583
2015-09-01,108.2855076561
2015-09-02,111.8323610535
2015-09-03,109.5852862303
2015-09-04,107.962398858
2015-09-08,113.4993087165
2015-09-09,110.9438118587
2015-09-10,112.4565485044
2015-09-11,112.5079521768
2015-09-14,110.8850648045
2015-09-15,111.7222103269
2015-09-16,111.0172456765
2015-09-17,113.0219889011
2015-09-18,110.5839861518
2015-09-21,108.0138025305
2015-09-22,107.1619702445
2015-09-23,107.0077592273
2015-09-24,105.384871855
2015-09-25,101.7278677309
2015-09-28,97.1088805944
2015-09-29,98.2691349149
2015-09-30,101.4708493688
2015-10-01,102.9762426327
2015-10-02,104.6211601503
2015-10-05,105.5978299264
2015-10-06,103.7032374285
2015-10-07,108.7187671809
2015-10-08,110.0772928093
2015-10-09,109.8496479742
2015-10-12,112.3757713049
2015-10-13,108.3736282374
2015-10-14,108.5425260183
2015-10-15,112.0159455979
2015-10-16,112.0673492703
2015-10-19,113.4332182805
2015-10-20,110.4811788069
2015-10-21,110.216817063
2015-10-22,111.8470478171
2015-10-23,114.3731711477
2015-10-26,116.4513481901
2015-10-27,118.9480979936
2015-10-28,119.4547913361
2015-10-29,117.9200245451
2015-10-30,116.1576129191
2015-11-02,119.1904295922
2015-11-03,119.3005803188
2015-11-04,118.8746641759
2015-11-05,118.3900009787
2015-11-06,117.8319039638
2015-11-09,117.2224032765
2015-11-10,116.2971371728
2015-11-11,115.1882865248
2015-11-12,111.4505052012
2015-11-13,111.8712681365
2015-11-16,114.0489008716
2015-11-17,116.3372606949
2015-11-18,118.7880202476
2015-11-19,117.7324220065
2015-11-20,118.0424578535
2015-11-23,119.9322001592
2015-11-24,120.1610361416
2015-11-25,121.0247074297
2015-11-27,120.7072897768
2015-11-30,118.9208927535
2015-12-01,119.570491671
2015-12-02,118.4927480123
2015-12-03,114.1596279598
2015-12-04,119.1644923476
2015-12-07,116.8539871066
2015-12-08,117.6290767242
2015-12-09,116.5513330654
2015-12-10,117.8652945124
2015-12-11,114.5287182539
2015-12-14,116.7137327948
2015-12-15,120.0392363445
2015-12-16,121.4897612003
2015-12-17,119.1644923476
2015-12-18,117.2230774007
2015-12-21,117.577404083
2015-12-22,119.8067094593
2015-12-23,120.1167453063
2015-12-24,120.7294351945
2015-12-28,119.385946524
2015-12-29,121.3864159179
2015-12-30,120.5375082415
2015-12-31,119.8288548769
