date,SWN
2015-01-02,27.17
2015-01-05,26.01
2015-01-06,24.71
2015-01-07,24.24
2015-01-08,25.07
2015-01-09,24.68
2015-01-12,24.07
2015-01-13,24.13
2015-01-14,23.02
2015-01-15,23.78
2015-01-16,25.01
2015-01-20,24.5
2015-01-21,25.53
2015-01-22,25.52
2015-01-23,25.35
2015-01-26,25.8
2015-01-27,25.56
2015-01-28,24.7
2015-01-29,24.28
2015-01-30,24.79
2015-02-02,25.96
2015-02-03,26.58
2015-02-04,25.92
2015-02-05,26.17
2015-02-06,26.48
2015-02-09,25.98
2015-02-10,26.89
2015-02-11,27.03
2015-02-12,26.85
2015-02-13,27.36
2015-02-17,27.38
2015-02-18,27.23
2015-02-19,27.52
2015-02-20,27.55
2015-02-23,27.24
2015-02-24,27.74
2015-02-25,27.97
2015-02-26,26.35
2015-02-27,25.08
2015-03-02,24.97
2015-03-03,24.89
2015-03-04,24.9
2015-03-05,24.54
2015-03-06,23.65
2015-03-09,22.29
2015-03-10,21.63
2015-03-11,22.3
2015-03-12,22.21
2015-03-13,22.35
2015-03-16,22.54
2015-03-17,22.57
2015-03-18,23.66
2015-03-19,22.27
2015-03-20,22.6
2015-03-23,22.79
2015-03-24,22.88
2015-03-25,23.32
2015-03-26,22.53
2015-03-27,22.32
2015-03-30,23.03
2015-03-31,23.19
2015-04-01,22.86
2015-04-02,24.04
2015-04-06,24.39
2015-04-07,24.84
2015-04-08,24.1
2015-04-09,24.51
2015-04-10,24.26
2015-04-13,24.52
2015-04-14,25.34
2015-04-15,26.69
2015-04-16,26.4
2015-04-17,27.16
2015-04-20,26.95
2015-04-21,26.09
2015-04-22,26.42
2015-04-23,26.41
2015-04-24,25.78
2015-04-27,25.94
2015-04-28,26.66
2015-04-29,26.84
2015-04-30,28.03
2015-05-01,28.78
2015-05-04,28.88
2015-05-05,28.15
2015-05-06,28.04
2015-05-07,27.34
2015-05-08,28.94
2015-05-11,28.7
2015-05-12,29.25
2015-05-13,28.17
2015-05-14,28.1
2015-05-15,27.74
2015-05-18,27.51
2015-05-19,26.78
2015-05-20,26.91
2015-05-21,27.33
2015-05-22,27.22
2015-05-26,26.41
2015-05-27,26.66
2015-05-28,25.68
2015-05-29,25.77
2015-06-01,25.47
2015-06-02,25.17
2015-06-03,24.95
2015-06-04,24.54
2015-06-05,24.37
2015-06-08,24.45
2015-06-09,24.56
2015-06-10,24.34
2015-06-11,23.84
2015-06-12,23.01
2015-06-15,23.02
2015-06-16,23.69
2015-06-17,23.41
2015-06-18,23.23
2015-06-19,23.35
2015-06-22,24.03
2015-06-23,24.32
2015-06-24,23.97
2015-06-25,23.37
2015-06-26,23.32
2015-06-29,22.49
2015-06-30,22.73
2015-07-01,22.04
2015-07-02,22.17
2015-07-06,21.71
2015-07-07,22.07
2015-07-08,21.01
2015-07-09,21.33
2015-07-10,20.92
2015-07-13,21.54
2015-07-14,22.13
2015-07-15,21.82
2015-07-16,21.92
2015-07-17,21.06
2015-07-20,19.81
2015-07-21,20.43
2015-07-22,19.94
2015-07-23,19.75
2015-07-24,18.55
2015-07-27,18.33
2015-07-28,19.57
2015-07-29,19.27
2015-07-30,19.06
2015-07-31,18.6
2015-08-03,17.61
2015-08-04,17.18
2015-08-05,16.57
2015-08-06,17.45
2015-08-07,16.9
2015-08-10,18.26
2015-08-11,18.11
2015-08-12,18.49
2015-08-13,17.7
2015-08-14,17.22
2015-08-17,17.52
2015-08-18,17.63
2015-08-19,17.3
2015-08-20,16.59
2015-08-21,16.4
2015-08-24,15.24
2015-08-25,14.78
2015-08-26,15.08
2015-08-27,15.53
2015-08-28,16.0
2015-08-31,16.24
2015-09-01,15.73
2015-09-02,15.67
2015-09-03,15.41
2015-09-04,15.36
2015-09-08,15.47
2015-09-09,14.94
2015-09-10,15.33
2015-09-11,15.41
2015-09-14,15.14
2015-09-15,15.4
2015-09-16,16.12
2015-09-17,15.41
2015-09-18,14.49
2015-09-21,14.39
2015-09-22,14.17
2015-09-23,13.31
2015-09-24,13.27
2015-09-25,12.99
2015-09-28,12.11
2015-09-29,12.17
2015-09-30,12.69
2015-10-01,12.38
2015-10-02,12.81
2015-10-05,13.01
2015-10-06,13.17
2015-10-07,13.48
2015-10-08,13.59
2015-10-09,12.8
2015-10-12,12.03
2015-10-13,12.16
2015-10-14,12.55
2015-10-15,13.26
2015-10-16,13.14
2015-10-19,12.99
2015-10-20,13.09
2015-10-21,12.4
2015-10-22,11.67
2015-10-23,11.18
2015-10-26,10.76
2015-10-27,10.64
2015-10-28,10.76
2015-10-29,10.78
2015-10-30,11.04
2015-11-02,11.3
2015-11-03,11.31
2015-11-04,11.66
2015-11-05,12.28
2015-11-06,11.91
2015-11-09,11.8
2015-11-10,11.43
2015-11-11,10.64
2015-11-12,10.3
2015-11-13,11.02
2015-11-16,11.66
2015-11-17,10.93
2015-11-18,10.54
2015-11-19,9.78
2015-11-20,9.04
2015-11-23,9.02
2015-11-24,9.26
2015-11-25,9.42
2015-11-27,8.74
2015-11-30,9.01
2015-12-01,8.91
2015-12-02,8.85
2015-12-03,8.19
2015-12-04,7.74
2015-12-07,7.12
2015-12-08,6.98
2015-12-09,6.95
2015-12-10,6.86
2015-12-11,5.9
2015-12-14,5.33
2015-12-15,5.37
2015-12-16,5.3
2015-12-17,5.15
2015-12-18,5.54
2015-12-21,5.87
2015-12-22,5.88
2015-12-23,6.71
2015-12-24,6.71
2015-12-28,6.85
2015-12-29,6.76
2015-12-30,6.3
2015-12-31,7.11
