,retorno_diario
1991-07-02,0.0
1991-07-03,0.000683583735844151
1991-07-05,-0.0013958954367569941
1991-07-08,-9.064813562957852e-05
1991-07-09,0.0014295797644236496
1991-07-10,-0.0009940144640365688
1991-07-11,0.0008269457970696226
1991-07-12,0.0010921989791566166
1991-07-15,-0.00020299869547391047
1991-07-16,-0.00011955035293644833
1991-07-17,0.0008535349560080507
1991-07-18,0.00024962501000855286
1991-07-19,0.0010995364287494035
1991-07-22,-0.0005071124267284454
1991-07-23,8.904486597777207e-06
1991-07-24,0.000327837077705051
1991-07-25,-0.0004022534666216604
1991-07-26,0.001007605282614854
1991-07-29,0.00010973020209781859
1991-07-30,-0.0003920613575005838
1991-07-31,0.0006799848753541893
1991-08-01,7.830642435614487e-05
1991-08-02,0.0025567196416292513
1991-08-05,-0.0022266138519260402
1991-08-06,0.0010857599673618212
1991-08-07,-0.002869521376447903
1991-08-08,-0.0008984600311899071
1991-08-09,-0.0005453826729306333
1991-08-12,0.0016953609840089034
1991-08-13,0.003014236861191838
1991-08-14,-0.0022400557676965694
1991-08-15,-0.00016193703747847677
1991-08-16,0.0031036795218489623
1991-08-19,0.001935492021221058
1991-08-20,-0.0017420720326970507
1991-08-21,0.0020454452476555583
1991-08-22,0.0036692976754293836
1991-08-23,-0.0017232898963851495
1991-08-26,-0.0034288572504767465
1991-08-27,0.0016794484357059714
1991-08-28,0.001061481519492319
1991-08-29,-0.00043874387601224865
1991-08-30,0.0007208148519535718
1991-09-03,-0.0014123936523307789
1991-09-04,5.366714900429947e-05
1991-09-05,0.0028783098564834075
1991-09-06,0.0022287535169216942
1991-09-09,0.0021857170374862344
1991-09-10,-0.00041164621992808014
1991-09-11,0.0007355932251734643
1991-09-12,0.0006795644627998199
1991-09-13,0.00011267853096563751
1991-09-16,0.0019736501886068293
1991-09-17,-0.0001127581524690613
1991-09-18,-0.002233272008169773
1991-09-19,0.0026114213101805727
1991-09-20,-0.000710196615884634
1991-09-23,-0.0019769049233313686
1991-09-24,0.004792708290183123
1991-09-25,0.004647131967234491
1991-09-26,-0.001282363067226905
1991-09-27,0.0008855372647587235
1991-09-30,0.0012819294852513762
1991-10-01,0.002866845833385129
1991-10-02,0.0005534269636183253
1991-10-03,-0.0028624879913923596
1991-10-04,0.0020886590357000303
1991-10-07,-0.0026985268572825793
1991-10-08,0.001781534410055441
1991-10-09,0.0021582419594050107
