Date,MNK
2016-01-04,72.61
2016-01-05,73.2
2016-01-06,70.27
2016-01-07,66.85
2016-01-08,65.1
2016-01-11,65.17
2016-01-12,65.97
2016-01-13,61.83
2016-01-14,65.72
2016-01-15,65.8
2016-01-19,64.43
2016-01-20,64.64
2016-01-21,63.66
2016-01-22,64.3
2016-01-25,63.47
2016-01-26,64.31
2016-01-27,62.36
2016-01-28,57.3
2016-01-29,58.09
2016-02-01,62.16
2016-02-02,65.71
2016-02-03,68.32
2016-02-04,68.8
2016-02-05,69.48
2016-02-08,65.14
2016-02-09,63.01
2016-02-10,62.49
2016-02-11,60.52
2016-02-12,62.35
2016-02-16,64.22
2016-02-17,67.33
2016-02-18,66.2
2016-02-19,64.74
2016-02-22,65.27
2016-02-23,65.34
2016-02-24,66.26
2016-02-25,67.32
2016-02-26,69.24
2016-02-29,65.03
2016-03-01,65.65
2016-03-02,66.47
2016-03-03,63.59
2016-03-04,62.15
2016-03-07,64.92
2016-03-08,61.92
2016-03-09,63.43
2016-03-10,63.5
2016-03-11,68.97
2016-03-14,69.61
2016-03-15,59.51
2016-03-16,55.69
2016-03-17,53.42
2016-03-18,54.62
2016-03-21,58.96
2016-03-22,61.05
2016-03-23,60.44
2016-03-24,60.06
2016-03-28,58.98
2016-03-29,61.36
2016-03-30,59.91
2016-03-31,61.28
2016-04-01,64.31
2016-04-04,63.75
2016-04-05,62.5
2016-04-06,65.23
2016-04-07,64.26
2016-04-08,63.29
2016-04-11,61.15
2016-04-12,58.4
2016-04-13,60.13
2016-04-14,58.92
2016-04-15,59.11
2016-04-18,60.37
2016-04-19,61.86
2016-04-20,61.78
2016-04-21,64.7
2016-04-22,66.27
2016-04-25,64.09
2016-04-26,65.37
2016-04-27,65.39
2016-04-28,63.81
2016-04-29,62.52
2016-05-02,60.71
2016-05-03,64.84
2016-05-04,63.08
2016-05-05,60.82
2016-05-06,56.4
2016-05-09,59.85
2016-05-10,59.79
2016-05-11,57.75
2016-05-12,57.42
2016-05-13,58.4
2016-05-16,59.74
2016-05-17,61.99
2016-05-18,60.57
2016-05-19,58.97
2016-05-20,61.03
2016-05-23,59.23
2016-05-24,60.87
2016-05-25,60.61
2016-05-26,61.48
2016-05-27,62.83
2016-05-31,63.36
2016-06-01,65.19
2016-06-02,65.9
2016-06-03,65.11
2016-06-06,65.02
2016-06-07,64.41
2016-06-08,63.07
2016-06-09,62.53
2016-06-10,59.77
2016-06-13,59.63
2016-06-14,59.67
2016-06-15,60.12
2016-06-16,58.77
2016-06-17,58.03
2016-06-20,58.01
2016-06-21,56.53
2016-06-22,56.68
2016-06-23,58.72
2016-06-24,55.97
2016-06-27,54.05
2016-06-28,56.23
2016-06-29,59.9
2016-06-30,60.78
2016-07-01,61.84
2016-07-05,60.22
2016-07-06,61.95
2016-07-07,61.47
2016-07-08,62.29
2016-07-11,62.52
2016-07-12,61.9
2016-07-13,62.16
2016-07-14,62.45
2016-07-15,62.45
2016-07-18,63.2
2016-07-19,62.16
2016-07-20,66.82
2016-07-21,67.53
2016-07-22,66.49
2016-07-25,66.81
2016-07-26,66.86
2016-07-27,67.89
2016-07-28,67.34
2016-07-29,67.34
2016-08-01,67.37
2016-08-02,76.91
2016-08-03,79.66
2016-08-04,78.81
2016-08-05,79.99
2016-08-08,79.99
2016-08-09,79.97
2016-08-10,78.77
2016-08-11,78.98
2016-08-12,79.7
2016-08-15,79.75
2016-08-16,79.37
2016-08-17,80.65
2016-08-18,80.17
2016-08-19,81.07
2016-08-22,81.48
2016-08-23,83.06
2016-08-24,79.14
2016-08-25,75.24
2016-08-26,74.92
2016-08-29,74.2
2016-08-30,75.05
2016-08-31,74.54
2016-09-01,75.59
2016-09-02,72.42
2016-09-06,74.92
2016-09-07,74.55
2016-09-08,74.22
2016-09-09,73.07
2016-09-12,75.46
2016-09-13,74.57
2016-09-14,75.33
2016-09-15,76.27
2016-09-16,76.12
2016-09-19,75.41
2016-09-20,74.1
2016-09-21,74.09
2016-09-22,74.38
2016-09-23,76.31
2016-09-26,71.1
2016-09-27,71.23
2016-09-28,72.47
2016-09-29,68.99
2016-09-30,69.78
2016-10-03,71.17
2016-10-04,70.77
2016-10-05,71.07
2016-10-06,69.48
2016-10-07,69.79
2016-10-10,70.78
2016-10-11,68.16
2016-10-12,66.58
2016-10-13,66.91
2016-10-14,65.82
2016-10-17,64.96
2016-10-18,64.17
2016-10-19,63.87
2016-10-20,63.85
2016-10-21,62.1
2016-10-24,61.67
2016-10-25,63.08
2016-10-26,62.87
2016-10-27,63.04
2016-10-28,61.38
2016-10-31,59.26
2016-11-01,60.01
