Date,APC
2015-07-01,76.78
2015-07-05,76.38
2015-07-06,77.92
2015-07-07,75.47
2015-07-08,76.080002
2015-07-09,75.71
2015-07-12,75.7
2015-07-13,76.37
2015-07-14,75.2
2015-07-15,74.69
2015-07-16,73.88
2015-07-19,72.62
2015-07-20,73.37
2015-07-21,72.66
2015-07-22,72.54
2015-07-23,71.61
2015-07-26,69.99
2015-07-27,72.85
2015-07-28,76.28
2015-07-29,76.63
2015-07-30,74.35
2015-08-02,73.22
2015-08-03,74.3
2015-08-04,74.010002
2015-08-05,76.15
2015-08-06,73.050003
2015-08-09,75.7
2015-08-10,75.47
2015-08-11,78.099998
2015-08-12,76.24
2015-08-13,76.25
2015-08-16,76.54
2015-08-17,76.64
2015-08-18,72.38
2015-08-19,71.050003
2015-08-20,68.78
2015-08-23,65.55
2015-08-24,63.99
2015-08-25,65.16
2015-08-26,69.010002
2015-08-27,70.94
2015-08-30,71.58
2015-08-31,68.29
2015-09-01,69.53
2015-09-02,69.51
2015-09-03,68.34
2015-09-07,69.7
2015-09-08,67.2
2015-09-09,67.21
2015-09-10,65.65
2015-09-13,65.0
2015-09-14,65.72
2015-09-15,69.14
2015-09-16,68.57
2015-09-17,65.47
2015-09-20,65.86
2015-09-21,64.81
2015-09-22,63.18
2015-09-23,63.7
2015-09-24,62.67
2015-09-27,59.43
2015-09-28,59.040001
2015-09-29,60.39
2015-09-30,60.95
2015-10-01,64.11
2015-10-04,66.49
2015-10-05,68.65
2015-10-06,69.14
2015-10-07,72.33
2015-10-08,72.4
2015-10-11,71.089996
2015-10-12,70.58
2015-10-13,71.57
2015-10-14,72.96
2015-10-15,73.39
2015-10-18,72.31
2015-10-19,73.29
2015-10-20,71.55
2015-10-21,73.0
2015-10-22,72.029999
2015-10-25,69.0
2015-10-26,65.29
2015-10-27,65.55
2015-10-28,67.58
2015-10-29,66.88
2015-11-01,67.38
2015-11-02,70.84
2015-11-03,70.22
2015-11-04,70.099998
2015-11-05,68.6
2015-11-08,67.9
2015-11-09,63.42
2015-11-10,61.0099983
2015-11-11,58.5
2015-11-12,60.049999
2015-11-15,62.11
2015-11-16,61.12
2015-11-17,61.74
2015-11-18,59.64
2015-11-19,58.74
2015-11-22,60.35
2015-11-23,62.02
2015-11-24,61.13
2015-11-26,60.71
2015-11-29,59.9
2015-11-30,60.5
2015-12-01,58.77
2015-12-02,58.14
2015-12-03,56.81
2015-12-06,53.68
2015-12-07,51.82
2015-12-08,50.83
2015-12-09,51.23
2015-12-10,49.55
2015-12-13,47.59
2015-12-14,48.8
2015-12-15,47.67
2015-12-16,46.73
2015-12-17,45.67
2015-12-20,46.55
2015-12-21,48.55
2015-12-22,51.5
2015-12-23,51.22
2015-12-27,49.69
2015-12-28,49.73
2015-12-29,48.38
2015-12-30,48.58
2016-01-03,49.13
2016-01-04,48.52
2016-01-05,43.77
2016-01-06,40.11
2016-01-07,40.56
2016-01-10,37.75
2016-01-11,37.33
2016-01-12,34.86
2016-01-13,35.0
2016-01-14,32.02
2016-01-18,30.85
2016-01-19,30.54
2016-01-20,33.55
2016-01-21,35.48
2016-01-24,32.31
2016-01-25,34.59
2016-01-26,35.53
2016-01-27,37.25
2016-01-28,39.09
2016-01-31,38.25
2016-02-01,39.26
2016-02-02,42.49
2016-02-03,41.36
2016-02-04,40.77
2016-02-07,40.049999
2016-02-08,37.24
2016-02-09,37.39
2016-02-10,35.68
2016-02-11,37.81
2016-02-15,39.09
2016-02-16,40.5
2016-02-17,37.029999
2016-02-18,35.35
2016-02-21,37.35
2016-02-22,35.3
2016-02-23,36.21
2016-02-24,37.64
2016-02-25,38.02
2016-02-28,37.95
2016-02-29,40.11
2016-03-01,42.65
2016-03-02,42.98
2016-03-03,45.26
2016-03-06,45.099998
2016-03-07,41.14
2016-03-08,42.32
2016-03-09,42.5
2016-03-10,46.29
2016-03-13,46.31
2016-03-14,47.02
2016-03-15,48.71
2016-03-16,49.26
2016-03-17,48.76
2016-03-20,48.61
2016-03-21,48.0099983
2016-03-22,46.29
2016-03-23,46.27
2016-03-27,45.63
2016-03-28,46.23
2016-03-29,46.39
2016-03-30,46.57
2016-03-31,45.81
2016-04-03,44.59
2016-04-04,44.099998
2016-04-05,45.71
2016-04-06,45.75
2016-04-07,48.29
2016-04-10,47.53
2016-04-11,50.11
2016-04-12,49.32
2016-04-13,49.46
2016-04-14,48.91
2016-04-17,50.13
2016-04-18,50.53
2016-04-19,50.66
2016-04-20,50.029999
2016-04-21,52.55
2016-04-24,51.09
2016-04-25,52.36
2016-04-26,54.78
2016-04-27,53.2
2016-04-28,52.76
2016-05-01,51.95
2016-05-02,50.099998
2016-05-03,47.02
2016-05-04,46.099998
2016-05-05,46.56
2016-05-08,44.99
2016-05-09,47.0099983
2016-05-10,47.92
2016-05-11,48.25
2016-05-12,47.72
2016-05-15,49.17
2016-05-16,49.74
2016-05-17,48.94
2016-05-18,49.22
2016-05-19,49.3
2016-05-22,49.2
2016-05-23,50.24
2016-05-24,52.09
2016-05-25,52.28
2016-05-26,51.53
2016-05-30,51.86
2016-05-31,52.4
2016-06-01,51.69
2016-06-02,51.44
2016-06-05,53.28
2016-06-06,55.22
2016-06-07,55.18
2016-06-08,54.48
2016-06-09,53.0
2016-06-12,53.080002
2016-06-13,53.7
2016-06-14,53.38
2016-06-15,53.3
2016-06-16,54.86
2016-06-19,54.85
2016-06-20,55.51
2016-06-21,54.39
2016-06-22,55.52
2016-06-23,52.83
2016-06-26,49.5
2016-06-27,51.13
2016-06-28,53.19
2016-06-29,53.25
2016-06-30,54.89
2016-07-04,53.61
2016-07-05,55.19
2016-07-06,55.22
2016-07-07,55.91
2016-07-10,55.86
2016-07-11,57.42
2016-07-12,56.099998
2016-07-13,55.52
2016-07-14,55.0099983
2016-07-17,55.099998
2016-07-18,53.85
2016-07-19,54.52
2016-07-20,54.17
2016-07-21,54.64
2016-07-24,53.87
2016-07-25,54.74
2016-07-26,53.8
2016-07-27,53.36
2016-07-28,54.53
2016-07-31,51.85
2016-08-01,51.63
2016-08-02,52.68
2016-08-03,51.27
2016-08-04,52.77
2016-08-07,53.049999
2016-08-08,52.75
2016-08-09,52.63
2016-08-10,54.0099983
2016-08-11,54.28
2016-08-14,54.6
2016-08-15,54.15
2016-08-16,54.38
2016-08-17,55.94
2016-08-18,54.83
2016-08-21,54.27
2016-08-22,56.049999
2016-08-23,54.16
2016-08-24,55.15
2016-08-25,55.26
2016-08-28,56.22
2016-08-29,55.78
2016-08-30,53.47
2016-08-31,53.54
2016-09-01,56.49
2016-09-05,57.19
2016-09-06,57.18
2016-09-07,59.060001
2016-09-08,57.77
2016-09-11,57.79
2016-09-12,57.59
2016-09-13,55.62
2016-09-14,56.93
2016-09-15,57.52
2016-09-18,57.52
2016-09-19,58.28
2016-09-20,61.060001
2016-09-21,61.21
2016-09-22,59.5
2016-09-25,58.54
2016-09-26,58.27
2016-09-27,61.27
2016-09-28,62.58
2016-09-29,63.36
2016-10-02,63.42
2016-10-03,63.47
2016-10-04,64.14
2016-10-05,63.85
2016-10-06,63.46
2016-10-09,64.39
2016-10-10,63.72
2016-10-11,63.93
2016-10-12,64.07
2016-10-13,63.37
2016-10-16,62.51
2016-10-17,62.97
2016-10-18,63.93
2016-10-19,63.76
2016-10-20,63.54
2016-10-23,62.99
2016-10-24,61.049999
2016-10-25,60.9
2016-10-26,61.42
2016-10-27,61.46
2016-10-30,59.44
2016-10-31,59.95
2016-11-01,60.14
2016-11-02,60.25
2016-11-03,58.62
2016-11-06,60.21
2016-11-07,59.73
2016-11-08,61.19
2016-11-09,61.87
2016-11-10,61.040001
2016-11-13,60.5
2016-11-14,62.56
2016-11-15,61.94
2016-11-16,61.45
2016-11-17,61.51
2016-11-20,64.029999
2016-11-21,64.050003
2016-11-22,65.0
2016-11-24,63.75
2016-11-27,62.0
2016-11-28,60.16
2016-11-29,69.15
2016-11-30,68.59
2016-12-01,68.56
2016-12-04,68.29
