Date,CBS
2016-01-04,46.65
2016-01-05,46.12
2016-01-06,46.13
2016-01-07,45.34
2016-01-08,46.46
2016-01-11,46.78
2016-01-12,47.02
2016-01-13,44.94
2016-01-14,46.73
2016-01-15,45.88
2016-01-19,45.39
2016-01-20,44.02
2016-01-21,45.77
2016-01-22,46.94
2016-01-25,46.29
2016-01-26,47.51
2016-01-27,47.34
2016-01-28,46.29
2016-01-29,47.5
2016-02-01,47.91
2016-02-02,46.63
2016-02-03,48.26
2016-02-04,48.41
2016-02-05,46.25
2016-02-08,44.36
2016-02-09,42.65
2016-02-10,42.88
2016-02-11,43.57
2016-02-12,43.18
2016-02-16,44.92
2016-02-17,46.56
2016-02-18,45.79
2016-02-19,45.09
2016-02-22,46.87
2016-02-23,46.96
2016-02-24,47.48
2016-02-25,47.64
2016-02-26,48.3
2016-02-29,48.38
2016-03-01,50.25
2016-03-02,50.15
2016-03-03,51.48
2016-03-04,51.4
2016-03-07,52.0
2016-03-08,51.18
2016-03-09,52.1
2016-03-10,51.78
2016-03-11,53.12
2016-03-14,53.3
2016-03-15,52.59
2016-03-16,54.44
2016-03-17,54.25
2016-03-18,54.71
2016-03-21,54.02
2016-03-22,53.86
2016-03-23,53.5
2016-03-24,54.06
2016-03-28,54.61
2016-03-29,54.9
2016-03-30,54.61
2016-03-31,55.09
2016-04-01,55.17
2016-04-04,54.82
2016-04-05,54.26
2016-04-06,54.85
2016-04-07,53.58
2016-04-08,54.12
2016-04-11,53.52
2016-04-12,53.58
2016-04-13,54.29
2016-04-14,53.66
2016-04-15,53.89
2016-04-18,54.13
2016-04-19,54.96
2016-04-20,55.05
2016-04-21,55.82
2016-04-22,56.49
2016-04-25,56.29
2016-04-26,56.44
2016-04-27,56.39
2016-04-28,56.07
2016-04-29,55.91
2016-05-02,56.47
2016-05-03,55.66
2016-05-04,56.53
2016-05-05,57.47
2016-05-06,57.68
2016-05-09,56.0
2016-05-10,56.96
2016-05-11,55.8
2016-05-12,54.28
2016-05-13,53.5
2016-05-16,53.65
2016-05-17,53.46
2016-05-18,52.28
2016-05-19,52.1
2016-05-20,52.74
2016-05-23,52.44
2016-05-24,53.37
2016-05-25,53.93
2016-05-26,54.35
2016-05-27,54.87
2016-05-31,55.2
2016-06-01,55.17
2016-06-02,55.4
2016-06-03,54.39
2016-06-06,54.03
2016-06-07,53.51
2016-06-08,53.53
2016-06-09,53.0
2016-06-10,52.73
2016-06-13,52.11
2016-06-14,52.82
2016-06-15,53.2
2016-06-16,54.48
2016-06-17,53.73
2016-06-20,54.02
2016-06-21,53.44
2016-06-22,53.65
2016-06-23,53.69
2016-06-24,51.65
2016-06-27,50.89
2016-06-28,52.07
2016-06-29,52.76
2016-06-30,54.44
2016-07-01,54.86
2016-07-05,54.67
2016-07-06,55.09
2016-07-07,56.11
2016-07-08,57.08
2016-07-11,57.53
2016-07-12,57.94
2016-07-13,57.51
2016-07-14,57.94
2016-07-15,55.85
2016-07-18,54.69
2016-07-19,54.98
2016-07-20,54.53
2016-07-21,53.95
2016-07-22,55.15
2016-07-25,54.42
2016-07-26,54.44
2016-07-27,54.1
2016-07-28,54.21
2016-07-29,52.22
2016-08-01,52.1
2016-08-02,51.91
2016-08-03,52.09
2016-08-04,51.83
2016-08-05,52.17
2016-08-08,52.01
2016-08-09,51.85
2016-08-10,52.05
2016-08-11,52.92
2016-08-12,52.35
2016-08-15,52.28
2016-08-16,51.59
2016-08-17,51.75
2016-08-18,51.53
2016-08-19,51.85
2016-08-22,52.68
2016-08-23,52.8
2016-08-24,52.38
2016-08-25,51.69
2016-08-26,51.44
2016-08-29,51.46
2016-08-30,51.27
2016-08-31,51.03
2016-09-01,52.04
2016-09-02,52.22
2016-09-06,51.75
2016-09-07,52.62
2016-09-08,53.36
2016-09-09,51.91
2016-09-12,52.76
2016-09-13,51.84
2016-09-14,52.14
2016-09-15,52.24
2016-09-16,51.79
2016-09-19,51.08
2016-09-20,49.97
2016-09-21,50.08
2016-09-22,50.07
2016-09-23,50.91
2016-09-26,51.13
2016-09-27,52.05
2016-09-28,54.15
2016-09-29,54.57
2016-09-30,54.74
2016-10-03,54.93
2016-10-04,55.55
2016-10-05,56.41
2016-10-06,56.21
2016-10-07,55.22
2016-10-10,55.73
2016-10-11,55.45
2016-10-12,55.15
2016-10-13,55.24
2016-10-14,55.11
2016-10-17,55.39
2016-10-18,55.1
2016-10-19,55.53
2016-10-20,56.49
2016-10-21,57.66
2016-10-24,56.35
2016-10-25,55.99
2016-10-26,56.78
2016-10-27,56.41
2016-10-28,56.54
2016-10-31,56.62
2016-11-01,55.83
2016-11-02,55.15
2016-11-03,55.5
