Date,DNB
2016-01-04,99.74783912961401
2016-01-05,99.12123315157167
2016-01-06,97.6917882641626
2016-01-07,94.44126975306798
2016-01-08,92.96287127362436
2016-01-11,92.561451818941
2016-01-12,92.62019612938245
2016-01-13,90.90682040817295
2016-01-14,93.31533713627317
2016-01-15,93.39366288352846
2016-01-19,93.96152455112933
2016-01-20,95.24410866243473
2016-01-21,93.47198863078376
2016-01-22,94.90143351819283
2016-01-25,93.04119702087965
2016-01-26,95.40076015694531
2016-01-27,94.05943173519844
2016-01-28,93.70696587254963
2016-01-29,96.36025056082264
2016-02-01,96.89874007320277
2016-02-02,92.31668385876822
2016-02-03,93.80487305661875
2016-02-04,95.22452722562092
2016-02-05,92.10128805381615
2016-02-08,86.07020551515869
2016-02-09,86.80450939567704
2016-02-10,87.97939560450642
2016-02-11,87.47027824734703
2016-02-12,93.45240719396993
2016-02-16,91.81735722001572
2016-02-17,92.51249822690643
2016-02-18,91.56279854143601
2016-02-19,90.65226172959326
2016-02-22,92.51249822690643
2016-02-23,92.16248004385936
2016-02-24,92.21168585274556
2016-02-25,93.57960733978202
2016-02-26,94.63261164994677
2016-02-29,94.26848866418888
2016-03-01,96.77798491738525
2016-03-02,98.07701827198102
2016-03-03,99.55319253856713
2016-03-04,99.29732233235889
2016-03-07,97.81130690399553
2016-03-08,96.60084400539492
2016-03-09,96.81734956449421
2016-03-10,95.60688666589361
2016-03-11,98.41161777240721
2016-03-14,98.30336499285757
2016-03-15,97.2503606826928
2016-03-16,99.22843419991818
2016-03-17,100.57667336340018
2016-03-18,101.62967767356493
2016-03-21,101.69856580600562
2016-03-22,100.5865145251774
2016-03-23,99.53351021501265
2016-03-24,99.9074743625478
2016-03-28,99.9074743625478
2016-03-29,101.24587236425253
2016-03-30,101.87570671799594
2016-03-31,101.44269559979735
2016-04-01,102.64331733662073
2016-04-04,102.36776480685798
2016-04-05,101.88554787977318
2016-04-06,102.72204663083865
2016-04-07,101.73793045311457
2016-04-08,101.92491252688214
2016-04-11,101.07857261403944
2016-04-12,101.93475368865938
2016-04-13,105.02487848671298
