Date,MON
2016-01-04,97.79
2016-01-05,97.28
2016-01-06,95.21
2016-01-07,93.58
2016-01-08,92.79
2016-01-11,92.28
2016-01-12,92.52
2016-01-13,91.19
2016-01-14,92.15
2016-01-15,90.87
2016-01-19,90.86
2016-01-20,89.81
2016-01-21,91.13
2016-01-22,91.87
2016-01-25,87.32
2016-01-26,88.5
2016-01-27,87.61
2016-01-28,87.8
2016-01-29,90.6
2016-02-01,90.13
2016-02-02,87.36
2016-02-03,89.5
2016-02-04,95.32
2016-02-05,94.58
2016-02-08,91.25
2016-02-09,91.7
2016-02-10,87.58
2016-02-11,85.69
2016-02-12,87.03
2016-02-16,87.94
2016-02-17,89.64
2016-02-18,89.92
2016-02-19,88.52
2016-02-22,89.47
2016-02-23,87.96
2016-02-24,88.57
2016-02-25,89.84
2016-02-26,90.58
2016-02-29,89.99
2016-03-01,92.49
2016-03-02,85.3
2016-03-03,84.94
2016-03-04,85.89
2016-03-07,88.48
2016-03-08,88.87
2016-03-09,88.72
2016-03-10,88.99
2016-03-11,90.95
2016-03-14,89.9
2016-03-15,89.17
2016-03-16,90.71
2016-03-17,92.92
2016-03-18,93.01
2016-03-21,91.31
2016-03-22,90.38
2016-03-23,90.07
2016-03-24,90.1
2016-03-28,90.63
2016-03-29,90.66
2016-03-30,91.09
2016-03-31,87.74
2016-04-01,87.87
2016-04-04,87.2
2016-04-05,86.64
2016-04-06,87.0
2016-04-07,86.1
2016-04-08,86.63
2016-04-11,86.77
2016-04-12,87.42
2016-04-13,89.74
2016-04-14,88.95
2016-04-15,88.37
2016-04-18,88.96
2016-04-19,93.27
2016-04-20,93.4
2016-04-21,94.11
2016-04-22,94.08
2016-04-25,94.08
2016-04-26,93.9
2016-04-27,94.0
2016-04-28,94.27
2016-04-29,93.68
2016-05-02,95.65
2016-05-03,93.87
2016-05-04,91.65
2016-05-05,89.66
2016-05-06,89.75
2016-05-09,89.03
2016-05-10,91.18
2016-05-11,90.34
2016-05-12,97.92
2016-05-13,99.94
2016-05-16,98.28
2016-05-17,97.72
2016-05-18,97.13
2016-05-19,100.55
2016-05-20,101.52
2016-05-23,106.0
2016-05-24,109.3
2016-05-25,111.68
2016-05-26,109.62
2016-05-27,109.49
2016-05-31,112.47
2016-06-01,110.98
2016-06-02,110.36
2016-06-03,111.0
2016-06-06,108.76
2016-06-07,107.4
2016-06-08,108.26
2016-06-09,109.99
2016-06-10,109.2
2016-06-13,107.05
2016-06-14,106.75
2016-06-15,107.64
2016-06-16,108.9
2016-06-17,109.35
2016-06-20,108.71
2016-06-21,107.68
2016-06-22,107.16
2016-06-23,109.15
2016-06-24,104.07
2016-06-27,99.98
2016-06-28,101.09
2016-06-29,103.52
2016-06-30,103.41
2016-07-01,101.32
2016-07-05,100.25
2016-07-06,99.4
2016-07-07,100.64
2016-07-08,102.68
2016-07-11,102.58
2016-07-12,102.33
2016-07-13,101.13
2016-07-14,104.22
2016-07-15,103.45
2016-07-18,106.44
2016-07-19,106.87
2016-07-20,106.76
2016-07-21,106.1
2016-07-22,105.68
2016-07-25,105.26
2016-07-26,106.02
2016-07-27,106.75
2016-07-28,106.12
2016-07-29,106.77
2016-08-01,105.8
2016-08-02,105.62
2016-08-03,104.36
2016-08-04,106.42
2016-08-05,106.93
2016-08-08,106.75
2016-08-09,106.5
2016-08-10,105.94
2016-08-11,105.92
2016-08-12,105.25
2016-08-15,104.98
2016-08-16,105.44
2016-08-17,104.23
2016-08-18,103.99
2016-08-19,104.15
2016-08-22,104.5
2016-08-23,107.1
2016-08-24,107.0
2016-08-25,106.99
2016-08-26,107.4
2016-08-29,107.54
2016-08-30,107.44
2016-08-31,106.5
2016-09-01,106.91
2016-09-02,107.44
2016-09-06,106.07
2016-09-07,106.57
2016-09-08,108.05
2016-09-09,106.78
2016-09-12,106.99
2016-09-13,106.1
2016-09-14,106.76
2016-09-15,104.22
2016-09-16,103.45
2016-09-19,101.8
2016-09-20,102.88
2016-09-21,104.36
2016-09-22,104.2
2016-09-23,103.5
2016-09-26,102.13
2016-09-27,102.25
2016-09-28,102.56
2016-09-29,101.79
2016-09-30,102.2
2016-10-03,102.47
2016-10-04,102.15
2016-10-05,103.18
2016-10-06,103.5
2016-10-07,103.36
2016-10-10,102.97
2016-10-11,103.33
2016-10-12,102.32
2016-10-13,102.54
2016-10-14,102.11
2016-10-17,102.17
2016-10-18,102.67
2016-10-19,102.49
2016-10-20,102.86
2016-10-21,102.07
2016-10-24,102.0
2016-10-25,101.4
2016-10-26,101.33
2016-10-27,101.02
2016-10-28,100.98
2016-10-31,100.77
2016-11-01,100.69
2016-11-02,99.78
2016-11-03,98.81
2016-11-04,98.52
2016-11-07,99.19
2016-11-08,99.44
2016-11-09,98.94
2016-11-10,97.93
2016-11-11,97.9
2016-11-14,98.09
2016-11-15,99.09
2016-11-16,100.73
2016-11-17,100.66
2016-11-18,101.21
2016-11-21,101.32
2016-11-22,101.75
2016-11-23,102.42
2016-11-25,102.56
2016-11-28,102.03
2016-11-29,102.39
2016-11-30,102.71
2016-12-01,103.5
2016-12-02,103.91
2016-12-05,104.27
2016-12-06,105.8
2016-12-07,105.41
2016-12-08,104.7
2016-12-09,104.59
2016-12-12,104.59
2016-12-13,104.52
2016-12-14,104.32
2016-12-15,105.38
2016-12-16,105.5
2016-12-19,105.58
2016-12-20,105.49
2016-12-21,105.21
2016-12-22,105.33
2016-12-23,105.26
2016-12-27,105.69
2016-12-28,105.2
2016-12-29,105.1
2016-12-30,105.21
2017-01-03,105.31
2017-01-04,105.05
2017-01-05,105.21
2017-01-06,108.13
2017-01-09,108.95
2017-01-10,108.44
2017-01-11,108.45
2017-01-12,107.33
2017-01-13,107.62
