Date,ARNC
2016-11-01,13.849283218383789
2016-11-02,13.131932258605957
2016-11-03,12.802534103393555
2016-11-04,12.941614151000977
2016-11-07,12.69273853302002
2016-11-08,12.810465812683105
2016-11-09,12.898765563964844
2016-11-10,13.575708389282227
2016-11-11,13.877391815185547
2016-11-14,14.046630859375
2016-11-15,14.649991989135742
2016-11-16,14.42924976348877
2016-11-17,14.348311424255371
2016-11-18,14.649991989135742
2016-11-21,14.848663330078125
2016-11-22,14.635278701782227
2016-11-23,14.922243118286133
2016-11-25,15.106197357177734
2016-11-28,14.826586723327637
2016-11-29,14.473400115966797
2016-11-30,14.18643569946289
2016-12-01,14.348311424255371
2016-12-02,14.488115310668945
2016-12-05,14.907526969909668
2016-12-06,14.951675415039062
2016-12-07,15.363728523254395
2016-12-08,15.385807037353516
2016-12-09,16.040674209594727
2016-12-12,15.878795623779297
2016-12-13,15.591832160949707
2016-12-14,15.268074989318848
2016-12-15,15.128271102905273
2016-12-16,14.907526969909668
2016-12-19,14.730934143066406
2016-12-20,14.789795875549316
2016-12-21,14.730934143066406
2016-12-22,14.767721176147461
2016-12-23,14.554337501525879
2016-12-27,14.554337501525879
2016-12-28,14.16435718536377
2016-12-29,13.759664535522461
2016-12-30,13.64193058013916
2017-01-03,14.120210647583008
2017-01-04,14.49547290802002
2017-01-05,14.789795875549316
2017-01-06,15.179778099060059
2017-01-09,15.00318717956543
2017-01-10,15.23864459991455
2017-01-11,15.525609970092773
2017-01-12,15.452027320861816
2017-01-13,15.547682762145996
2017-01-17,15.260717391967773
2017-01-18,15.363728523254395
2017-01-19,15.680129051208496
2017-01-20,15.665410041809082
2017-01-23,15.694846153259277
2017-01-24,16.31292152404785
2017-01-25,16.6955509185791
2017-01-26,16.820636749267578
2017-01-27,16.62932014465332
2017-01-30,16.555744171142578
2017-01-31,16.769126892089844
2017-02-01,18.65039825439453
2017-02-02,18.591381072998047
2017-02-03,19.107810974121094
2017-02-06,19.329133987426758
2017-02-07,19.63898468017578
2017-02-08,20.140655517578125
2017-02-09,20.627574920654297
2017-02-10,21.852245330810547
2017-02-13,21.874378204345703
2017-02-14,21.778478622436523
2017-02-15,21.549762725830078
2017-02-16,21.7563419342041
2017-02-17,22.066198348999023
2017-02-21,22.346542358398438
2017-02-22,22.53835678100586
2017-02-23,21.81536293029785
2017-02-24,21.630922317504883
2017-02-27,21.571908950805664
2017-02-28,21.23991584777832
2017-03-01,21.793231964111328
2017-03-02,21.055471420288086
2017-03-03,20.723487854003906
2017-03-06,20.435760498046875
2017-03-07,19.904579162597656
2017-03-08,19.80866813659668
2017-03-09,19.54307746887207
2017-03-10,19.793914794921875
2017-03-13,19.771787643432617
2017-03-14,19.675872802734375
2017-03-15,20.11115074157715
2017-03-16,20.155414581298828
2017-03-17,20.288211822509766
2017-03-20,20.56117820739746
2017-03-21,19.734895706176758
2017-03-22,19.550458908081055
2017-03-23,19.683252334594727
2017-03-24,19.683252334594727
2017-03-27,19.5947208404541
2017-03-28,19.948843002319336
2017-03-29,19.329133987426758
2017-03-30,19.5947208404541
2017-03-31,19.43241310119629
2017-04-03,19.314373016357422
2017-04-04,19.461923599243164
2017-04-05,19.10042953491211
2017-04-06,19.29962158203125
2017-04-07,19.484058380126953
2017-04-10,19.572593688964844
2017-04-11,19.616859436035156
2017-04-12,19.0709228515625
2017-04-13,19.107810974121094
2017-04-17,19.69063377380371
2017-04-18,19.034029006958008
2017-04-19,19.15944480895996
2017-04-20,19.262737274169922
2017-04-21,19.181583404541016
2017-04-24,19.255355834960938
2017-04-25,19.904579162597656
2017-04-26,20.288211822509766
2017-04-27,20.081642150878906
2017-04-28,20.162796020507812
2017-05-01,20.103778839111328
2017-05-02,20.029998779296875
2017-05-03,19.8007869720459
2017-05-04,19.68248176574707
2017-05-05,20.185264587402344
2017-05-08,20.02260398864746
2017-05-09,20.15569305419922
2017-05-10,20.17047691345215
2017-05-11,20.118722915649414
2017-05-12,20.481021881103516
2017-05-15,20.77678108215332
2017-05-16,20.2666015625
2017-05-17,19.845149993896484
2017-05-18,19.9043025970459
2017-05-19,20.392295837402344
2017-05-22,20.429264068603516
2017-05-23,20.606718063354492
2017-05-24,20.761995315551758
2017-05-25,20.118722915649414
2017-05-26,20.273990631103516
2017-05-30,20.12611198425293
2017-05-31,20.31096649169922
2017-06-01,20.680654525756836
2017-06-02,20.821138381958008
2017-06-05,20.31096649169922
2017-06-06,20.31096649169922
2017-06-07,19.889514923095703
2017-06-08,20.29617691040039
2017-06-09,20.229637145996094
2017-06-12,19.830368041992188
2017-06-13,20.451448440551758
2017-06-14,19.889514923095703
2017-06-15,19.741634368896484
2017-06-16,19.542001724243164
2017-06-19,19.675094604492188
2017-06-20,19.527212142944336
2017-06-21,18.72127914428711
2017-06-22,18.706491470336914
2017-06-23,18.883953094482422
2017-06-26,17.7526798248291
2017-06-27,16.148218154907227
2017-06-28,17.07984161376953
2017-06-29,16.87281608581543
2017-06-30,16.74711799621582
2017-07-03,16.88759994506836
2017-07-05,16.998512268066406
2017-07-06,16.946746826171875
2017-07-07,17.102027893066406
2017-07-10,17.61959457397461
2017-07-11,17.760074615478516
2017-07-12,17.88578224182129
2017-07-13,18.07801628112793
2017-07-14,18.03365135192871
2017-07-17,18.447710037231445
2017-07-18,18.395950317382812
2017-07-19,18.573402404785156
2017-07-20,18.299835205078125
2017-07-21,18.63994789123535
2017-07-24,18.610376358032227
2017-07-25,19.1649112701416
2017-07-26,18.920923233032227
2017-07-27,18.573402404785156
2017-07-28,18.447710037231445
2017-07-31,18.329402923583984
2017-08-01,18.558612823486328
2017-08-02,18.440031051635742
2017-08-03,18.7735538482666
2017-08-04,18.62532615661621
2017-08-07,18.780960083007812
2017-08-08,18.521556854248047
2017-08-09,18.26956558227539
2017-08-10,17.802631378173828
2017-08-11,17.780399322509766
2017-08-14,18.202861785888672
2017-08-15,18.343679428100586
2017-08-16,18.410390853881836
2017-08-17,17.995336532592773
2017-08-18,18.00274658203125
2017-08-21,18.14356803894043
2017-08-22,19.040372848510742
2017-08-23,18.95142936706543
2017-08-24,18.8773193359375
2017-08-25,18.71426010131836
2017-08-28,18.654972076416016
2017-08-29,18.788375854492188
2017-08-30,18.8254337310791
2017-08-31,18.8773193359375
2017-09-01,18.906963348388672
2017-09-05,18.076860427856445
2017-09-06,18.039804458618164
2017-09-07,17.980510711669922
2017-09-08,18.099103927612305
2017-09-11,18.51415252685547
2017-09-12,18.647552490234375
2017-09-13,18.71426010131836
2017-09-14,18.795787811279297
2017-09-15,18.780960083007812
2017-09-18,18.780960083007812
2017-09-19,19.22566032409668
2017-09-20,19.418363571166992
2017-09-21,19.85564613342285
2017-09-22,19.425771713256836
2017-09-25,19.36648178100586
2017-09-26,19.47024154663086
2017-09-27,19.551774978637695
2017-09-28,19.284950256347656
2017-09-29,18.440031051635742
2017-10-02,19.210832595825195
2017-10-03,19.36648178100586
