Date,CA
2016-01-04,26.620252969157
2016-01-05,26.355562953839
2016-01-06,25.778916849038
2016-01-07,24.937580728919
2016-01-08,24.909221084421
2016-01-11,24.767422861929
2016-01-12,25.306256107398
2016-01-13,24.909221084421
2016-01-14,25.580399337549
2016-01-15,25.079378951411
2016-01-19,24.672890713601
2016-01-20,24.417653913115
2016-01-21,24.73906321743
2016-01-22,25.268443248067
2016-01-25,24.814688936093
2016-01-26,25.381881826061
2016-01-27,26.213764731347
2016-01-28,26.653339221072
2016-01-29,27.159086214627
2016-02-01,26.903849414141
2016-02-02,26.119232583019
2016-02-03,26.346109739006
2016-02-04,26.610799754324
2016-02-05,26.771504406482
2016-02-08,25.949074716028
2016-02-09,26.062513294022
2016-02-10,26.194858301681
2016-02-11,25.665478271045
2016-02-12,26.185405086848
2016-02-16,27.045647636633
2016-02-17,27.474792257101
2016-02-18,27.818107953476
2016-02-19,28.619177911684
2016-02-22,28.161423649851
2016-02-23,27.875327236205
2016-02-24,28.142350555608
2016-02-25,28.399837327889
2016-02-26,28.018375443028
2016-02-29,27.932546518934
2016-03-01,28.676397194413
2016-03-02,28.237716026823
2016-03-03,28.428446969253
2016-03-04,28.190033291215
2016-03-07,28.390300780767
2016-03-08,28.228179479702
2016-03-09,28.676397194413
2016-03-10,28.600104817441
2016-03-11,29.124614909125
2016-03-14,28.914810872451
2016-03-15,28.876664683965
2016-03-16,29.277199663069
2016-03-17,29.487003699742
2016-03-18,29.315345851555
2016-03-21,29.639588453687
2016-03-22,29.668198095051
2016-03-23,29.181834191854
2016-03-24,29.305809304433
2016-03-28,29.305809304433
2016-03-29,29.28673621019
2016-03-30,29.458394058378
2016-03-31,29.363028587163
2016-04-01,29.553759529593
2016-04-04,29.296272757312
2016-04-05,28.943420513816
2016-04-06,29.076932173517
2016-04-07,28.676397194413
2016-04-08,28.647787553048
2016-04-11,28.685933741535
2016-04-12,28.600104817441
2016-04-13,28.876664683965
2016-04-14,28.65732410017
2016-04-15,28.743153024264
2016-04-18,28.991103249423
2016-04-19,28.895737778208
2016-04-20,28.809908854114
2016-04-21,29.09600526776
2016-04-22,28.78129921275
2016-04-25,28.819445401236
2016-04-26,29.181834191854
2016-04-27,29.363028587163
2016-04-28,28.714543382899
2016-04-29,28.285398762431
2016-05-02,28.237716026823
