Date,PEAK
2019-07-01,22.036624908447266
2019-07-02,22.727664947509766
2019-07-03,22.999893188476562
2019-07-05,22.811429977416992
2019-07-08,23.08365821838379
2019-07-09,23.111581802368164
2019-07-10,23.223264694213867
2019-07-11,22.776527404785156
2019-07-12,22.73464584350586
2019-07-15,22.55315589904785
2019-07-16,22.525238037109375
2019-07-17,22.720684051513672
2019-07-18,22.783506393432617
2019-07-19,22.155284881591797
2019-07-22,22.07850456237793
2019-07-23,22.448455810546875
2019-07-24,22.3018741607666
2019-07-25,22.190185546875
2019-07-26,22.39261817932129
2019-07-29,22.39261817932129
2019-07-30,22.511280059814453
2019-07-31,22.28791046142578
2019-08-01,22.860292434692383
2019-08-02,23.220352172851562
2019-08-05,22.909709930419922
2019-08-06,23.14269256591797
2019-08-07,23.79926872253418
2019-08-08,24.15227699279785
2019-08-09,24.074607849121094
2019-08-12,23.80632781982422
2019-08-13,23.735736846923828
2019-08-14,23.643953323364258
2019-08-15,24.21580696105957
2019-08-16,24.342891693115234
2019-08-19,24.44879150390625
2019-08-20,23.9969482421875
2019-08-21,24.180511474609375
2019-08-22,24.37818717956543
2019-08-23,24.10991096496582
2019-08-26,24.321712493896484
2019-08-27,24.42054557800293
2019-08-28,24.44879150390625
2019-08-29,24.533510208129883
2019-08-30,24.505277633666992
2019-09-03,25.09125328063965
2019-09-04,25.408954620361328
2019-09-05,24.957109451293945
2019-09-06,25.119491577148438
2019-09-09,24.858272552490234
2019-09-10,24.491151809692383
2019-09-11,24.427608489990234
2019-09-12,24.434673309326172
2019-09-13,23.820451736450195
2019-09-16,24.074607849121094
2019-09-17,24.787668228149414
2019-09-18,24.674707412719727
2019-09-19,24.773548126220703
2019-09-20,24.717073440551758
2019-09-23,24.752370834350586
2019-09-24,24.957109451293945
2019-09-25,24.773548126220703
2019-09-26,24.97829246520996
2019-09-27,25.077138900756836
2019-09-30,25.15479278564453
2019-10-01,25.21126937866211
2019-10-02,25.3312931060791
2019-10-03,25.55014991760254
2019-10-04,25.69135856628418
2019-10-07,25.641931533813477
2019-10-08,25.73370933532715
2019-10-09,25.73370933532715
2019-10-10,25.804311752319336
2019-10-11,25.663116455078125
2019-10-14,25.874908447265625
2019-10-15,25.917266845703125
2019-10-16,26.00904655456543
2019-10-17,26.122013092041016
2019-10-18,26.397350311279297
2019-10-21,26.524425506591797
2019-10-22,26.4891300201416
2019-10-23,26.778587341308594
2019-10-24,26.538551330566406
2019-10-25,25.6278133392334
2019-10-28,25.521913528442383
2019-10-29,25.69841766357422
2019-10-30,26.044349670410156
2019-10-31,26.559738159179688
2019-11-01,26.174701690673828
2019-11-04,25.51161003112793
2019-11-05,25.51161003112793
2019-11-06,24.620336532592773
2019-11-07,23.985754013061523
2019-11-08,24.021404266357422
2019-11-11,23.821765899658203
2019-11-12,23.707679748535156
2019-11-13,24.178266525268555
2019-11-14,24.235313415527344
2019-11-15,24.56329917907715
2019-11-18,24.777198791503906
2019-11-19,24.955455780029297
2019-11-20,25.019620895385742
2019-11-21,24.484865188598633
2019-11-22,24.527647018432617
2019-11-25,24.534778594970703
2019-11-26,24.85563087463379
2019-11-27,25.026744842529297
2019-11-29,24.869892120361328
2019-12-02,24.121232986450195
2019-12-03,24.513383865356445
2019-12-04,24.5205135345459
2019-12-05,24.620336532592773
2019-12-06,24.484865188598633
2019-12-09,24.377914428710938
2019-12-10,23.992889404296875
2019-12-11,23.664899826049805
2019-12-12,23.03744888305664
2019-12-13,22.994665145874023
2019-12-16,23.123010635375977
2019-12-17,22.837797164916992
2019-12-18,23.123010635375977
2019-12-19,23.45099449157715
2019-12-20,24.000015258789062
2019-12-23,23.828887939453125
2019-12-24,23.885936737060547
2019-12-26,24.028533935546875
2019-12-27,24.235313415527344
2019-12-30,24.285221099853516
2019-12-31,24.577556610107422
2020-01-02,24.0142765045166
2020-01-03,24.477739334106445
2020-01-06,24.705904006958008
2020-01-07,24.549039840698242
2020-01-08,24.59181785583496
2020-01-09,24.72728729248047
2020-01-10,24.905546188354492
