janela,formacao_inicio,formacao_fim,negociacao_inicio,negociacao_fim,rank,ativo1,ativo2,ssd,beta,alpha,spread_media,spread_desvio,stat,direcao,metodo
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,1,GPUI,FPC,0.0809542524951894,0.9409485657469683,0.06655700269523476,1.2650350001704972e-15,0.017135743566350347,-4.620600543965759,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,2,FPC,ES,0.09799085530198681,0.8427079350288448,0.1622171459298202,3.140471503919766e-17,0.014277426383559343,-6.092363107586894,B~A,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,3,45200Q,CNP,0.10192443628284309,0.9477387457531248,0.058186306820617345,-1.004950881254325e-15,0.01968376475029313,-4.535409109622002,B~A,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,4,SCG,WEC,0.10396690795198538,0.9481121603693333,0.060765408394469034,3.815451717297451e-15,0.019458072832733774,-4.195184553400922,B~A,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,5,PEG,0961514D,0.10405224893895593,0.9894298156549746,0.02207949744414217,6.714416539366485e-16,0.017023459546744123,-4.309597584018359,B~A,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,6,PEG,PPL,0.11158053226404263,1.2115287337312421,-0.22217432992828567,4.53377928382783e-16,0.017157851151708963,-4.3141895120303575,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,7,D,ES,0.11676278866366374,1.0229536331902338,-0.03375398310641772,-1.503887762440451e-16,0.019541134226287105,-5.1931731761182345,B~A,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,8,CNP,SO,0.1385639291197549,0.9415360329584865,0.0734687820330647,8.642931434731299e-16,0.020904580517127395,-3.6428546766202285,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,9,GPUI,ES,0.14054703787576273,0.8542320712911369,0.14721279063791434,7.523862011503551e-15,0.018673190430422183,-4.746834147338773,B~A,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,10,AEP,CEG,0.14387601281782736,0.7383919243304229,0.2577064094648483,-1.3327099494803175e-15,0.017737174273936823,-4.084971727901036,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,11,45200Q,SO,0.15251050092069818,0.958307834143673,0.05452330731513383,-1.7931649967451733e-15,0.022702348752030328,-4.342180381128139,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,12,SO,WEC,0.17113507771614422,0.9952096603351921,0.013135964294331531,1.1929368515593814e-15,0.024883897546361486,-3.7712423556461694,B~A,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,13,D,FPC,0.17142401878220426,0.7636036813557271,0.2563025730878312,-2.9339080965492683e-15,0.01911479167466828,-3.7301194548870775,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,14,PPL,AYE,0.1825639844971647,0.9614338810608941,0.056965538387973136,-8.147533112986208e-16,0.020289051791641997,-3.518169068775017,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,15,CNP,WEC,0.18413738034860216,0.8891553989882885,0.12366734365618805,3.286437080862515e-16,0.02532769339700762,-3.710441637168516,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,16,SO,FPC,0.1900283971654062,1.0573398302942139,-0.04448752916275869,-2.1731178167264518e-15,0.021067012203202385,-4.535828574301299,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,17,PCG,SO,0.1907071388791337,0.8307622317548617,0.19624659601994052,1.9307264950154616e-15,0.0175287216715178,-3.7453841798638314,B~A,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,18,TE,SCG,0.19164162850029243,1.1133554687734728,-0.1106696555066429,-1.4132121767638945e-15,0.021895105467361464,-3.9815456695533515,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,19,45200Q,WEC,0.19261088497694345,0.9068236761304963,0.10360285531101351,-1.1367622204329292e-16,0.026517136466203496,-3.748653362186343,A~B,ADF
1990-07_a_1991-06,1990-07,1991-06,1991-07,1991-12,20,BDX,PPL,0.1995460026407727,1.0310977816920088,-0.04306414209933859,7.147890070893438e-16,0.02598333250235355,-4.805956991832628,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,1,PPL,ES,0.07329601489982451,1.047329172002688,-0.051995547759702984,-6.795179263367806e-15,0.016716850269491032,-5.278275177573494,B~A,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,2,PEG,SO,0.07374990911444002,1.0536073695851262,-0.05276227651146395,5.761750321473638e-16,0.016057556978708455,-6.552995230576937,B~A,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,3,GPUI,FPC,0.09808783651783415,0.9400657672420546,0.056097958405832024,6.756562810337366e-15,0.017208920836962502,-4.447764146285119,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,4,SO,FPC,0.11352301268925657,1.0151052770262172,-0.024265922556944104,-3.3350573071743833e-16,0.01958791788718967,-4.8553012370162545,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,5,PEG,PPL,0.11722138000391169,1.2003944334526446,-0.2110168353715682,-6.366448870063941e-15,0.018033788953655365,-4.244100506706621,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,6,45200Q,CNP,0.12088641917193854,0.9892245782510125,0.0031197281269044115,2.182268419549764e-15,0.01998877074528655,-4.649325661465918,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,7,PEG,FPC,0.1237602007923897,0.9434269823606679,0.048632956068827976,4.721739029631101e-16,0.01787991932457245,-4.411622689746205,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,8,PEG,ES,0.12539489252856129,1.090306430685238,-0.0921382874219038,-6.209350117962832e-16,0.02120352495138031,-3.7669973755358845,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,9,GPUI,PPL,0.12742222155327454,0.7824614364831323,0.22668891878952918,-1.976899101160605e-15,0.015126652441739894,-4.679948872662128,B~A,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,10,D,ES,0.12980879568817727,0.8820217299321392,0.13723440541092985,1.8351591656056935e-15,0.0177395734938218,-5.1889314281954775,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,11,GPUI,ES,0.1311957398058894,0.8426196883243915,0.16069667634581478,-2.0659802371285523e-15,0.01831844113371589,-4.794789114626533,B~A,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,12,FPC,ES,0.15189748017905913,0.832582491786609,0.16435672420586642,-1.395897012384436e-15,0.013808898540109128,-6.011272637268504,B~A,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,13,SCG,WEC,0.17169320845209768,0.8766900253043025,0.14158161933070001,-4.432115631902799e-17,0.022749670539099844,-3.82277566487117,B~A,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,14,D,FPC,0.17364050203082115,0.7505188498087576,0.2647815301432575,4.8858589550104716e-15,0.01825894944824779,-3.747725825182887,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,15,SO,PPL,0.1751526297879309,1.294945238427826,-0.3072040512401501,2.3994859678459906e-15,0.019005602289932564,-6.0918134266927,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,16,PPL,FPC,0.17515842760724354,0.7636053530042328,0.2403641781967827,2.2511636823427085e-16,0.013529389432868258,-4.604073470176034,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,17,AEP,CEG,0.17796848528968212,0.7093416680040003,0.28635685389202037,-6.08033605897477e-15,0.01823835610582339,-4.097523180633702,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,18,DTE,TXU,0.1789911946492566,0.7500886291492854,0.2672011381020468,5.081574160142021e-16,0.020191049557613173,-4.585964640923659,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,19,KO,BMY,0.18614280875635814,0.9127974286428938,0.095769579287408,1.1444512443566832e-15,0.024062720425486222,-5.325821005757093,A~B,ADF
1990-08_a_1991-07,1990-08,1991-07,1991-08,1992-01,20,SO,ES,0.18720815183769446,1.1702799731883287,-0.17269178294034151,1.778550956049707e-15,0.023674594040063286,-4.4612785884705755,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,1,PPL,ES,0.11003583424576391,1.0721960827635812,-0.07218637253613622,-7.775966819299211e-16,0.018016563437378633,-5.246589587552126,B~A,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,2,AEP,AYE,0.11009971385487916,0.8301303734239047,0.1908943163304872,-3.9650822308041306e-17,0.01708757007085282,-5.16478038263464,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,3,PEG,FPC,0.11040114099068887,0.9018173440289592,0.1178899079638723,1.7847275685541704e-15,0.01904162445571226,-4.65204722390907,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,4,CNP,PEG,0.12208561662862394,0.9880754955160728,0.02267849409435102,-3.0839528461809905e-17,0.020165994831177113,-3.570618722683642,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,5,FPC,WEC,0.1315599953952642,1.0778911886831755,-0.07881388861764876,-8.357512213150484e-16,0.018617404251758354,-5.277662326780918,B~A,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,6,1005945D,AYE,0.13192094220244144,1.0647909210764404,-0.06849355121421799,-3.19894023087431e-15,0.022144740281744367,-4.255022666900881,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,7,CIN,AYE,0.1459428758728336,1.1321515497898131,-0.1446828775203576,9.168151247003773e-16,0.022107562449676037,-3.4106142412948413,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,8,GPUI,WEC,0.1468036024155026,1.0662480328998432,-0.06989904087455316,-3.780045060033271e-16,0.022367684685167664,-4.418447090818407,B~A,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,9,D,ES,0.14786193288932736,0.8781247868067387,0.15206618037003838,-5.656850649280559e-16,0.018632432343534334,-5.242209883229143,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,10,FPC,TEG,0.14975756348519553,0.9784635022780876,0.029316266329824953,4.0316074993431776e-15,0.02393620280490777,-4.206269127322648,B~A,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,11,CNP,SO,0.15206572038641752,0.9425264385319898,0.07458197123618884,-1.0362081563168128e-15,0.023115154945064165,-3.7310455241323774,B~A,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,12,GPUI,TEG,0.16845562381547552,0.9708619128620093,0.03394731727995995,-4.1280911669594115e-16,0.025750431003932393,-4.204963536908431,B~A,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,13,DTE,TXU,0.1792773251476092,0.7581378525070095,0.2592529652591713,6.7838151322135555e-15,0.02157183622526378,-4.141488867319329,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,14,AEP,PPL,0.18103433117755685,0.910666190515251,0.08289624165987405,3.2619409818748645e-15,0.01880425706103119,-4.7753908832096705,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,15,1005945D,CIN,0.18214641656118147,0.8931344952558335,0.12035887501668935,-2.3909445851748906e-15,0.025378978423327408,-4.259517590715997,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,16,45200Q,UEP,0.18294792873086863,0.8636413207118657,0.1719715823971306,3.0469454120268183e-15,0.022755909992479225,-4.911243376609865,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,17,PEG,WEC,0.1840267322975251,0.8144982772237879,0.20983100914394703,2.3468881159437337e-15,0.02005401882685673,-4.229644321683931,A~B,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,18,1005945D,AEP,0.18770939355636074,0.7417923942811873,0.2864880360709079,3.822339270495182e-15,0.018458657447367664,-4.684917996638669,B~A,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,19,FPC,ES,0.19026379986758002,0.8596360408178658,0.14277969605845808,-1.4521012258589349e-15,0.014711782493417523,-5.808439046645191,B~A,ADF
1990-09_a_1991-08,1990-09,1991-08,1991-09,1992-02,20,ED,PPL,0.1914724033249513,1.240676808918871,-0.2693155373623586,2.9570702147952584e-15,0.022781149944638562,-5.2759676859710565,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,1,AEP,PPL,0.09960999611951138,0.9150863563397049,0.0934926413039671,-3.315749080659163e-15,0.018935244687200346,-4.732505944248424,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,2,FPC,WEC,0.10040732721950008,1.0819733287100868,-0.0970741909715602,-4.364536839099528e-15,0.018957769699195208,-5.298326594390521,B~A,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,3,PEG,SO,0.1319450684821959,0.8818206316754572,0.15050214975251144,4.2855486397190825e-15,0.019003902331060113,-3.405325552818825,B~A,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,4,UEP,FPC,0.13385258347250328,0.8793469343236998,0.13608769990820144,-4.153901640751673e-15,0.018404523639981605,-4.254823653349518,B~A,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,5,AYE,ES,0.14629580632743,0.8558125448753766,0.17837948074192392,-7.886532884807633e-15,0.017563379470492288,-5.606828617371314,B~A,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,6,PPW,DTE,0.15046337354021944,0.8590382907524381,0.15204404382065606,7.174761443723838e-16,0.02314170218884787,-4.963822282663482,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,7,D,ES,0.1553731566037868,1.1132545653980157,-0.11979711528517449,-4.613788490477825e-15,0.021224817941670776,-4.8777425022098475,B~A,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,8,GPUI,PPL,0.1562819846540151,1.079639392470872,-0.07885238090462889,7.40646016190648e-15,0.02146121487080065,-4.101433398109561,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,9,45200Q,PEG,0.15708255181255026,0.8650763578152922,0.1654930353982571,2.685598778935161e-16,0.022300267257331315,-3.5964291298458693,B~A,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,10,FPC,TEG,0.15722306264012786,0.9791372047097727,0.024353533526038168,1.6060933874024005e-16,0.024872897246061152,-4.5845229933606,B~A,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,11,PEG,FPC,0.16037834663882222,0.8307959512921554,0.1907122104491426,1.079505391532761e-16,0.018204718164579456,-4.663327101328299,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,12,D,PPL,0.17685145568282223,0.9148535775017789,0.11587066284739761,-9.81208965637095e-16,0.017414302873104737,-3.948341897289775,A~B,ADF
