janela,formacao_inicio,formacao_fim,negociacao_inicio,negociacao_fim,rank,ativo1,ativo2,ssd,beta,alpha,spread_media,spread_desvio,stat,direcao,metodo
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,13,AEP,GPUI,0.17840508709616643,0.8102265214907162,0.20317073771341282,6.591126414968321e-16,0.017992042273961683,-4.502152170273172,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,14,UEP,WEC,0.18019838684995193,0.9616378315549524,0.03782614512871377,2.155500196426391e-15,0.025088792726334186,-4.1881773051510445,B~A,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,15,TEG,WEC,0.18148462672456844,0.8800603110472451,0.1420897690311587,2.2880248420535836e-15,0.024869008203946275,-4.8469965963199035,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,16,D,AYE,0.189738161519017,0.7230085144596348,0.32059605445093553,7.236196709908629e-15,0.017080891233103176,-4.0983629802178445,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,17,45200Q,ES,0.20339095239864946,0.944077922079789,0.08072450008526794,-2.788283438129741e-15,0.023398015464667785,-4.767939568137424,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,18,1005945D,ES,0.20436642282425055,1.1367688050177105,-0.1517529558732234,-1.2304606170153909e-15,0.02572980975501036,-4.319648087141984,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,19,AEP,CEG,0.20634188707163048,0.7580381415551484,0.28346941977082857,-2.7470340451199527e-15,0.018471846933812795,-4.935195578415347,A~B,ADF
1990-10_a_1991-09,1990-10,1991-09,1991-10,1992-03,20,EIX,D,0.20871338196184297,0.7547540507843492,0.29251287777308355,1.3191029296534468e-15,0.018644789880262223,-3.9047578705092336,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,1,PPL,FPC,0.07769088468216978,0.869625521821803,0.14786261588504285,1.3910699557556309e-15,0.014688817850167468,-4.661133079447588,A~B,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,2,PPL,ES,0.0836184350671374,1.0310852598342841,-0.04098076191480888,1.0106101287398164e-15,0.01691574182504055,-4.940966976786283,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,3,FPC,ES,0.08381363789499119,1.0118199841691637,-0.009842835785144078,-2.1511119631274773e-15,0.017893317687231264,-5.129107008940557,A~B,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,4,BLS,3054Q,0.08786691007327363,0.8017660764918155,0.19225437338914628,1.7658250794828577e-15,0.016358641699911056,-4.488933344385477,A~B,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,5,AYE,SCG,0.09668454133577598,0.9521079658823609,0.05859228514034964,-3.0480668494254296e-15,0.018450223925822566,-3.5806352826704817,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,6,45200Q,CNP,0.10387815263231914,0.8347401358895181,0.1835479314851905,-8.899337130196907e-16,0.016602648326175924,-4.521177959758942,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,7,CIN,SCG,0.10412453490118878,0.8767109551521021,0.14016703025886104,-2.394220087887294e-15,0.01688463821020627,-4.420979544165799,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,8,XEL,UEP,0.11040856453450942,0.8890166258013223,0.12628024049567274,8.728196031539275e-16,0.018080675021371184,-5.00540491276709,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,9,AEP,TEG,0.11634519035578705,1.0537835841586805,-0.05633616075152943,-3.1507515086200095e-16,0.021067788914174188,-4.770142969984277,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,10,UEP,FPC,0.11695026187703661,0.8540123172639076,0.16762871023533824,1.2638111900871347e-15,0.01697198235578534,-4.204220624854764,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,11,FPC,AYE,0.11704836321302992,0.824643541624177,0.18950476489657217,-1.702634519978501e-15,0.01471671197238662,-4.070482913058399,A~B,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,12,AEP,CNP,0.12487180352798077,0.8640327525123278,0.14311835999838093,3.177958555073274e-15,0.01997617529496623,-3.739629187115346,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,13,45200Q,AEP,0.12593626900684285,0.8977127382588829,0.12071679052076056,-7.898819938044593e-18,0.018772189486124403,-4.308239404778072,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,14,AEP,GPUI,0.1269441620931957,0.9776706863329606,0.03540041948547484,-3.211309128145018e-15,0.019446381903580865,-4.316389558716804,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,15,45200Q,D,0.1300100671845712,0.9640567747735824,0.052481239534220854,-2.8497187043145323e-15,0.017575025511734482,-4.532890747335661,A~B,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,16,PPW,DTE,0.14165580373082776,0.8438583467099092,0.15080569709572317,4.6225649570756514e-15,0.018303269920933722,-4.852202952392036,A~B,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,17,PPW,TXU,0.14227895351814368,1.1363330523753046,-0.1327677018194955,2.4749635805873054e-15,0.02200446795953989,-3.5209589272743753,A~B,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,18,AEP,ES,0.14511438073259342,1.057458038844294,-0.047006814367913756,-3.7343865373755267e-16,0.017761351859678684,-5.8131403737491425,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,19,UEP,ES,0.14584573898241615,0.8078751943569327,0.21530383315135126,-2.982682173271616e-15,0.018375375250793538,-4.713938834265815,B~A,ADF
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,20,GPUI,ES,0.15021614651834625,0.874349703336446,0.13442212953907215,1.446361695321943e-15,0.022429859843924035,-3.993545414072908,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,1,FPC,ES,0.08449819429301897,0.9947496478539337,0.010661426352395267,2.2310196018657907e-15,0.017635767426186257,-4.977679420930527,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,2,FPC,WEC,0.0885858240790185,0.9499955407572324,0.051179448838330505,-4.72814027788777e-15,0.017966967746793686,-4.877759988026357,B~A,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,3,BLS,3054Q,0.0969809267733126,0.8030062647702961,0.19540471233452608,-3.350935049721802e-15,0.01654315284802008,-4.106453735908565,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,4,PPL,ES,0.0980407289609957,1.069752875437024,-0.06525799854056766,-5.596493286433874e-15,0.016102251148940858,-5.145018538116829,B~A,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,5,XEL,UEP,0.09870547956529663,1.0442007624559975,-0.0489921984689321,2.061842760018148e-15,0.019364867997733504,-4.864435819837069,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,6,AEP,PPL,0.10040808041026139,0.9379925975124107,0.05778531801453475,1.169258693394907e-15,0.017078246034529797,-5.11608509360065,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,7,PEG,0961514D,0.10239296476788695,0.9233861372759651,0.0769270131328759,-4.5347323779629905e-15,0.018899121839864353,-3.823854163160278,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,8,AYE,SCG,0.10571784677688356,0.890710950631989,0.1240575628691884,-3.944375690265487e-15,0.017944476409826087,-3.553681537492327,B~A,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,9,WEC,ES,0.11331574867153904,0.9566512478606835,0.046404453756968014,1.7023419710919068e-15,0.020933697836351677,-4.4524147008733985,B~A,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,10,1005945D,SCG,0.11369215985803294,0.921948942138465,0.08013689387323517,-2.2768383298661942e-15,0.018984026681597935,-3.7201397577388673,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,11,300583Q,COP,0.11599870165923676,0.9802065981619293,0.017227484482112698,-9.569065117007301e-16,0.021358898294588802,-6.002060875049549,B~A,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,12,AEP,CNP,0.11906527790836208,1.0481041199382095,-0.04879964291857394,-6.653848547981643e-15,0.021371863550216176,-3.4692800290482837,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,13,45200Q,DTE,0.12699617641067107,0.9263722529064292,0.06633114386866093,-1.1234399653945036e-15,0.01839533142666539,-4.620857676969418,B~A,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,14,PCG,UEP,0.12764333659049498,0.9462709653774997,0.0570783120672991,2.0777030889413645e-15,0.021751865063135905,-5.142203179078108,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,15,PPL,WEC,0.1338422454174406,1.0592949558003526,-0.05281535585638525,1.7803219216310545e-15,0.019579166525728966,-4.327847921588963,B~A,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,16,SO,PPL,0.13537560942654636,0.9925223290035954,0.01316517792056543,-9.912705577010327e-16,0.02260587901419034,-3.617981412270773,B~A,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,17,TEG,WEC,0.13873215743979017,0.8963362852754615,0.12074593135115298,2.9650003792568663e-16,0.021000758710427336,-4.198811868909145,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,18,45200Q,D,0.13947662612747536,0.875676756253978,0.11940899428094776,-1.1771888578565151e-15,0.015919942963772984,-4.723400700512078,A~B,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,19,PPL,FPC,0.13951898827610876,1.0936748795093887,-0.08628627635715266,-1.5507877169367265e-16,0.01673518913003165,-4.6679966636345,B~A,ADF
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,20,TE,ES,0.13954379416941265,1.021837423920683,-0.021883723890845266,4.888946390581493e-15,0.02338938047672795,-3.809024484416683,A~B,ADF
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,1,AEP,FPC,0.081701452138077,0.9244544005129045,0.08213047007660366,3.1639162085167504e-16,0.016774439071628837,-4.295729775327179,A~B,ADF
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,2,FPC,WEC,0.0962719929573268,0.9900025907710475,0.018243719801458502,-6.152303085076954e-16,0.01811974627203833,-4.511508724743737,B~A,ADF
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,3,45200Q,FPC,0.09789591461378677,1.0184311681257832,-0.026101867865153706,4.088955787927751e-15,0.0187648613290416,-4.359438028887576,A~B,ADF
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,4,AEP,WEC,0.09799604324462052,0.9135909314092572,0.08759921642998082,-1.5867851608871802e-15,0.016101495747657218,-5.7696207746061585,A~B,ADF
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,5,D,UEP,0.09993137592164203,0.9024759526199064,0.10203885233241677,-1.6469039570822974e-15,0.016155816951183326,-4.886959447267842,A~B,ADF
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,6,NEE,AYE,0.10103489063203597,0.9586018068713597,0.050410213239640546,1.1940382806344075e-15,0.019216880736596734,-4.252985713782854,B~A,ADF
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,7,AEP,ES,0.10225053538260909,1.0193182432449515,-0.031131578120122735,-1.5665992877121773e-15,0.017500971251333243,-6.050620376035894,B~A,ADF
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,8,45200Q,DTE,0.10674523548038906,0.9792464316850064,0.02567790379708251,1.100130088037655e-15,0.020258986707964274,-4.644022303853548,A~B,ADF
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,9,XEL,UEP,0.10942786347720812,1.062952811835026,-0.07251076888081971,3.572021905315721e-16,0.019467031460969283,-4.662789308608157,A~B,ADF
