janela,neg_inicio,neg_fim,ativo1,ativo2,direcao,rank,ssd,beta,sigma,stat,n_trades,n_fechados,n_forcados,retorno_total
1990-07_a_1991-06,1991-07,1991-12,GPUI,FPC,A~B,1,0.0809542524951894,0.9409485657469684,0.0171357435663503,-4.620600543965759,2,1,1,0.04324620055080379
1990-07_a_1991-06,1991-07,1991-12,FPC,ES,B~A,2,0.0979908553019868,0.8427079350288448,0.0142774263835593,-6.092363107586894,5,4,1,0.12293863491123806
1990-07_a_1991-06,1991-07,1991-12,45200Q,CNP,B~A,3,0.101924436282843,0.9477387457531248,0.0196837647502931,-4.535409109622002,2,1,1,0.04323835729402482
1990-07_a_1991-06,1991-07,1991-12,SCG,WEC,B~A,4,0.1039669079519853,0.9481121603693332,0.0194580728327337,-4.195184553400922,3,3,0,0.12107303446827283
1990-07_a_1991-06,1991-07,1991-12,PEG,0961514D,B~A,5,0.1040522489389559,0.9894298156549746,0.0170234595467441,-4.309597584018359,2,1,1,0.04045573319648567
1990-07_a_1991-06,1991-07,1991-12,PEG,PPL,A~B,6,0.1115805322640426,1.211528733731242,0.0171578511517089,-4.3141895120303575,2,1,1,-0.03906075096556475
1990-07_a_1991-06,1991-07,1991-12,D,ES,B~A,7,0.1167627886636637,1.0229536331902338,0.0195411342262871,-5.1931731761182345,2,1,1,0.07393554637022137
1990-07_a_1991-06,1991-07,1991-12,CNP,SO,A~B,8,0.1385639291197549,0.9415360329584864,0.0209045805171273,-3.642854676620229,2,2,0,0.07161497720648066
1990-07_a_1991-06,1991-07,1991-12,GPUI,ES,B~A,9,0.1405470378757627,0.8542320712911369,0.0186731904304221,-4.746834147338773,2,1,1,-0.0003612599824101767
1990-07_a_1991-06,1991-07,1991-12,AEP,CEG,A~B,10,0.1438760128178273,0.7383919243304229,0.0177371742739368,-4.084971727901036,3,2,1,0.061584681949243665
1990-07_a_1991-06,1991-07,1991-12,45200Q,SO,A~B,11,0.1525105009206981,0.958307834143673,0.0227023487520303,-4.342180381128139,3,2,1,0.08356219721879363
1990-07_a_1991-06,1991-07,1991-12,SO,WEC,B~A,12,0.1711350777161442,0.995209660335192,0.0248838975463614,-3.7712423556461694,2,1,1,0.06805140030703591
1990-07_a_1991-06,1991-07,1991-12,D,FPC,A~B,13,0.1714240187822042,0.7636036813557271,0.0191147916746682,-3.7301194548870775,1,0,1,-0.02884005906052473
1990-07_a_1991-06,1991-07,1991-12,PPL,AYE,A~B,14,0.1825639844971647,0.961433881060894,0.0202890517916419,-3.518169068775017,3,2,1,0.09114336239297458
1990-07_a_1991-06,1991-07,1991-12,CNP,WEC,A~B,15,0.1841373803486021,0.8891553989882885,0.0253276933970076,-3.710441637168516,1,0,1,-4.138400290001204e-05
1990-07_a_1991-06,1991-07,1991-12,SO,FPC,A~B,16,0.1900283971654062,1.057339830294214,0.0210670122032023,-4.535828574301299,4,3,1,0.11935618614127046
1990-07_a_1991-06,1991-07,1991-12,PCG,SO,B~A,17,0.1907071388791337,0.8307622317548617,0.0175287216715178,-3.745384179863832,3,2,1,0.051435838964874366
1990-07_a_1991-06,1991-07,1991-12,TE,SCG,A~B,18,0.1916416285002924,1.1133554687734728,0.0218951054673614,-3.981545669553352,3,2,1,0.09072642498936805
1990-07_a_1991-06,1991-07,1991-12,45200Q,WEC,A~B,19,0.1926108849769434,0.9068236761304964,0.0265171364662034,-3.748653362186343,2,1,1,0.07534446740105813
1990-07_a_1991-06,1991-07,1991-12,BDX,PPL,A~B,20,0.1995460026407727,1.0310977816920088,0.0259833325023535,-4.805956991832628,1,0,1,-0.1701979263548515
1990-08_a_1991-07,1991-08,1992-01,PPL,ES,B~A,1,0.0732960148998245,1.047329172002688,0.016716850269491,-5.278275177573494,5,4,1,0.14042982128173548
1990-08_a_1991-07,1991-08,1992-01,PEG,SO,B~A,2,0.07374990911444,1.0536073695851262,0.0160575569787084,-6.552995230576937,2,1,1,-0.09710016207452422
1990-08_a_1991-07,1991-08,1992-01,GPUI,FPC,A~B,3,0.0980878365178341,0.9400657672420546,0.0172089208369625,-4.447764146285119,2,1,1,0.08049650186613942
1990-08_a_1991-07,1991-08,1992-01,SO,FPC,A~B,4,0.1135230126892565,1.0151052770262172,0.0195879178871896,-4.855301237016255,4,3,1,0.08626297097199451
1990-08_a_1991-07,1991-08,1992-01,PEG,PPL,A~B,5,0.1172213800039116,1.2003944334526446,0.0180337889536553,-4.244100506706621,1,0,1,-0.0817567343873247
1990-08_a_1991-07,1991-08,1992-01,45200Q,CNP,A~B,6,0.1208864191719385,0.9892245782510124,0.0199887707452865,-4.649325661465918,2,2,0,0.0782149532586531
1990-08_a_1991-07,1991-08,1992-01,PEG,FPC,A~B,7,0.1237602007923897,0.943426982360668,0.0178799193245724,-4.411622689746205,2,1,1,-0.008782823174870141
1990-08_a_1991-07,1991-08,1992-01,PEG,ES,A~B,8,0.1253948925285612,1.090306430685238,0.0212035249513803,-3.766997375535885,1,0,1,-0.12347249418216748
1990-08_a_1991-07,1991-08,1992-01,GPUI,PPL,B~A,9,0.1274222215532745,0.7824614364831323,0.0151266524417398,-4.679948872662128,1,0,1,-0.01741271737326352
1990-08_a_1991-07,1991-08,1992-01,D,ES,A~B,10,0.1298087956881772,0.8820217299321392,0.0177395734938218,-5.1889314281954775,1,0,1,0.013754138667917068
1990-08_a_1991-07,1991-08,1992-01,GPUI,ES,B~A,11,0.1311957398058894,0.8426196883243915,0.0183184411337158,-4.794789114626533,1,0,1,-0.06070318746916998
1990-08_a_1991-07,1991-08,1992-01,FPC,ES,B~A,12,0.1518974801790591,0.832582491786609,0.0138088985401091,-6.011272637268504,4,3,1,0.036220272928426486
1990-08_a_1991-07,1991-08,1992-01,SCG,WEC,B~A,13,0.1716932084520976,0.8766900253043025,0.0227496705390998,-3.82277566487117,2,2,0,0.09463373049405813
1990-08_a_1991-07,1991-08,1992-01,D,FPC,A~B,14,0.1736405020308211,0.7505188498087576,0.0182589494482477,-3.747725825182887,1,0,1,-0.05930336999897215
1990-08_a_1991-07,1991-08,1992-01,SO,PPL,A~B,15,0.1751526297879309,1.294945238427826,0.0190056022899325,-6.0918134266927,4,3,1,0.12273294623779987
1990-08_a_1991-07,1991-08,1992-01,PPL,FPC,A~B,16,0.1751584276072435,0.7636053530042328,0.0135293894328682,-4.604073470176034,2,1,1,0.013396358667019739
1990-08_a_1991-07,1991-08,1992-01,AEP,CEG,A~B,17,0.1779684852896821,0.7093416680040003,0.0182383561058233,-4.097523180633702,2,1,1,0.03338408979876208
1990-08_a_1991-07,1991-08,1992-01,DTE,TXU,A~B,18,0.1789911946492566,0.7500886291492854,0.0201910495576131,-4.585964640923659,1,0,1,-0.02780857556497926
1990-08_a_1991-07,1991-08,1992-01,KO,BMY,A~B,19,0.1861428087563581,0.9127974286428938,0.0240627204254862,-5.325821005757093,1,0,1,-0.27425722449963436
1990-08_a_1991-07,1991-08,1992-01,SO,ES,A~B,20,0.1872081518376944,1.1702799731883289,0.0236745940400632,-4.461278588470576,4,4,0,0.16030931024784328
1990-09_a_1991-08,1991-09,1992-02,PPL,ES,B~A,1,0.1100358342457639,1.0721960827635812,0.0180165634373786,-5.246589587552126,6,5,1,0.169008852848206
1990-09_a_1991-08,1991-09,1992-02,AEP,AYE,A~B,2,0.1100997138548791,0.8301303734239047,0.0170875700708528,-5.16478038263464,5,5,0,0.19899977850151288
1990-09_a_1991-08,1991-09,1992-02,PEG,FPC,A~B,3,0.1104011409906888,0.9018173440289592,0.0190416244557122,-4.65204722390907,1,0,1,-0.02682366478179177
1990-09_a_1991-08,1991-09,1992-02,CNP,PEG,A~B,4,0.1220856166286239,0.9880754955160728,0.0201659948311771,-3.570618722683642,3,2,1,0.03538220304850443
1990-09_a_1991-08,1991-09,1992-02,FPC,WEC,B~A,5,0.1315599953952642,1.0778911886831757,0.0186174042517583,-5.277662326780918,3,3,0,0.10403717018599164
1990-09_a_1991-08,1991-09,1992-02,1005945D,AYE,A~B,6,0.1319209422024414,1.0647909210764404,0.0221447402817443,-4.255022666900881,2,1,1,0.028578095765018532
1990-09_a_1991-08,1991-09,1992-02,CIN,AYE,A~B,7,0.1459428758728336,1.1321515497898131,0.022107562449676,-3.4106142412948413,3,3,0,0.15252080969654672
1990-09_a_1991-08,1991-09,1992-02,GPUI,WEC,B~A,8,0.1468036024155026,1.0662480328998432,0.0223676846851676,-4.418447090818407,1,0,1,0.014423076661089777
1990-09_a_1991-08,1991-09,1992-02,D,ES,A~B,9,0.1478619328893273,0.8781247868067387,0.0186324323435343,-5.242209883229143,1,1,0,0.036798621255386944
1990-09_a_1991-08,1991-09,1992-02,FPC,TEG,B~A,10,0.1497575634851955,0.9784635022780876,0.0239362028049077,-4.206269127322648,3,3,0,0.125476183747192
1990-09_a_1991-08,1991-09,1992-02,CNP,SO,B~A,11,0.1520657203864175,0.9425264385319898,0.0231151549450641,-3.7310455241323774,2,1,1,0.07053410919346204
1990-09_a_1991-08,1991-09,1992-02,GPUI,TEG,B~A,12,0.1684556238154755,0.9708619128620092,0.0257504310039323,-4.204963536908431,4,3,1,0.17885296699851616
1990-09_a_1991-08,1991-09,1992-02,DTE,TXU,A~B,13,0.1792773251476092,0.7581378525070095,0.0215718362252637,-4.141488867319329,1,0,1,-0.0030912158434727296
1990-09_a_1991-08,1991-09,1992-02,AEP,PPL,A~B,14,0.1810343311775568,0.910666190515251,0.0188042570610311,-4.775390883209671,3,3,0,0.12643750841512602
1990-09_a_1991-08,1991-09,1992-02,1005945D,CIN,A~B,15,0.1821464165611814,0.8931344952558335,0.0253789784233274,-4.259517590715997,2,1,1,0.03758860183263752
1990-09_a_1991-08,1991-09,1992-02,45200Q,UEP,A~B,16,0.1829479287308686,0.8636413207118657,0.0227559099924792,-4.911243376609865,5,4,1,0.1553443759420641
1990-09_a_1991-08,1991-09,1992-02,PEG,WEC,A~B,17,0.1840267322975251,0.8144982772237879,0.0200540188268567,-4.229644321683931,2,1,1,0.02168210865846419
1990-09_a_1991-08,1991-09,1992-02,1005945D,AEP,B~A,18,0.1877093935563607,0.7417923942811873,0.0184586574473676,-4.684917996638669,1,0,1,-0.01342572578514406
1990-09_a_1991-08,1991-09,1992-02,FPC,ES,B~A,19,0.19026379986758,0.8596360408178658,0.0147117824934175,-5.808439046645191,6,5,1,0.13849779799243397
1990-09_a_1991-08,1991-09,1992-02,ED,PPL,A~B,20,0.1914724033249513,1.240676808918871,0.0227811499446385,-5.2759676859710565,2,1,1,0.03203758001425414
1990-10_a_1991-09,1991-10,1992-03,AEP,PPL,A~B,1,0.0996099961195113,0.9150863563397048,0.0189352446872003,-4.732505944248424,3,3,0,0.13261497402256348
1990-10_a_1991-09,1991-10,1992-03,FPC,WEC,B~A,2,0.1004073272195,1.0819733287100868,0.0189577696991952,-5.298326594390521,3,2,1,0.06815654636711817
1990-10_a_1991-09,1991-10,1992-03,PEG,SO,B~A,3,0.1319450684821959,0.8818206316754572,0.0190039023310601,-3.405325552818825,1,0,1,-0.10508962274791643
1990-10_a_1991-09,1991-10,1992-03,UEP,FPC,B~A,4,0.1338525834725032,0.8793469343236998,0.0184045236399816,-4.254823653349518,2,2,0,0.06322255510424865
1990-10_a_1991-09,1991-10,1992-03,AYE,ES,B~A,5,0.14629580632743,0.8558125448753766,0.0175633794704922,-5.606828617371314,3,2,1,0.03463678049511179
1990-10_a_1991-09,1991-10,1992-03,PPW,DTE,A~B,6,0.1504633735402194,0.8590382907524381,0.0231417021888478,-4.963822282663482,1,0,1,-0.008366005454346334
1990-10_a_1991-09,1991-10,1992-03,D,ES,B~A,7,0.1553731566037868,1.1132545653980157,0.0212248179416707,-4.877742502209848,3,2,1,0.07784073234994515
1990-10_a_1991-09,1991-10,1992-03,GPUI,PPL,A~B,8,0.1562819846540151,1.079639392470872,0.0214612148708006,-4.101433398109561,1,0,1,0.0007195557863458654
1990-10_a_1991-09,1991-10,1992-03,45200Q,PEG,B~A,9,0.1570825518125502,0.8650763578152922,0.0223002672573313,-3.5964291298458693,2,1,1,-0.004641816384698473
1990-10_a_1991-09,1991-10,1992-03,FPC,TEG,B~A,10,0.1572230626401278,0.9791372047097728,0.0248728972460611,-4.5845229933606,4,3,1,0.14541595379674982
1990-10_a_1991-09,1991-10,1992-03,PEG,FPC,A~B,11,0.1603783466388222,0.8307959512921554,0.0182047181645794,-4.663327101328299,1,0,1,0.001113419223288747
1990-10_a_1991-09,1991-10,1992-03,D,PPL,A~B,12,0.1768514556828222,0.9148535775017788,0.0174143028731047,-3.948341897289775,2,1,1,0.05802149140042497
1990-10_a_1991-09,1991-10,1992-03,AEP,GPUI,A~B,13,0.1784050870961664,0.8102265214907162,0.0179920422739616,-4.502152170273172,1,0,1,-0.006726664048094223
1990-10_a_1991-09,1991-10,1992-03,UEP,WEC,B~A,14,0.1801983868499519,0.9616378315549524,0.0250887927263341,-4.1881773051510445,1,1,0,0.04596086501453913
1990-10_a_1991-09,1991-10,1992-03,TEG,WEC,A~B,15,0.1814846267245684,0.8800603110472451,0.0248690082039462,-4.846996596319904,1,1,0,0.04513264143705801
1990-10_a_1991-09,1991-10,1992-03,D,AYE,A~B,16,0.189738161519017,0.7230085144596348,0.0170808912331031,-4.0983629802178445,1,0,1,-0.01744817602670091
1990-10_a_1991-09,1991-10,1992-03,45200Q,ES,A~B,17,0.2033909523986494,0.944077922079789,0.0233980154646677,-4.767939568137424,4,4,0,0.17625167259226993
1990-10_a_1991-09,1991-10,1992-03,1005945D,ES,A~B,18,0.2043664228242505,1.1367688050177105,0.0257298097550103,-4.319648087141984,1,0,1,-0.05238892961697896
1990-10_a_1991-09,1991-10,1992-03,AEP,CEG,A~B,19,0.2063418870716304,0.7580381415551484,0.0184718469338127,-4.935195578415347,3,2,1,0.049268554627802254
1990-10_a_1991-09,1991-10,1992-03,EIX,D,B~A,20,0.2087133819618429,0.7547540507843492,0.0186447898802622,-3.9047578705092336,1,0,1,-0.0559531138096067
1990-11_a_1991-10,1991-11,1992-04,PPL,FPC,A~B,1,0.0776908846821697,0.869625521821803,0.0146888178501674,-4.661133079447588,4,3,1,0.10193728717577466
1990-11_a_1991-10,1991-11,1992-04,PPL,ES,B~A,2,0.0836184350671374,1.031085259834284,0.0169157418250405,-4.940966976786283,5,4,1,0.16391075359368537
1990-11_a_1991-10,1991-11,1992-04,FPC,ES,A~B,3,0.0838136378949911,1.0118199841691635,0.0178933176872312,-5.129107008940557,2,1,1,0.04703373352312129
1990-11_a_1991-10,1991-11,1992-04,BLS,3054Q,A~B,4,0.0878669100732736,0.8017660764918155,0.016358641699911,-4.488933344385477,2,1,1,0.060078349279863184
1990-11_a_1991-10,1991-11,1992-04,AYE,SCG,B~A,5,0.0966845413357759,0.9521079658823608,0.0184502239258225,-3.5806352826704817,3,2,1,0.08870673999478783
1990-11_a_1991-10,1991-11,1992-04,45200Q,CNP,B~A,6,0.1038781526323191,0.8347401358895181,0.0166026483261759,-4.521177959758942,2,1,1,-0.0045590515135257885
1990-11_a_1991-10,1991-11,1992-04,CIN,SCG,B~A,7,0.1041245349011887,0.8767109551521021,0.0168846382102062,-4.420979544165799,2,1,1,0.010182916531792612
1990-11_a_1991-10,1991-11,1992-04,XEL,UEP,B~A,8,0.1104085645345094,0.8890166258013223,0.0180806750213711,-5.00540491276709,4,3,1,0.10374243146502564
1990-11_a_1991-10,1991-11,1992-04,AEP,TEG,B~A,9,0.116345190355787,1.0537835841586805,0.0210677889141741,-4.770142969984277,5,5,0,0.24013384855365766
1990-11_a_1991-10,1991-11,1992-04,UEP,FPC,B~A,10,0.1169502618770366,0.8540123172639076,0.0169719823557853,-4.204220624854764,4,3,1,0.07982434292544446
1990-11_a_1991-10,1991-11,1992-04,FPC,AYE,A~B,11,0.1170483632130299,0.824643541624177,0.0147167119723866,-4.070482913058399,4,3,1,0.07326431819885904
1990-11_a_1991-10,1991-11,1992-04,AEP,CNP,B~A,12,0.1248718035279807,0.8640327525123278,0.0199761752949662,-3.739629187115346,1,0,1,-0.0499900923708234
1990-11_a_1991-10,1991-11,1992-04,45200Q,AEP,B~A,13,0.1259362690068428,0.8977127382588829,0.0187721894861244,-4.308239404778072,3,3,0,0.13846672241484503
1990-11_a_1991-10,1991-11,1992-04,AEP,GPUI,B~A,14,0.1269441620931957,0.9776706863329606,0.0194463819035808,-4.316389558716804,2,1,1,0.03617338988953252
1990-11_a_1991-10,1991-11,1992-04,45200Q,D,A~B,15,0.1300100671845712,0.9640567747735824,0.0175750255117344,-4.532890747335661,4,3,1,0.14323810824265976
