janela,neg_inicio,neg_fim,ativo1,ativo2,direcao,rank,ssd,beta,sigma,stat,n_trades,n_fechados,n_forcados,retorno_total
1990-11_a_1991-10,1991-11,1992-04,PPW,DTE,A~B,16,0.1416558037308277,0.8438583467099092,0.0183032699209337,-4.852202952392036,1,0,1,-0.059255827801781076
1990-11_a_1991-10,1991-11,1992-04,PPW,TXU,A~B,17,0.1422789535181436,1.1363330523753046,0.0220044679595398,-3.5209589272743758,1,0,1,-0.01813002289011993
1990-11_a_1991-10,1991-11,1992-04,AEP,ES,B~A,18,0.1451143807325934,1.057458038844294,0.0177613518596786,-5.813140373749143,6,5,1,0.21286348529419935
1990-11_a_1991-10,1991-11,1992-04,UEP,ES,B~A,19,0.1458457389824161,0.8078751943569327,0.0183753752507935,-4.713938834265815,2,1,1,-0.004229676222178425
1990-11_a_1991-10,1991-11,1992-04,GPUI,ES,A~B,20,0.1502161465183462,0.874349703336446,0.022429859843924,-3.993545414072908,2,1,1,0.03631956289406754
1990-12_a_1991-11,1991-12,1992-05,FPC,ES,A~B,1,0.0844981942930189,0.9947496478539336,0.0176357674261862,-4.977679420930527,1,0,1,-0.002212401399208139
1990-12_a_1991-11,1991-12,1992-05,FPC,WEC,B~A,2,0.0885858240790185,0.9499955407572324,0.0179669677467936,-4.877759988026357,2,1,1,0.007925230932775461
1990-12_a_1991-11,1991-12,1992-05,BLS,3054Q,A~B,3,0.0969809267733126,0.8030062647702961,0.01654315284802,-4.106453735908565,2,1,1,0.0789263860536058
1990-12_a_1991-11,1991-12,1992-05,PPL,ES,B~A,4,0.0980407289609957,1.069752875437024,0.0161022511489408,-5.145018538116829,5,4,1,0.16361490940189072
1990-12_a_1991-11,1991-12,1992-05,XEL,UEP,A~B,5,0.0987054795652966,1.0442007624559977,0.0193648679977335,-4.864435819837069,3,3,0,0.11736350732870197
1990-12_a_1991-11,1991-12,1992-05,AEP,PPL,A~B,6,0.1004080804102613,0.9379925975124108,0.0170782460345297,-5.11608509360065,3,2,1,0.08383871182529759
1990-12_a_1991-11,1991-12,1992-05,PEG,0961514D,A~B,7,0.1023929647678869,0.9233861372759652,0.0188991218398643,-3.823854163160278,1,0,1,-0.04086669643351776
1990-12_a_1991-11,1991-12,1992-05,AYE,SCG,B~A,8,0.1057178467768835,0.890710950631989,0.017944476409826,-3.553681537492327,2,2,0,0.06283060478639846
1990-12_a_1991-11,1991-12,1992-05,WEC,ES,B~A,9,0.113315748671539,0.9566512478606836,0.0209336978363516,-4.452414700873399,2,2,0,0.08080545790153593
1990-12_a_1991-11,1991-12,1992-05,1005945D,SCG,A~B,10,0.1136921598580329,0.921948942138465,0.0189840266815979,-3.7201397577388673,2,1,1,0.052561035087782926
1990-12_a_1991-11,1991-12,1992-05,300583Q,COP,B~A,11,0.1159987016592367,0.9802065981619292,0.0213588982945888,-6.002060875049549,1,1,0,0.06061691691633054
1990-12_a_1991-11,1991-12,1992-05,AEP,CNP,A~B,12,0.119065277908362,1.0481041199382095,0.0213718635502161,-3.469280029048284,1,0,1,-0.04121202984442729
1990-12_a_1991-11,1991-12,1992-05,45200Q,DTE,B~A,13,0.126996176410671,0.9263722529064292,0.0183953314266653,-4.620857676969418,3,2,1,0.030921607706461907
1990-12_a_1991-11,1991-12,1992-05,PCG,UEP,A~B,14,0.1276433365904949,0.9462709653774996,0.0217518650631359,-5.142203179078108,2,1,1,0.027636365841691646
1990-12_a_1991-11,1991-12,1992-05,PPL,WEC,B~A,15,0.1338422454174406,1.0592949558003526,0.0195791665257289,-4.327847921588963,3,2,1,0.09809162870879612
1990-12_a_1991-11,1991-12,1992-05,SO,PPL,B~A,16,0.1353756094265463,0.9925223290035954,0.0226058790141903,-3.617981412270773,1,0,1,-0.03551537601650809
1990-12_a_1991-11,1991-12,1992-05,TEG,WEC,A~B,17,0.1387321574397901,0.8963362852754615,0.0210007587104273,-4.198811868909145,2,1,1,0.06213482860706362
1990-12_a_1991-11,1991-12,1992-05,45200Q,D,A~B,18,0.1394766261274753,0.875676756253978,0.0159199429637729,-4.723400700512078,3,2,1,0.030705101958672373
1990-12_a_1991-11,1991-12,1992-05,PPL,FPC,B~A,19,0.1395189882761087,1.093674879509389,0.0167351891300316,-4.6679966636345,3,2,1,0.08678956151439357
1990-12_a_1991-11,1991-12,1992-05,TE,ES,A~B,20,0.1395437941694126,1.021837423920683,0.0233893804767279,-3.809024484416683,2,1,1,0.012249778376007672
1991-01_a_1991-12,1992-01,1992-06,AEP,FPC,A~B,1,0.081701452138077,0.9244544005129044,0.0167744390716288,-4.295729775327179,3,3,0,0.09941371246645042
1991-01_a_1991-12,1992-01,1992-06,FPC,WEC,B~A,2,0.0962719929573268,0.9900025907710476,0.0181197462720383,-4.511508724743737,1,0,1,-0.005025055264781017
1991-01_a_1991-12,1992-01,1992-06,45200Q,FPC,A~B,3,0.0978959146137867,1.0184311681257832,0.0187648613290416,-4.359438028887576,2,1,1,-0.003735350431021863
1991-01_a_1991-12,1992-01,1992-06,AEP,WEC,A~B,4,0.0979960432446205,0.9135909314092572,0.0161014957476572,-5.769620774606159,2,1,1,0.021108897967229187
1991-01_a_1991-12,1992-01,1992-06,D,UEP,A~B,5,0.099931375921642,0.9024759526199064,0.0161558169511833,-4.886959447267842,2,1,1,0.03537445482864893
1991-01_a_1991-12,1992-01,1992-06,NEE,AYE,B~A,6,0.1010348906320359,0.9586018068713597,0.0192168807365967,-4.252985713782854,3,3,0,0.11727960004966566
1991-01_a_1991-12,1992-01,1992-06,AEP,ES,B~A,7,0.102250535382609,1.0193182432449517,0.0175009712513332,-6.050620376035894,4,3,1,0.12460157234450076
1991-01_a_1991-12,1992-01,1992-06,45200Q,DTE,A~B,8,0.106745235480389,0.9792464316850064,0.0202589867079642,-4.644022303853548,2,1,1,-0.06440676136060532
1991-01_a_1991-12,1992-01,1992-06,XEL,UEP,A~B,9,0.1094278634772081,1.062952811835026,0.0194670314609692,-4.662789308608157,2,2,0,0.0806250875386757
1991-01_a_1991-12,1992-01,1992-06,45200Q,D,A~B,10,0.1102248059327166,0.8839141185394115,0.0169490232333204,-4.447558258986113,2,1,1,0.009069482860486242
1991-01_a_1991-12,1992-01,1992-06,FPC,ES,B~A,11,0.1136578430176769,0.9640451934261542,0.0176997464662603,-4.886755200806063,1,0,1,-0.002421628834060569
1991-01_a_1991-12,1992-01,1992-06,45200Q,ES,B~A,12,0.1138696066332158,0.9199265989137266,0.0192602633000392,-4.884452401145761,3,2,1,0.06900700460378548
1991-01_a_1991-12,1992-01,1992-06,PCG,UEP,A~B,13,0.120992666707707,0.9403466112144928,0.0201747535215698,-3.663415421012887,2,1,1,0.03847980068383857
1991-01_a_1991-12,1992-01,1992-06,45200Q,AEP,B~A,14,0.1257317502557953,0.8794289328874767,0.0192437033544962,-4.355632083889031,3,2,1,0.050968212572603186
1991-01_a_1991-12,1992-01,1992-06,300583Q,COP,B~A,15,0.1270105358629507,1.0281506812982637,0.0219699878420803,-5.974331436957227,1,1,0,0.06659819403598974
1991-01_a_1991-12,1992-01,1992-06,DTE,ES,B~A,16,0.1302196427183162,0.9200168046115296,0.0214520903693109,-3.6173200552719713,2,1,1,-0.016029838556562585
1991-01_a_1991-12,1992-01,1992-06,DTE,FPC,A~B,17,0.134003163656871,1.0032999788598822,0.0213526870020697,-4.377049454273642,3,2,1,0.08937181721144385
1991-01_a_1991-12,1992-01,1992-06,0961514D,TXU,B~A,18,0.1374567093598671,1.1463824126947448,0.0214729049742001,-3.891154358857289,1,1,0,0.04437820540674026
1991-01_a_1991-12,1992-01,1992-06,D,PCG,A~B,19,0.1425422374151139,0.9331875727855576,0.019889112675077,-4.196680333418935,3,2,1,0.10797215243418684
1991-01_a_1991-12,1992-01,1992-06,PPL,ES,B~A,20,0.1430364229660199,1.0364631671015296,0.0165749264253087,-5.518075781110009,5,4,1,0.17939424852341332
1991-02_a_1992-01,1992-02,1992-07,PPL,FPC,B~A,1,0.0634791516507675,1.0019865949336606,0.0155668163685468,-6.428642716104548,2,1,1,0.010681140498349914
1991-02_a_1992-01,1992-02,1992-07,PPL,WEC,B~A,2,0.0719461863309334,0.9782832932699308,0.0165865054877693,-5.4289832726046345,2,2,0,0.07051134551198483
1991-02_a_1992-01,1992-02,1992-07,PPL,ES,A~B,3,0.0837607641307158,0.945051346734048,0.0174876132818354,-4.680771325258143,2,2,0,0.08614585409723136
1991-02_a_1992-01,1992-02,1992-07,FPC,WEC,B~A,4,0.0870361240670263,0.9566083836910442,0.0181567702635812,-4.550217818236258,1,0,1,-0.014556066033294854
1991-02_a_1992-01,1992-02,1992-07,FPC,ES,A~B,5,0.100498911566774,0.9593665728311046,0.019129853012868,-4.390241680337664,1,0,1,0.009289252616295882
1991-02_a_1992-01,1992-02,1992-07,USW,BLS,B~A,6,0.1098167213604028,0.922195964998182,0.0162275774912003,-6.126576208977922,3,2,1,0.13421797752341597
1991-02_a_1992-01,1992-02,1992-07,45200Q,DTE,B~A,7,0.1146773157917095,0.979401189421437,0.0208118254961568,-4.280942030302293,2,1,1,-0.06378580766719848
1991-02_a_1992-01,1992-02,1992-07,PCG,UEP,B~A,8,0.1164838983311256,1.0182311281338825,0.0213574771225273,-3.946297455337788,1,0,1,-0.01810640070116405
1991-02_a_1992-01,1992-02,1992-07,45200Q,PPL,B~A,9,0.1186352173435807,0.8995850349232929,0.0162479651895593,-5.223380010449451,1,1,0,0.026348300058713307
1991-02_a_1992-01,1992-02,1992-07,AYE,TE,A~B,10,0.1195248728460001,0.9978202076539938,0.0207797181737474,-4.109512674671588,2,1,1,0.04075575200388224
1991-02_a_1992-01,1992-02,1992-07,AEP,FPC,A~B,11,0.12172726122742,0.951584265351452,0.0176962112792553,-5.086075474224122,2,2,0,0.07076218237647128
1991-02_a_1992-01,1992-02,1992-07,AEP,WEC,A~B,12,0.125036309171719,0.9707896896003838,0.0180288008749858,-5.366586377941131,2,1,1,0.03288952485152022
1991-02_a_1992-01,1992-02,1992-07,45200Q,ES,B~A,13,0.1262317677397959,0.9265290640904816,0.0190350379462196,-5.048289109318305,2,2,0,0.07483010650857651
1991-02_a_1992-01,1992-02,1992-07,AEP,PPL,A~B,14,0.1267797695800254,0.972728560146059,0.0162795033948587,-5.898086909294002,3,2,1,0.05899672670576547
1991-02_a_1992-01,1992-02,1992-07,45200Q,FPC,B~A,15,0.1333993199650649,0.9161666353105712,0.0166260038684743,-4.653520460518474,3,2,1,0.05834375674233136
1991-02_a_1992-01,1992-02,1992-07,EIX,AYE,A~B,16,0.1366187892319885,1.049804520155788,0.0220277938621771,-3.4979716165933614,2,1,1,0.08501365798479185
1991-02_a_1992-01,1992-02,1992-07,FPC,AYE,B~A,17,0.1371082453970302,1.0347312180907016,0.0202351029929375,-4.0491458018712585,2,2,0,0.0755727417780028
1991-02_a_1992-01,1992-02,1992-07,WEC,ES,A~B,18,0.1376374712735923,0.929844612856202,0.0221703920132159,-4.220770430349575,2,2,0,0.09970811193715629
1991-02_a_1992-01,1992-02,1992-07,300583Q,COP,B~A,19,0.1443196173696606,1.0109805526010809,0.0214721385802765,-6.413120968030765,3,2,1,0.10234808806585528
