linha,ano,semestre,periodo,inicio_semestre,fim_semestre,dia_no_semestre,total_dias_sem,total_dias_ano
73,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,74.0,125.0,253.0
74,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,75.0,125.0,253.0
75,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,76.0,125.0,253.0
76,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,77.0,125.0,253.0
77,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,78.0,125.0,253.0
78,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,79.0,125.0,253.0
79,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,80.0,125.0,253.0
80,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,81.0,125.0,253.0
81,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,82.0,125.0,253.0
82,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,83.0,125.0,253.0
83,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,84.0,125.0,253.0
84,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,85.0,125.0,253.0
85,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,86.0,125.0,253.0
86,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,87.0,125.0,253.0
87,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,88.0,125.0,253.0
88,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,89.0,125.0,253.0
89,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,90.0,125.0,253.0
90,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,91.0,125.0,253.0
91,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,92.0,125.0,253.0
92,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,93.0,125.0,253.0
93,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,94.0,125.0,253.0
94,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,95.0,125.0,253.0
95,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,96.0,125.0,253.0
96,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,97.0,125.0,253.0
97,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,98.0,125.0,253.0
