date,MRO
2015-07-01,25.79
2015-07-02,25.73
2015-07-06,25.12
2015-07-07,25.71
2015-07-08,24.73
2015-07-09,24.78
2015-07-10,24.46
2015-07-13,24.73
2015-07-14,25.08
2015-07-15,24.4
2015-07-16,24.27
2015-07-17,23.57
2015-07-20,23.24
2015-07-21,23.17
2015-07-22,22.34
2015-07-23,22.1
2015-07-24,21.41
2015-07-27,20.69
2015-07-28,21.2
2015-07-29,21.76
2015-07-30,21.86
2015-07-31,21.01
2015-08-03,20.57
2015-08-04,20.51
2015-08-05,19.79
2015-08-06,19.45
2015-08-07,18.4
2015-08-10,18.98
2015-08-11,18.88
2015-08-12,19.06
2015-08-13,18.02
2015-08-14,17.4
2015-08-17,17.36
2015-08-18,17.48
2015-08-19,16.23
2015-08-20,16.13
2015-08-21,15.73
2015-08-24,14.39
2015-08-25,14.04
2015-08-26,14.65
2015-08-27,15.97
2015-08-28,16.65
2015-08-31,17.29
2015-09-01,16.85
2015-09-02,16.87
2015-09-03,16.87
2015-09-04,16.36
2015-09-08,16.32
2015-09-09,14.91
2015-09-10,14.98
2015-09-11,15.09
2015-09-14,15.41
2015-09-15,15.45
2015-09-16,16.21
2015-09-17,16.43
2015-09-18,15.84
2015-09-21,16.11
2015-09-22,15.66
2015-09-23,15.3
2015-09-24,15.45
2015-09-25,15.75
2015-09-28,14.76
2015-09-29,14.97
2015-09-30,15.4
2015-10-01,15.31
2015-10-02,16.66
2015-10-05,18.05
2015-10-06,19.17
2015-10-07,19.17
2015-10-08,20.18
2015-10-09,19.59
2015-10-12,18.96
2015-10-13,18.59
2015-10-14,18.91
2015-10-15,19.43
2015-10-16,19.28
2015-10-19,18.28
2015-10-20,18.56
2015-10-21,18.02
2015-10-22,18.48
2015-10-23,18.3
2015-10-26,17.59
2015-10-27,17.11
2015-10-28,17.68
2015-10-29,17.55
2015-10-30,18.38
2015-11-02,19.01
2015-11-03,19.66
2015-11-04,19.4
2015-11-05,19.0
2015-11-06,18.29
2015-11-09,18.36
2015-11-10,18.78
2015-11-11,17.3
2015-11-12,17.2
2015-11-13,17.14
2015-11-16,17.87
2015-11-17,17.71
2015-11-18,17.9
2015-11-19,17.64
2015-11-20,17.42
2015-11-23,17.53
2015-11-24,18.5
2015-11-25,18.11
2015-11-27,17.44
2015-11-30,17.51
2015-12-01,17.63
2015-12-02,16.67
2015-12-03,16.55
2015-12-04,16.12
2015-12-07,14.78
2015-12-08,14.92
2015-12-09,14.5
2015-12-10,14.74
2015-12-11,14.34
2015-12-14,13.96
2015-12-15,14.46
2015-12-16,13.78
2015-12-17,12.78
2015-12-18,12.47
2015-12-21,12.52
2015-12-22,12.69
2015-12-23,13.96
2015-12-24,13.93
2015-12-28,12.98
2015-12-29,13.03
2015-12-30,12.38
2015-12-31,12.59
2016-01-04,12.82
2016-01-05,12.76
2016-01-06,11.28
2016-01-07,10.67
2016-01-08,10.35
2016-01-11,9.62
2016-01-12,9.19
2016-01-13,8.54
2016-01-14,9.07
2016-01-15,8.14
2016-01-19,7.68
2016-01-20,7.86
2016-01-21,8.79
2016-01-22,9.02
2016-01-25,8.14
2016-01-26,8.45
2016-01-27,8.75
2016-01-28,9.17
2016-01-29,9.73
2016-02-01,9.74
2016-02-02,8.74
2016-02-03,9.42
2016-02-04,9.19
2016-02-05,8.46
2016-02-08,7.82
2016-02-09,7.29
2016-02-10,7.13
2016-02-11,7.06
2016-02-12,7.49
2016-02-16,7.4
2016-02-17,7.41
2016-02-18,6.93
2016-02-19,6.73
2016-02-22,7.49
2016-02-23,7.03
2016-02-24,7.22
2016-02-25,7.39
2016-02-26,8.03
2016-02-29,8.21
2016-03-01,7.96
2016-03-02,9.1
2016-03-03,9.97
2016-03-04,11.0
2016-03-07,11.03
2016-03-08,10.12
2016-03-09,10.48
2016-03-10,10.59
2016-03-11,11.16
2016-03-14,11.09
2016-03-15,11.31
2016-03-16,11.52
2016-03-17,11.45
2016-03-18,11.63
2016-03-21,11.43
2016-03-22,11.31
2016-03-23,10.19
2016-03-24,10.29
2016-03-28,10.16
2016-03-29,10.4
2016-03-30,10.53
2016-03-31,11.14
2016-04-01,10.56
2016-04-04,10.53
2016-04-05,10.63
2016-04-06,11.02
2016-04-07,11.22
2016-04-08,11.78
2016-04-11,11.67
2016-04-12,13.12
2016-04-13,12.92
2016-04-14,13.11
2016-04-15,13.01
2016-04-18,13.36
2016-04-19,13.95
2016-04-20,14.06
2016-04-21,13.86
2016-04-22,14.34
2016-04-25,13.83
2016-04-26,14.44
2016-04-27,14.84
2016-04-28,14.35
2016-04-29,14.09
2016-05-02,13.55
2016-05-03,12.79
2016-05-04,12.17
2016-05-05,12.07
2016-05-06,12.03
2016-05-09,11.44
2016-05-10,11.94
2016-05-11,12.46
2016-05-12,12.33
2016-05-13,12.3
2016-05-16,12.78
2016-05-17,12.86
2016-05-18,12.66
2016-05-19,12.74
2016-05-20,13.11
2016-05-23,13.19
2016-05-24,13.02
2016-05-25,13.54
2016-05-26,13.17
2016-05-27,12.9
2016-05-31,13.07
2016-06-01,13.23
2016-06-02,13.38
