date,JEC
2015-07-01,40.64
2015-07-02,40.42
2015-07-06,39.92
2015-07-07,40.05
2015-07-08,39.86
2015-07-09,39.84
2015-07-10,40.15
2015-07-13,40.83
2015-07-14,41.3
2015-07-15,40.19
2015-07-16,40.45
2015-07-17,39.98
2015-07-20,40.25
2015-07-21,40.78
2015-07-22,40.76
2015-07-23,40.29
2015-07-24,39.56
2015-07-27,39.6
2015-07-28,41.69
2015-07-29,42.69
2015-07-30,42.91
2015-07-31,42.12
2015-08-03,42.55
2015-08-04,42.42
2015-08-05,42.63
2015-08-06,43.49
2015-08-07,43.23
2015-08-10,44.6
2015-08-11,44.34
2015-08-12,44.16
2015-08-13,43.79
2015-08-14,44.16
2015-08-17,43.94
2015-08-18,43.36
2015-08-19,43.04
2015-08-20,41.75
2015-08-21,40.31
2015-08-24,38.26
2015-08-25,37.05
2015-08-26,37.59
2015-08-27,39.4
2015-08-28,39.96
2015-08-31,40.41
2015-09-01,39.48
2015-09-02,39.97
2015-09-03,40.34
2015-09-04,39.43
2015-09-08,40.07
2015-09-09,39.79
2015-09-10,39.84
2015-09-11,40.19
2015-09-14,39.25
2015-09-15,39.2
2015-09-16,39.27
2015-09-17,39.2
2015-09-18,37.89
2015-09-21,37.98
2015-09-22,37.41
2015-09-23,37.0
2015-09-24,37.35
2015-09-25,37.36
2015-09-28,36.65
2015-09-29,37.31
2015-09-30,37.43
2015-10-01,36.76
2015-10-02,37.4
2015-10-05,39.33
2015-10-06,39.76
2015-10-07,40.39
2015-10-08,41.26
2015-10-09,41.35
2015-10-12,40.91
2015-10-13,40.88
2015-10-14,40.65
2015-10-15,40.57
2015-10-16,39.32
2015-10-19,39.07
2015-10-20,39.34
2015-10-21,38.93
2015-10-22,39.18
2015-10-23,39.75
2015-10-26,39.67
2015-10-27,37.87
2015-10-28,38.89
2015-10-29,39.04
2015-10-30,40.14
2015-11-02,41.24
2015-11-03,41.59
2015-11-04,41.57
2015-11-05,41.84
2015-11-06,41.21
2015-11-09,41.1
2015-11-10,41.5
2015-11-11,41.55
2015-11-12,40.43
2015-11-13,40.72
2015-11-16,41.46
2015-11-17,40.93
2015-11-18,41.83
2015-11-19,42.74
2015-11-20,42.38
2015-11-23,43.54
2015-11-24,43.97
2015-11-25,43.25
2015-11-27,43.47
2015-11-30,44.14
2015-12-01,44.96
2015-12-02,44.14
2015-12-03,44.73
2015-12-04,44.6
2015-12-07,43.9
2015-12-08,43.02
2015-12-09,42.77
2015-12-10,42.75
2015-12-11,41.87
2015-12-14,41.7
2015-12-15,42.15
2015-12-16,42.57
2015-12-17,41.6
2015-12-18,40.78
2015-12-21,40.94
2015-12-22,41.98
2015-12-23,43.36
2015-12-24,43.3
2015-12-28,42.67
2015-12-29,43.07
2015-12-30,42.42
2015-12-31,41.95
2016-01-04,41.92
2016-01-05,41.33
2016-01-06,40.53
2016-01-07,39.44
2016-01-08,38.75
2016-01-11,38.4
2016-01-12,39.06
2016-01-13,38.25
2016-01-14,38.38
2016-01-15,37.64
2016-01-19,36.44
2016-01-20,36.78
2016-01-21,36.62
2016-01-22,37.41
2016-01-25,36.72
2016-01-26,37.46
2016-01-27,37.46
2016-01-28,37.72
2016-01-29,39.23
2016-02-01,39.13
2016-02-02,38.66
2016-02-03,37.35
2016-02-04,37.4
2016-02-05,37.05
2016-02-08,35.71
2016-02-09,35.5
2016-02-10,35.4
2016-02-11,35.06
2016-02-12,36.08
2016-02-16,37.21
2016-02-17,38.43
2016-02-18,38.0
2016-02-19,37.99
2016-02-22,38.63
2016-02-23,38.23
2016-02-24,38.51
2016-02-25,38.47
2016-02-26,38.86
2016-02-29,38.65
2016-03-01,39.66
2016-03-02,39.98
2016-03-03,40.58
2016-03-04,40.73
2016-03-07,41.75
2016-03-08,40.76
2016-03-09,40.75
2016-03-10,40.6
2016-03-11,41.75
2016-03-14,41.49
2016-03-15,41.36
2016-03-16,42.38
2016-03-17,43.86
2016-03-18,44.08
2016-03-21,44.14
2016-03-22,44.59
2016-03-23,43.66
2016-03-24,43.27
2016-03-28,43.02
2016-03-29,43.53
2016-03-30,43.77
2016-03-31,43.55
2016-04-01,43.76
2016-04-04,43.04
2016-04-05,42.43
2016-04-06,42.28
2016-04-07,40.99
2016-04-08,41.2
2016-04-11,41.47
2016-04-12,41.8
2016-04-13,42.95
2016-04-14,42.38
2016-04-15,42.16
2016-04-18,42.6
2016-04-19,42.96
2016-04-20,43.38
2016-04-21,43.38
2016-04-22,43.77
2016-04-25,43.61
2016-04-26,44.38
2016-04-27,44.95
2016-04-28,44.5
2016-04-29,44.58
2016-05-02,44.88
2016-05-03,45.07
2016-05-04,44.45
2016-05-05,46.59
2016-05-06,48.65
2016-05-09,49.24
