date,CTL
2015-07-01,29.57
2015-07-02,29.61
2015-07-06,29.45
2015-07-07,29.88
2015-07-08,29.49
2015-07-09,29.49
2015-07-10,29.76
2015-07-13,30.0
2015-07-14,29.98
2015-07-15,29.67
2015-07-16,30.49
2015-07-17,30.94
2015-07-20,30.5
2015-07-21,29.72
2015-07-22,29.19
2015-07-23,28.96
2015-07-24,28.03
2015-07-27,28.12
2015-07-28,28.22
2015-07-29,28.16
2015-07-30,28.16
2015-07-31,28.6
2015-08-03,28.9
2015-08-04,28.43
2015-08-05,28.56
2015-08-06,27.93
2015-08-07,27.65
2015-08-10,28.76
2015-08-11,28.24
2015-08-12,28.53
2015-08-13,27.97
2015-08-14,28.27
2015-08-17,28.42
2015-08-18,28.12
2015-08-19,28.37
2015-08-20,27.71
2015-08-21,27.11
2015-08-24,25.86
2015-08-25,25.17
2015-08-26,26.37
2015-08-27,26.74
2015-08-28,27.04
2015-08-31,27.04
2015-09-01,25.9
2015-09-02,27.0
2015-09-03,26.77
2015-09-04,26.18
2015-09-08,26.96
2015-09-09,26.97
2015-09-10,26.78
2015-09-11,26.28
2015-09-14,26.07
2015-09-15,26.47
2015-09-16,26.13
2015-09-17,26.04
2015-09-18,25.63
2015-09-21,25.88
2015-09-22,25.38
2015-09-23,25.15
2015-09-24,25.02
2015-09-25,25.36
2015-09-28,24.61
2015-09-29,24.69
2015-09-30,25.12
2015-10-01,24.6
2015-10-02,24.65
2015-10-05,25.64
2015-10-06,25.62
2015-10-07,26.06
2015-10-08,26.51
2015-10-09,25.72
2015-10-12,25.86
2015-10-13,25.78
2015-10-14,26.18
2015-10-15,26.98
2015-10-16,26.81
2015-10-19,26.92
2015-10-20,27.25
2015-10-21,27.2
2015-10-22,27.91
2015-10-23,28.02
2015-10-26,28.32
2015-10-27,27.64
2015-10-28,28.12
2015-10-29,28.08
2015-10-30,28.21
2015-11-02,28.41
2015-11-03,28.49
2015-11-04,28.02
2015-11-05,28.71
2015-11-06,28.57
2015-11-09,28.81
2015-11-10,28.6
2015-11-11,28.43
2015-11-12,28.0
2015-11-13,27.7
2015-11-16,28.48
2015-11-17,28.13
2015-11-18,28.49
2015-11-19,28.47
2015-11-20,27.23
2015-11-23,27.31
2015-11-24,27.23
2015-11-25,26.98
2015-11-27,27.06
2015-11-30,26.93
2015-12-01,27.03
2015-12-02,26.47
2015-12-03,26.46
2015-12-04,26.71
2015-12-07,27.13
2015-12-08,26.54
2015-12-09,26.38
2015-12-10,25.99
2015-12-11,24.91
2015-12-14,24.38
2015-12-15,25.34
2015-12-16,26.12
2015-12-17,25.4
2015-12-18,25.11
2015-12-21,25.16
2015-12-22,25.18
2015-12-23,26.02
2015-12-24,25.87
2015-12-28,25.84
2015-12-29,25.88
2015-12-30,25.38
2015-12-31,25.16
2016-01-04,25.11
2016-01-05,24.99
2016-01-06,24.72
2016-01-07,24.22
2016-01-08,23.97
2016-01-11,24.12
