date,VIAC
2019-07-01,50.55
2019-07-02,50.98
2019-07-03,51.84
2019-07-05,52.01
2019-07-08,52.4
2019-07-09,52.31
2019-07-10,52.57
2019-07-11,53.08
2019-07-12,53.18
2019-07-15,53.37
2019-07-16,53.51
2019-07-17,52.42
2019-07-18,51.33
2019-07-19,50.7
2019-07-22,50.01
2019-07-23,50.08
2019-07-24,51.05
2019-07-25,51.38
2019-07-26,51.85
2019-07-29,52.15
2019-07-30,52.54
2019-07-31,51.51
2019-08-01,50.62
2019-08-02,50.4
2019-08-05,49.06
2019-08-06,49.56
2019-08-07,49.18
2019-08-08,50.82
2019-08-09,48.91
2019-08-12,48.04
2019-08-13,48.7
2019-08-14,44.65
2019-08-15,43.35
2019-08-16,43.8
2019-08-19,44.22
2019-08-20,44.14
2019-08-21,44.08
2019-08-22,43.47
2019-08-23,41.41
2019-08-26,41.76
2019-08-27,41.04
2019-08-28,41.74
2019-08-29,42.36
2019-08-30,42.06
2019-09-03,41.29
2019-09-04,41.67
2019-09-05,43.0
2019-09-06,43.63
2019-09-09,44.11
2019-09-10,44.46
2019-09-11,43.81
2019-09-12,43.82
2019-09-13,43.82
2019-09-16,44.05
2019-09-17,43.3
2019-09-18,43.38
2019-09-19,42.39
2019-09-20,41.88
2019-09-23,41.97
2019-09-24,41.31
2019-09-25,41.24
2019-09-26,40.3
2019-09-27,40.32
2019-09-30,40.37
2019-10-01,40.17
2019-10-02,38.52
2019-10-03,38.45
2019-10-04,39.04
2019-10-07,38.76
2019-10-08,37.17
2019-10-09,37.61
2019-10-10,37.66
2019-10-11,38.43
2019-10-14,37.94
2019-10-15,38.07
2019-10-16,38.1
2019-10-17,37.78
2019-10-18,36.75
2019-10-21,36.35
2019-10-22,36.34
2019-10-23,36.49
2019-10-24,35.75
2019-10-25,36.04
2019-10-28,35.85
2019-10-29,36.19
2019-10-30,35.58
2019-10-31,36.04
2019-11-01,36.74
2019-11-04,37.14
2019-11-05,37.49
2019-11-06,36.82
2019-11-07,37.8
2019-11-08,38.11
2019-11-11,39.18
2019-11-12,37.76
2019-11-13,36.85
2019-11-14,37.63
2019-11-15,38.57
2019-11-18,39.34
2019-11-19,39.38
2019-11-20,39.01
2019-11-21,38.98
2019-11-22,39.52
2019-11-25,40.09
2019-11-26,40.51
2019-11-27,40.4
2019-11-29,40.38
2019-12-02,39.86
2019-12-03,39.34
2019-12-04,40.77
