date,WYND
2015-07-01,83.25
2015-07-02,83.41
2015-07-06,83.01
2015-07-07,83.66
2015-07-08,81.7
2015-07-09,82.5
2015-07-10,84.34
2015-07-13,85.43
2015-07-14,86.16
2015-07-15,85.56
2015-07-16,86.55
2015-07-17,86.67
2015-07-20,86.61
2015-07-21,86.62
2015-07-22,87.29
2015-07-23,84.45
2015-07-24,83.06
2015-07-27,81.6
2015-07-28,80.61
2015-07-29,82.34
2015-07-30,81.76
2015-07-31,82.52
2015-08-03,81.8
2015-08-04,81.17
2015-08-05,79.7
2015-08-06,79.18
2015-08-07,78.6
2015-08-10,79.98
2015-08-11,79.79
2015-08-12,80.08
2015-08-13,80.4
2015-08-14,79.03
2015-08-17,80.6
2015-08-18,80.35
2015-08-19,80.42
2015-08-20,78.04
2015-08-21,76.79
2015-08-24,74.22
2015-08-25,74.23
2015-08-26,75.89
2015-08-27,77.24
2015-08-28,77.2
2015-08-31,76.48
2015-09-01,75.13
2015-09-02,77.1
2015-09-03,77.26
2015-09-04,76.2
2015-09-08,78.03
2015-09-09,77.46
2015-09-10,77.98
2015-09-11,78.92
2015-09-14,78.62
2015-09-15,78.44
2015-09-16,78.71
2015-09-17,78.37
2015-09-18,75.91
2015-09-21,76.43
2015-09-22,74.62
2015-09-23,73.94
2015-09-24,73.58
2015-09-25,73.52
2015-09-28,70.88
2015-09-29,70.18
2015-09-30,71.9
2015-10-01,72.06
2015-10-02,73.85
2015-10-05,75.35
2015-10-06,75.05
2015-10-07,76.45
2015-10-08,78.18
2015-10-09,78.4
2015-10-12,78.87
2015-10-13,78.64
2015-10-14,77.19
2015-10-15,74.14
2015-10-16,73.97
2015-10-19,74.0
2015-10-20,75.62
2015-10-21,75.02
2015-10-22,77.42
2015-10-23,76.07
2015-10-26,76.5
2015-10-27,80.64
2015-10-28,81.11
2015-10-29,81.9
2015-10-30,81.35
2015-11-02,81.8
2015-11-03,82.68
2015-11-04,81.38
2015-11-05,81.55
2015-11-06,81.59
2015-11-09,80.56
2015-11-10,81.09
2015-11-11,80.76
2015-11-12,79.5
2015-11-13,77.65
2015-11-16,77.5
2015-11-17,77.0
2015-11-18,77.38
2015-11-19,76.8
2015-11-20,76.75
2015-11-23,77.21
2015-11-24,76.39
2015-11-25,75.98
2015-11-27,76.24
2015-11-30,75.92
2015-12-01,76.63
2015-12-02,76.21
2015-12-03,74.69
2015-12-04,76.13
