date,UTX
2015-07-01,110.82
2015-07-02,109.56
2015-07-06,109.36
2015-07-07,110.09
2015-07-08,108.67
2015-07-09,108.92
2015-07-10,110.18
2015-07-13,111.58
2015-07-14,111.51
2015-07-15,111.25
2015-07-16,111.26
2015-07-17,110.74
2015-07-20,110.48
2015-07-21,102.71
2015-07-22,101.55
2015-07-23,101.14
2015-07-24,99.31
2015-07-27,98.87
2015-07-28,98.97
2015-07-29,99.36
2015-07-30,100.73
2015-07-31,100.31
2015-08-03,99.42
2015-08-04,99.03
2015-08-05,98.87
2015-08-06,98.98
2015-08-07,98.29
2015-08-10,99.55
2015-08-11,98.61
2015-08-12,98.69
2015-08-13,98.38
2015-08-14,98.7
2015-08-17,99.36
2015-08-18,99.41
2015-08-19,98.21
2015-08-20,95.82
2015-08-21,93.01
2015-08-24,90.87
2015-08-25,88.8
2015-08-26,91.56
2015-08-27,93.27
2015-08-28,93.24
2015-08-31,91.61
2015-09-01,89.72
2015-09-02,91.24
2015-09-03,91.91
2015-09-04,90.68
2015-09-08,92.82
2015-09-09,91.85
2015-09-10,91.4
2015-09-11,92.33
2015-09-14,91.83
2015-09-15,92.68
2015-09-16,93.94
2015-09-17,93.31
2015-09-18,91.07
2015-09-21,91.55
2015-09-22,88.2
2015-09-23,86.96
2015-09-24,86.82
2015-09-25,87.3
2015-09-28,86.83
2015-09-29,87.98
2015-09-30,88.99
2015-10-01,88.36
2015-10-02,89.77
2015-10-05,92.26
2015-10-06,92.55
2015-10-07,93.51
2015-10-08,94.33
2015-10-09,95.37
2015-10-12,95.43
2015-10-13,94.28
2015-10-14,92.17
2015-10-15,93.18
2015-10-16,93.0
2015-10-19,92.05
2015-10-20,95.62
2015-10-21,97.97
2015-10-22,99.79
2015-10-23,100.62
2015-10-26,100.23
2015-10-27,98.88
2015-10-28,99.32
2015-10-29,99.05
2015-10-30,98.41
2015-11-02,99.39
2015-11-03,100.0
2015-11-04,100.33
2015-11-05,100.8
2015-11-06,100.8
2015-11-09,99.66
2015-11-10,98.68
2015-11-11,98.26
2015-11-12,99.22
2015-11-13,96.48
2015-11-16,97.83
2015-11-17,97.55
2015-11-18,97.71
2015-11-19,98.3
2015-11-20,98.22
2015-11-23,98.09
2015-11-24,97.36
2015-11-25,97.27
2015-11-27,96.8
2015-11-30,96.05
2015-12-01,96.7
2015-12-02,95.25
2015-12-03,94.7
2015-12-04,95.73
2015-12-07,95.91
2015-12-08,94.23
2015-12-09,94.16
2015-12-10,93.87
2015-12-11,93.3
2015-12-14,93.03
2015-12-15,93.26
2015-12-16,95.13
2015-12-17,93.87
2015-12-18,92.34
2015-12-21,93.61
2015-12-22,94.87
2015-12-23,96.3
2015-12-24,96.3
2015-12-28,96.09
2015-12-29,97.27
2015-12-30,96.9
2015-12-31,96.07
2016-01-04,95.57
2016-01-05,95.72
2016-01-06,93.12
2016-01-07,91.9
2016-01-08,90.4
2016-01-11,90.5
2016-01-12,90.5
2016-01-13,88.83
2016-01-14,89.01
2016-01-15,85.63
2016-01-19,85.24
2016-01-20,84.83
2016-01-21,85.57
2016-01-22,86.35
2016-01-25,84.9
2016-01-26,85.65
2016-01-27,85.81
2016-01-28,86.45
2016-01-29,87.69
2016-02-01,87.56
2016-02-02,85.42
2016-02-03,85.96
2016-02-04,88.12
2016-02-05,87.84
2016-02-08,86.78
2016-02-09,87.24
2016-02-10,86.96
2016-02-11,84.66
2016-02-12,85.95
2016-02-16,86.48
2016-02-17,88.12
2016-02-18,88.36
2016-02-19,88.23
2016-02-22,92.37
2016-02-23,91.6
2016-02-24,93.61
2016-02-25,98.07
2016-02-26,97.69
2016-02-29,96.62
2016-03-01,95.05
2016-03-02,95.53
2016-03-03,96.11
2016-03-04,97.0
2016-03-07,96.92
2016-03-08,96.9
2016-03-09,96.6
2016-03-10,96.18
2016-03-11,96.75
2016-03-14,96.83
2016-03-15,96.29
2016-03-16,97.49
2016-03-17,98.84
2016-03-18,99.05
2016-03-21,99.17
2016-03-22,98.66
2016-03-23,99.11
2016-03-24,99.06
2016-03-28,98.91
2016-03-29,100.12
2016-03-30,100.25
2016-03-31,100.1
2016-04-01,99.97
2016-04-04,100.27
2016-04-05,99.86
2016-04-06,100.37
2016-04-07,100.89
2016-04-08,101.32
2016-04-11,102.14
2016-04-12,103.08
2016-04-13,104.61
2016-04-14,104.68
2016-04-15,104.57
2016-04-18,105.13
2016-04-19,105.0
2016-04-20,105.53
2016-04-21,105.43
2016-04-22,105.7
2016-04-25,105.2
2016-04-26,104.8
2016-04-27,105.89
2016-04-28,104.23
2016-04-29,104.37
2016-05-02,104.37
2016-05-03,102.13
2016-05-04,100.67
2016-05-05,100.29
2016-05-06,101.12
2016-05-09,100.09
2016-05-10,102.16
2016-05-11,101.6
2016-05-12,101.46
2016-05-13,100.27
2016-05-16,101.82
2016-05-17,100.06
2016-05-18,99.29
2016-05-19,98.51
2016-05-20,99.1
2016-05-23,98.9
2016-05-24,99.91
2016-05-25,100.32
2016-05-26,100.41
2016-05-27,100.76
2016-05-31,100.58
2016-06-01,100.35
2016-06-02,100.79
2016-06-03,100.43
2016-06-06,101.36
2016-06-07,101.45
2016-06-08,102.07
2016-06-09,102.32
2016-06-10,102.0
2016-06-13,101.21
2016-06-14,101.19
2016-06-15,100.54
2016-06-16,101.12
2016-06-17,101.2
2016-06-20,101.7
2016-06-21,101.57
2016-06-22,101.35
2016-06-23,102.33
2016-06-24,98.89
2016-06-27,97.21
2016-06-28,99.03
2016-06-29,100.47
2016-06-30,102.55
2016-07-01,102.73
2016-07-05,100.62
2016-07-06,101.38
2016-07-07,101.97
2016-07-08,103.66
2016-07-11,103.96
2016-07-12,104.5
2016-07-13,105.09
2016-07-14,105.14
2016-07-15,105.5
2016-07-18,105.49
2016-07-19,105.62
2016-07-20,106.04
2016-07-21,105.85
2016-07-22,105.13
2016-07-25,104.65
2016-07-26,107.89
2016-07-27,107.69
2016-07-28,107.58
2016-07-29,107.65
2016-08-01,106.94
2016-08-02,106.27
2016-08-03,106.29
2016-08-04,106.36
2016-08-05,107.74
2016-08-08,107.79
2016-08-09,108.34
2016-08-10,108.12
2016-08-11,109.18
2016-08-12,108.87
2016-08-15,109.69
2016-08-16,109.16
2016-08-17,108.94
2016-08-18,109.33
2016-08-19,109.14
2016-08-22,108.5
2016-08-23,108.0
2016-08-24,107.96
2016-08-25,107.72
2016-08-26,107.31
2016-08-29,107.97
2016-08-30,107.35
2016-08-31,106.43
2016-09-01,106.72
2016-09-02,106.93
2016-09-06,106.01
2016-09-07,105.85
2016-09-08,105.75
2016-09-09,102.68
2016-09-12,104.03
2016-09-13,102.32
2016-09-14,101.66
2016-09-15,102.71
2016-09-16,100.1
2016-09-19,100.44
2016-09-20,100.24
2016-09-21,101.96
2016-09-22,103.0
2016-09-23,102.56
2016-09-26,102.23
2016-09-27,102.35
2016-09-28,102.35
2016-09-29,101.06
2016-09-30,101.6
2016-10-03,102.43
2016-10-04,101.43
2016-10-05,102.25
2016-10-06,102.08
2016-10-07,100.58
2016-10-10,99.98
2016-10-11,98.77
2016-10-12,98.93
2016-10-13,99.85
2016-10-14,100.16
2016-10-17,99.71
2016-10-18,99.99
2016-10-19,99.76
2016-10-20,99.29
2016-10-21,98.67
2016-10-24,99.52
2016-10-25,101.36
2016-10-26,101.01
2016-10-27,100.07
2016-10-28,101.84
2016-10-31,102.2
2016-11-01,102.01
2016-11-02,101.54
2016-11-03,101.05
2016-11-04,101.33
2016-11-07,103.05
2016-11-08,103.37
2016-11-09,104.81
2016-11-10,108.41
2016-11-11,108.86
2016-11-14,107.86
2016-11-15,107.68
2016-11-16,106.96
2016-11-17,106.7
2016-11-18,106.5
2016-11-21,106.85
2016-11-22,106.94
2016-11-23,108.11
2016-11-25,108.78
2016-11-28,108.45
2016-11-29,108.84
2016-11-30,107.72
2016-12-01,107.48
2016-12-02,108.22
2016-12-05,107.42
2016-12-06,107.43
2016-12-07,109.68
2016-12-08,108.43
2016-12-09,109.79
2016-12-12,110.39
2016-12-13,110.31
2016-12-14,109.27
2016-12-15,108.13
2016-12-16,108.52
2016-12-19,110.82
2016-12-20,110.65
2016-12-21,110.49
2016-12-22,110.46
2016-12-23,110.65
2016-12-27,110.98
2016-12-28,110.19
2016-12-29,110.55
2016-12-30,109.62
2017-01-03,110.83
2017-01-04,110.9
2017-01-05,111.35
2017-01-06,112.55
2017-01-09,111.5
2017-01-10,111.26
2017-01-11,111.0
2017-01-12,110.82
2017-01-13,110.22
2017-01-17,109.97
2017-01-18,110.42
2017-01-19,110.73
2017-01-20,110.79
2017-01-23,110.34
2017-01-24,111.61
2017-01-25,110.96
2017-01-26,110.36
2017-01-27,109.7
2017-01-30,109.17
2017-01-31,109.67
2017-02-01,108.18
2017-02-02,108.36
2017-02-03,109.65
2017-02-06,110.68
2017-02-07,111.25
2017-02-08,110.4
2017-02-09,110.09
2017-02-10,111.05
2017-02-13,112.02
2017-02-14,111.57
2017-02-15,111.91
2017-02-16,112.07
2017-02-17,112.15
2017-02-21,112.5
2017-02-22,112.66
2017-02-23,112.09
2017-02-24,112.46
2017-02-27,112.81
2017-02-28,112.55
2017-03-01,113.68
2017-03-02,112.69
2017-03-03,112.34
2017-03-06,111.66
2017-03-07,112.28
2017-03-08,111.75
2017-03-09,111.93
2017-03-10,112.14
2017-03-13,112.31
2017-03-14,111.83
2017-03-15,113.08
2017-03-16,112.34
2017-03-17,113.45
2017-03-20,113.51
2017-03-21,112.16
2017-03-22,111.93
2017-03-23,111.84
2017-03-24,111.8
2017-03-27,111.83
2017-03-28,112.74
2017-03-29,112.06
2017-03-30,112.45
2017-03-31,112.21
2017-04-03,111.93
2017-04-04,112.99
2017-04-05,112.5
2017-04-06,112.41
2017-04-07,112.99
2017-04-10,112.88
2017-04-11,113.14
2017-04-12,112.24
2017-04-13,112.09
2017-04-17,113.27
2017-04-18,113.56
2017-04-19,112.92
2017-04-20,113.94
2017-04-21,114.99
2017-04-24,116.32
2017-04-25,116.87
2017-04-26,118.2
2017-04-27,118.78
2017-04-28,118.99
2017-05-01,118.92
2017-05-02,119.32
2017-05-03,120.3
2017-05-04,121.0
2017-05-05,121.35
2017-05-08,121.08
2017-05-09,121.46
2017-05-10,121.02
2017-05-11,121.28
2017-05-12,120.83
2017-05-15,120.92
2017-05-16,121.4
2017-05-17,119.58
2017-05-18,119.37
2017-05-19,121.16
2017-05-22,121.66
2017-05-23,122.07
2017-05-24,122.08
2017-05-25,122.25
2017-05-26,121.85
2017-05-30,121.27
2017-05-31,121.28
2017-06-01,121.79
2017-06-02,122.12
2017-06-05,120.98
2017-06-06,120.12
2017-06-07,119.78
2017-06-08,119.94
2017-06-09,120.64
2017-06-12,119.88
2017-06-13,120.06
2017-06-14,120.01
2017-06-15,120.75
2017-06-16,120.43
2017-06-19,121.85
2017-06-20,121.51
2017-06-21,121.75
2017-06-22,122.17
2017-06-23,122.22
2017-06-26,121.87
2017-06-27,121.59
2017-06-28,122.5
2017-06-29,121.65
2017-06-30,122.11
2017-07-03,122.08
2017-07-05,122.79
2017-07-06,121.89
2017-07-07,122.61
2017-07-10,123.06
2017-07-11,123.54
2017-07-12,123.71
2017-07-13,123.07
2017-07-14,123.41
2017-07-17,123.11
2017-07-18,122.63
2017-07-19,123.08
2017-07-20,122.45
2017-07-21,123.49
2017-07-24,123.13
2017-07-25,120.42
2017-07-26,119.54
2017-07-27,118.69
2017-07-28,118.87
2017-07-31,118.57
2017-08-01,118.88
2017-08-02,120.35
2017-08-03,121.1
2017-08-04,121.49
2017-08-07,118.52
2017-08-08,118.19
2017-08-09,117.2
2017-08-10,116.76
2017-08-11,116.89
2017-08-14,117.15
2017-08-15,115.96
2017-08-16,118.0
2017-08-17,116.1
2017-08-18,115.48
2017-08-21,115.28
2017-08-22,115.69
2017-08-23,117.03
2017-08-24,115.3
2017-08-25,115.07
2017-08-28,115.33
2017-08-29,118.7
2017-08-30,119.6
2017-08-31,119.72
2017-09-01,117.92
2017-09-05,111.21
2017-09-06,109.61
2017-09-07,109.98
2017-09-08,109.55
2017-09-11,109.64
2017-09-12,109.86
2017-09-13,110.28
2017-09-14,113.14
2017-09-15,113.08
2017-09-18,112.77
2017-09-19,113.65
2017-09-20,114.1
2017-09-21,114.5
2017-09-22,115.01
2017-09-25,114.29
2017-09-26,114.72
2017-09-27,117.18
2017-09-28,115.84
2017-09-29,116.08
2017-10-02,117.58
2017-10-03,117.71
2017-10-04,117.63
2017-10-05,118.17
2017-10-06,118.23
2017-10-09,118.63
2017-10-10,118.12
2017-10-11,117.75
2017-10-12,118.82
2017-10-13,118.72
2017-10-16,119.01
