date,WBA
2015-07-01,85.77
2015-07-02,85.81
2015-07-06,85.39
2015-07-07,87.25
2015-07-08,85.91
2015-07-09,89.55
2015-07-10,93.11
2015-07-13,94.48
2015-07-14,94.33
2015-07-15,93.95
2015-07-16,96.09
2015-07-17,95.75
2015-07-20,95.65
2015-07-21,95.66
2015-07-22,96.64
2015-07-23,95.48
2015-07-24,95.11
2015-07-27,94.38
2015-07-28,96.22
2015-07-29,96.58
2015-07-30,96.54
2015-07-31,96.63
2015-08-03,95.91
2015-08-04,95.67
2015-08-05,96.68
2015-08-06,93.73
2015-08-07,93.28
2015-08-10,93.95
2015-08-11,92.95
2015-08-12,93.36
2015-08-13,92.54
2015-08-14,92.1
2015-08-17,92.7
2015-08-18,91.94
2015-08-19,91.41
2015-08-20,89.77
2015-08-21,85.61
2015-08-24,82.27
2015-08-25,81.0
2015-08-26,85.41
2015-08-27,87.85
2015-08-28,87.42
2015-08-31,86.55
2015-09-01,86.04
2015-09-02,87.83
2015-09-03,88.26
2015-09-04,87.43
2015-09-08,90.09
2015-09-09,88.94
2015-09-10,89.38
2015-09-11,90.4
2015-09-14,90.17
2015-09-15,90.92
2015-09-16,90.91
2015-09-17,89.68
2015-09-18,86.49
2015-09-21,88.25
2015-09-22,86.71
2015-09-23,87.44
2015-09-24,85.75
2015-09-25,85.32
2015-09-28,82.63
2015-09-29,82.06
2015-09-30,83.1
2015-10-01,84.63
2015-10-02,87.11
2015-10-05,87.96
2015-10-06,84.1
2015-10-07,84.44
2015-10-08,84.28
2015-10-09,85.37
2015-10-12,86.21
2015-10-13,85.14
2015-10-14,84.03
2015-10-15,87.26
2015-10-16,88.14
2015-10-19,88.46
2015-10-20,88.74
2015-10-21,88.04
2015-10-22,88.63
2015-10-23,89.96
2015-10-26,89.48
2015-10-27,95.16
2015-10-28,84.95
2015-10-29,83.88
2015-10-30,84.68
2015-11-02,86.55
2015-11-03,88.23
2015-11-04,87.48
2015-11-05,85.95
2015-11-06,84.67
2015-11-09,83.48
2015-11-10,83.53
2015-11-11,81.82
2015-11-12,80.4
2015-11-13,79.17
2015-11-16,81.84
2015-11-17,82.97
2015-11-18,84.58
2015-11-19,82.83
2015-11-20,81.83
2015-11-23,81.91
2015-11-24,82.93
2015-11-25,83.4
2015-11-27,84.18
2015-11-30,84.03
2015-12-01,83.99
2015-12-02,83.31
2015-12-03,81.94
2015-12-04,84.62
2015-12-07,84.87
2015-12-08,83.66
2015-12-09,83.34
2015-12-10,83.42
2015-12-11,81.71
2015-12-14,82.56
2015-12-15,82.11
2015-12-16,84.71
2015-12-17,83.34
2015-12-18,82.51
2015-12-21,84.89
2015-12-22,86.01
2015-12-23,86.05
2015-12-24,86.46
2015-12-28,85.84
2015-12-29,86.82
2015-12-30,86.39
2015-12-31,85.155
2016-01-04,83.05
2016-01-05,80.87
2016-01-06,79.63
2016-01-07,81.17
2016-01-08,81.05
2016-01-11,81.02
2016-01-12,81.82
2016-01-13,79.93
2016-01-14,81.87
2016-01-15,79.93
2016-01-19,80.7
2016-01-20,79.45
2016-01-21,78.98
2016-01-22,80.84
2016-01-25,78.71
2016-01-26,79.44
2016-01-27,78.45
2016-01-28,77.61
2016-01-29,79.72
2016-02-01,80.07
2016-02-02,78.0
2016-02-03,76.81
2016-02-04,77.19
2016-02-05,75.2
2016-02-08,72.91
2016-02-09,74.93
2016-02-10,76.01
2016-02-11,75.53
2016-02-12,77.08
2016-02-16,76.55
2016-02-17,78.16
2016-02-18,76.55
2016-02-19,77.57
2016-02-22,78.8
2016-02-23,78.73
2016-02-24,79.43
2016-02-25,79.92
2016-02-26,79.57
2016-02-29,78.94
