date,LLL
2016-08-24,146.78
2016-08-25,148.38
2016-08-26,148.24
2016-08-29,149.13
2016-08-30,148.62
2016-08-31,148.82
2016-09-01,149.34
2016-09-02,149.89
2016-09-06,151.38
2016-09-07,150.22
2016-09-08,150.11
2016-09-09,147.01
2016-09-12,148.95
2016-09-13,146.64
2016-09-14,145.93
2016-09-15,147.59
2016-09-16,146.78
2016-09-19,147.32
2016-09-20,147.09
2016-09-21,149.71
2016-09-22,150.08
2016-09-23,150.08
2016-09-26,150.65
2016-09-27,152.49
2016-09-28,153.61
2016-09-29,150.75
2016-09-30,150.73
2016-10-03,151.03
2016-10-04,150.17
2016-10-05,150.45
2016-10-06,152.54
2016-10-07,151.6
2016-10-10,151.05
2016-10-11,149.56
2016-10-12,149.16
2016-10-13,149.05
2016-10-14,148.54
2016-10-17,148.22
2016-10-18,149.22
2016-10-19,148.15
2016-10-20,147.3
2016-10-21,146.33
2016-10-24,147.15
2016-10-25,147.93
2016-10-26,148.71
2016-10-27,137.75
2016-10-28,140.1
2016-10-31,136.94
2016-11-01,136.43
2016-11-02,134.86
2016-11-03,134.05
2016-11-04,134.59
2016-11-07,137.59
2016-11-08,137.73
2016-11-09,148.35
2016-11-10,150.62
2016-11-11,150.93
2016-11-14,153.93
2016-11-15,151.5
2016-11-16,150.36
2016-11-17,149.97
2016-11-18,152.2
2016-11-21,152.11
2016-11-22,152.06
2016-11-23,154.99
2016-11-25,156.36
2016-11-28,156.52
2016-11-29,158.63
2016-11-30,157.77
2016-12-01,157.49
2016-12-02,157.23
2016-12-05,158.46
2016-12-06,158.46
2016-12-07,161.56
2016-12-08,158.31
2016-12-09,158.45
2016-12-12,158.06
2016-12-13,158.16
2016-12-14,158.05
2016-12-15,158.08
2016-12-16,157.35
2016-12-19,155.25
2016-12-20,156.08
2016-12-21,154.01
2016-12-22,153.8
2016-12-23,153.15
2016-12-27,153.14
2016-12-28,151.71
2016-12-29,152.97
2016-12-30,152.11
2017-01-03,152.29
2017-01-04,152.23
2017-01-05,152.33
2017-01-06,154.11
2017-01-09,152.87
2017-01-10,150.96
2017-01-11,147.5
2017-01-12,145.71
2017-01-13,148.89
2017-01-17,148.6
2017-01-18,148.49
2017-01-19,151.91
2017-01-20,151.41
2017-01-23,149.69
2017-01-24,149.6
2017-01-25,150.85
2017-01-26,155.65
2017-01-27,158.41
2017-01-30,157.13
2017-01-31,158.69
2017-02-01,157.61
2017-02-02,157.3
2017-02-03,160.12
2017-02-06,161.01
2017-02-07,160.75
2017-02-08,160.19
2017-02-09,161.5
2017-02-10,163.11
2017-02-13,165.47
2017-02-14,165.73
2017-02-15,168.15
2017-02-16,168.49
2017-02-17,168.23
2017-02-21,168.8
2017-02-22,169.03
2017-02-23,166.45
2017-02-24,167.14
2017-02-27,168.9
2017-02-28,168.32
2017-03-01,170.81
2017-03-02,167.62
2017-03-03,167.55
2017-03-06,168.35
2017-03-07,169.07
2017-03-08,167.55
2017-03-09,169.81
2017-03-10,170.32
2017-03-13,170.27
2017-03-14,170.35
2017-03-15,170.37
2017-03-16,167.87
2017-03-17,169.46
2017-03-20,168.0
2017-03-21,167.25
