date,SNI
2015-07-01,67.05
2015-07-02,67.09
2015-07-06,66.78
2015-07-07,67.2
2015-07-08,65.32
2015-07-09,65.42
2015-07-10,65.84
2015-07-13,66.31
2015-07-14,66.22
2015-07-15,66.31
2015-07-16,66.77
2015-07-17,64.86
2015-07-20,64.29
2015-07-21,63.33
2015-07-22,62.75
2015-07-23,61.82
2015-07-24,61.2
2015-07-27,61.88
2015-07-28,62.05
2015-07-29,61.93
2015-07-30,62.21
2015-07-31,62.58
2015-08-03,62.59
2015-08-04,61.17
2015-08-05,57.54
2015-08-06,58.59
2015-08-07,58.76
2015-08-10,59.17
2015-08-11,58.8
2015-08-12,58.92
2015-08-13,57.96
2015-08-14,57.52
2015-08-17,58.67
2015-08-18,57.01
2015-08-19,57.07
2015-08-20,54.23
2015-08-21,54.0
2015-08-24,51.72
2015-08-25,51.38
2015-08-26,52.0
2015-08-27,52.67
2015-08-28,53.18
2015-08-31,53.09
2015-09-01,51.78
2015-09-02,52.83
2015-09-03,53.78
2015-09-04,52.87
2015-09-08,53.86
2015-09-09,53.59
2015-09-10,53.35
2015-09-11,53.16
2015-09-14,52.62
2015-09-15,53.08
2015-09-16,53.23
2015-09-17,52.93
2015-09-18,52.92
2015-09-21,52.5
2015-09-22,51.03
2015-09-23,49.39
2015-09-24,49.84
2015-09-25,49.58
2015-09-28,48.27
2015-09-29,48.14
2015-09-30,49.19
2015-10-01,48.42
2015-10-02,49.8
2015-10-05,51.3
2015-10-06,51.66
2015-10-07,54.62
2015-10-08,55.75
2015-10-09,56.06
2015-10-12,55.14
2015-10-13,55.24
2015-10-14,55.22
2015-10-15,56.44
2015-10-16,56.08
2015-10-19,55.96
2015-10-20,56.56
2015-10-21,56.02
2015-10-22,56.67
2015-10-23,56.99
2015-10-26,57.14
2015-10-27,56.78
2015-10-28,58.11
2015-10-29,59.28
2015-10-30,60.08
2015-11-02,59.79
2015-11-03,61.24
2015-11-04,59.57
2015-11-05,58.26
2015-11-06,59.04
2015-11-09,58.38
2015-11-10,58.62
2015-11-11,57.89
2015-11-12,57.44
2015-11-13,56.83
2015-11-16,56.72
2015-11-17,55.74
2015-11-18,56.64
2015-11-19,56.72
2015-11-20,57.68
2015-11-23,58.47
2015-11-24,57.87
2015-11-25,57.97
2015-11-27,57.74
2015-11-30,56.8
2015-12-01,56.89
2015-12-02,57.25
2015-12-03,56.43
2015-12-04,59.02
2015-12-07,58.75
2015-12-08,56.94
2015-12-09,56.29
2015-12-10,57.07
2015-12-11,54.62
2015-12-14,53.32
2015-12-15,53.59
2015-12-16,55.03
2015-12-17,54.28
2015-12-18,53.89
2015-12-21,53.8
2015-12-22,54.71
2015-12-23,55.28
2015-12-24,55.35
2015-12-28,55.14
2015-12-29,55.49
2015-12-30,54.65
2015-12-31,55.21
2016-01-04,53.84
2016-01-05,53.4
2016-01-06,51.9
2016-01-07,52.15
2016-01-08,53.56
2016-01-11,53.78
2016-01-12,54.48
2016-01-13,54.6
2016-01-14,57.1
2016-01-15,56.0
2016-01-19,55.62
2016-01-20,56.16
2016-01-21,57.37
2016-01-22,59.04
2016-01-25,58.61
2016-01-26,60.6
2016-01-27,60.05
2016-01-28,59.31
2016-01-29,60.97
2016-02-01,62.1
2016-02-02,60.12
2016-02-03,61.37
2016-02-04,61.69
2016-02-05,61.53
2016-02-08,59.52
2016-02-09,55.0
2016-02-10,53.92
2016-02-11,53.13
2016-02-12,53.72
2016-02-16,53.81
2016-02-17,55.91
2016-02-18,55.32
2016-02-19,55.13
2016-02-22,55.83
2016-02-23,58.04
2016-02-24,57.95
2016-02-25,57.8
2016-02-26,59.41
2016-02-29,59.24
2016-03-01,61.26
2016-03-02,60.97
2016-03-03,62.94
2016-03-04,62.92
2016-03-07,64.4
2016-03-08,63.14
2016-03-09,64.12
2016-03-10,63.34
2016-03-11,64.66
2016-03-14,65.19
2016-03-15,65.09
2016-03-16,65.54
2016-03-17,65.3
2016-03-18,64.99
2016-03-21,64.92
2016-03-22,64.11
2016-03-23,63.48
2016-03-24,64.01
2016-03-28,64.64
2016-03-29,64.79
2016-03-30,64.83
2016-03-31,65.5
2016-04-01,67.41
2016-04-04,67.26
2016-04-05,66.68
2016-04-06,67.16
2016-04-07,65.13
2016-04-08,65.18
2016-04-11,64.82
2016-04-12,64.51
2016-04-13,65.02
2016-04-14,64.16
2016-04-15,63.9
2016-04-18,64.04
2016-04-19,63.75
2016-04-20,63.42
2016-04-21,63.79
2016-04-22,65.04
2016-04-25,63.85
2016-04-26,64.14
2016-04-27,64.49
2016-04-28,63.61
2016-04-29,62.35
2016-05-02,62.47
2016-05-03,60.86
2016-05-04,61.08
2016-05-05,63.06
2016-05-06,65.73
2016-05-09,65.08
2016-05-10,66.45
2016-05-11,66.25
2016-05-12,64.81
2016-05-13,64.67
2016-05-16,64.26
2016-05-17,64.49
2016-05-18,62.28
2016-05-19,61.96
2016-05-20,62.09
2016-05-23,61.79
2016-05-24,63.04
2016-05-25,62.88
2016-05-26,62.67
2016-05-27,63.62
2016-05-31,64.34
2016-06-01,64.52
2016-06-02,65.37
2016-06-03,65.43
2016-06-06,65.57
2016-06-07,64.84
2016-06-08,64.88
2016-06-09,64.86
2016-06-10,63.96
2016-06-13,62.89
2016-06-14,62.95
2016-06-15,64.2
2016-06-16,64.48
2016-06-17,63.97
2016-06-20,65.09
2016-06-21,63.21
2016-06-22,63.42
2016-06-23,62.19
2016-06-24,60.13
2016-06-27,59.41
2016-06-28,60.16
2016-06-29,60.97
2016-06-30,62.27
2016-07-01,62.78
2016-07-05,61.74
2016-07-06,62.26
2016-07-07,63.25
2016-07-08,64.41
2016-07-11,65.63
2016-07-12,66.21
2016-07-13,66.08
2016-07-14,66.75
2016-07-15,66.11
2016-07-18,65.83
2016-07-19,65.89
2016-07-20,66.63
2016-07-21,66.78
2016-07-22,66.87
2016-07-25,66.01
2016-07-26,66.87
2016-07-27,67.11
2016-07-28,67.06
2016-07-29,66.06
2016-08-01,65.8
2016-08-02,66.52
2016-08-03,67.2
2016-08-04,66.55
2016-08-05,66.15
2016-08-08,66.17
2016-08-09,61.47
2016-08-10,62.11
2016-08-11,63.5
2016-08-12,63.27
2016-08-15,64.08
2016-08-16,63.77
2016-08-17,64.21
2016-08-18,64.37
2016-08-19,64.42
2016-08-22,64.04
2016-08-23,64.45
2016-08-24,64.6
2016-08-25,64.08
2016-08-26,63.37
2016-08-29,63.59
2016-08-30,63.32
2016-08-31,63.37
2016-09-01,63.58
2016-09-02,63.83
2016-09-06,63.18
2016-09-07,63.33
2016-09-08,63.53
2016-09-09,61.83
2016-09-12,62.88
2016-09-13,61.38
2016-09-14,61.5
2016-09-15,62.14
2016-09-16,59.88
2016-09-19,60.11
2016-09-20,59.67
2016-09-21,59.82
2016-09-22,61.51
2016-09-23,61.64
2016-09-26,62.1
2016-09-27,62.0
2016-09-28,62.63
2016-09-29,63.94
2016-09-30,63.49
2016-10-03,64.12
2016-10-04,63.6
2016-10-05,63.78
2016-10-06,63.5
2016-10-07,62.38
2016-10-10,62.27
2016-10-11,62.14
2016-10-12,62.18
2016-10-13,61.77
2016-10-14,61.28
2016-10-17,61.5
2016-10-18,61.69
2016-10-19,61.89
2016-10-20,62.51
2016-10-21,65.99
2016-10-24,66.1
2016-10-25,65.19
2016-10-26,65.89
2016-10-27,63.74
2016-10-28,63.56
2016-10-31,64.36
2016-11-01,63.99
2016-11-02,63.54
2016-11-03,64.74
2016-11-04,64.84
2016-11-07,65.43
2016-11-08,65.2
2016-11-09,65.5
2016-11-10,67.01
2016-11-11,68.47
2016-11-14,73.7
2016-11-15,70.63
2016-11-16,71.67
2016-11-17,71.19
2016-11-18,69.65
2016-11-21,69.47
2016-11-22,69.33
2016-11-23,70.14
2016-11-25,70.5
2016-11-28,69.02
2016-11-29,70.06
2016-11-30,69.26
2016-12-01,69.69
2016-12-02,68.47
2016-12-05,69.2
