date,SYMC
2015-07-01,23.21
2015-07-02,23.03
2015-07-06,22.675
2015-07-07,22.79
2015-07-08,22.82
2015-07-09,22.99
2015-07-10,23.32
2015-07-13,23.42
2015-07-14,23.44
2015-07-15,23.31
2015-07-16,23.41
2015-07-17,23.47
2015-07-20,23.32
2015-07-21,23.04
2015-07-22,22.96
2015-07-23,23.22
2015-07-24,23.05
2015-07-27,22.72
2015-07-28,22.77
2015-07-29,22.84
2015-07-30,22.79
2015-07-31,22.74
2015-08-03,22.48
2015-08-04,22.42
2015-08-05,22.9
2015-08-06,22.35
2015-08-07,22.705
2015-08-10,22.91
2015-08-11,21.34
2015-08-12,21.64
2015-08-13,21.24
2015-08-14,21.6
2015-08-17,21.86
2015-08-18,21.65
2015-08-19,21.86
2015-08-20,21.35
2015-08-21,20.97
2015-08-24,20.01
2015-08-25,19.89
2015-08-26,20.63
2015-08-27,20.92
2015-08-28,20.84
2015-08-31,20.49
2015-09-01,19.93
2015-09-02,19.94
2015-09-03,19.95
2015-09-04,19.65
2015-09-08,20.09
2015-09-09,19.64
2015-09-10,20.01
2015-09-11,19.99
2015-09-14,19.81
2015-09-15,19.91
2015-09-16,19.95
2015-09-17,20.075
2015-09-18,20.17
2015-09-21,20.26
2015-09-22,19.85
2015-09-23,19.95
2015-09-24,19.85
2015-09-25,19.94
2015-09-28,20.0
2015-09-29,19.35
2015-09-30,19.46
2015-10-01,19.33
2015-10-02,19.65
2015-10-05,20.43
2015-10-06,21.0
2015-10-07,20.85
2015-10-08,21.04
2015-10-09,21.0
2015-10-12,20.88
2015-10-13,20.63
2015-10-14,20.6
2015-10-15,20.64
2015-10-16,20.71
2015-10-19,20.76
2015-10-20,20.71
2015-10-21,20.43
2015-10-22,20.64
2015-10-23,20.64
2015-10-26,20.56
2015-10-27,20.44
2015-10-28,20.6
2015-10-29,20.49
2015-10-30,20.6
2015-11-02,20.7
2015-11-03,20.85
2015-11-04,20.9
2015-11-05,20.88
2015-11-06,20.57
2015-11-09,20.12
2015-11-10,19.97
2015-11-11,19.93
2015-11-12,19.84
2015-11-13,19.71
2015-11-16,19.96
2015-11-17,19.98
2015-11-18,20.02
2015-11-19,19.995
2015-11-20,19.94
2015-11-23,19.89
2015-11-24,19.81
2015-11-25,19.86
2015-11-27,19.5
2015-11-30,19.58
2015-12-01,19.74
2015-12-02,19.66
2015-12-03,19.71
2015-12-04,20.04
2015-12-07,20.14
2015-12-08,20.2
2015-12-09,20.01
2015-12-10,19.94
2015-12-11,19.65
2015-12-14,19.54
2015-12-15,20.18
2015-12-16,20.47
2015-12-17,20.16
2015-12-18,20.21
2015-12-21,20.41
2015-12-22,20.525
2015-12-23,20.86
2015-12-24,20.86
2015-12-28,21.13
2015-12-29,21.37
2015-12-30,21.29
2015-12-31,21.0
2016-01-04,20.84
2016-01-05,20.88
2016-01-06,20.85
2016-01-07,20.5
2016-01-08,20.49
2016-01-11,20.36
2016-01-12,20.65
2016-01-13,20.25
2016-01-14,20.48
2016-01-15,19.73
2016-01-19,19.03
2016-01-20,18.82
2016-01-21,18.98
2016-01-22,19.47
2016-01-25,18.82
2016-01-26,19.23
2016-01-27,19.215
2016-01-28,19.5
2016-01-29,19.84
2016-02-01,19.75
2016-02-02,19.27
2016-02-03,19.28
2016-02-04,19.18
2016-02-05,19.76
2016-02-08,19.24
2016-02-09,18.72
2016-02-10,18.895
2016-02-11,18.77
2016-02-12,19.15
2016-02-16,19.55
2016-02-17,19.97
2016-02-18,19.81
2016-02-19,19.93
2016-02-22,20.13
2016-02-23,19.56
2016-02-24,19.29
2016-02-25,19.67
2016-02-26,19.44
2016-02-29,19.31
2016-03-01,20.28
2016-03-02,20.41
2016-03-03,20.52
2016-03-04,16.62
2016-03-07,17.09
2016-03-08,16.95
2016-03-09,17.59
2016-03-10,17.7
2016-03-11,18.39
2016-03-14,18.54
2016-03-15,18.46
2016-03-16,18.58
2016-03-17,18.73
2016-03-18,18.6
2016-03-21,18.85
2016-03-22,18.82
2016-03-23,18.64
2016-03-24,18.71
2016-03-28,18.47
2016-03-29,18.39
2016-03-30,18.38
2016-03-31,18.38
2016-04-01,18.41
2016-04-04,18.6
2016-04-05,18.37
2016-04-06,18.5
2016-04-07,18.18
2016-04-08,18.15
2016-04-11,17.97
2016-04-12,17.97
2016-04-13,18.16
2016-04-14,17.89
2016-04-15,18.04
2016-04-18,18.11
2016-04-19,18.13
2016-04-20,18.07
2016-04-21,18.1
2016-04-22,18.01
2016-04-25,18.1
2016-04-26,18.04
2016-04-27,18.11
2016-04-28,16.86
2016-04-29,16.645
2016-05-02,16.75
2016-05-03,16.63
2016-05-04,16.67
2016-05-05,16.6
2016-05-06,16.61
2016-05-09,16.64
2016-05-10,16.78
2016-05-11,16.71
2016-05-12,16.9
2016-05-13,16.79
2016-05-16,16.91
2016-05-17,16.94
2016-05-18,17.0
2016-05-19,16.89
2016-05-20,16.92
2016-05-23,16.92
2016-05-24,17.07
2016-05-25,17.25
2016-05-26,17.19
2016-05-27,17.15
2016-05-31,17.36
2016-06-01,17.31
2016-06-02,17.37
2016-06-03,17.26
2016-06-06,17.18
2016-06-07,17.27
2016-06-08,17.43
2016-06-09,17.39
2016-06-10,17.3
2016-06-13,18.21
2016-06-14,18.77
2016-06-15,18.99
2016-06-16,19.78
2016-06-17,19.97
2016-06-20,20.47
2016-06-21,20.92
2016-06-22,20.78
2016-06-23,21.24
2016-06-24,20.43
2016-06-27,19.95
2016-06-28,20.13
2016-06-29,20.35
2016-06-30,20.54
2016-07-01,20.46
2016-07-05,20.35
2016-07-06,20.38
2016-07-07,20.44
2016-07-08,20.7
2016-07-11,20.8
2016-07-12,21.02
2016-07-13,21.1
2016-07-14,20.94
2016-07-15,20.94
2016-07-18,20.8
2016-07-19,20.69
2016-07-20,20.7
2016-07-21,20.28
2016-07-22,20.49
2016-07-25,20.35
2016-07-26,20.37
2016-07-27,20.29
2016-07-28,20.45
2016-07-29,20.43
2016-08-01,20.55
2016-08-02,20.68
2016-08-03,20.9
2016-08-04,21.03
2016-08-05,21.885
2016-08-08,21.78
2016-08-09,21.66
2016-08-10,21.73
2016-08-11,22.11
2016-08-12,22.54
2016-08-15,22.88
2016-08-16,22.98
2016-08-17,22.92
2016-08-18,23.11
2016-08-19,23.72
2016-08-22,23.74
2016-08-23,23.87
2016-08-24,23.76
2016-08-25,23.73
2016-08-26,23.72
2016-08-29,24.13
2016-08-30,23.98
2016-08-31,24.13
2016-09-01,24.15
2016-09-02,24.28
2016-09-06,24.81
2016-09-07,24.92
2016-09-08,24.95
2016-09-09,24.49
2016-09-12,24.85
2016-09-13,24.69
2016-09-14,24.58
2016-09-15,24.87
2016-09-16,25.21
2016-09-19,24.84
2016-09-20,24.71
2016-09-21,25.08
2016-09-22,25.08
2016-09-23,25.04
2016-09-26,24.96
2016-09-27,25.16
2016-09-28,25.27
2016-09-29,25.01
2016-09-30,25.1
2016-10-03,25.11
2016-10-04,25.25
2016-10-05,25.39
2016-10-06,25.3
2016-10-07,25.21
2016-10-10,25.25
2016-10-11,25.06
2016-10-12,24.94
2016-10-13,24.28
2016-10-14,24.09
2016-10-17,24.19
2016-10-18,24.22
2016-10-19,24.23
2016-10-20,24.2
2016-10-21,24.08
2016-10-24,24.9
2016-10-25,24.99
2016-10-26,25.03
2016-10-27,24.93
2016-10-28,24.88
2016-10-31,25.03
2016-11-01,25.22
2016-11-02,25.23
2016-11-03,25.45
2016-11-04,23.49
2016-11-07,24.4
2016-11-08,24.71
2016-11-09,24.84
2016-11-10,25.05
2016-11-11,25.0
2016-11-14,24.63
2016-11-15,24.22
2016-11-16,23.9
2016-11-17,23.83
2016-11-18,23.75
2016-11-21,24.52
2016-11-22,25.11
2016-11-23,24.85
2016-11-25,24.82
2016-11-28,24.4
2016-11-29,24.32
2016-11-30,24.39
2016-12-01,23.76
2016-12-02,23.51
2016-12-05,24.35
2016-12-06,24.2
2016-12-07,24.44
2016-12-08,24.56
2016-12-09,24.82
2016-12-12,24.7
2016-12-13,24.91
2016-12-14,24.84
2016-12-15,24.8
2016-12-16,24.08
2016-12-19,24.22
2016-12-20,24.15
2016-12-21,24.25
2016-12-22,24.11
2016-12-23,24.14
2016-12-27,24.36
2016-12-28,24.15
2016-12-29,24.23
2016-12-30,23.89
2017-01-03,24.01
2017-01-04,24.22
2017-01-05,24.65
2017-01-06,25.01
2017-01-09,24.99
2017-01-10,25.13
2017-01-11,25.47
2017-01-12,25.7
2017-01-13,26.14
2017-01-17,26.2
2017-01-18,26.41
2017-01-19,26.56
2017-01-20,26.65
2017-01-23,26.76
2017-01-24,27.35
