date,PDCO
2015-07-01,49.27
2015-07-02,48.95
2015-07-06,49.14
2015-07-07,49.58
2015-07-08,48.59
2015-07-09,48.73
2015-07-10,49.19
2015-07-13,49.14
2015-07-14,49.04
2015-07-15,48.74
2015-07-16,49.23
2015-07-17,49.11
2015-07-20,48.98
2015-07-21,49.02
2015-07-22,49.82
2015-07-23,48.705
2015-07-24,48.47
2015-07-27,48.21
2015-07-28,48.67
2015-07-29,48.94
2015-07-30,49.77
2015-07-31,50.16
2015-08-03,49.95
2015-08-04,49.77
2015-08-05,50.13
2015-08-06,49.78
2015-08-07,49.74
2015-08-10,50.17
2015-08-11,49.86
2015-08-12,49.49
2015-08-13,49.62
2015-08-14,49.79
2015-08-17,50.0
2015-08-18,51.55
2015-08-19,51.39
2015-08-20,50.16
2015-08-21,49.12
2015-08-24,47.79
2015-08-25,47.27
2015-08-26,49.03
2015-08-27,45.94
2015-08-28,46.39
2015-08-31,45.83
2015-09-01,44.46
2015-09-02,44.94
2015-09-03,44.84
2015-09-04,44.68
2015-09-08,46.03
2015-09-09,45.21
2015-09-10,45.53
2015-09-11,45.73
2015-09-14,45.66
2015-09-15,46.03
2015-09-16,44.99
2015-09-17,45.02
2015-09-18,44.92
2015-09-21,45.21
2015-09-22,45.01
2015-09-23,45.1
2015-09-24,45.01
2015-09-25,44.3
2015-09-28,42.91
2015-09-29,42.97
2015-09-30,43.25
2015-10-01,43.19
2015-10-02,43.99
2015-10-05,44.72
2015-10-06,44.13
2015-10-07,45.01
2015-10-08,45.99
2015-10-09,46.77
2015-10-12,46.74
2015-10-13,46.11
2015-10-14,45.18
2015-10-15,45.64
2015-10-16,45.93
2015-10-19,46.06
2015-10-20,46.15
2015-10-21,46.21
2015-10-22,45.7
2015-10-23,47.01
2015-10-26,47.02
2015-10-27,46.66
2015-10-28,46.87
2015-10-29,47.53
2015-10-30,47.4
2015-11-02,48.01
2015-11-03,47.94
2015-11-04,48.09
2015-11-05,48.12
2015-11-06,48.19
2015-11-09,47.92
2015-11-10,48.07
2015-11-11,48.06
2015-11-12,47.05
2015-11-13,46.77
2015-11-16,47.5
2015-11-17,47.84
2015-11-18,48.75
2015-11-19,48.28
2015-11-20,48.49
2015-11-23,48.63
2015-11-24,45.71
2015-11-25,45.6
2015-11-27,45.59
2015-11-30,45.57
2015-12-01,45.77
2015-12-02,45.47
2015-12-03,44.35
2015-12-04,44.96
2015-12-07,45.13
2015-12-08,44.48
2015-12-09,44.06
2015-12-10,44.2
2015-12-11,43.76
2015-12-14,43.56
2015-12-15,43.62
2015-12-16,44.56
2015-12-17,44.4
2015-12-18,44.05
2015-12-21,44.32
2015-12-22,44.68
2015-12-23,44.9
2015-12-24,45.07
2015-12-28,45.22
2015-12-29,45.53
2015-12-30,45.45
2015-12-31,45.21
2016-01-04,43.59
2016-01-05,44.17
2016-01-06,44.16
2016-01-07,43.46
2016-01-08,42.39
2016-01-11,41.49
2016-01-12,41.71
2016-01-13,40.21
2016-01-14,40.48
2016-01-15,40.24
2016-01-19,39.85
2016-01-20,39.56
2016-01-21,39.39
2016-01-22,40.365
2016-01-25,40.25
2016-01-26,41.36
2016-01-27,40.7
2016-01-28,41.18
2016-01-29,42.46
2016-02-01,43.06
2016-02-02,42.79
2016-02-03,43.08
2016-02-04,43.24
2016-02-05,42.62
2016-02-08,40.88
2016-02-09,41.28
2016-02-10,42.22
2016-02-11,41.46
2016-02-12,42.48
2016-02-16,43.57
2016-02-17,44.24
2016-02-18,44.46
2016-02-19,44.47
2016-02-22,45.36
2016-02-23,44.91
2016-02-24,44.95
2016-02-25,45.09
2016-02-26,44.47
2016-02-29,43.44
2016-03-01,44.0
2016-03-02,43.78
2016-03-03,44.59
2016-03-04,44.66
2016-03-07,44.69
2016-03-08,44.09
2016-03-09,43.87
2016-03-10,43.48
2016-03-11,44.34
2016-03-14,44.09
2016-03-15,44.2
2016-03-16,44.87
2016-03-17,45.21
2016-03-18,45.25
2016-03-21,45.41
2016-03-22,45.79
2016-03-23,45.9
2016-03-24,44.66
2016-03-28,44.81
2016-03-29,45.93
2016-03-30,46.31
2016-03-31,46.53
2016-04-01,46.35
2016-04-04,46.43
2016-04-05,45.1
2016-04-06,45.85
2016-04-07,44.9
2016-04-08,44.94
2016-04-11,44.8
2016-04-12,44.43
2016-04-13,44.62
2016-04-14,44.52
2016-04-15,44.76
2016-04-18,44.89
2016-04-19,45.22
2016-04-20,45.08
2016-04-21,44.79
2016-04-22,44.93
2016-04-25,44.95
2016-04-26,44.58
2016-04-27,44.23
2016-04-28,43.56
2016-04-29,43.35
2016-05-02,43.61
2016-05-03,43.35
2016-05-04,42.87
2016-05-05,43.03
2016-05-06,42.98
2016-05-09,43.54
2016-05-10,44.05
2016-05-11,43.72
2016-05-12,44.39
2016-05-13,44.61
2016-05-16,45.6
2016-05-17,44.89
2016-05-18,45.18
2016-05-19,45.03
2016-05-20,45.79
2016-05-23,45.04
2016-05-24,45.98
2016-05-25,45.52
2016-05-26,48.19
2016-05-27,48.91
2016-05-31,48.81
2016-06-01,48.88
2016-06-02,49.3
2016-06-03,49.1
2016-06-06,49.19
2016-06-07,49.21
2016-06-08,49.98
2016-06-09,50.32
2016-06-10,49.6
2016-06-13,49.13
2016-06-14,48.41
2016-06-15,48.21
2016-06-16,47.68
2016-06-17,47.29
2016-06-20,48.06
2016-06-21,47.91
2016-06-22,47.9
2016-06-23,48.46
2016-06-24,46.35
2016-06-27,45.67
2016-06-28,46.44
2016-06-29,47.59
2016-06-30,47.89
2016-07-01,48.47
2016-07-05,48.34
2016-07-06,49.06
2016-07-07,49.09
2016-07-08,49.83
2016-07-11,49.59
2016-07-12,49.38
2016-07-13,49.36
2016-07-14,49.47
2016-07-15,49.22
2016-07-18,49.6
2016-07-19,49.52
2016-07-20,49.6
2016-07-21,49.33
2016-07-22,49.51
2016-07-25,49.4
2016-07-26,49.34
2016-07-27,48.85
2016-07-28,48.92
2016-07-29,49.36
2016-08-01,49.19
2016-08-02,48.89
2016-08-03,49.18
2016-08-04,47.36
2016-08-05,48.09
2016-08-08,46.32
2016-08-09,45.98
2016-08-10,46.06
2016-08-11,46.41
2016-08-12,45.97
2016-08-15,45.91
2016-08-16,45.96
2016-08-17,45.03
2016-08-18,45.54
2016-08-19,46.57
2016-08-22,46.92
2016-08-23,46.75
2016-08-24,45.74
2016-08-25,45.99
2016-08-26,46.19
2016-08-29,46.35
2016-08-30,46.21
2016-08-31,46.0
2016-09-01,46.03
2016-09-02,46.89
2016-09-06,47.0
2016-09-07,47.18
2016-09-08,46.66
2016-09-09,45.02
2016-09-12,45.78
2016-09-13,45.29
2016-09-14,45.33
2016-09-15,46.03
2016-09-16,46.14
2016-09-19,46.05
2016-09-20,46.23
2016-09-21,46.8
2016-09-22,47.18
2016-09-23,46.68
2016-09-26,45.9
2016-09-27,45.9
2016-09-28,46.18
2016-09-29,45.46
2016-09-30,45.94
2016-10-03,45.32
2016-10-04,44.74
2016-10-05,45.11
2016-10-06,45.36
2016-10-07,45.34
2016-10-10,45.92
2016-10-11,45.5
2016-10-12,45.5
2016-10-13,45.3
2016-10-14,44.41
2016-10-17,44.09
2016-10-18,44.58
2016-10-19,44.39
2016-10-20,44.05
2016-10-21,43.91
2016-10-24,43.8
2016-10-25,44.44
2016-10-26,42.97
2016-10-27,42.63
2016-10-28,42.76
2016-10-31,42.71
2016-11-01,43.94
2016-11-02,45.34
2016-11-03,45.38
2016-11-04,45.755
2016-11-07,46.67
2016-11-08,46.67
2016-11-09,47.01
2016-11-10,47.48
2016-11-11,47.66
2016-11-14,47.88
2016-11-15,48.07
2016-11-16,48.36
2016-11-17,48.23
2016-11-18,46.49
2016-11-21,47.51
2016-11-22,39.56
2016-11-23,39.26
2016-11-25,39.05
2016-11-28,38.8
2016-11-29,38.87
2016-11-30,38.74
2016-12-01,39.04
2016-12-02,39.2
2016-12-05,39.61
2016-12-06,40.37
2016-12-07,39.93
2016-12-08,39.83
2016-12-09,40.4
2016-12-12,40.58
2016-12-13,40.77
2016-12-14,40.14
2016-12-15,40.39
2016-12-16,40.95
2016-12-19,40.3
2016-12-20,40.28
2016-12-21,40.6
2016-12-22,40.83
2016-12-23,40.85
2016-12-27,40.92
2016-12-28,40.93
2016-12-29,41.14
2016-12-30,41.03
2017-01-03,42.55
2017-01-04,42.95
2017-01-05,42.42
2017-01-06,42.43
2017-01-09,42.54
2017-01-10,41.79
2017-01-11,40.47
2017-01-12,40.31
2017-01-13,41.28
2017-01-17,41.03
2017-01-18,41.21
2017-01-19,40.69
2017-01-20,40.84
2017-01-23,41.15
2017-01-24,41.17
2017-01-25,41.77
2017-01-26,41.77
2017-01-27,41.5
2017-01-30,41.0
2017-01-31,41.61
2017-02-01,41.92
2017-02-02,41.85
2017-02-03,42.13
2017-02-06,42.11
2017-02-07,42.11
2017-02-08,42.17
2017-02-09,42.72
2017-02-10,42.83
2017-02-13,43.15
2017-02-14,43.49
2017-02-15,43.5
2017-02-16,43.79
2017-02-17,44.08
2017-02-21,44.81
2017-02-22,44.6
2017-02-23,44.6
2017-02-24,45.22
2017-02-27,45.32
2017-02-28,45.45
2017-03-01,45.89
2017-03-02,45.67
2017-03-03,45.0
2017-03-06,43.82
2017-03-07,44.15
2017-03-08,44.37
2017-03-09,44.41
2017-03-10,44.57
2017-03-13,45.25
2017-03-14,45.18
2017-03-15,45.8
2017-03-16,45.54
2017-03-17,45.48
2017-03-20,45.54
2017-03-21,44.79
2017-03-22,44.33
2017-03-23,44.21
2017-03-24,44.48
2017-03-27,44.7
2017-03-28,45.02
2017-03-29,45.08
2017-03-30,45.27
2017-03-31,45.23
2017-04-03,45.16
2017-04-04,44.96
2017-04-05,44.22
2017-04-06,44.68
2017-04-07,44.51
2017-04-10,44.44
2017-04-11,44.3
2017-04-12,43.9
2017-04-13,43.55
2017-04-17,43.88
2017-04-18,43.7
2017-04-19,43.82
2017-04-20,44.27
2017-04-21,43.52
2017-04-24,43.75
2017-04-25,44.23
2017-04-26,44.58
2017-04-27,44.73
2017-04-28,44.49
2017-05-01,44.41
2017-05-02,44.55
2017-05-03,44.56
2017-05-04,45.25
2017-05-05,45.37
2017-05-08,44.59
2017-05-09,44.18
2017-05-10,43.39
2017-05-11,43.31
2017-05-12,43.44
2017-05-15,43.59
2017-05-16,43.26
2017-05-17,42.83
2017-05-18,42.51
2017-05-19,42.79
2017-05-22,43.49
2017-05-23,43.56
2017-05-24,43.07
2017-05-25,44.75
2017-05-26,43.94
2017-05-30,43.92
2017-05-31,44.16
2017-06-01,47.13
2017-06-02,46.99
2017-06-05,46.43
2017-06-06,46.1
2017-06-07,46.06
2017-06-08,46.13
2017-06-09,46.13
2017-06-12,46.29
2017-06-13,46.69
2017-06-14,46.73
2017-06-15,46.83
2017-06-16,46.88
2017-06-19,47.23
2017-06-20,47.6
2017-06-21,47.72
2017-06-22,47.93
2017-06-23,47.84
2017-06-26,47.81
2017-06-27,47.61
2017-06-28,47.77
2017-06-29,47.59
2017-06-30,46.95
2017-07-03,47.51
2017-07-05,47.43
2017-07-06,44.15
2017-07-07,44.4
2017-07-10,44.0
2017-07-11,43.36
2017-07-12,43.2
2017-07-13,43.13
2017-07-14,43.4
2017-07-17,43.1
2017-07-18,42.97
2017-07-19,43.02
2017-07-20,42.94
2017-07-21,42.89
2017-07-24,43.0
2017-07-25,43.0
2017-07-26,42.89
2017-07-27,42.37
2017-07-28,42.19
2017-07-31,41.72
2017-08-01,40.75
2017-08-02,40.04
2017-08-03,39.67
2017-08-04,39.23
2017-08-07,39.23
2017-08-08,38.72
2017-08-09,38.13
2017-08-10,37.47
2017-08-11,37.98
2017-08-14,37.9
2017-08-15,36.75
2017-08-16,37.29
2017-08-17,36.76
2017-08-18,36.45
2017-08-21,36.36
2017-08-22,37.0
2017-08-23,36.27
2017-08-24,36.84
2017-08-25,37.75
2017-08-28,37.65
2017-08-29,37.91
2017-08-30,38.29
2017-08-31,38.5
2017-09-01,37.88
2017-09-05,37.7
2017-09-06,38.89
2017-09-07,39.77
2017-09-08,39.37
2017-09-11,40.24
2017-09-12,40.65
2017-09-13,39.44
2017-09-14,38.23
2017-09-15,38.53
2017-09-18,37.94
2017-09-19,37.18
2017-09-20,37.82
2017-09-21,37.12
2017-09-22,37.4
2017-09-25,37.99
2017-09-26,38.7
2017-09-27,39.11
2017-09-28,38.7
2017-09-29,38.65
2017-10-02,38.59
2017-10-03,38.69
