date,CERN
2015-07-01,69.4
2015-07-02,68.48
2015-07-06,68.23
2015-07-07,68.59
2015-07-08,67.805
2015-07-09,68.47
2015-07-10,69.92
2015-07-13,70.63
2015-07-14,71.3
2015-07-15,71.6
2015-07-16,71.3
2015-07-17,71.33
2015-07-20,71.95
2015-07-21,71.54
2015-07-22,72.05
2015-07-23,70.0
2015-07-24,68.12
2015-07-27,67.66
2015-07-28,68.49
2015-07-29,73.4
2015-07-30,71.96
2015-07-31,71.72
2015-08-03,70.9
2015-08-04,70.32
2015-08-05,67.3
2015-08-06,65.3
2015-08-07,63.59
2015-08-10,63.21
2015-08-11,62.81
2015-08-12,63.12
2015-08-13,62.89
2015-08-14,64.25
2015-08-17,64.54
2015-08-18,65.6
2015-08-19,65.0
2015-08-20,63.27
2015-08-21,61.72
2015-08-24,60.63
2015-08-25,60.24
2015-08-26,61.63
2015-08-27,61.44
2015-08-28,63.13
2015-08-31,61.76
2015-09-01,59.87
2015-09-02,60.96
2015-09-03,60.81
2015-09-04,59.83
2015-09-08,62.38
2015-09-09,61.43
2015-09-10,61.81
2015-09-11,62.52
2015-09-14,61.75
2015-09-15,62.64
2015-09-16,63.39
2015-09-17,64.52
2015-09-18,63.24
2015-09-21,63.48
2015-09-22,62.92
2015-09-23,63.02
2015-09-24,62.33
2015-09-25,60.71
2015-09-28,58.15
2015-09-29,59.48
2015-09-30,59.93
2015-10-01,60.15
2015-10-02,61.34
2015-10-05,62.12
2015-10-06,61.48
2015-10-07,62.87
2015-10-08,63.42
2015-10-09,64.08
2015-10-12,65.2
2015-10-13,65.07
2015-10-14,64.53
2015-10-15,64.5
2015-10-16,65.25
2015-10-19,65.44
2015-10-20,65.69
2015-10-21,65.7
2015-10-22,63.16
2015-10-23,64.63
2015-10-26,64.99
2015-10-27,66.48
2015-10-28,67.47
2015-10-29,67.32
2015-10-30,66.29
2015-11-02,66.16
2015-11-03,66.09
2015-11-04,61.63
2015-11-05,61.28
2015-11-06,60.17
2015-11-09,59.38
2015-11-10,59.3
2015-11-11,58.52
2015-11-12,57.7
2015-11-13,56.55
2015-11-16,57.27
2015-11-17,57.36
2015-11-18,58.32
2015-11-19,57.9
2015-11-20,58.75
2015-11-23,58.9
2015-11-24,59.18
2015-11-25,59.51
2015-11-27,59.61
2015-11-30,59.6
2015-12-01,60.16
2015-12-02,60.33
2015-12-03,59.23
2015-12-04,60.13
2015-12-07,59.96
2015-12-08,60.26
2015-12-09,60.0
2015-12-10,60.11
2015-12-11,60.0
2015-12-14,59.94
2015-12-15,60.42
2015-12-16,61.155
2015-12-17,60.38
2015-12-18,59.02
2015-12-21,59.68
2015-12-22,60.43
2015-12-23,60.75
2015-12-24,60.69
2015-12-28,60.62
2015-12-29,61.85
2015-12-30,60.63
2015-12-31,60.17
2016-01-04,58.16
2016-01-05,58.08
2016-01-06,57.62
2016-01-07,57.67
2016-01-08,58.74
2016-01-11,57.26
2016-01-12,59.16
2016-01-13,58.33
2016-01-14,58.19
2016-01-15,56.77
2016-01-19,56.39
2016-01-20,56.03
2016-01-21,55.83
2016-01-22,57.38
2016-01-25,56.18
2016-01-26,56.52
2016-01-27,56.3
2016-01-28,55.96
2016-01-29,58.01
2016-02-01,57.62
2016-02-02,56.64
2016-02-03,57.21
2016-02-04,58.49
2016-02-05,55.31
2016-02-08,54.29
2016-02-09,53.71
2016-02-10,54.55
2016-02-11,53.95
2016-02-12,54.9
2016-02-16,55.46
2016-02-17,52.81
2016-02-18,52.15
2016-02-19,51.46
2016-02-22,52.46
2016-02-23,50.65
2016-02-24,51.79
2016-02-25,51.36
2016-02-26,52.01
2016-02-29,51.06
2016-03-01,51.48
2016-03-02,51.3
2016-03-03,50.0
2016-03-04,51.64
2016-03-07,52.61
2016-03-08,52.79
2016-03-09,53.54
2016-03-10,53.4
2016-03-11,54.01
2016-03-14,53.3
2016-03-15,52.08
2016-03-16,52.65
2016-03-17,52.3
2016-03-18,53.48
2016-03-21,53.14
2016-03-22,54.56
2016-03-23,52.66
2016-03-24,51.46
2016-03-28,51.57
2016-03-29,52.48
2016-03-30,52.72
2016-03-31,52.96
2016-04-01,54.08
2016-04-04,54.6
2016-04-05,54.03
2016-04-06,55.23
2016-04-07,55.98
2016-04-08,56.45
2016-04-11,55.11
2016-04-12,55.5
2016-04-13,55.91
2016-04-14,56.44
2016-04-15,57.02
2016-04-18,58.08
2016-04-19,58.04
2016-04-20,58.36
2016-04-21,58.46
2016-04-22,58.51
2016-04-25,58.57
2016-04-26,58.16
2016-04-27,57.81
2016-04-28,57.65
2016-04-29,56.14
2016-05-02,56.96
2016-05-03,56.92
2016-05-04,55.72
2016-05-05,55.46
2016-05-06,53.63
2016-05-09,55.43
2016-05-10,55.24
2016-05-11,54.34
2016-05-12,54.46
2016-05-13,53.74
2016-05-16,54.46
2016-05-17,53.2
2016-05-18,53.4
2016-05-19,53.62
