date,LM
2015-07-01,51.39
2015-07-02,50.88
2015-07-06,50.33
2015-07-07,50.48
2015-07-08,49.3
2015-07-09,49.07
2015-07-10,49.34
2015-07-13,49.36
2015-07-14,49.19
2015-07-15,49.2
2015-07-16,49.66
2015-07-17,49.17
2015-07-20,48.71
2015-07-21,48.65
2015-07-22,48.87
2015-07-23,48.53
2015-07-24,47.56
2015-07-27,47.33
2015-07-28,47.67
2015-07-29,48.27
2015-07-30,48.83
2015-07-31,49.34
2015-08-03,49.74
2015-08-04,49.64
2015-08-05,48.98
2015-08-06,48.11
2015-08-07,47.8
2015-08-10,48.95
2015-08-11,48.14
2015-08-12,48.31
2015-08-13,49.11
2015-08-14,49.11
2015-08-17,48.83
2015-08-18,48.74
2015-08-19,48.12
2015-08-20,47.19
2015-08-21,46.09
2015-08-24,44.16
2015-08-25,42.97
2015-08-26,43.87
2015-08-27,45.12
2015-08-28,44.75
2015-08-31,44.33
2015-09-01,42.75
2015-09-02,42.69
2015-09-03,42.39
2015-09-04,41.5
2015-09-08,43.21
2015-09-09,42.81
2015-09-10,42.52
2015-09-11,42.6
2015-09-14,42.15
2015-09-15,42.89
2015-09-16,43.84
2015-09-17,44.04
2015-09-18,42.88
2015-09-21,42.98
2015-09-22,42.04
2015-09-23,41.86
2015-09-24,42.02
2015-09-25,42.16
2015-09-28,41.36
2015-09-29,41.18
2015-09-30,41.61
2015-10-01,41.25
2015-10-02,41.96
2015-10-05,42.99
2015-10-06,43.7
2015-10-07,43.85
2015-10-08,44.07
2015-10-09,43.85
2015-10-12,43.74
2015-10-13,43.29
2015-10-14,42.93
2015-10-15,43.44
2015-10-16,43.81
2015-10-19,43.06
2015-10-20,43.17
2015-10-21,43.49
2015-10-22,45.16
2015-10-23,45.56
2015-10-26,45.34
2015-10-27,44.7
2015-10-28,45.76
2015-10-29,45.16
2015-10-30,44.75
2015-11-02,45.74
2015-11-03,45.88
2015-11-04,45.12
2015-11-05,45.81
2015-11-06,45.46
2015-11-09,45.07
2015-11-10,44.56
2015-11-11,44.19
2015-11-12,43.16
2015-11-13,42.42
2015-11-16,43.15
2015-11-17,42.74
2015-11-18,44.11
2015-11-19,43.77
2015-11-20,43.38
2015-11-23,42.86
2015-11-24,42.81
2015-11-25,43.67
2015-11-27,43.55
2015-11-30,44.38
2015-12-01,44.88
2015-12-02,43.9
2015-12-03,43.75
2015-12-04,44.34
2015-12-07,43.21
2015-12-08,42.12
2015-12-09,41.61
2015-12-10,41.6
2015-12-11,39.66
2015-12-14,38.12
2015-12-15,38.71
2015-12-16,40.26
2015-12-17,39.07
2015-12-18,37.85
2015-12-21,38.56
2015-12-22,38.75
2015-12-23,39.74
2015-12-24,39.67
2015-12-28,39.54
2015-12-29,39.76
2015-12-30,39.35
2015-12-31,39.23
2016-01-04,39.73
2016-01-05,38.68
2016-01-06,37.58
2016-01-07,35.98
2016-01-08,35.3
2016-01-11,34.97
2016-01-12,35.39
2016-01-13,33.39
2016-01-14,32.79
2016-01-15,32.0
2016-01-19,31.91
2016-01-20,31.63
2016-01-21,31.77
2016-01-22,31.21
2016-01-25,29.5
2016-01-26,29.75
2016-01-27,29.61
2016-01-28,29.4
2016-01-29,30.62
2016-02-01,29.84
2016-02-02,28.21
2016-02-03,28.09
2016-02-04,28.29
2016-02-05,27.62
2016-02-08,26.47
2016-02-09,25.93
2016-02-10,26.16
2016-02-11,25.2
2016-02-12,26.64
2016-02-16,27.22
2016-02-17,27.66
2016-02-18,27.79
2016-02-19,27.42
2016-02-22,28.5
2016-02-23,27.72
2016-02-24,27.91
2016-02-25,27.94
2016-02-26,28.59
2016-02-29,28.56
2016-03-01,30.21
2016-03-02,30.78
2016-03-03,31.85
2016-03-04,32.42
2016-03-07,32.98
2016-03-08,32.11
2016-03-09,31.99
2016-03-10,31.19
2016-03-11,33.23
2016-03-14,32.84
2016-03-15,32.04
2016-03-16,33.6
2016-03-17,34.36
2016-03-18,34.66
2016-03-21,34.6
2016-03-22,34.97
2016-03-23,34.37
2016-03-24,34.01
2016-03-28,34.1
2016-03-29,34.52
2016-03-30,34.63
2016-03-31,34.68
2016-04-01,34.47
2016-04-04,33.01
2016-04-05,32.71
2016-04-06,32.64
2016-04-07,31.33
2016-04-08,31.37
2016-04-11,31.57
2016-04-12,32.19
2016-04-13,34.05
2016-04-14,34.35
2016-04-15,34.07
2016-04-18,34.13
2016-04-19,34.53
2016-04-20,35.3
2016-04-21,34.92
2016-04-22,35.15
2016-04-25,34.63
2016-04-26,34.6
2016-04-27,35.2
2016-04-28,33.7
2016-04-29,32.11
2016-05-02,31.9
2016-05-03,30.78
2016-05-04,30.83
2016-05-05,30.89
2016-05-06,31.13
2016-05-09,31.01
2016-05-10,31.55
2016-05-11,30.79
2016-05-12,31.26
2016-05-13,30.64
2016-05-16,31.03
2016-05-17,31.6
2016-05-18,32.14
2016-05-19,31.47
2016-05-20,31.92
2016-05-23,32.18
2016-05-24,33.11
2016-05-25,33.95
2016-05-26,33.75
2016-05-27,34.13
2016-05-31,34.5
2016-06-01,34.22
2016-06-02,33.95
2016-06-03,33.92
2016-06-06,34.79
2016-06-07,34.72
2016-06-08,34.36
2016-06-09,33.26
2016-06-10,32.15
2016-06-13,31.59
2016-06-14,30.88
2016-06-15,31.07
2016-06-16,30.85
2016-06-17,30.94
2016-06-20,31.26
2016-06-21,31.96
2016-06-22,31.61
2016-06-23,32.61
2016-06-24,29.49
2016-06-27,27.77
2016-06-28,28.06
2016-06-29,29.17
2016-06-30,29.49
