date,GMCR
2015-07-01,74.7
2015-07-02,74.33
2015-07-06,71.77
2015-07-07,72.06
2015-07-08,70.88
2015-07-09,70.67
2015-07-10,70.24
2015-07-13,70.36
2015-07-14,69.97
2015-07-15,68.84
2015-07-16,70.42
2015-07-17,69.65
2015-07-20,71.04
2015-07-21,70.99
2015-07-22,71.92
2015-07-23,71.32
2015-07-24,69.41
2015-07-27,71.36
2015-07-28,71.8
2015-07-29,74.76
2015-07-30,74.21
2015-07-31,75.04
2015-08-03,75.47
2015-08-04,76.59
2015-08-05,74.98
2015-08-06,52.67
2015-08-07,53.43
2015-08-10,54.61
2015-08-11,52.96
2015-08-12,52.89
2015-08-13,50.28
2015-08-14,50.6
2015-08-17,50.94
2015-08-18,50.24
2015-08-19,49.46
2015-08-20,50.4
2015-08-21,50.14
2015-08-24,51.3
2015-08-25,51.96
2015-08-26,52.56
2015-08-27,53.99
2015-08-28,54.11
2015-08-31,56.6
2015-09-01,55.1
2015-09-02,56.56
2015-09-03,57.43
2015-09-04,58.38
2015-09-08,58.54
2015-09-09,58.59
2015-09-10,60.89
2015-09-11,60.9
2015-09-14,59.35
2015-09-15,58.13
2015-09-16,60.15
2015-09-17,57.19
2015-09-18,56.74
2015-09-21,57.0
2015-09-22,56.7
2015-09-23,55.07
2015-09-24,55.17
2015-09-25,55.52
2015-09-28,53.19
2015-09-29,53.71
2015-09-30,52.14
2015-10-01,52.05
2015-10-02,53.65
2015-10-05,54.65
2015-10-06,55.23
2015-10-07,56.18
2015-10-08,57.86
2015-10-09,57.55
2015-10-12,55.03
2015-10-13,54.97
2015-10-14,54.17
2015-10-15,52.77
2015-10-16,50.8
2015-10-19,53.1
2015-10-20,52.94
2015-10-21,54.61
2015-10-22,54.06
2015-10-23,55.01
2015-10-26,53.24
2015-10-27,51.58
2015-10-28,52.91
2015-10-29,51.72
2015-10-30,50.75
2015-11-02,51.61
2015-11-03,54.84
2015-11-04,50.87
2015-11-05,52.58
2015-11-06,52.68
2015-11-09,52.38
2015-11-10,50.04
2015-11-11,46.24
2015-11-12,45.41
2015-11-13,43.51
2015-11-16,44.49
2015-11-17,40.13
2015-11-18,40.5
2015-11-19,47.88
2015-11-20,47.44
2015-11-23,45.72
2015-11-24,48.85
2015-11-25,52.76
2015-11-27,50.84
2015-11-30,52.4
2015-12-01,52.98
2015-12-02,52.46
2015-12-03,54.3
2015-12-04,51.7
2015-12-07,88.89
2015-12-08,89.65
2015-12-09,89.5
2015-12-10,89.45
2015-12-11,88.96
2015-12-14,89.27
2015-12-15,89.11
2015-12-16,89.22
2015-12-17,88.87
2015-12-18,88.25
2015-12-21,88.75
2015-12-22,89.48
2015-12-23,89.73
2015-12-24,89.88
2015-12-28,89.9
2015-12-29,90.21
2015-12-30,90.11
2015-12-31,89.98
