date,RHT
2016-03-04,67.58
2016-03-07,66.93
2016-03-08,68.28
2016-03-09,69.9
2016-03-10,70.06
2016-03-11,71.8
2016-03-14,72.12
2016-03-15,71.55
2016-03-16,72.86
2016-03-17,72.74
2016-03-18,74.09
2016-03-21,74.9
2016-03-22,75.71
2016-03-23,72.54
2016-03-24,73.24
2016-03-28,73.49
2016-03-29,73.49
2016-03-30,74.04
2016-03-31,74.51
2016-04-01,75.52
2016-04-04,75.28
2016-04-05,74.06
2016-04-06,74.75
2016-04-07,73.62
2016-04-08,73.8
2016-04-11,72.84
2016-04-12,72.61
2016-04-13,74.05
2016-04-14,74.45
2016-04-15,74.66
2016-04-18,75.45
2016-04-19,75.04
2016-04-20,76.06
2016-04-21,76.13
2016-04-22,74.85
2016-04-25,74.47
2016-04-26,74.49
2016-04-27,74.41
2016-04-28,73.64
2016-04-29,73.37
2016-05-02,74.32
2016-05-03,72.35
2016-05-04,71.45
2016-05-05,71.57
2016-05-06,71.73
2016-05-09,71.74
2016-05-10,73.09
2016-05-11,72.15
2016-05-12,71.93
2016-05-13,72.06
2016-05-16,72.92
2016-05-17,72.44
2016-05-18,73.0
2016-05-19,72.44
2016-05-20,73.17
2016-05-23,74.8
2016-05-24,76.41
2016-05-25,76.7
2016-05-26,76.22
2016-05-27,76.52
2016-05-31,77.46
2016-06-01,77.41
2016-06-02,78.23
2016-06-03,78.2
2016-06-06,78.13
2016-06-07,78.87
2016-06-08,79.06
2016-06-09,78.23
2016-06-10,76.92
2016-06-13,76.9
2016-06-14,77.17
2016-06-15,76.99
2016-06-16,76.97
2016-06-17,77.3
2016-06-20,78.88
2016-06-21,80.39
2016-06-22,79.75
2016-06-23,78.39
2016-06-24,73.62
2016-06-27,70.14
2016-06-28,71.48
2016-06-29,72.93
2016-06-30,72.6
2016-07-01,71.99
2016-07-05,71.29
2016-07-06,72.18
2016-07-07,71.42
2016-07-08,72.69
2016-07-11,72.64
2016-07-12,73.91
2016-07-13,73.66
2016-07-14,73.49
2016-07-15,72.83
2016-07-18,72.8
2016-07-19,72.36
2016-07-20,73.52
2016-07-21,72.3
2016-07-22,73.47
2016-07-25,73.54
2016-07-26,75.05
2016-07-27,73.64
2016-07-28,74.43
2016-07-29,75.29
2016-08-01,74.82
2016-08-02,72.89
2016-08-03,74.58
2016-08-04,74.6
2016-08-05,75.83
2016-08-08,75.25
2016-08-09,75.17
2016-08-10,74.35
2016-08-11,74.42
2016-08-12,74.0
2016-08-15,73.97
2016-08-16,73.59
2016-08-17,73.17
2016-08-18,73.71
2016-08-19,74.23
2016-08-22,74.07
2016-08-23,74.89
2016-08-24,74.72
2016-08-25,74.88
2016-08-26,74.37
2016-08-29,73.67
2016-08-30,72.94
2016-08-31,72.98
2016-09-01,72.94
2016-09-02,73.75
2016-09-06,73.37
2016-09-07,73.19
2016-09-08,72.6
2016-09-09,72.24
2016-09-12,72.95
2016-09-13,72.42
2016-09-14,73.7
2016-09-15,73.67
2016-09-16,73.8
2016-09-19,75.94
2016-09-20,75.78
2016-09-21,77.04
2016-09-22,80.02
2016-09-23,79.13
2016-09-26,78.74
2016-09-27,79.11
2016-09-28,80.56
2016-09-29,80.16
2016-09-30,80.83
2016-10-03,80.2
2016-10-04,79.65
2016-10-05,79.43
2016-10-06,78.59
2016-10-07,77.8
2016-10-10,77.99
2016-10-11,76.75
2016-10-12,77.18
2016-10-13,76.83
2016-10-14,77.2
2016-10-17,76.19
2016-10-18,77.5
2016-10-19,78.27
2016-10-20,77.58
2016-10-21,76.96
2016-10-24,78.21
2016-10-25,77.35
2016-10-26,77.03
2016-10-27,76.91
2016-10-28,77.11
2016-10-31,77.45
2016-11-01,76.66
2016-11-02,74.77
2016-11-03,74.74
2016-11-04,74.45
2016-11-07,76.67
2016-11-08,76.67
2016-11-09,76.79
2016-11-10,76.93
2016-11-11,77.05
2016-11-14,75.5
2016-11-15,76.81
2016-11-16,78.64
2016-11-17,79.82
2016-11-18,79.03
2016-11-21,79.65
2016-11-22,79.13
2016-11-23,78.75
2016-11-25,78.81
2016-11-28,78.38
2016-11-29,80.0
2016-11-30,79.11
2016-12-01,75.19
2016-12-02,76.08
2016-12-05,77.72
2016-12-06,77.93
2016-12-07,78.92
2016-12-08,78.88
2016-12-09,78.65
2016-12-12,78.41
2016-12-13,80.55
2016-12-14,79.08
2016-12-15,80.41
2016-12-16,79.95
2016-12-19,80.47
2016-12-20,79.39
2016-12-21,79.79
2016-12-22,68.71
2016-12-23,71.01
2016-12-27,70.19
2016-12-28,70.02
2016-12-29,69.65
2016-12-30,69.7
2017-01-03,70.12
2017-01-04,73.1
2017-01-05,73.1
2017-01-06,73.8
2017-01-09,72.14
2017-01-10,71.66
2017-01-11,72.33
2017-01-12,73.03
2017-01-13,73.36
2017-01-17,72.77
2017-01-18,73.6
2017-01-19,73.92
2017-01-20,74.2
2017-01-23,74.06
2017-01-24,75.43
2017-01-25,76.43
2017-01-26,75.25
2017-01-27,75.7
2017-01-30,75.51
2017-01-31,75.88
2017-02-01,76.07
2017-02-02,77.71
2017-02-03,78.13
2017-02-06,78.22
2017-02-07,78.86
2017-02-08,78.66
2017-02-09,79.31
2017-02-10,79.25
2017-02-13,79.77
2017-02-14,80.09
2017-02-15,81.05
2017-02-16,81.53
2017-02-17,82.6
2017-02-21,83.75
2017-02-22,84.71
2017-02-23,84.6
2017-02-24,84.86
2017-02-27,83.78
2017-02-28,82.81
2017-03-01,83.24
2017-03-02,82.43
2017-03-03,82.05
2017-03-06,82.03
2017-03-07,81.97
2017-03-08,82.05
2017-03-09,81.56
2017-03-10,82.21
2017-03-13,82.88
2017-03-14,82.58
2017-03-15,83.27
2017-03-16,84.1
2017-03-17,83.65
2017-03-20,84.51
2017-03-21,81.31
2017-03-22,82.55
2017-03-23,82.76
2017-03-24,82.96
2017-03-27,82.2
2017-03-28,86.48
2017-03-29,86.73
2017-03-30,85.92
2017-03-31,86.5
2017-04-03,86.48
2017-04-04,85.61
2017-04-05,84.68
2017-04-06,85.0
2017-04-07,84.91
2017-04-10,85.04
2017-04-11,85.16
2017-04-12,85.43
2017-04-13,85.93
2017-04-17,86.17
2017-04-18,86.74
2017-04-19,87.27
2017-04-20,87.42
2017-04-21,87.02
2017-04-24,87.44
2017-04-25,87.59
2017-04-26,87.71
2017-04-27,88.15
2017-04-28,88.08
2017-05-01,88.29
2017-05-02,88.18
2017-05-03,87.23
2017-05-04,87.89
2017-05-05,88.61
2017-05-08,88.2
2017-05-09,88.58
2017-05-10,89.14
2017-05-11,88.55
2017-05-12,88.25
2017-05-15,89.66
2017-05-16,89.64
2017-05-17,85.6
2017-05-18,85.52
2017-05-19,86.18
2017-05-22,87.9
2017-05-23,87.63
2017-05-24,87.99
2017-05-25,88.77
2017-05-26,88.58
2017-05-30,89.42
2017-05-31,89.57
2017-06-01,90.72
2017-06-02,91.54
2017-06-05,91.75
2017-06-06,91.66
2017-06-07,91.93
2017-06-08,91.95
2017-06-09,88.85
2017-06-12,88.72
2017-06-13,89.28
2017-06-14,88.92
2017-06-15,87.92
2017-06-16,87.85
2017-06-19,90.35
2017-06-20,89.96
2017-06-21,98.58
2017-06-22,98.88
2017-06-23,99.42
2017-06-26,98.19
2017-06-27,96.0
2017-06-28,96.81
2017-06-29,95.51
2017-06-30,95.75
2017-07-03,94.79
2017-07-05,95.54
2017-07-06,94.91
2017-07-07,96.55
2017-07-10,97.25
2017-07-11,97.41
2017-07-12,98.84
2017-07-13,97.77
2017-07-14,98.42
2017-07-17,98.53
2017-07-18,98.61
2017-07-19,99.25
2017-07-20,98.92
2017-07-21,98.94
2017-07-24,99.45
2017-07-25,99.92
2017-07-26,100.67
2017-07-27,98.92
2017-07-28,98.51
2017-07-31,98.87
2017-08-01,100.02
2017-08-02,98.35
2017-08-03,98.19
2017-08-04,98.36
2017-08-07,98.88
2017-08-08,98.07
2017-08-09,97.7
2017-08-10,95.95
2017-08-11,98.34
2017-08-14,99.74
2017-08-15,99.99
2017-08-16,101.75
2017-08-17,100.66
2017-08-18,100.43
2017-08-21,102.65
2017-08-22,104.89
2017-08-23,104.0
2017-08-24,104.65
2017-08-25,105.33
2017-08-28,105.59
2017-08-29,105.52
2017-08-30,106.16
2017-08-31,107.5
2017-09-01,107.46
2017-09-05,106.81
2017-09-06,106.34
2017-09-07,107.04
2017-09-08,107.12
2017-09-11,107.62
2017-09-12,107.66
2017-09-13,107.83
2017-09-14,107.74
2017-09-15,107.3
2017-09-18,107.44
2017-09-19,107.14
2017-09-20,106.99
2017-09-21,106.84
2017-09-22,106.3
2017-09-25,105.76
2017-09-26,110.07
2017-09-27,109.92
2017-09-28,109.59
2017-09-29,110.86
2017-10-02,112.18
2017-10-03,111.93
2017-10-04,112.74
2017-10-05,115.52
2017-10-06,117.06
2017-10-09,117.07
2017-10-10,118.35
2017-10-11,119.37
2017-10-12,120.91
2017-10-13,121.1
2017-10-16,120.89
2017-10-17,121.12
2017-10-18,120.69
2017-10-19,121.6
2017-10-20,121.8
2017-10-23,122.13
2017-10-24,121.28
2017-10-25,120.25
2017-10-26,120.29
2017-10-27,120.77
2017-10-30,121.1
2017-10-31,120.83
2017-11-01,121.26
2017-11-02,120.99
2017-11-03,121.64
2017-11-06,121.08
2017-11-07,121.92
2017-11-08,123.92
2017-11-09,123.5
2017-11-10,124.18
2017-11-13,123.99
2017-11-14,124.49
2017-11-15,123.82
2017-11-16,126.63
2017-11-17,125.95
2017-11-20,127.0
2017-11-21,128.51
2017-11-22,126.59
2017-11-24,128.36
2017-11-27,128.2
2017-11-28,129.24
2017-11-29,124.49
2017-11-30,126.76
2017-12-01,125.26
2017-12-04,120.31
2017-12-05,120.87
2017-12-06,121.94
2017-12-07,123.8
2017-12-08,125.29
2017-12-11,126.62
2017-12-12,125.75
2017-12-13,126.49
2017-12-14,126.13
2017-12-15,128.78
2017-12-18,129.44
2017-12-19,128.86
2017-12-20,122.0
2017-12-21,123.13
2017-12-22,122.92
2017-12-26,120.61
2017-12-27,121.22
2017-12-28,121.13
2017-12-29,120.1
2018-01-02,121.04
2018-01-03,123.06
2018-01-04,123.98
2018-01-05,124.14
2018-01-08,125.21
2018-01-09,124.15
2018-01-10,124.51
2018-01-11,126.16
2018-01-12,125.95
2018-01-16,124.59
2018-01-17,126.6
2018-01-18,125.47
2018-01-19,125.94
2018-01-22,128.01
2018-01-23,128.15
2018-01-24,128.89
2018-01-25,130.9
2018-01-26,135.22
2018-01-29,132.95
2018-01-30,131.46
2018-01-31,131.38
2018-02-01,130.62
2018-02-02,128.01
2018-02-05,127.05
2018-02-06,128.68
2018-02-07,128.81
2018-02-08,124.65
2018-02-09,126.84
2018-02-12,129.32
2018-02-13,132.03
2018-02-14,134.19
2018-02-15,140.07
2018-02-16,142.71
2018-02-20,144.32
2018-02-21,143.42
2018-02-22,144.66
2018-02-23,146.62
2018-02-26,148.03
2018-02-27,147.44
2018-02-28,147.4
2018-03-01,145.44
2018-03-02,148.76
2018-03-05,149.83
2018-03-06,149.72
2018-03-07,153.31
2018-03-08,153.46
2018-03-09,155.48
2018-03-12,155.08
2018-03-13,153.95
2018-03-14,155.04
2018-03-15,154.43
2018-03-16,154.17
2018-03-19,152.11
2018-03-20,155.28
2018-03-21,154.55
2018-03-22,151.03
2018-03-23,147.9
2018-03-26,153.09
2018-03-27,154.42
2018-03-28,146.2
2018-03-29,149.51
2018-04-02,144.82
2018-04-03,147.26
2018-04-04,151.82
2018-04-05,151.07
2018-04-06,149.17
2018-04-09,151.33
2018-04-10,156.75
2018-04-11,156.4
2018-04-12,159.2
2018-04-13,157.71
2018-04-16,160.53
2018-04-17,162.23
2018-04-18,161.67
2018-04-19,160.14
2018-04-20,159.28
2018-04-23,160.63
2018-04-24,160.1
2018-04-25,158.14
2018-04-26,163.11
2018-04-27,163.31
2018-04-30,163.06
2018-05-01,163.14
2018-05-02,162.6
2018-05-03,164.13
2018-05-04,166.1
2018-05-07,168.76
2018-05-08,168.6
2018-05-09,171.16
2018-05-10,171.48
2018-05-11,172.47
2018-05-14,164.75
2018-05-15,163.56
2018-05-16,161.96
2018-05-17,161.08
2018-05-18,163.28
2018-05-21,162.99
2018-05-22,161.41
2018-05-23,164.26
2018-05-24,165.09
2018-05-25,165.1
2018-05-29,162.93
2018-05-30,164.38
2018-05-31,162.42
2018-06-01,167.9
2018-06-04,169.45
2018-06-05,172.33
2018-06-06,172.49
2018-06-07,169.13
2018-06-08,171.06
2018-06-11,170.23
2018-06-12,173.01
2018-06-13,174.03
2018-06-14,175.9
2018-06-15,174.99
2018-06-18,176.27
2018-06-19,170.64
2018-06-20,169.22
2018-06-21,165.73
2018-06-22,142.14
2018-06-25,139.77
2018-06-26,138.46
2018-06-27,132.74
2018-06-28,134.69
2018-06-29,134.37
2018-07-02,136.32
2018-07-03,135.26
2018-07-05,135.56
2018-07-06,136.92
2018-07-09,139.95
2018-07-10,142.06
2018-07-11,145.0
2018-07-12,150.0
2018-07-13,147.63
2018-07-16,146.22
2018-07-17,147.58
2018-07-18,148.48
2018-07-19,146.2
2018-07-20,147.88
2018-07-23,147.73
2018-07-24,146.0
2018-07-25,149.26
2018-07-26,149.36
2018-07-27,145.44
2018-07-30,140.85
2018-07-31,141.23
2018-08-01,141.36
2018-08-02,141.47
2018-08-03,141.0
2018-08-06,142.86
2018-08-07,142.44
2018-08-08,142.89
2018-08-09,144.72
2018-08-10,144.78
2018-08-13,143.4
2018-08-14,143.53
2018-08-15,139.13
2018-08-16,140.79
2018-08-17,140.15
2018-08-20,140.04
2018-08-21,140.18
2018-08-22,140.14
2018-08-23,139.5
2018-08-24,141.63
2018-08-27,141.97
2018-08-28,144.07
2018-08-29,147.8
2018-08-30,146.32
2018-08-31,147.73
2018-09-04,149.49
2018-09-05,144.28
2018-09-06,145.93
2018-09-07,148.02
2018-09-10,149.77
2018-09-11,150.89
2018-09-12,151.9
2018-09-13,146.86
2018-09-14,148.86
2018-09-17,144.37
2018-09-18,142.71
2018-09-19,143.16
2018-09-20,133.81
2018-09-21,134.62
2018-09-24,134.86
2018-09-25,135.56
2018-09-26,135.72
2018-09-27,134.01
2018-09-28,136.28
2018-10-01,133.03
2018-10-02,129.64
2018-10-03,130.06
2018-10-04,127.97
2018-10-05,126.9
2018-10-08,125.0
2018-10-09,122.78
2018-10-10,117.68
2018-10-11,117.38
2018-10-12,122.51
2018-10-15,123.54
2018-10-16,125.6
2018-10-17,124.84
2018-10-18,121.85
2018-10-19,120.12
2018-10-22,121.9
2018-10-23,122.33
2018-10-24,116.87
2018-10-25,120.52
2018-10-26,116.68
2018-10-29,169.63
2018-10-30,170.0
2018-10-31,171.64
2018-11-01,172.4
2018-11-02,172.24
2018-11-05,173.31
2018-11-06,173.5
2018-11-07,173.63
2018-11-08,173.64
2018-11-09,173.75
2018-11-12,172.88
2018-11-13,172.95
2018-11-14,173.31
2018-11-15,173.82
2018-11-16,173.5
2018-11-19,173.36
2018-11-20,173.46
2018-11-21,173.1
2018-11-23,175.15
2018-11-26,176.97
2018-11-27,176.73
2018-11-28,178.05
2018-11-29,177.89
2018-11-30,178.56
2018-12-03,178.36
2018-12-04,177.85
2018-12-06,178.25
2018-12-07,177.1
2018-12-10,177.0
2018-12-11,176.53
2018-12-12,176.74
2018-12-13,176.82
2018-12-14,176.5
2018-12-17,176.0
2018-12-18,176.0
2018-12-19,175.43
2018-12-20,174.86
2018-12-21,173.47
2018-12-24,172.95
2018-12-26,173.7
2018-12-27,175.39
2018-12-28,174.59
2018-12-31,175.64
2019-01-02,174.18
2019-01-03,173.96
2019-01-04,173.99
2019-01-07,174.5
2019-01-08,174.78
2019-01-09,174.1
2019-01-10,174.5
2019-01-11,176.06
2019-01-14,174.85
2019-01-15,175.61
2019-01-16,175.33
2019-01-17,175.74
2019-01-18,175.51
2019-01-22,175.47
2019-01-23,176.24
2019-01-24,176.35
2019-01-25,176.5
2019-01-28,176.1
2019-01-29,176.2
2019-01-30,176.45
2019-01-31,177.84
2019-02-01,178.38
2019-02-04,178.58
2019-02-05,178.69
2019-02-06,178.81
2019-02-07,179.12
2019-02-08,179.37
2019-02-11,179.18
2019-02-12,179.34
2019-02-13,179.98
2019-02-14,180.02
2019-02-15,180.98
2019-02-19,181.81
2019-02-20,182.31
2019-02-21,182.9
2019-02-22,182.83
2019-02-25,182.4
2019-02-26,182.25
2019-02-27,182.46
2019-02-28,182.6
2019-03-01,182.59
2019-03-04,182.87
2019-03-05,181.74
2019-03-06,181.25
2019-03-07,180.32
2019-03-08,180.71
2019-03-11,181.79
2019-03-12,182.53
2019-03-13,181.58
2019-03-14,181.67
2019-03-15,181.78
2019-03-18,181.84
2019-03-19,181.84
2019-03-20,182.05
2019-03-21,182.53
2019-03-22,181.7
2019-03-25,181.46
2019-03-26,181.99
2019-03-27,181.72
2019-03-28,181.93
2019-03-29,182.7
2019-04-01,183.29
2019-04-02,183.1
2019-04-03,183.0
2019-04-04,182.64
2019-04-05,183.25
2019-04-08,183.05
2019-04-09,182.93
2019-04-10,183.0
2019-04-11,182.5
2019-04-12,182.37
2019-04-15,182.31
2019-04-16,182.64
2019-04-17,182.56
2019-04-18,181.94
2019-04-22,182.01
2019-04-23,182.48
2019-04-24,182.51
2019-04-25,182.3
2019-04-26,182.39
2019-04-29,182.3
2019-04-30,182.53
2019-05-01,182.41
2019-05-02,182.41
2019-05-03,182.59
2019-05-06,184.3
2019-05-07,184.07
2019-05-08,184.31
2019-05-09,184.65
2019-05-10,184.78
2019-05-13,184.22
2019-05-14,184.95
2019-05-15,185.28
2019-05-16,185.55
2019-05-17,185.51
2019-05-20,185.66
2019-05-21,186.13
2019-05-22,186.2
2019-05-23,186.01
2019-05-24,185.69
2019-05-28,185.45
2019-05-29,185.3
2019-05-30,185.08
2019-05-31,184.3
2019-06-03,184.17
2019-06-04,184.41
2019-06-05,185.39
2019-06-06,185.54
2019-06-07,185.44
2019-06-10,185.14
2019-06-11,185.1
2019-06-12,185.04
2019-06-13,185.54
2019-06-14,185.2
2019-06-17,186.28
2019-06-18,186.45
2019-06-19,188.0
2019-06-20,188.25
2019-06-21,187.55
2019-06-24,187.45
2019-06-25,187.53
2019-06-26,186.82
2019-06-27,188.17
2019-06-28,187.76
