date,CTXS
2015-07-01,69.38
2015-07-02,69.57
2015-07-06,68.78
2015-07-07,68.44
2015-07-08,67.9
2015-07-09,68.89
2015-07-10,69.16
2015-07-13,70.12
2015-07-14,70.89
2015-07-15,69.85
2015-07-16,70.38
2015-07-17,69.71
2015-07-20,69.35
2015-07-21,69.63
2015-07-22,69.33
2015-07-23,69.66
2015-07-24,69.28
2015-07-27,68.61
2015-07-28,69.63
2015-07-29,75.27
2015-07-30,75.76
2015-07-31,75.61
2015-08-03,75.87
2015-08-04,76.06
2015-08-05,76.96
2015-08-06,75.72
2015-08-07,75.26
2015-08-10,76.13
2015-08-11,75.2
2015-08-12,76.42
2015-08-13,76.8
2015-08-14,77.55
2015-08-17,77.74
2015-08-18,78.09
2015-08-19,77.62
2015-08-20,75.86
2015-08-21,73.91
2015-08-24,67.02
2015-08-25,66.2
2015-08-26,68.41
2015-08-27,69.59
2015-08-28,68.69
2015-08-31,68.11
2015-09-01,65.4
2015-09-02,67.39
2015-09-03,67.87
2015-09-04,67.89
2015-09-08,69.84
2015-09-09,68.93
2015-09-10,69.9
2015-09-11,70.46
2015-09-14,70.7
2015-09-15,72.25
2015-09-16,72.97
2015-09-17,73.09
2015-09-18,72.3
2015-09-21,72.91
2015-09-22,72.15
2015-09-23,72.4
2015-09-24,72.97
2015-09-25,71.92
2015-09-28,69.26
2015-09-29,67.62
2015-09-30,69.28
2015-10-01,70.1
2015-10-02,71.57
2015-10-05,72.7
2015-10-06,71.64
2015-10-07,72.43
2015-10-08,74.54
2015-10-09,76.02
2015-10-12,75.72
2015-10-13,74.58
2015-10-14,73.56
2015-10-15,74.85
2015-10-16,75.47
2015-10-19,75.87
2015-10-20,75.92
2015-10-21,71.92
2015-10-22,80.58
2015-10-23,81.14
2015-10-26,82.18
2015-10-27,82.23
2015-10-28,84.17
2015-10-29,81.71
2015-10-30,82.1
2015-11-02,82.75
2015-11-03,81.75
2015-11-04,82.72
2015-11-05,82.12
2015-11-06,82.02
2015-11-09,80.41
2015-11-10,81.09
2015-11-11,80.89
2015-11-12,80.25
2015-11-13,77.91
2015-11-16,79.42
2015-11-17,78.42
2015-11-18,70.54
2015-11-19,72.62
2015-11-20,75.05
2015-11-23,75.83
