date,TSS
2015-07-01,42.02
2015-07-02,41.95
2015-07-06,42.05
2015-07-07,42.16
2015-07-08,41.52
2015-07-09,41.74
2015-07-10,42.34
2015-07-13,42.7
2015-07-14,43.12
2015-07-15,43.19
2015-07-16,43.85
2015-07-17,43.97
2015-07-20,44.72
2015-07-21,45.28
2015-07-22,44.96
2015-07-23,44.51
2015-07-24,44.72
2015-07-27,43.94
2015-07-28,44.78
2015-07-29,46.83
2015-07-30,46.24
2015-07-31,46.22
2015-08-03,46.54
2015-08-04,47.07
2015-08-05,47.54
2015-08-06,46.72
2015-08-07,46.95
2015-08-10,47.36
2015-08-11,47.07
2015-08-12,47.26
2015-08-13,47.47
2015-08-14,48.14
2015-08-17,48.23
2015-08-18,48.64
2015-08-19,48.32
2015-08-20,47.47
2015-08-21,45.67
2015-08-24,43.38
2015-08-25,42.63
2015-08-26,44.71
2015-08-27,46.02
2015-08-28,46.36
2015-08-31,45.83
2015-09-01,44.34
2015-09-02,45.23
2015-09-03,45.62
2015-09-04,44.88
2015-09-08,46.28
2015-09-09,45.8
2015-09-10,46.25
2015-09-11,46.66
2015-09-14,46.7
2015-09-15,47.49
2015-09-16,47.61
2015-09-17,47.48
2015-09-18,46.31
2015-09-21,47.15
2015-09-22,46.65
2015-09-23,46.75
2015-09-24,46.75
2015-09-25,46.52
2015-09-28,44.77
2015-09-29,44.9
2015-09-30,45.43
2015-10-01,45.82
2015-10-02,46.21
2015-10-05,46.59
2015-10-06,46.36
2015-10-07,47.07
2015-10-08,47.65
2015-10-09,48.2
2015-10-12,48.97
2015-10-13,48.67
2015-10-14,48.02
2015-10-15,48.44
2015-10-16,49.0
2015-10-19,49.81
2015-10-20,49.48
2015-10-21,48.94
2015-10-22,50.32
2015-10-23,51.22
2015-10-26,51.19
2015-10-27,51.65
2015-10-28,54.72
2015-10-29,54.19
2015-10-30,52.45
2015-11-02,52.74
2015-11-03,52.51
2015-11-04,52.53
2015-11-05,52.43
2015-11-06,52.66
2015-11-09,52.07
2015-11-10,53.35
2015-11-11,53.56
2015-11-12,53.07
2015-11-13,52.89
2015-11-16,52.87
2015-11-17,53.58
2015-11-18,54.36
2015-11-19,54.48
2015-11-20,55.09
2015-11-23,55.72
2015-11-24,55.35
2015-11-25,55.63
2015-11-27,55.93
2015-11-30,55.96
2015-12-01,56.37
2015-12-02,55.98
2015-12-03,55.17
2015-12-04,56.23
2015-12-07,55.84
2015-12-08,56.14
2015-12-09,55.3
2015-12-10,56.09
2015-12-11,53.74
2015-12-14,54.89
2015-12-15,55.74
2015-12-16,55.88
2015-12-17,52.79
2015-12-18,51.01
2015-12-21,51.33
2015-12-22,50.7
2015-12-23,50.95
2015-12-24,50.96
2015-12-28,50.75
2015-12-29,51.0
2015-12-30,50.15
2015-12-31,49.8
2016-01-04,48.24
2016-01-05,48.55
2016-01-06,47.9
2016-01-07,46.45
2016-01-08,45.53
2016-01-11,45.46
2016-01-12,46.5
2016-01-13,44.95
2016-01-14,45.86
2016-01-15,45.28
2016-01-19,45.11
2016-01-20,44.86
2016-01-21,45.19
2016-01-22,45.48
2016-01-25,45.23
2016-01-26,46.0
2016-01-27,39.22
2016-01-28,37.96
2016-01-29,40.16
2016-02-01,40.03
2016-02-02,38.97
2016-02-03,38.98
2016-02-04,39.73
2016-02-05,38.85
2016-02-08,38.35
2016-02-09,38.51
2016-02-10,38.97
2016-02-11,38.46
2016-02-12,39.38
2016-02-16,40.83
2016-02-17,41.85
2016-02-18,41.57
2016-02-19,42.79
2016-02-22,43.15
2016-02-23,42.51
2016-02-24,43.7
2016-02-25,44.47
2016-02-26,44.48
2016-02-29,43.58
2016-03-01,44.66
2016-03-02,44.65
2016-03-03,45.86
2016-03-04,45.41
2016-03-07,44.83
2016-03-08,43.88
2016-03-09,44.48
2016-03-10,44.16
2016-03-11,44.79
2016-03-14,44.78
2016-03-15,44.44
2016-03-16,45.35
2016-03-17,45.32
2016-03-18,45.0
2016-03-21,45.76
2016-03-22,45.94
2016-03-23,46.2
2016-03-24,45.98
2016-03-28,45.68
2016-03-29,46.85
2016-03-30,46.75
2016-03-31,47.58
2016-04-01,48.5
2016-04-04,48.41
2016-04-05,47.9
2016-04-06,48.49
2016-04-07,48.31
2016-04-08,48.51
2016-04-11,49.1
2016-04-12,49.44
2016-04-13,49.73
2016-04-14,49.35
2016-04-15,49.67
2016-04-18,50.68
2016-04-19,50.81
2016-04-20,51.33
2016-04-21,50.68
2016-04-22,51.0
2016-04-25,51.51
2016-04-26,51.93
2016-04-27,52.69
2016-04-28,51.59
2016-04-29,51.14
2016-05-02,51.64
2016-05-03,51.14
2016-05-04,51.41
2016-05-05,51.57
2016-05-06,52.28
2016-05-09,52.84
2016-05-10,53.23
2016-05-11,53.26
2016-05-12,53.28
2016-05-13,52.83
2016-05-16,53.15
2016-05-17,53.44
2016-05-18,53.5
2016-05-19,53.33
2016-05-20,54.09
2016-05-23,53.94
2016-05-24,54.81
2016-05-25,53.55
2016-05-26,53.64
2016-05-27,53.9
2016-05-31,53.7
