date,NBL
2015-07-01,41.3
2015-07-02,41.02
2015-07-06,40.19
2015-07-07,40.77
2015-07-08,39.06
2015-07-09,39.31
2015-07-10,39.06
2015-07-13,38.9
2015-07-14,39.6
2015-07-15,38.75
2015-07-16,38.38
2015-07-17,38.34
2015-07-20,36.97
2015-07-21,36.85
2015-07-22,36.9
2015-07-23,36.7
2015-07-24,35.37
2015-07-27,34.73
2015-07-28,35.5
2015-07-29,36.16
2015-07-30,36.15
2015-07-31,35.23
2015-08-03,33.75
2015-08-04,34.01
2015-08-05,33.41
2015-08-06,33.91
2015-08-07,32.7
2015-08-10,34.24
2015-08-11,34.17
2015-08-12,35.31
2015-08-13,36.3
2015-08-14,36.0
2015-08-17,35.44
2015-08-18,35.1
2015-08-19,34.22
2015-08-20,33.12
2015-08-21,32.85
2015-08-24,31.17
2015-08-25,30.7
2015-08-26,31.75
2015-08-27,33.67
2015-08-28,34.53
2015-08-31,33.41
2015-09-01,31.11
2015-09-02,30.34
2015-09-03,30.21
2015-09-04,30.73
2015-09-08,31.42
2015-09-09,30.19
2015-09-10,30.75
2015-09-11,31.19
2015-09-14,30.9
2015-09-15,31.55
2015-09-16,33.25
2015-09-17,33.11
2015-09-18,32.33
2015-09-21,32.75
2015-09-22,32.31
2015-09-23,31.87
2015-09-24,32.18
2015-09-25,31.61
2015-09-28,29.58
2015-09-29,29.7
2015-09-30,30.18
2015-10-01,30.11
2015-10-02,31.62
2015-10-05,33.26
2015-10-06,34.51
2015-10-07,35.05
2015-10-08,37.27
2015-10-09,36.72
2015-10-12,35.48
2015-10-13,34.56
2015-10-14,34.78
2015-10-15,36.41
2015-10-16,37.1
2015-10-19,36.21
2015-10-20,36.53
2015-10-21,35.85
2015-10-22,36.48
2015-10-23,35.93
2015-10-26,34.59
2015-10-27,32.98
2015-10-28,34.84
2015-10-29,35.1
2015-10-30,35.84
2015-11-02,37.97
2015-11-03,38.7
2015-11-04,37.84
2015-11-05,37.65
2015-11-06,36.79
2015-11-09,37.22
2015-11-10,37.84
2015-11-11,36.88
2015-11-12,35.28
2015-11-13,35.2
2015-11-16,37.0
2015-11-17,36.46
2015-11-18,37.4
2015-11-19,36.6
2015-11-20,35.66
2015-11-23,36.3
2015-11-24,37.0
2015-11-25,36.94
2015-11-27,36.55
2015-11-30,36.67
2015-12-01,36.99
2015-12-02,35.42
2015-12-03,35.48
2015-12-04,33.87
2015-12-07,32.17
2015-12-08,32.3
2015-12-09,33.06
2015-12-10,34.0
2015-12-11,32.63
2015-12-14,31.75
2015-12-15,32.82
2015-12-16,32.42
2015-12-17,31.22
2015-12-18,30.96
2015-12-21,31.49
2015-12-22,32.37
2015-12-23,34.25
2015-12-24,34.09
2015-12-28,33.02
2015-12-29,33.4
2015-12-30,32.22
2015-12-31,32.93
2016-01-04,33.5
2016-01-05,33.65
2016-01-06,31.69
2016-01-07,30.89
2016-01-08,30.83
2016-01-11,28.99
2016-01-12,28.6
2016-01-13,27.94
2016-01-14,29.07
2016-01-15,27.63
2016-01-19,25.82
2016-01-20,25.72
2016-01-21,28.39
2016-01-22,29.03
2016-01-25,27.27
2016-01-26,28.76
2016-01-27,29.87
2016-01-28,30.97
2016-01-29,32.37
2016-02-01,31.65
2016-02-02,30.67
2016-02-03,32.24
2016-02-04,31.38
2016-02-05,29.26
2016-02-08,28.36
2016-02-09,27.86
2016-02-10,28.09
2016-02-11,27.91
2016-02-12,28.73
2016-02-16,28.64
2016-02-17,30.42
2016-02-18,29.18
2016-02-19,29.85
2016-02-22,31.62
2016-02-23,29.89
2016-02-24,29.84
2016-02-25,30.26
2016-02-26,29.73
2016-02-29,29.5
2016-03-01,29.19
2016-03-02,31.05
2016-03-03,31.87
2016-03-04,32.43
2016-03-07,32.71
2016-03-08,30.75
2016-03-09,32.06
2016-03-10,31.98
2016-03-11,33.54
2016-03-14,33.22
2016-03-15,32.49
2016-03-16,33.79
2016-03-17,34.06
2016-03-18,34.47
2016-03-21,34.16
2016-03-22,33.74
2016-03-23,32.55
2016-03-24,32.34
2016-03-28,29.69
2016-03-29,30.05
2016-03-30,30.78
2016-03-31,31.41
2016-04-01,30.86
2016-04-04,30.0
2016-04-05,30.17
2016-04-06,31.26
2016-04-07,31.01
2016-04-08,31.76
2016-04-11,32.23
2016-04-12,33.64
2016-04-13,32.95
2016-04-14,33.07
2016-04-15,32.15
2016-04-18,32.57
2016-04-19,34.34
2016-04-20,34.72
2016-04-21,35.2
2016-04-22,36.04
2016-04-25,35.08
2016-04-26,36.49
2016-04-27,37.11
2016-04-28,35.75
2016-04-29,36.11
2016-05-02,36.44
2016-05-03,35.21
2016-05-04,35.59
2016-05-05,35.17
2016-05-06,35.5
2016-05-09,35.24
2016-05-10,36.35
2016-05-11,36.39
2016-05-12,36.37
2016-05-13,35.21
2016-05-16,36.12
2016-05-17,36.02
2016-05-18,35.26
2016-05-19,34.85
2016-05-20,35.62
2016-05-23,35.7
2016-05-24,35.33
2016-05-25,36.28
2016-05-26,35.64
2016-05-27,35.88
2016-05-31,35.75
2016-06-01,35.48
2016-06-02,35.44
2016-06-03,34.65
2016-06-06,35.95
2016-06-07,37.49
2016-06-08,37.72
2016-06-09,37.48
2016-06-10,36.52
2016-06-13,36.17
2016-06-14,36.67
2016-06-15,36.52
2016-06-16,35.9
2016-06-17,36.9
2016-06-20,36.75
2016-06-21,36.87
2016-06-22,36.79
2016-06-23,36.95
2016-06-24,35.09
2016-06-27,33.99
2016-06-28,35.07
2016-06-29,36.31
2016-06-30,35.87
2016-07-01,36.29
2016-07-05,35.68
2016-07-06,36.24
2016-07-07,36.13
2016-07-08,35.98
2016-07-11,35.96
2016-07-12,37.12
2016-07-13,36.56
2016-07-14,36.65
2016-07-15,36.8
2016-07-18,36.89
2016-07-19,36.37
2016-07-20,36.02
2016-07-21,35.25
2016-07-22,35.03
2016-07-25,34.5
2016-07-26,34.91
2016-07-27,34.85
2016-07-28,35.23
2016-07-29,35.72
2016-08-01,34.39
2016-08-02,34.45
2016-08-03,34.05
2016-08-04,33.2
2016-08-05,33.35
2016-08-08,33.48
2016-08-09,34.03
2016-08-10,33.85
2016-08-11,34.92
2016-08-12,35.18
2016-08-15,35.36
2016-08-16,35.84
2016-08-17,35.58
2016-08-18,35.95
2016-08-19,36.11
2016-08-22,35.57
2016-08-23,35.71
2016-08-24,35.75
2016-08-25,35.74
2016-08-26,35.34
2016-08-29,35.99
2016-08-30,35.63
2016-08-31,34.48
2016-09-01,33.85
2016-09-02,34.25
2016-09-06,35.06
2016-09-07,35.53
2016-09-08,37.25
2016-09-09,36.08
2016-09-12,36.64
2016-09-13,34.75
2016-09-14,33.87
2016-09-15,33.92
2016-09-16,33.8
2016-09-19,33.54
2016-09-20,33.1
2016-09-21,33.92
2016-09-22,34.03
2016-09-23,33.02
2016-09-26,33.62
2016-09-27,33.19
2016-09-28,34.7
2016-09-29,35.55
2016-09-30,35.74
2016-10-03,36.09
2016-10-04,35.56
2016-10-05,36.2
2016-10-06,35.6
2016-10-07,35.34
2016-10-10,36.04
2016-10-11,35.74
2016-10-12,35.59
2016-10-13,35.45
2016-10-14,35.18
2016-10-17,35.27
2016-10-18,35.09
2016-10-19,35.91
2016-10-20,35.92
2016-10-21,35.74
2016-10-24,35.38
2016-10-25,34.28
2016-10-26,35.13
2016-10-27,35.88
2016-10-28,35.5
2016-10-31,34.47
2016-11-01,35.15
2016-11-02,36.85
2016-11-03,37.32
2016-11-04,37.08
2016-11-07,37.48
2016-11-08,37.42
2016-11-09,37.58
2016-11-10,37.32
2016-11-11,36.15
2016-11-14,36.1
2016-11-15,37.47
2016-11-16,36.61
2016-11-17,35.34
2016-11-18,35.0
2016-11-21,36.3
2016-11-22,35.76
2016-11-23,36.22
2016-11-25,35.95
2016-11-28,34.88
2016-11-29,34.67
2016-11-30,38.16
2016-12-01,38.87
2016-12-02,38.82
2016-12-05,39.5
