date,PBCT
2015-07-01,16.42
2015-07-02,16.26
2015-07-06,16.16
2015-07-07,16.04
2015-07-08,15.92
2015-07-09,16.05
2015-07-10,16.15
2015-07-13,16.24
2015-07-14,16.21
2015-07-15,16.36
2015-07-16,16.39
2015-07-17,16.18
2015-07-20,16.33
2015-07-21,16.19
2015-07-22,16.395
2015-07-23,16.24
2015-07-24,16.15
2015-07-27,16.16
2015-07-28,16.14
2015-07-29,16.04
2015-07-30,16.14
2015-07-31,16.27
2015-08-03,16.23
2015-08-04,16.305
2015-08-05,16.345
2015-08-06,16.4
2015-08-07,16.34
2015-08-10,16.52
2015-08-11,16.35
2015-08-12,16.12
2015-08-13,16.25
2015-08-14,16.47
2015-08-17,16.5
2015-08-18,16.57
2015-08-19,16.375
2015-08-20,16.01
2015-08-21,15.77
2015-08-24,14.94
2015-08-25,14.7
2015-08-26,15.08
2015-08-27,15.42
2015-08-28,15.47
2015-08-31,15.5
2015-09-01,14.9
2015-09-02,15.09
2015-09-03,15.21
2015-09-04,15.07
2015-09-08,15.48
2015-09-09,15.41
2015-09-10,15.54
2015-09-11,15.49
2015-09-14,15.5
2015-09-15,15.7
2015-09-16,15.79
2015-09-17,15.475
2015-09-18,15.22
2015-09-21,15.48
2015-09-22,15.36
2015-09-23,15.46
2015-09-24,15.55
2015-09-25,15.68
2015-09-28,15.46
2015-09-29,15.53
2015-09-30,15.72
2015-10-01,15.58
2015-10-02,15.41
2015-10-05,15.735
2015-10-06,15.72
2015-10-07,15.88
2015-10-08,16.03
2015-10-09,15.78
2015-10-12,15.91
2015-10-13,15.85
2015-10-14,15.4
2015-10-15,15.59
2015-10-16,15.73
2015-10-19,15.91
2015-10-20,16.11
2015-10-21,15.9
2015-10-22,16.15
2015-10-23,16.44
2015-10-26,16.48
2015-10-27,16.53
2015-10-28,16.8
2015-10-29,16.435
2015-10-30,15.95
2015-11-02,16.28
2015-11-03,16.22
2015-11-04,16.22
2015-11-05,16.43
2015-11-06,16.79
2015-11-09,16.71
2015-11-10,16.78
2015-11-11,16.73
2015-11-12,16.51
2015-11-13,16.29
2015-11-16,16.54
2015-11-17,16.56
2015-11-18,16.62
2015-11-19,16.43
2015-11-20,16.6
2015-11-23,16.58
2015-11-24,16.64
2015-11-25,16.68
2015-11-27,16.7
2015-11-30,16.75
2015-12-01,16.85
2015-12-02,16.65
2015-12-03,16.47
2015-12-04,16.82
2015-12-07,16.49
2015-12-08,16.24
2015-12-09,16.18
2015-12-10,16.23
2015-12-11,15.99
2015-12-14,15.99
2015-12-15,16.32
2015-12-16,16.53
2015-12-17,16.26
2015-12-18,15.9
2015-12-21,16.02
2015-12-22,16.18
2015-12-23,16.32
2015-12-24,16.35
2015-12-28,16.34
2015-12-29,16.52
2015-12-30,16.35
2015-12-31,16.15
2016-01-04,15.77
2016-01-05,15.76
2016-01-06,15.61
2016-01-07,15.25
2016-01-08,14.95
2016-01-11,14.99
2016-01-12,15.02
2016-01-13,14.49
2016-01-14,14.81
2016-01-15,14.48
2016-01-19,14.46
2016-01-20,14.44
2016-01-21,14.33
2016-01-22,13.94
2016-01-25,13.64
2016-01-26,14.11
2016-01-27,14.13
2016-01-28,14.04
2016-01-29,14.37
2016-02-01,14.325
2016-02-02,14.07
2016-02-03,14.17
2016-02-04,14.33
2016-02-05,14.25
2016-02-08,14.36
2016-02-09,14.54
2016-02-10,14.2
2016-02-11,13.85
2016-02-12,14.36
2016-02-16,14.83
2016-02-17,14.68
2016-02-18,14.5
2016-02-19,14.67
2016-02-22,14.86
2016-02-23,14.7
2016-02-24,14.56
2016-02-25,14.78
2016-02-26,14.91
2016-02-29,14.61
2016-03-01,15.13
2016-03-02,15.29
2016-03-03,15.53
2016-03-04,15.61
2016-03-07,15.63
2016-03-08,15.48
2016-03-09,15.41
2016-03-10,15.72
2016-03-11,15.94
2016-03-14,15.9
2016-03-15,15.88
2016-03-16,15.84
2016-03-17,15.94
2016-03-18,16.02
2016-03-21,16.13
2016-03-22,16.17
2016-03-23,15.96
2016-03-24,15.86
2016-03-28,15.85
2016-03-29,15.92
2016-03-30,16.09
2016-03-31,15.93
2016-04-01,16.13
2016-04-04,16.05
2016-04-05,15.64
2016-04-06,15.72
2016-04-07,15.31
2016-04-08,15.375
2016-04-11,15.46
2016-04-12,15.65
2016-04-13,16.03
2016-04-14,16.13
2016-04-15,16.07
2016-04-18,16.19
2016-04-19,16.35
2016-04-20,16.48
2016-04-21,15.87
2016-04-22,16.09
2016-04-25,16.04
2016-04-26,16.15
2016-04-27,15.81
2016-04-28,15.53
2016-04-29,15.5
2016-05-02,15.55
2016-05-03,15.3
2016-05-04,15.06
2016-05-05,15.0
2016-05-06,15.04
2016-05-09,15.13
2016-05-10,15.21
2016-05-11,15.24
2016-05-12,15.28
2016-05-13,15.04
2016-05-16,15.21
2016-05-17,14.99
2016-05-18,15.38
2016-05-19,15.27
2016-05-20,15.42
2016-05-23,15.4
2016-05-24,15.63
2016-05-25,15.84
2016-05-26,15.66
2016-05-27,15.85
2016-05-31,15.88
2016-06-01,15.97
2016-06-02,16.0
2016-06-03,15.75
2016-06-06,15.89
2016-06-07,15.77
2016-06-08,15.89
2016-06-09,15.74
2016-06-10,15.7
2016-06-13,15.48
2016-06-14,15.17
2016-06-15,15.28
2016-06-16,15.14
2016-06-17,15.17
2016-06-20,15.32
2016-06-21,15.43
2016-06-22,15.43
2016-06-23,15.91
2016-06-24,15.08
2016-06-27,13.84
2016-06-28,14.13
2016-06-29,14.44
2016-06-30,14.66
2016-07-01,14.65
2016-07-05,14.39
2016-07-06,14.54
2016-07-07,14.65
2016-07-08,14.83
2016-07-11,14.98
2016-07-12,15.24
2016-07-13,15.22
2016-07-14,15.46
2016-07-15,15.47
2016-07-18,15.32
2016-07-19,15.39
2016-07-20,15.29
2016-07-21,15.17
2016-07-22,15.42
2016-07-25,15.38
2016-07-26,15.33
2016-07-27,15.25
2016-07-28,15.15
2016-07-29,15.16
2016-08-01,14.98
2016-08-02,14.84
2016-08-03,15.07
2016-08-04,15.08
2016-08-05,15.48
2016-08-08,15.44
2016-08-09,15.5
2016-08-10,15.4
2016-08-11,15.45
2016-08-12,15.39
2016-08-15,15.51
2016-08-16,15.43
2016-08-17,15.5
2016-08-18,15.52
2016-08-19,15.61
2016-08-22,15.69
2016-08-23,15.7
2016-08-24,15.7
2016-08-25,15.81
2016-08-26,15.87
2016-08-29,15.97
2016-08-30,16.19
2016-08-31,16.25
2016-09-01,16.18
2016-09-02,16.33
2016-09-06,16.12
2016-09-07,16.28
2016-09-08,16.27
2016-09-09,16.08
2016-09-12,16.16
2016-09-13,16.0
2016-09-14,15.855
2016-09-15,15.93
2016-09-16,15.71
2016-09-19,15.71
2016-09-20,15.68
2016-09-21,15.72
2016-09-22,15.85
2016-09-23,15.81
2016-09-26,15.53
2016-09-27,15.67
2016-09-28,15.84
2016-09-29,15.62
2016-09-30,15.82
2016-10-03,15.75
2016-10-04,15.76
2016-10-05,15.88
2016-10-06,15.87
2016-10-07,15.83
2016-10-10,15.89
2016-10-11,15.78
2016-10-12,15.74
2016-10-13,15.41
2016-10-14,15.51
2016-10-17,15.44
2016-10-18,15.64
2016-10-19,15.81
2016-10-20,15.925
2016-10-21,16.09
2016-10-24,16.22
2016-10-25,16.28
2016-10-26,16.24
2016-10-27,16.46
2016-10-28,16.19
2016-10-31,16.24
2016-11-01,16.24
2016-11-02,16.15
2016-11-03,16.23
2016-11-04,16.23
2016-11-07,16.73
2016-11-08,16.645
2016-11-09,17.485
2016-11-10,17.94
2016-11-11,18.28
2016-11-14,18.58
2016-11-15,18.55
2016-11-16,18.11
2016-11-17,18.26
2016-11-18,18.29
2016-11-21,18.41
2016-11-22,18.37
2016-11-23,18.52
2016-11-25,18.57
2016-11-28,18.38
2016-11-29,18.49
2016-11-30,18.72
2016-12-01,18.93
2016-12-02,18.6
2016-12-05,18.93
2016-12-06,19.18
2016-12-07,19.67
2016-12-08,20.0
2016-12-09,19.93
2016-12-12,19.41
2016-12-13,19.45
2016-12-14,19.18
2016-12-15,19.35
2016-12-16,19.11
2016-12-19,19.27
2016-12-20,19.4
2016-12-21,19.35
2016-12-22,19.42
2016-12-23,19.36
2016-12-27,19.48
2016-12-28,19.49
2016-12-29,19.37
2016-12-30,19.36
2017-01-03,19.29
2017-01-04,19.6
2017-01-05,19.28
2017-01-06,19.42
2017-01-09,19.27
2017-01-10,19.5
2017-01-11,19.65
2017-01-12,19.45
2017-01-13,19.66
2017-01-17,19.105
2017-01-18,19.29
2017-01-19,19.13
2017-01-20,18.69
2017-01-23,18.66
2017-01-24,18.885
2017-01-25,19.09
2017-01-26,19.28
2017-01-27,19.04
2017-01-30,18.66
2017-01-31,18.75
2017-02-01,18.73
2017-02-02,18.56
2017-02-03,18.88
2017-02-06,18.78
2017-02-07,18.65
2017-02-08,18.47
2017-02-09,18.73
2017-02-10,18.74
2017-02-13,18.86
2017-02-14,19.11
2017-02-15,19.16
2017-02-16,19.28
2017-02-17,19.19
2017-02-21,19.25
2017-02-22,19.25
2017-02-23,19.26
2017-02-24,19.25
2017-02-27,19.27
2017-02-28,19.2
2017-03-01,19.69
2017-03-02,19.25
2017-03-03,19.35
2017-03-06,19.2
2017-03-07,19.09
2017-03-08,18.85
2017-03-09,18.92
2017-03-10,18.94
2017-03-13,18.98
2017-03-14,18.95
2017-03-15,18.78
2017-03-16,18.88
2017-03-17,18.82
2017-03-20,18.64
2017-03-21,17.83
2017-03-22,17.77
2017-03-23,17.88
2017-03-24,18.04
2017-03-27,17.85
2017-03-28,18.09
2017-03-29,18.05
2017-03-30,18.41
2017-03-31,18.2
2017-04-03,18.05
2017-04-04,18.02
2017-04-05,17.72
2017-04-06,17.93
2017-04-07,17.84
2017-04-10,17.8
2017-04-11,17.89
2017-04-12,17.69
2017-04-13,17.29
2017-04-17,17.52
2017-04-18,17.36
2017-04-19,17.54
2017-04-20,17.57
2017-04-21,17.59
2017-04-24,17.92
2017-04-25,17.98
2017-04-26,18.1
2017-04-27,17.84
2017-04-28,17.47
2017-05-01,17.58
2017-05-02,17.45
2017-05-03,17.52
2017-05-04,17.51
2017-05-05,17.43
2017-05-08,17.49
2017-05-09,17.34
2017-05-10,17.35
2017-05-11,17.15
2017-05-12,17.09
2017-05-15,17.2
2017-05-16,17.15
2017-05-17,16.68
2017-05-18,16.74
2017-05-19,16.77
2017-05-22,16.8
2017-05-23,16.94
2017-05-24,16.85
2017-05-25,16.85
2017-05-26,16.87
2017-05-30,16.7
2017-05-31,16.57
2017-06-01,16.89
2017-06-02,16.78
2017-06-05,16.82
2017-06-06,16.64
2017-06-07,16.82
2017-06-08,17.12
2017-06-09,17.67
2017-06-12,17.83
2017-06-13,17.79
2017-06-14,17.75
2017-06-15,17.65
2017-06-16,17.62
2017-06-19,17.64
2017-06-20,17.47
2017-06-21,17.32
2017-06-22,17.21
2017-06-23,17.22
2017-06-26,17.29
2017-06-27,17.3
2017-06-28,17.52
2017-06-29,17.71
2017-06-30,17.66
2017-07-03,17.98
2017-07-05,18.02
2017-07-06,17.79
2017-07-07,17.86
2017-07-10,17.79
2017-07-11,17.8
2017-07-12,17.8
2017-07-13,17.81
2017-07-14,17.79
2017-07-17,17.74
2017-07-18,17.62
2017-07-19,17.62
2017-07-20,17.64
2017-07-21,17.51
2017-07-24,17.66
2017-07-25,17.9
2017-07-26,17.49
2017-07-27,17.68
2017-07-28,17.36
2017-07-31,17.44
2017-08-01,17.52
2017-08-02,17.5
2017-08-03,17.44
2017-08-04,17.59
2017-08-07,17.4
2017-08-08,17.46
2017-08-09,17.32
2017-08-10,16.99
2017-08-11,16.82
2017-08-14,17.17
2017-08-15,17.1
2017-08-16,17.05
2017-08-17,16.63
2017-08-18,16.63
2017-08-21,16.58
2017-08-22,16.7
2017-08-23,16.7
2017-08-24,16.67
2017-08-25,16.86
2017-08-28,16.76
2017-08-29,16.66
2017-08-30,16.75
2017-08-31,16.7
2017-09-01,16.85
2017-09-05,16.4
2017-09-06,16.45
2017-09-07,16.07
2017-09-08,16.25
2017-09-11,16.6
2017-09-12,16.92
2017-09-13,16.96
2017-09-14,16.77
2017-09-15,16.91
2017-09-18,17.04
2017-09-19,17.21
2017-09-20,17.33
2017-09-21,17.41
2017-09-22,17.38
2017-09-25,17.48
2017-09-26,17.62
2017-09-27,17.91
2017-09-28,17.97
2017-09-29,18.14
2017-10-02,18.24
2017-10-03,18.14
2017-10-04,17.92
2017-10-05,18.2
2017-10-06,18.24
2017-10-09,18.15
2017-10-10,18.32
2017-10-11,18.28
2017-10-12,18.28
2017-10-13,18.21
2017-10-16,18.28
2017-10-17,18.09
2017-10-18,18.24
2017-10-19,18.36
2017-10-20,18.89
2017-10-23,18.75
2017-10-24,18.84
2017-10-25,18.68
2017-10-26,18.85
2017-10-27,18.92
2017-10-30,18.63
2017-10-31,18.66
2017-11-01,18.53
2017-11-02,18.62
2017-11-03,18.49
2017-11-06,18.42
2017-11-07,18.05
2017-11-08,17.95
2017-11-09,17.76
2017-11-10,17.71
2017-11-13,18.21
2017-11-14,18.28
2017-11-15,18.2
2017-11-16,18.11
2017-11-17,18.17
2017-11-20,18.33
2017-11-21,18.19
2017-11-22,18.2
2017-11-24,18.12
2017-11-27,18.17
2017-11-28,18.71
2017-11-29,19.26
2017-11-30,19.02
2017-12-01,18.91
2017-12-04,19.25
2017-12-05,18.95
2017-12-06,18.82
2017-12-07,18.89
2017-12-08,18.84
2017-12-11,18.66
2017-12-12,18.74
2017-12-13,18.67
2017-12-14,18.5
2017-12-15,18.81
2017-12-18,19.0
2017-12-19,19.04
2017-12-20,18.87
2017-12-21,19.02
2017-12-22,18.92
2017-12-26,18.87
2017-12-27,18.78
2017-12-28,18.92
2017-12-29,18.7
2018-01-02,18.8
2018-01-03,18.72
2018-01-04,18.84
2018-01-05,18.94
2018-01-08,18.97
2018-01-09,19.07
2018-01-10,19.25
2018-01-11,19.48
2018-01-12,19.48
2018-01-16,19.39
2018-01-17,19.45
2018-01-18,19.43
2018-01-19,20.08
2018-01-22,20.02
2018-01-23,20.06
2018-01-24,19.94
2018-01-25,19.91
2018-01-26,19.92
2018-01-29,19.76
2018-01-30,19.66
2018-01-31,19.67
2018-02-01,19.81
2018-02-02,19.63
2018-02-05,19.01
2018-02-06,19.12
2018-02-07,19.2
2018-02-08,18.56
2018-02-09,18.91
2018-02-12,19.07
2018-02-13,19.13
2018-02-14,19.58
2018-02-15,19.74
2018-02-16,19.84
2018-02-20,19.62
2018-02-21,19.76
2018-02-22,19.43
2018-02-23,19.69
2018-02-26,19.72
2018-02-27,19.46
2018-02-28,19.14
2018-03-01,19.16
2018-03-02,19.44
2018-03-05,19.67
2018-03-06,19.9
2018-03-07,19.92
2018-03-08,19.77
2018-03-09,20.15
2018-03-12,20.11
2018-03-13,20.05
2018-03-14,19.82
2018-03-15,19.77
2018-03-16,19.8
2018-03-19,19.62
2018-03-20,19.55
2018-03-21,19.64
2018-03-22,18.89
2018-03-23,18.25
2018-03-26,18.69
2018-03-27,18.29
2018-03-28,18.46
2018-03-29,18.66
2018-04-02,18.37
2018-04-03,18.64
2018-04-04,18.75
2018-04-05,18.81
2018-04-06,18.39
2018-04-09,18.35
2018-04-10,18.66
2018-04-11,18.59
2018-04-12,18.8
2018-04-13,18.57
2018-04-16,18.7
2018-04-17,18.44
2018-04-18,18.34
2018-04-19,18.07
2018-04-20,18.22
2018-04-23,18.48
2018-04-24,18.59
2018-04-25,18.47
2018-04-26,18.46
2018-04-27,18.66
2018-04-30,18.29
2018-05-01,18.38
2018-05-02,18.28
2018-05-03,18.23
2018-05-04,18.41
2018-05-07,18.47
2018-05-08,18.47
2018-05-09,18.64
2018-05-10,18.67
2018-05-11,18.64
2018-05-14,18.57
2018-05-15,18.77
2018-05-16,18.76
2018-05-17,18.8
2018-05-18,18.63
2018-05-21,18.82
2018-05-22,19.02
2018-05-23,18.89
2018-05-24,18.88
2018-05-25,18.76
2018-05-29,18.32
2018-05-30,18.61
2018-05-31,18.41
2018-06-01,18.6
2018-06-04,18.8
2018-06-05,18.86
2018-06-06,19.13
2018-06-07,19.11
2018-06-08,19.19
2018-06-11,19.07
2018-06-12,19.0
2018-06-13,18.94
2018-06-14,18.79
2018-06-15,18.73
2018-06-18,18.74
2018-06-19,18.53
2018-06-20,18.64
2018-06-21,18.71
2018-06-22,18.55
2018-06-25,18.48
2018-06-26,18.38
2018-06-27,18.09
2018-06-28,18.19
2018-06-29,18.09
2018-07-02,18.21
2018-07-03,18.14
2018-07-05,18.16
2018-07-06,18.21
2018-07-09,18.63
2018-07-10,18.45
2018-07-11,18.3
2018-07-12,18.2
2018-07-13,18.06
2018-07-16,18.27
2018-07-17,18.24
2018-07-18,18.34
2018-07-19,18.33
2018-07-20,18.3
2018-07-23,18.6
2018-07-24,18.43
2018-07-25,18.3
2018-07-26,18.46
2018-07-27,18.48
2018-07-30,18.35
2018-07-31,18.23
2018-08-01,18.45
2018-08-02,18.6
2018-08-03,18.54
2018-08-06,18.44
2018-08-07,18.43
2018-08-08,18.55
2018-08-09,18.5
2018-08-10,18.4
2018-08-13,18.24
2018-08-14,18.48
2018-08-15,18.36
2018-08-16,18.6
2018-08-17,18.72
2018-08-20,18.73
2018-08-21,18.86
2018-08-22,18.85
2018-08-23,18.74
2018-08-24,18.66
2018-08-27,18.75
2018-08-28,18.71
2018-08-29,18.67
2018-08-30,18.52
2018-08-31,18.51
2018-09-04,18.54
2018-09-05,18.64
2018-09-06,18.6
2018-09-07,18.53
2018-09-10,18.52
2018-09-11,18.41
2018-09-12,18.06
2018-09-13,17.8
2018-09-14,17.84
2018-09-17,17.77
2018-09-18,17.58
2018-09-19,17.76
2018-09-20,18.0
2018-09-21,17.94
2018-09-24,17.54
2018-09-25,17.57
2018-09-26,17.2
2018-09-27,17.05
2018-09-28,17.12
2018-10-01,16.86
2018-10-02,16.89
2018-10-03,17.2
2018-10-04,17.28
2018-10-05,17.09
2018-10-08,17.28
2018-10-09,17.19
2018-10-10,16.97
2018-10-11,16.47
2018-10-12,16.07
2018-10-15,16.14
2018-10-16,16.24
2018-10-17,16.35
2018-10-18,16.17
2018-10-19,16.04
2018-10-22,15.49
2018-10-23,15.55
2018-10-24,15.07
2018-10-25,15.44
2018-10-26,15.19
2018-10-29,15.57
2018-10-30,15.84
2018-10-31,15.66
2018-11-01,15.75
2018-11-02,15.74
2018-11-05,15.78
2018-11-06,15.77
2018-11-07,15.8
2018-11-08,15.85
2018-11-09,15.7
2018-11-12,15.67
2018-11-13,15.88
2018-11-14,15.68
2018-11-15,16.05
2018-11-16,16.13
2018-11-19,16.07
2018-11-20,15.92
2018-11-21,15.87
2018-11-23,15.9
2018-11-26,16.21
2018-11-27,16.0
2018-11-28,16.36
2018-11-29,16.37
2018-11-30,16.86
2018-12-03,16.98
2018-12-04,16.31
2018-12-06,16.28
2018-12-07,16.14
2018-12-10,15.85
2018-12-11,15.71
2018-12-12,15.79
2018-12-13,15.46
2018-12-14,15.25
2018-12-17,15.18
2018-12-18,14.89
2018-12-19,14.34
2018-12-20,14.32
2018-12-21,14.08
2018-12-24,13.8
2018-12-26,14.37
2018-12-27,14.25
2018-12-28,14.29
2018-12-31,14.43
2019-01-02,14.69
2019-01-03,14.6
2019-01-04,15.05
2019-01-07,15.1
2019-01-08,15.15
2019-01-09,15.08
2019-01-10,15.13
2019-01-11,15.21
2019-01-14,15.38
2019-01-15,15.54
2019-01-16,15.73
2019-01-17,16.0
2019-01-18,16.37
2019-01-22,16.32
2019-01-23,16.36
2019-01-24,16.4
2019-01-25,16.75
2019-01-28,16.78
2019-01-29,16.85
2019-01-30,16.71
2019-01-31,16.38
2019-02-01,16.58
2019-02-04,16.69
2019-02-05,16.72
2019-02-06,16.73
2019-02-07,16.99
2019-02-08,16.82
2019-02-11,16.97
2019-02-12,17.14
2019-02-13,17.09
2019-02-14,16.95
2019-02-15,17.34
2019-02-19,17.53
2019-02-20,17.7
2019-02-21,17.64
2019-02-22,17.69
2019-02-25,17.69
2019-02-26,17.59
2019-02-27,17.76
2019-02-28,17.76
2019-03-01,17.9
2019-03-04,17.72
2019-03-05,17.71
2019-03-06,17.4
2019-03-07,17.1
2019-03-08,17.16
2019-03-11,17.38
2019-03-12,17.3
2019-03-13,17.39
2019-03-14,17.47
2019-03-15,17.36
2019-03-18,17.6
2019-03-19,17.16
