Date,NOC
2015-07-01,160.10000610351562
2015-07-02,159.5
2015-07-06,159.25
2015-07-07,161.38999938964844
2015-07-08,160.66000366210938
2015-07-09,162.69000244140625
2015-07-10,165.3699951171875
2015-07-13,167.3000030517578
2015-07-14,168.49000549316406
2015-07-15,168.58999633789062
2015-07-16,169.86000061035156
2015-07-17,168.99000549316406
2015-07-20,169.8300018310547
2015-07-21,166.77000427246094
2015-07-22,166.27999877929688
2015-07-23,165.5
2015-07-24,164.8000030517578
2015-07-27,162.55999755859375
2015-07-28,163.33999633789062
2015-07-29,173.44000244140625
2015-07-30,175.41000366210938
2015-07-31,173.00999450683594
2015-08-03,172.16000366210938
2015-08-04,172.1199951171875
2015-08-05,173.67999267578125
2015-08-06,172.8699951171875
2015-08-07,172.64999389648438
2015-08-10,175.25
2015-08-11,173.27000427246094
2015-08-12,171.55999755859375
2015-08-13,172.86000061035156
2015-08-14,174.17999267578125
2015-08-17,174.7100067138672
2015-08-18,175.5
2015-08-19,175.6199951171875
2015-08-20,172.58999633789062
2015-08-21,165.35000610351562
2015-08-24,160.02000427246094
2015-08-25,159.69000244140625
2015-08-26,164.47999572753906
2015-08-27,167.0800018310547
2015-08-28,165.5399932861328
2015-08-31,163.74000549316406
2015-09-01,159.3699951171875
2015-09-02,164.61000061035156
2015-09-03,164.64999389648438
2015-09-04,162.3000030517578
2015-09-08,168.00999450683594
2015-09-09,166.25999450683594
2015-09-10,165.6999969482422
2015-09-11,168.52000427246094
2015-09-14,167.8300018310547
2015-09-15,170.3300018310547
2015-09-16,170.9600067138672
2015-09-17,170.72000122070312
2015-09-18,168.97999572753906
2015-09-21,170.2100067138672
2015-09-22,167.6300048828125
2015-09-23,167.4199981689453
2015-09-24,166.77999877929688
2015-09-25,165.57000732421875
2015-09-28,162.64999389648438
2015-09-29,163.5500030517578
2015-09-30,165.9499969482422
2015-10-01,165.72000122070312
2015-10-02,167.52999877929688
2015-10-05,170.3800048828125
2015-10-06,168.41000366210938
2015-10-07,171.1999969482422
2015-10-08,173.75
2015-10-09,175.75
2015-10-12,177.19000244140625
2015-10-13,177.0
2015-10-14,173.8000030517578
2015-10-15,174.05999755859375
2015-10-16,174.8800048828125
2015-10-19,174.5800018310547
2015-10-20,174.4499969482422
2015-10-21,174.1300048828125
2015-10-22,179.5
2015-10-23,179.8300018310547
2015-10-26,180.2899932861328
2015-10-27,180.60000610351562
2015-10-28,190.5
2015-10-29,190.07000732421875
2015-10-30,187.75
2015-11-02,189.5399932861328
2015-11-03,186.63999938964844
2015-11-04,186.1699981689453
2015-11-05,186.4199981689453
2015-11-06,184.00999450683594
2015-11-09,181.66000366210938
2015-11-10,181.49000549316406
2015-11-11,181.6999969482422
2015-11-12,180.30999755859375
2015-11-13,178.82000732421875
2015-11-16,186.61000061035156
2015-11-17,186.13999938964844
2015-11-18,188.13999938964844
2015-11-19,188.25999450683594
2015-11-20,189.47999572753906
2015-11-23,187.8300018310547
2015-11-24,188.0
2015-11-25,187.77000427246094
2015-11-27,188.41000366210938
2015-11-30,186.36000061035156
2015-12-01,187.30999755859375
2015-12-02,185.69000244140625
2015-12-03,183.05999755859375
2015-12-04,187.9499969482422
2015-12-07,187.99000549316406
2015-12-08,188.0
2015-12-09,186.5500030517578
2015-12-10,187.4600067138672
2015-12-11,186.02000427246094
2015-12-14,187.07000732421875
2015-12-15,187.83999633789062
2015-12-16,189.75
2015-12-17,188.30999755859375
2015-12-18,184.86000061035156
2015-12-21,189.00999450683594
2015-12-22,189.3699951171875
2015-12-23,190.0
2015-12-24,190.11000061035156
2015-12-28,189.97999572753906
2015-12-29,191.47999572753906
2015-12-30,190.0800018310547
2015-12-31,188.80999755859375
2016-01-04,187.50999450683594
2016-01-05,192.38999938964844
2016-01-06,190.47000122070312
2016-01-07,188.11000061035156
2016-01-08,186.07000732421875
2016-01-11,188.11000061035156
2016-01-12,188.9199981689453
2016-01-13,184.86000061035156
2016-01-14,185.5500030517578
2016-01-15,184.2100067138672
2016-01-19,186.75
2016-01-20,182.55999755859375
2016-01-21,181.22000122070312
2016-01-22,184.11000061035156
2016-01-25,181.8300018310547
2016-01-26,182.5
2016-01-27,178.19000244140625
2016-01-28,180.14999389648438
2016-01-29,185.05999755859375
2016-02-01,188.63999938964844
2016-02-02,187.44000244140625
2016-02-03,189.77000427246094
2016-02-04,186.35000610351562
2016-02-05,186.49000549316406
2016-02-08,185.6199951171875
2016-02-09,187.32000732421875
2016-02-10,188.3300018310547
2016-02-11,183.91000366210938
2016-02-12,181.25
2016-02-16,184.22000122070312
2016-02-17,190.05999755859375
2016-02-18,192.67999267578125
2016-02-19,190.67999267578125
2016-02-22,192.27000427246094
2016-02-23,191.30999755859375
2016-02-24,190.02000427246094
2016-02-25,192.92999267578125
2016-02-26,192.22000122070312
2016-02-29,192.22000122070312
2016-03-01,193.8800048828125
2016-03-02,193.32000732421875
2016-03-03,192.1199951171875
2016-03-04,191.07000732421875
2016-03-07,186.67999267578125
2016-03-08,186.86000061035156
2016-03-09,186.74000549316406
2016-03-10,186.75
2016-03-11,189.88999938964844
2016-03-14,188.57000732421875
2016-03-15,191.6699981689453
2016-03-16,191.57000732421875
2016-03-17,190.91000366210938
2016-03-18,193.99000549316406
2016-03-21,194.17999267578125
2016-03-22,194.33999633789062
2016-03-23,194.9600067138672
2016-03-24,194.1999969482422
2016-03-28,194.8800048828125
2016-03-29,196.67999267578125
2016-03-30,198.72999572753906
2016-03-31,197.89999389648438
2016-04-01,200.30999755859375
2016-04-04,201.17999267578125
2016-04-05,202.27000427246094
2016-04-06,202.10000610351562
2016-04-07,200.5500030517578
2016-04-08,200.57000732421875
2016-04-11,199.50999450683594
2016-04-12,200.1999969482422
2016-04-13,201.1300048828125
2016-04-14,200.1300048828125
2016-04-15,201.8800048828125
2016-04-18,202.7899932861328
2016-04-19,201.58999633789062
2016-04-20,201.5800018310547
2016-04-21,200.0
2016-04-22,200.75
