Date,RF
2015-07-01,7.120815753936768
2015-07-02,7.025049209594727
2015-07-06,6.956646919250488
2015-07-07,6.8677215576171875
2015-07-08,6.724074363708496
2015-07-09,6.840363025665283
2015-07-10,6.9361252784729
2015-07-13,6.977169513702393
2015-07-14,6.990848064422607
2015-07-15,7.052414894104004
2015-07-16,7.10713529586792
2015-07-17,6.922445297241211
2015-07-20,6.977169513702393
2015-07-21,7.120815753936768
2015-07-22,7.31918478012085
2015-07-23,7.264462947845459
2015-07-24,7.223421096801758
2015-07-27,7.120815753936768
2015-07-28,7.113975524902344
2015-07-29,7.196058750152588
2015-07-30,7.230261325836182
2015-07-31,7.10713529586792
2015-08-03,7.093455791473389
2015-08-04,7.093455791473389
2015-08-05,7.168698310852051
2015-08-06,7.230261325836182
2015-08-07,7.264462947845459
2015-08-10,7.387588977813721
2015-08-11,7.237102508544922
2015-08-12,7.079775810241699
2015-08-13,7.120815753936768
2015-08-14,7.216579437255859
2015-08-17,7.216579437255859
2015-08-18,7.1823811531066895
2015-08-19,7.01137113571167
2015-08-20,6.792477607727051
2015-08-21,6.61462926864624
2015-08-24,6.142644882202148
2015-08-25,5.998996257781982
2015-08-26,6.327335834503174
2015-08-27,6.539385795593262
2015-08-28,6.580427646636963
2015-08-31,6.559906482696533
2015-09-01,6.299973487854004
2015-09-02,6.3888959884643555
2015-09-03,6.450461387634277
2015-09-04,6.334174633026123
2015-09-08,6.512024879455566
2015-09-09,6.429418087005615
2015-09-10,6.55332612991333
2015-09-11,6.54644250869751
2015-09-14,6.601512908935547
2015-09-15,6.6978840827941895
2015-09-16,6.587744235992432
2015-09-17,6.394998550415039
2015-09-18,6.154068946838379
2015-09-21,6.257325172424316
2015-09-22,6.140301704406738
2015-09-23,6.160954475402832
2015-09-24,6.140301704406738
2015-09-25,6.250441551208496
2015-09-28,6.05769681930542
2015-09-29,6.078347682952881
2015-09-30,6.202256202697754
2015-10-01,6.216022968292236
2015-10-02,6.133418560028076
2015-10-05,6.222906589508057
2015-10-06,6.257325172424316
2015-10-07,6.339931488037109
2015-10-08,6.374348163604736
2015-10-09,6.257325172424316
2015-10-12,6.250441551208496
2015-10-13,6.181603908538818
2015-10-14,6.071465969085693
2015-10-15,6.250441551208496
2015-10-16,6.2091383934021
2015-10-19,6.154068946838379
2015-10-20,6.339931488037109
2015-10-21,6.216022968292236
2015-10-22,6.339931488037109
2015-10-23,6.505140781402588
2015-10-26,6.415652751922607
2015-10-27,6.3605804443359375
2015-10-28,6.649698734283447
2015-10-29,6.635932445526123
2015-10-30,6.436303615570068
2015-11-02,6.59462833404541
2015-11-03,6.567093849182129
2015-11-04,6.601512908935547
2015-11-05,6.6978840827941895
2015-11-06,6.973233699798584
2015-11-09,6.876861572265625
2015-11-10,6.931931972503662
2015-11-11,6.849327087402344
2015-11-12,6.7460713386535645
2015-11-13,6.684115886688232
2015-11-16,6.752956867218018
2015-11-17,6.794254779815674
2015-11-18,6.945699214935303
2015-11-19,6.980117321014404
2015-11-20,6.938817024230957
2015-11-23,6.938817024230957
2015-11-24,6.973233699798584
2015-11-25,6.945699214935303
2015-11-27,7.000768661499023
2015-11-30,6.980117321014404
2015-12-01,7.055840969085693
2015-12-02,6.952581882476807
2015-12-03,6.863096237182617
2015-12-04,7.062723636627197
2015-12-07,6.904395580291748
2015-12-08,6.635932445526123
2015-12-09,6.545882225036621
2015-12-10,6.656712532043457
2015-12-11,6.4904656410217285
2015-12-14,6.483539581298828
2015-12-15,6.767541408538818
2015-12-16,6.885296821594238
2015-12-17,6.739832401275635
2015-12-18,6.476613998413086
2015-12-21,6.504321575164795
2015-12-22,6.580515384674072
