Date,BLL
2016-01-04,36.05500030517578
2016-01-05,36.47999954223633
2016-01-06,36.1349983215332
2016-01-07,35.18000030517578
2016-01-08,34.88999938964844
2016-01-11,34.58000183105469
2016-01-12,35.29499816894531
2016-01-13,34.31999969482422
2016-01-14,34.40999984741211
2016-01-15,34.48500061035156
2016-01-19,34.66999816894531
2016-01-20,34.29999923706055
2016-01-21,33.529998779296875
2016-01-22,34.380001068115234
2016-01-25,33.314998626708984
2016-01-26,33.915000915527344
2016-01-27,33.04999923706055
2016-01-28,33.45000076293945
2016-01-29,33.415000915527344
2016-02-01,33.599998474121094
2016-02-02,32.790000915527344
2016-02-03,33.060001373291016
2016-02-04,33.91999816894531
2016-02-05,32.61000061035156
2016-02-08,31.94499969482422
2016-02-09,32.57500076293945
2016-02-10,32.630001068115234
2016-02-11,32.040000915527344
2016-02-12,32.584999084472656
2016-02-16,33.130001068115234
2016-02-17,33.560001373291016
2016-02-18,33.26499938964844
2016-02-19,33.029998779296875
2016-02-22,33.23500061035156
2016-02-23,33.01499938964844
2016-02-24,33.45000076293945
2016-02-25,33.415000915527344
2016-02-26,33.505001068115234
2016-02-29,33.1150016784668
2016-03-01,33.95000076293945
2016-03-02,34.03499984741211
2016-03-03,34.345001220703125
2016-03-04,34.09000015258789
2016-03-07,33.630001068115234
2016-03-08,33.709999084472656
2016-03-09,33.75
2016-03-10,33.59000015258789
2016-03-11,34.5099983215332
2016-03-14,34.3849983215332
2016-03-15,34.290000915527344
2016-03-16,34.834999084472656
2016-03-17,35.79499816894531
2016-03-18,35.185001373291016
2016-03-21,34.94499969482422
2016-03-22,35.2599983215332
2016-03-23,35.2400016784668
2016-03-24,35.119998931884766
2016-03-28,35.18000030517578
2016-03-29,35.505001068115234
2016-03-30,35.45000076293945
2016-03-31,35.64500045776367
2016-04-01,35.80500030517578
2016-04-04,35.29999923706055
2016-04-05,35.255001068115234
2016-04-06,35.64500045776367
2016-04-07,35.31999969482422
2016-04-08,35.400001525878906
2016-04-11,35.23500061035156
2016-04-12,35.57500076293945
2016-04-13,35.935001373291016
2016-04-14,35.92499923706055
2016-04-15,36.13999938964844
2016-04-18,37.314998626708984
2016-04-19,37.494998931884766
2016-04-20,37.665000915527344
2016-04-21,37.58000183105469
2016-04-22,37.91999816894531
2016-04-25,37.349998474121094
2016-04-26,37.529998779296875
2016-04-27,37.43000030517578
2016-04-28,36.46500015258789
2016-04-29,35.689998626708984
2016-05-02,36.025001525878906
2016-05-03,35.775001525878906
2016-05-04,36.02000045776367
2016-05-05,35.915000915527344
2016-05-06,35.720001220703125
2016-05-09,36.0099983215332
2016-05-10,36.08000183105469
2016-05-11,36.08000183105469
2016-05-12,36.41999816894531
2016-05-13,36.06999969482422
2016-05-16,36.55500030517578
2016-05-17,35.85499954223633
2016-05-18,35.875
2016-05-19,35.709999084472656
2016-05-20,35.8849983215332
2016-05-23,35.474998474121094
2016-05-24,35.880001068115234
2016-05-25,36.04499816894531
