Date,EIX
2015-07-01,36.33131790161133
2015-07-02,37.072105407714844
2015-07-06,37.104312896728516
2015-07-07,37.896636962890625
2015-07-08,37.52301025390625
2015-07-09,37.091426849365234
2015-07-10,37.32978057861328
2015-07-13,37.181617736816406
2015-07-14,37.323333740234375
2015-07-15,37.4328498840332
2015-07-16,38.09633255004883
2015-07-17,37.7098388671875
2015-07-20,37.484375
2015-07-21,37.35554885864258
2015-07-22,37.61965560913086
2015-07-23,37.20094299316406
2015-07-24,37.13652420043945
2015-07-27,37.961063385009766
2015-07-28,37.92885208129883
2015-07-29,38.05769348144531
2015-07-30,38.34756088256836
2015-07-31,38.656768798828125
2015-08-03,38.746952056884766
2015-08-04,38.437744140625
2015-08-05,38.560142517089844
2015-08-06,39.03682327270508
2015-08-07,39.30093765258789
2015-08-10,38.354000091552734
2015-08-11,38.00615310668945
2015-08-12,39.09479904174805
2015-08-13,39.03038787841797
2015-08-14,39.38468551635742
2015-08-17,39.77117919921875
2015-08-18,39.44266891479492
2015-08-19,39.900028228759766
2015-08-20,39.77117919921875
2015-08-21,40.02885437011719
2015-08-24,38.44418716430664
2015-08-25,37.03346252441406
2015-08-26,37.81290817260742
2015-08-27,38.56658172607422
2015-08-28,38.41842269897461
2015-08-31,37.67118453979492
2015-09-01,36.853084564208984
2015-09-02,37.0656623840332
2015-09-03,37.11075210571289
2015-09-04,36.75001907348633
2015-09-08,37.278236389160156
2015-09-09,36.90462112426758
2015-09-10,36.872413635253906
2015-09-11,37.310455322265625
2015-09-14,37.50370407104492
2015-09-15,38.109214782714844
2015-09-16,38.4635124206543
2015-09-17,39.358917236328125
2015-09-18,39.48130416870117
2015-09-21,39.687442779541016
2015-09-22,39.19786834716797
2015-09-23,39.346038818359375
2015-09-24,39.81627655029297
2015-09-25,40.1512565612793
2015-09-28,39.96836471557617
2015-09-29,40.07212829589844
2015-09-30,40.90224838256836
2015-10-01,40.325042724609375
2015-10-02,40.93466567993164
2015-10-05,41.29783630371094
2015-10-06,40.88277816772461
2015-10-07,40.817928314208984
2015-10-08,41.32377243041992
