Date,CAT
2015-07-01,64.11368560791016
2015-07-02,64.44207000732422
2015-07-06,63.50271224975586
2015-07-07,64.14424133300781
2015-07-08,62.830623626708984
2015-07-09,62.387718200683594
2015-07-10,62.739009857177734
2015-07-13,63.87693405151367
2015-07-14,64.50315856933594
2015-07-15,64.2740478515625
2015-07-16,64.55924987792969
2015-07-17,64.0967788696289
2015-07-20,63.39540100097656
2015-07-21,63.37226104736328
2015-07-22,61.47620391845703
2015-07-23,59.25639724731445
2015-07-24,58.65518569946289
2015-07-27,58.05399703979492
2015-07-28,59.95005798339844
2015-07-29,59.60322952270508
2015-07-30,60.38941955566406
2015-07-31,60.60523223876953
2015-08-03,59.54930877685547
2015-08-04,59.04057312011719
2015-08-05,59.25639724731445
2015-08-06,59.70343780517578
2015-08-07,59.572418212890625
2015-08-10,61.784507751464844
2015-08-11,60.15047836303711
2015-08-12,60.82876205444336
2015-08-13,59.93465805053711
2015-08-14,60.497310638427734
2015-08-17,60.535850524902344
2015-08-18,60.75166702270508
2015-08-19,59.66490936279297
2015-08-20,58.894134521484375
2015-08-21,57.8073616027832
2015-08-24,56.1270751953125
2015-08-25,55.54130935668945
2015-08-26,56.9363899230957
2015-08-27,58.3160400390625
2015-08-28,58.53956985473633
2015-08-31,58.917236328125
2015-09-01,57.730255126953125
2015-09-02,58.65518569946289
2015-09-03,57.38343811035156
2015-09-04,56.34290313720703
2015-09-08,57.26781463623047
2015-09-09,56.23499298095703
2015-09-10,55.818790435791016
2015-09-11,55.98063278198242
2015-09-14,56.08855056762695
2015-09-15,57.48362731933594
2015-09-16,58.30063247680664
2015-09-17,57.082828521728516
2015-09-18,55.38716125488281
2015-09-21,55.61838150024414
2015-09-22,55.248416900634766
2015-09-23,54.107696533203125
2015-09-24,50.71631622314453
2015-09-25,50.08430099487305
2015-09-28,49.167083740234375
2015-09-29,49.5678825378418
2015-09-30,50.37718200683594
2015-10-01,49.629539489746094
2015-10-02,50.639251708984375
2015-10-05,53.32151412963867
2015-10-06,54.585567474365234
2015-10-07,54.24641036987305
2015-10-08,55.371726989746094
2015-10-09,54.95552062988281
2015-10-12,54.338932037353516
2015-10-13,54.08456039428711
2015-10-14,54.50077819824219
2015-10-15,54.593265533447266
