Date,XRX
2015-07-01,28.142292022705078
2015-07-02,27.826087951660156
2015-07-06,27.74703598022461
2015-07-07,27.878787994384766
2015-07-08,27.06192398071289
2015-07-09,26.982872009277344
2015-07-10,27.35177993774414
2015-07-13,27.641633987426758
2015-07-14,27.74703598022461
2015-07-15,27.50988006591797
2015-07-16,27.95783805847168
2015-07-17,28.537548065185547
2015-07-20,28.74835205078125
2015-07-21,27.90513801574707
2015-07-22,28.194992065429688
2015-07-23,28.484848022460938
2015-07-24,28.827404022216797
2015-07-27,27.984189987182617
2015-07-28,28.08959197998047
2015-07-29,28.35309600830078
2015-07-30,28.37944793701172
2015-07-31,29.0382080078125
2015-08-03,28.827404022216797
2015-08-04,28.985506057739258
2015-08-05,28.959157943725586
2015-08-06,28.906455993652344
2015-08-07,28.669301986694336
2015-08-10,29.696969985961914
2015-08-11,29.196311950683594
2015-08-12,29.011857986450195
2015-08-13,28.853755950927734
2015-08-14,29.117259979248047
2015-08-17,29.960474014282227
2015-08-18,29.82872200012207
2015-08-19,29.617918014526367
2015-08-20,29.064559936523438
2015-08-21,28.168643951416016
2015-08-24,26.16600799560547
2015-08-25,25.454544067382812
2015-08-26,26.245058059692383
2015-08-27,26.95652198791504
2015-08-28,27.16732406616211
2015-08-31,26.798419952392578
2015-09-01,25.770751953125
2015-09-02,26.27140998840332
2015-09-03,26.403162002563477
2015-09-04,26.11330795288086
2015-09-08,27.457181930541992
2015-09-09,26.95652198791504
2015-09-10,27.16732406616211
2015-09-11,27.483531951904297
2015-09-14,27.193675994873047
2015-09-15,27.878787994384766
2015-09-16,27.984189987182617
2015-09-17,27.878787994384766
2015-09-18,27.27272605895996
2015-09-21,27.6943359375
2015-09-22,27.22002601623535
2015-09-23,26.82476806640625
2015-09-24,26.61396598815918
2015-09-25,26.56126594543457
2015-09-28,25.401845932006836
2015-09-29,25.006587982177734
2015-09-30,25.638999938964844
2015-10-01,25.401845932006836
2015-10-02,25.955204010009766
2015-10-05,26.27140998840332
2015-10-06,26.297760009765625
2015-10-07,27.27272605895996
2015-10-08,27.74703598022461
2015-10-09,27.79973602294922
2015-10-12,27.56258201599121
2015-10-13,27.430830001831055
2015-10-14,26.693016052246094
