Date,MTB
2015-07-01,127.29000091552734
2015-07-02,125.91000366210938
2015-07-06,125.63999938964844
2015-07-07,125.02999877929688
2015-07-08,123.01000213623047
2015-07-09,124.19000244140625
2015-07-10,126.20999908447266
2015-07-13,127.30999755859375
2015-07-14,127.18000030517578
2015-07-15,127.9800033569336
2015-07-16,130.80999755859375
2015-07-17,131.22000122070312
2015-07-20,132.0
2015-07-21,131.86000061035156
2015-07-22,133.1999969482422
2015-07-23,132.27000427246094
2015-07-24,131.61000061035156
2015-07-27,130.72999572753906
2015-07-28,131.80999755859375
2015-07-29,132.16000366210938
2015-07-30,132.22000122070312
2015-07-31,131.14999389648438
2015-08-03,130.64999389648438
2015-08-04,131.0500030517578
2015-08-05,132.24000549316406
2015-08-06,131.6199951171875
2015-08-07,130.77000427246094
2015-08-10,132.74000549316406
2015-08-11,130.97999572753906
2015-08-12,128.9499969482422
2015-08-13,129.52000427246094
2015-08-14,130.47000122070312
2015-08-17,130.91000366210938
2015-08-18,131.1699981689453
2015-08-19,129.91000366210938
2015-08-20,125.44000244140625
2015-08-21,122.29000091552734
2015-08-24,116.11000061035156
2015-08-25,112.95999908447266
2015-08-26,117.69000244140625
2015-08-27,120.66999816894531
2015-08-28,119.0199966430664
2015-08-31,118.23999786376953
2015-09-01,112.6500015258789
2015-09-02,115.2699966430664
2015-09-03,118.26000213623047
2015-09-04,117.05999755859375
2015-09-08,120.13999938964844
2015-09-09,120.41000366210938
2015-09-10,120.4000015258789
2015-09-11,121.02999877929688
2015-09-14,121.7699966430664
2015-09-15,122.80000305175781
2015-09-16,122.08000183105469
2015-09-17,120.37999725341797
2015-09-18,118.33000183105469
2015-09-21,120.05999755859375
2015-09-22,117.98999786376953
2015-09-23,117.98999786376953
2015-09-24,119.05000305175781
2015-09-25,121.20999908447266
2015-09-28,119.91999816894531
2015-09-29,120.0999984741211
2015-09-30,121.94999694824219
2015-10-01,117.1500015258789
2015-10-02,116.66000366210938
2015-10-05,118.27999877929688
2015-10-06,117.43000030517578
2015-10-07,119.62000274658203
2015-10-08,120.19999694824219
2015-10-09,119.58000183105469
2015-10-12,120.16999816894531
2015-10-13,119.25
2015-10-14,116.11000061035156
2015-10-15,119.30999755859375
2015-10-16,117.0
2015-10-19,113.41999816894531
2015-10-20,115.5
2015-10-21,115.16999816894531
2015-10-22,118.80000305175781
2015-10-23,122.5999984741211
2015-10-26,123.22000122070312
2015-10-27,123.16000366210938
2015-10-28,125.55999755859375
2015-10-29,123.0199966430664
2015-10-30,119.8499984741211
2015-11-02,120.2699966430664
2015-11-03,120.13999938964844
2015-11-04,119.55999755859375
2015-11-05,120.5999984741211
2015-11-06,123.66000366210938
2015-11-09,123.62999725341797
2015-11-10,123.5
2015-11-11,124.55999755859375
2015-11-12,124.05000305175781
2015-11-13,122.45999908447266
