Date,EG
2015-07-01,147.9534454345703
2015-07-02,147.1093292236328
2015-07-06,147.8658447265625
2015-07-07,149.4027099609375
2015-07-08,148.2718963623047
2015-07-09,147.18896484375
2015-07-10,149.4027099609375
2015-07-13,150.4140167236328
2015-07-14,150.4856719970703
2015-07-15,151.4412078857422
2015-07-16,152.52420043945312
2015-07-17,151.53683471679688
2015-07-20,151.78359985351562
2015-07-21,151.64027404785156
2015-07-22,151.592529296875
2015-07-23,150.44586181640625
2015-07-24,149.46640014648438
2015-07-27,148.55062866210938
2015-07-28,143.62158203125
2015-07-29,145.8910369873047
2015-07-30,145.71580505371094
2015-07-31,145.81930541992188
2015-08-03,146.3449249267578
2015-08-04,145.9467315673828
2015-08-05,146.86245727539062
2015-08-06,146.5200653076172
2015-08-07,146.70321655273438
2015-08-10,147.9613494873047
2015-08-11,147.55531311035156
2015-08-12,147.23672485351562
2015-08-13,147.27655029296875
2015-08-14,147.873779296875
2015-08-17,148.080810546875
2015-08-18,148.3037567138672
2015-08-19,147.1013641357422
2015-08-20,145.134521484375
2015-08-21,143.04818725585938
2015-08-24,135.9394073486328
2015-08-25,134.28228759765625
2015-08-26,136.7078857421875
2015-08-27,140.38238525390625
2015-08-28,140.0381317138672
2015-08-31,140.74256896972656
2015-09-01,138.46910095214844
2015-09-02,139.7339324951172
2015-09-03,140.0221405029297
2015-09-04,138.45309448242188
2015-09-08,140.79061889648438
2015-09-09,140.04612731933594
2015-09-10,141.07083129882812
2015-09-11,141.89541625976562
2015-09-14,141.82334899902344
2015-09-15,141.4151153564453
2015-09-16,141.543212890625
2015-09-17,140.9427490234375
2015-09-18,138.373046875
2015-09-21,139.7899627685547
2015-09-22,138.19686889648438
2015-09-23,138.46104431152344
2015-09-24,138.7493133544922
2015-09-25,139.1575927734375
2015-09-28,136.8600616455078
2015-09-29,137.72459411621094
2015-09-30,138.7653045654297
2015-10-01,137.8446807861328
2015-10-02,139.02142333984375
2015-10-05,140.31832885742188
2015-10-06,140.36639404296875
2015-10-07,141.7032928466797
2015-10-08,143.26434326171875
2015-10-09,141.5992431640625
2015-10-12,142.71998596191406
2015-10-13,141.2549591064453
2015-10-14,141.68719482421875
2015-10-15,142.66392517089844
2015-10-16,142.90408325195312
2015-10-19,141.88742065429688
2015-10-20,143.8326873779297
2015-10-21,143.46441650390625
2015-10-22,145.39376831054688
2015-10-23,143.51243591308594
2015-10-26,144.7373046875
2015-10-27,145.4097442626953
2015-10-28,145.85006713867188
2015-10-29,145.69793701171875
2015-10-30,142.47181701660156
2015-11-02,142.75994873046875
2015-11-03,142.31961059570312
