Date,XEL
2015-07-01,23.253849029541016
2015-07-02,23.482816696166992
2015-07-06,23.568675994873047
2015-07-07,24.2484073638916
2015-07-08,24.119613647460938
2015-07-09,23.84772491455078
2015-07-10,24.005130767822266
2015-07-13,23.99797821044922
2015-07-14,23.99797821044922
2015-07-15,24.055217742919922
2015-07-16,24.412965774536133
2015-07-17,24.112455368041992
2015-07-20,23.955049514770508
2015-07-21,23.718931198120117
2015-07-22,23.89780616760254
2015-07-23,23.547204971313477
2015-07-24,23.51143455505371
2015-07-27,23.854873657226562
2015-07-28,24.03375244140625
2015-07-29,24.133922576904297
2015-07-30,24.477365493774414
2015-07-31,24.80649185180664
2015-08-03,24.706323623657227
2015-08-04,24.434446334838867
2015-08-05,24.62762451171875
2015-08-06,24.920984268188477
2015-08-07,25.221485137939453
2015-08-10,24.99968910217285
2015-08-11,25.307348251342773
2015-08-12,25.557775497436523
2015-08-13,25.443296432495117
2015-08-14,25.61501121520996
2015-08-17,25.75096321105957
2015-08-18,25.69371795654297
2015-08-19,25.987079620361328
2015-08-20,25.765262603759766
2015-08-21,25.443296432495117
2015-08-24,24.398653030395508
2015-08-25,23.66884994506836
2015-08-26,23.99797821044922
2015-08-27,24.327110290527344
2015-08-28,24.29132652282715
2015-08-31,24.133922576904297
2015-09-01,23.597299575805664
2015-09-02,23.68315887451172
2015-09-03,23.819103240966797
2015-09-04,23.34687042236328
2015-09-08,23.66884994506836
2015-09-09,23.296791076660156
2015-09-10,23.40410804748535
2015-09-11,23.726085662841797
2015-09-14,23.726085662841797
2015-09-15,23.921157836914062
2015-09-16,24.101783752441406
2015-09-17,24.448562622070312
2015-09-18,24.296846389770508
2015-09-21,24.643632888793945
2015-09-22,24.50636100769043
2015-09-23,24.643632888793945
2015-09-24,24.853147506713867
2015-09-25,25.22161293029785
2015-09-28,25.026540756225586
2015-09-29,25.069889068603516
2015-09-30,25.582849502563477
2015-10-01,25.293855667114258
2015-10-02,25.525054931640625
2015-10-05,25.65509796142578
2015-10-06,25.31553077697754
2015-10-07,25.308305740356445
2015-10-08,25.65509796142578
2015-10-09,25.474470138549805
2015-10-12,25.893508911132812
2015-10-13,25.929628372192383
2015-10-14,26.001882553100586
2015-10-15,26.261974334716797
2015-10-16,26.31976890563965
2015-10-19,26.196945190429688
2015-10-20,26.46426773071289
2015-10-21,26.42814826965332
2015-10-22,26.832735061645508
2015-10-23,26.32699203491211
2015-10-26,26.5726318359375
2015-10-27,26.529279708862305
2015-10-28,26.038013458251953
2015-10-29,25.676769256591797
2015-10-30,25.741796493530273
2015-11-02,25.900737762451172
2015-11-03,25.929628372192383
2015-11-04,26.030776977539062
2015-11-05,26.088579177856445
2015-11-06,25.18549156188965
2015-11-09,25.293855667114258
2015-11-10,25.705673217773438
2015-11-11,26.04523277282715
2015-11-12,25.510597229003906
2015-11-13,25.293855667114258
2015-11-16,25.7128963470459
2015-11-17,25.44557762145996
2015-11-18,25.734561920166016
2015-11-19,25.806814193725586
2015-11-20,25.90796661376953
2015-11-23,25.698444366455078
2015-11-24,25.81403923034668
2015-11-25,25.647872924804688
2015-11-27,25.74901580810547
2015-11-30,25.76346778869629
2015-12-01,25.987430572509766
2015-12-02,25.44557762145996
2015-12-03,24.86760139465332
2015-12-04,25.26495361328125
2015-12-07,25.48169708251953
2015-12-08,25.438352584838867
2015-12-09,25.488927841186523
2015-12-10,25.134918212890625
2015-12-11,25.243288040161133
2015-12-14,25.496150970458984
2015-12-15,25.698444366455078
2015-12-16,26.312543869018555
2015-12-17,26.2981014251709
2015-12-18,25.72011947631836
2015-12-21,25.582849502563477
2015-12-22,25.757823944091797
2015-12-23,26.136938095092773
2015-12-24,26.05674171447754
2015-12-28,26.348365783691406
2015-12-29,26.406694412231445
2015-12-30,26.537925720214844
2015-12-31,26.180683135986328
2016-01-04,26.02757453918457
2016-01-05,26.29004669189453
2016-01-06,26.567081451416016
2016-01-07,26.669157028198242
2016-01-08,26.377519607543945
2016-01-11,26.588958740234375
2016-01-12,26.48688507080078
2016-01-13,26.32649040222168
2016-01-14,26.763933181762695
2016-01-15,26.6108341217041
2016-01-19,27.128461837768555
2016-01-20,26.698305130004883
2016-01-21,26.341081619262695
2016-01-22,26.705610275268555
2016-01-25,26.63269805908203
2016-01-26,26.80767250061035
2016-01-27,26.742063522338867
2016-01-28,27.390928268432617
2016-01-29,27.864818572998047
2016-02-01,28.112701416015625
2016-02-02,28.418914794921875
2016-02-03,28.615747451782227
2016-02-04,28.484527587890625
2016-02-05,28.81989097595215
2016-02-08,28.615747451782227
2016-02-09,28.885509490966797
2016-02-10,28.68866729736328
2016-02-11,28.426197052001953
2016-02-12,28.30225944519043
2016-02-16,28.309539794921875
2016-02-17,28.38974952697754
2016-02-18,28.900089263916016
2016-02-19,28.674076080322266
2016-02-22,28.921958923339844
2016-02-23,29.038604736328125
2016-02-24,29.096935272216797
2016-02-25,29.30837059020996
2016-02-26,28.630338668823242
2016-02-29,28.82717514038086
2016-03-01,28.768856048583984
2016-03-02,28.863637924194336
2016-03-03,28.87091827392578
2016-03-04,29.118803024291992
2016-03-07,29.2062931060791
2016-03-08,29.64373016357422
2016-03-09,29.687482833862305
2016-03-10,29.702058792114258
2016-03-11,29.687349319458008
2016-03-14,29.71674919128418
2016-03-15,29.77558135986328
2016-03-16,30.08437156677246
2016-03-17,30.51078224182129
2016-03-18,30.187292098999023
2016-03-21,30.179935455322266
2016-03-22,29.974069595336914
2016-03-23,30.231399536132812
2016-03-24,30.312278747558594
2016-03-28,30.26080322265625
2016-03-29,30.628398895263672
2016-03-30,30.554889678955078
2016-03-31,30.74604606628418
2016-04-01,30.83425521850586
2016-04-04,30.775449752807617
2016-04-05,30.106420516967773
2016-04-06,30.032894134521484
2016-04-07,29.988786697387695
2016-04-08,30.15052604675293
2016-04-11,29.996137619018555
2016-04-12,30.13582420349121
2016-04-13,29.91526222229004
2016-04-14,29.834392547607422
2016-04-15,30.01818084716797
2016-04-18,30.246105194091797
2016-04-19,30.26080322265625
2016-04-20,29.20946502685547
2016-04-21,28.386045455932617
2016-04-22,28.709537506103516
2016-04-25,28.78306007385254
2016-04-26,28.812467575073242
2016-04-27,29.19476318359375
2016-04-28,29.36385726928711
2016-04-29,29.430028915405273
2016-05-02,29.782920837402344
2016-05-03,29.81233024597168
2016-05-04,30.15052604675293
2016-05-05,30.025548934936523
2016-05-06,29.746164321899414
2016-05-09,30.26080322265625
2016-05-10,30.40785026550293
2016-05-11,30.422550201416016
2016-05-12,30.76808738708496
2016-05-13,30.665172576904297
2016-05-16,30.694576263427734
2016-05-17,30.040239334106445
2016-05-18,29.474151611328125
2016-05-19,29.782920837402344
2016-05-20,29.753524780273438
2016-05-23,29.452085494995117
2016-05-24,29.8196964263916
2016-05-25,29.67999267578125
2016-05-26,30.062307357788086
2016-05-27,30.08437156677246
2016-05-31,30.41520118713379
2016-06-01,30.554889678955078
2016-06-02,30.437253952026367
2016-06-03,31.018070220947266
2016-06-06,30.915138244628906
2016-06-07,30.885732650756836
2016-06-08,31.003355026245117
2016-06-09,31.393020629882812
2016-06-10,31.429780960083008
2016-06-13,31.400367736816406
2016-06-14,31.711631774902344
2016-06-15,31.37813949584961
2016-06-16,31.741275787353516
2016-06-17,31.756107330322266
2016-06-20,31.681989669799805
2016-06-21,31.748680114746094
2016-06-22,31.622697830200195
2016-06-23,31.644927978515625
2016-06-24,32.089595794677734
2016-06-27,32.40085220336914
2016-06-28,32.4230842590332
2016-06-29,32.497196197509766
2016-06-30,33.1864128112793
2016-07-01,33.1864128112793
2016-07-05,33.54955291748047
2016-07-06,33.59402084350586
2016-07-07,32.84550094604492
2016-07-08,33.04560852050781
2016-07-11,32.912208557128906
2016-07-12,32.23780822753906
2016-07-13,32.57129669189453
2016-07-14,32.319332122802734
2016-07-15,32.4230842590332
2016-07-18,32.497196197509766
2016-07-19,32.452728271484375
2016-07-20,32.319332122802734
2016-07-21,32.51942443847656
2016-07-22,32.84550094604492
2016-07-25,32.78622817993164
2016-07-26,32.452728271484375
2016-07-27,32.23780822753906
2016-07-28,32.43050003051758
2016-07-29,32.593536376953125
2016-08-01,32.563907623291016
