Date,TPL
2015-07-01,14.441242218017578
2015-07-02,14.410839080810547
2015-07-06,14.231352806091309
2015-07-07,14.096001625061035
2015-07-08,13.760567665100098
2015-07-09,13.926321983337402
2015-07-10,14.073445320129395
2015-07-13,14.285295486450195
2015-07-14,14.398087501525879
2015-07-15,14.319622039794922
2015-07-16,14.368663787841797
2015-07-17,14.193100929260254
2015-07-20,14.265679359436035
2015-07-21,14.036172866821289
2015-07-22,13.976346015930176
2015-07-23,13.391788482666016
2015-07-24,13.363347053527832
2015-07-27,12.86804485321045
2015-07-28,12.894523620605469
2015-07-29,12.706212043762207
2015-07-30,12.89256477355957
2015-07-31,12.824889183044434
2015-08-03,12.652270317077637
2015-08-04,12.597342491149902
2015-08-05,12.652270317077637
2015-08-06,12.72485065460205
2015-08-07,12.818023681640625
2015-08-10,12.778791427612305
2015-08-11,12.759176254272461
2015-08-12,12.643442153930664
2015-08-13,12.689538955688477
2015-08-14,12.750349998474121
2015-08-17,12.573807716369629
2015-08-18,12.127542495727539
2015-08-19,11.745033264160156
2015-08-20,11.499833106994629
2015-08-21,11.52729606628418
2015-08-24,11.098684310913086
2015-08-25,10.845643997192383
2015-08-26,10.660274505615234
2015-08-27,11.205596923828125
2015-08-28,11.51846981048584
2015-08-31,11.648916244506836
2015-09-01,11.656761169433594
2015-09-02,11.867631912231445
2015-09-03,12.231511116027832
2015-09-04,12.161871910095215
2015-09-08,12.879815101623535
2015-09-09,13.00927734375
2015-09-10,13.682103157043457
2015-09-11,13.623257637023926
2015-09-14,13.725260734558105
2015-09-15,13.829225540161133
2015-09-16,13.829225540161133
2015-09-17,13.894939422607422
2015-09-18,13.705645561218262
2015-09-21,14.221542358398438
2015-09-22,14.036172866821289
2015-09-23,13.853747367858887
2015-09-24,13.97536563873291
2015-09-25,14.00086498260498
2015-09-28,13.958687782287598
2015-09-29,14.01557731628418
2015-09-30,13.75566577911377
2015-10-01,13.884151458740234
2015-10-02,13.981249809265137
2015-10-05,13.912591934204102
2015-10-06,14.240178108215332
2015-10-07,14.367680549621582
2015-10-08,14.569726943969727
2015-10-09,14.324527740478516
2015-10-12,14.270584106445312
2015-10-13,14.35983657836914
2015-10-14,14.330410957336426
2015-10-15,14.611898422241211
2015-10-16,14.667804718017578
2015-10-19,14.598170280456543
2015-10-20,14.45693302154541
2015-10-21,14.4647855758667
2015-10-22,14.670748710632324
2015-10-23,14.398087501525879
2015-10-26,14.34414291381836
2015-10-27,14.563841819763184
2015-10-28,14.564824104309082
2015-10-29,14.634459495544434
2015-10-30,14.690361022949219
2015-11-02,14.421627044677734
2015-11-03,14.42260456085205
2015-11-04,14.369645118713379
2015-11-05,14.530496597290039
2015-11-06,14.588362693786621
2015-11-09,14.47164249420166
2015-11-10,14.417703628540039
2015-11-11,14.319622039794922
2015-11-12,13.897882461547852
2015-11-13,14.437320709228516
2015-11-16,14.254892349243164
2015-11-17,13.836091041564941
2015-11-18,13.804705619812012
2015-11-19,13.33980655670166
2015-11-20,13.294692993164062
2015-11-23,13.765472412109375
