Date,CARR
2020-03-19,11.057829856872559
2020-03-20,11.748946189880371
2020-03-23,10.633947372436523
2020-03-24,10.781384468078613
2020-03-25,12.3939847946167
2020-03-26,14.236958503723145
2020-03-27,13.407620429992676
2020-03-30,14.651625633239746
2020-03-31,15.895634651184082
2020-04-01,13.868364334106445
2020-04-02,12.237333297729492
2020-04-03,15.591541290283203
2020-04-06,14.227741241455078
2020-04-07,14.052657127380371
2020-04-08,13.140390396118164
2020-04-09,13.619563102722168
2020-04-13,12.891590118408203
2020-04-14,12.781011581420898
2020-04-15,12.311051368713379
2020-04-16,11.877950668334961
2020-04-17,12.66121768951416
2020-04-20,13.315469741821289
2020-04-21,13.536629676818848
2020-04-22,13.628777503967285
2020-04-23,14.485755920410156
2020-04-24,14.97414493560791
2020-04-27,15.480961799621582
2020-04-28,15.665264129638672
2020-04-29,16.2550106048584
2020-04-30,16.319517135620117
2020-05-01,15.453317642211914
2020-05-04,15.1123685836792
2020-05-05,14.716130256652832
2020-05-06,15.011002540588379
2020-05-07,15.121582984924316
2020-05-08,16.918481826782227
2020-05-11,16.909269332885742
2020-05-12,16.40244483947754
2020-05-13,15.149230003356934
2020-05-14,15.250588417053223
2020-05-15,15.398028373718262
2020-05-18,16.17207908630371
2020-05-19,16.374805450439453
2020-05-20,17.259431838989258
2020-05-21,17.92289924621582
2020-05-22,17.554306030273438
2020-05-26,17.978195190429688
2020-05-27,18.420503616333008
2020-05-28,18.06112289428711
2020-05-29,18.86281967163086
2020-06-01,20.106822967529297
2020-06-02,19.682937622070312
2020-06-03,20.475419998168945
2020-06-04,20.899303436279297
2020-06-05,21.710206985473633
2020-06-08,22.456613540649414
2020-06-09,21.387685775756836
2020-06-10,20.45698356628418
2020-06-11,19.406490325927734
2020-06-12,19.848804473876953
2020-06-15,20.245044708251953
2020-06-16,20.337190628051758
2020-06-17,19.590791702270508
2020-06-18,19.581575393676758
2020-06-19,19.765871047973633
2020-06-22,20.95458984375
2020-06-23,20.632068634033203
2020-06-24,20.106822967529297
2020-06-25,19.90334701538086
2020-06-26,19.394662857055664
2020-06-29,20.45827865600586
2020-06-30,20.550765991210938
2020-07-01,20.91146469116211
2020-07-02,21.18893051147461
2020-07-06,22.391265869140625
2020-07-07,22.2062931060791
2020-07-08,22.187795639038086
2020-07-09,22.11380958557129
2020-07-10,23.020183563232422
2020-07-13,22.456010818481445
2020-07-14,23.26064682006836
2020-07-15,24.462989807128906
2020-07-16,24.610971450805664
2020-07-17,24.49073600769043
2020-07-20,24.425992965698242
2020-07-21,24.573974609375
2020-07-22,24.601722717285156
2020-07-23,25.295379638671875
2020-07-24,24.583229064941406
2020-07-27,24.27801513671875
2020-07-28,24.111539840698242
2020-07-29,25.138154983520508
2020-07-30,24.879182815551758
2020-07-31,25.193641662597656
2020-08-03,25.54510498046875
2020-08-04,25.683828353881836
2020-08-05,25.998291015625
