Date,DELL
2024-07-01,142.82000732421875
2024-07-02,143.47000122070312
2024-07-03,142.6699981689453
2024-07-05,138.9600067138672
2024-07-08,145.97000122070312
2024-07-09,145.74000549316406
2024-07-10,145.77000427246094
2024-07-11,140.72000122070312
2024-07-12,139.57000732421875
2024-07-15,137.22000122070312
2024-07-16,134.25999450683594
2024-07-17,125.16999816894531
2024-07-18,125.33999633789062
2024-07-19,125.79000091552734
2024-07-22,128.74000549316406
2024-07-23,125.8499984741211
2024-07-24,116.12000274658203
2024-07-25,111.43000030517578
2024-07-26,113.55999755859375
2024-07-29,111.19999694824219
2024-07-30,108.61000061035156
2024-07-31,113.68000030517578
2024-08-01,108.43000030517578
2024-08-02,102.29000091552734
2024-08-05,98.18000030517578
2024-08-06,94.66999816894531
2024-08-07,87.88999938964844
2024-08-08,91.45999908447266
2024-08-09,92.55000305175781
2024-08-12,95.2699966430664
2024-08-13,99.94000244140625
2024-08-14,102.94999694824219
2024-08-15,110.20999908447266
2024-08-16,111.30000305175781
2024-08-19,111.87000274658203
2024-08-20,110.70999908447266
2024-08-21,111.69999694824219
2024-08-22,108.9800033569336
2024-08-23,112.01000213623047
2024-08-26,111.66999816894531
2024-08-27,111.86000061035156
2024-08-28,111.55999755859375
2024-08-29,110.73999786376953
2024-08-30,115.54000091552734
2024-09-03,110.7699966430664
2024-09-04,109.05999755859375
2024-09-05,107.16000366210938
2024-09-06,102.0
2024-09-09,105.88999938964844
2024-09-10,106.63999938964844
2024-09-11,108.80000305175781
2024-09-12,112.1500015258789
2024-09-13,114.30000305175781
2024-09-16,115.4000015258789
2024-09-17,116.81999969482422
2024-09-18,115.98999786376953
2024-09-19,117.7699966430664
2024-09-20,117.5
2024-09-23,117.56999969482422
2024-09-24,117.30999755859375
2024-09-25,120.16999816894531
2024-09-26,126.48999786376953
2024-09-27,120.22000122070312
2024-09-30,118.54000091552734
2024-10-01,113.16000366210938
2024-10-02,113.45999908447266
2024-10-03,115.66999816894531
2024-10-04,120.41999816894531
2024-10-07,119.08999633789062
2024-10-08,121.93000030517578
2024-10-09,122.33999633789062
2024-10-10,124.80000305175781
2024-10-11,127.7300033569336
2024-10-14,128.35000610351562
2024-10-15,125.83000183105469
2024-10-16,126.7300033569336
2024-10-17,129.17999267578125
2024-10-18,126.45999908447266
2024-10-21,125.66000366210938
2024-10-22,120.4000015258789
2024-10-23,119.48999786376953
2024-10-24,120.56999969482422
2024-10-25,122.55000305175781
2024-10-28,120.66000366210938
2024-10-29,121.62999725341797
2024-10-30,129.39999389648438
2024-10-31,123.62999725341797
2024-11-01,130.8699951171875
2024-11-04,129.85000610351562
2024-11-05,133.4600067138672
2024-11-06,138.35000610351562
2024-11-07,137.8699951171875
2024-11-08,134.22999572753906
2024-11-11,138.50999450683594
2024-11-12,136.47000122070312
2024-11-13,134.52999877929688
2024-11-14,134.42999267578125
2024-11-15,131.63999938964844
2024-11-18,136.00999450683594
2024-11-19,135.89999389648438
2024-11-20,133.9600067138672
2024-11-21,138.9199981689453
2024-11-22,144.2100067138672
2024-11-25,144.16000366210938
2024-11-26,141.74000549316406
2024-11-27,124.37999725341797
2024-11-29,127.58999633789062
2024-12-02,125.83999633789062
2024-12-03,125.55999755859375
2024-12-04,126.0999984741211
2024-12-05,125.06999969482422
2024-12-06,123.4000015258789
2024-12-09,123.80999755859375
2024-12-10,116.79000091552734
