Date,CEG
2022-01-19,42.0
2022-01-20,45.0
2022-01-21,45.0
2022-01-24,42.79999923706055
2022-01-25,41.89799880981445
2022-01-26,43.220001220703125
2022-01-27,45.7599983215332
2022-01-28,46.75
2022-01-31,48.0
2022-02-01,49.779998779296875
2022-02-02,53.0099983215332
2022-02-03,53.619998931884766
2022-02-04,50.13999938964844
2022-02-07,46.06999969482422
2022-02-08,45.5
2022-02-09,47.310001373291016
2022-02-10,47.04999923706055
2022-02-11,48.09000015258789
2022-02-14,48.11000061035156
2022-02-15,48.0
2022-02-16,47.20000076293945
2022-02-17,45.290000915527344
2022-02-18,45.40999984741211
2022-02-22,43.540000915527344
2022-02-23,43.09000015258789
2022-02-24,44.31999969482422
2022-02-25,43.90999984741211
2022-02-28,45.97999954223633
2022-03-01,47.790000915527344
2022-03-02,49.459999084472656
2022-03-03,49.52000045776367
2022-03-04,51.0
2022-03-07,51.650001525878906
2022-03-08,52.31999969482422
2022-03-09,51.33000183105469
2022-03-10,51.31999969482422
2022-03-11,49.31999969482422
2022-03-14,50.95000076293945
2022-03-15,51.290000915527344
2022-03-16,51.77000045776367
2022-03-17,50.9900016784668
2022-03-18,49.0099983215332
2022-03-21,49.220001220703125
2022-03-22,51.13999938964844
2022-03-23,50.9900016784668
2022-03-24,52.40999984741211
2022-03-25,53.79999923706055
2022-03-28,56.779998779296875
2022-03-29,56.33000183105469
2022-03-30,57.5
2022-03-31,56.25
2022-04-01,58.02000045776367
2022-04-04,58.380001068115234
2022-04-05,59.0
2022-04-06,59.599998474121094
2022-04-07,60.90999984741211
2022-04-08,64.0199966430664
2022-04-11,60.68000030517578
2022-04-12,61.869998931884766
2022-04-13,64.19999694824219
2022-04-14,62.54999923706055
2022-04-18,63.310001373291016
2022-04-19,66.70999908447266
2022-04-20,65.41000366210938
2022-04-21,62.66999816894531
2022-04-22,62.43000030517578
2022-04-25,62.27000045776367
2022-04-26,59.95000076293945
2022-04-27,60.09000015258789
2022-04-28,61.310001373291016
2022-04-29,59.209999084472656
2022-05-02,58.20000076293945
2022-05-03,59.70000076293945
2022-05-04,61.810001373291016
2022-05-05,60.15999984741211
2022-05-06,60.27000045776367
2022-05-09,57.619998931884766
2022-05-10,57.040000915527344
2022-05-11,57.369998931884766
2022-05-12,53.470001220703125
2022-05-13,54.61000061035156
2022-05-16,56.59000015258789
2022-05-17,59.31999969482422
2022-05-18,57.279998779296875
2022-05-19,57.22999954223633
2022-05-20,56.650001525878906
2022-05-23,56.599998474121094
2022-05-24,56.779998779296875
2022-05-25,59.16999816894531
2022-05-26,62.470001220703125
